PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(antiqu),termFreq(art),termFreq(board),termFreq(book),termFreq(bound),termFreq(calf),termFreq(complet),termFreq(copi),termFreq(cut),termFreq(edit),termFreq(elegantli),termFreq(elegi),termFreq(england),termFreq(essai),termFreq(fine),termFreq(gilt),termFreq(half),termFreq(head),termFreq(histori),termFreq(larg),termFreq(law),termFreq(leav),termFreq(letter),termFreq(life),termFreq(map),termFreq(memoir),termFreq(moral),termFreq(natur),termFreq(neat),termFreq(neatli),termFreq(note),termFreq(opera),termFreq(origin),termFreq(paper),termFreq(plate),termFreq(poem),termFreq(portrait),termFreq(print),termFreq(sermon),termFreq(state),termFreq(translat),termFreq(travel),termFreq(voyag),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
1088100500_000017,"Annereau's catalogue, for 1800. Consisting of a Collection of upwards of 20,000 Volumes of Ancient & Modern Books. With a supplement, containing A large Collection of Books; lately purchased. The Whole forming an extensive Assortment in every Branch of Literature; and in various Languages Now selling at the low price mark'd in the catalogue, for ready-money only, By J. Annereau, No. 2, Stones-End, Southwark. - Ladies and Gentlemen are requested to send the First Word of the Article they want-with the Number, to prevent Mistakes - Libraries & Parcels of Books purchased. Catalogues, Price 6d. (allowed to Purchasers of 5s) may be had at Sael & Cols. No. 192, Strand-Hurst, Pater-Noster-Row-Offor, Postern Row, Tower Hill-Barker, Great Russel Street, Covent Garden-Penny, Sherborne, Dorset-Slatter and Bower, Sheffield-And at the Place of Sale.","Annereau, J.",88,3,0,0,0,1,4,4,3,0,1,2,1,0,2,2,3,3,1,1,3,0,1,0,5,2,1,1,2,0,18,3,0,0,1,4,4,4,0,1,1,0,1,1,0,4,1800,1,1,"[London : s.n., 1800].",London,194,unknown,,,FALSE,"Work , 3 vols. calf ; . gilt , 7s6d 17.77 0c-6 Adventures of Christopher Curious, il assries of; Ranbles, sewed, is 6d -- 1788 IOZ7 Adventures of a Speculilt, or a Jourtney'through. lqndonl by George Alexander stevens, z vols. bd. 35 1788 0oz8 Account of Denmark, by Lord Molcfwvorth,"
1198700300_000028,"Lackington's catalogue for 1792. Consisting of one hundred thousand volumes in various languages and Classes of Learning; Including many valuable Libraries Lately purchased. With many Articles but just published; A very large Number in an uncommon Variety of plain, elegant and superb Bindings. Also many scarce, old, and valuable Books. Folio. Graevius et Gronovius, &c. 37 vol. Museum Florentinum, 7 tom. Encyclopedie, 28 tom. Geneve Le Sacre de Louis XV. Edmondson's Copperplate Peerage, 6 v. Montsaucon, Antiquites, G. P. 10 tom. Fables de Fontaine, 4 tom. Millar's Plants, coloured Catesby's Carolina, 2 vol. coloured Description du Danube, 6 tom. Bailey's Mechanics Albinus's Tables Foulis's superb editions Gough's Camden, 3 vol. Campbell's Vitruvius, 2 vol. L. P. Quarto. Grose's Works, 13 vol. Edwards's Nat. Hist. 7 vol. coloured Voyage Pittoresque, 13 tom. Wilkes's Butterflies, coloured Pennant's Works, 14 vol. russia Baskerville's Classics, 7 tom. Octavo, &c. Buffon, 43 tom. coloured Goldsmith's Nat. Hist. 8 vol. coloured Brindley's Classics, 24 vol. Universal History, 60 vol. Johnson's Poets, 75 vol. morocco Monthly Review, 68 vol. Critical Review, 56 vol. Pickering's Statutes, 36 vol. By J. Lackington, at his shop, No. 46 and 47, Chiswell-Street, Moorfields, London. Where Libraries or Parcels of Books are purchased on a new Plan, by which the Seller is sure to have the utmost Value in ready Money, or in other Books. - Not an Hour's Credit will be given to any Person, nor any Books Exported, or sent into the Country, before they are paid for. Catalogues may be had at the Shop, and of Mr. C. H. Lackington (private House) No. 12, Charles-Street, St. James's-Square; also of the following Booksellers; Barker, Russell-Court, Drury-Lane; Marsom, No. 187, High Holborn; Lunn, Cambridge; Merrick, Oxford; Gander or Hodges, Sherborne; Hazard, Bath; Rollason, Coventry; Deck, Bury; Haydon, Plymouth; Edwards, Norwich; Bulgin, Bristol; Fisher, Newcastle; and also at Freeth's Coffee House, Birmingham. - To prevent Mistakes, those who send for any Books are desired, besides the Numbers, to send the first Words and the Prices of the Article they want. - Book-Binding done in the newest Taste and exceeding cheap.",James Lackington,102,3,1,0,10,0,5,5,0,1,1,3,4,0,1,4,3,8,1,1,9,3,1,0,4,2,4,1,1,1,12,5,0,0,0,0,4,0,0,0,0,0,0,0,3,1,1792,1,1,"[London : s.n., 1792].",London,439,male,1746,1815,FALSE,"us 1787 For an Arccount of Dacy's Letters , see Monthly Resview enlarged, for yanuary 1790 s582 Doyle's Account of the British Dominions beyond the Atlantic, with a large map , in which the said fuippofed Passage, and all the Arctic Regions, are more fully delineated, in boards , goaod"
1198600600_000031,"A catalogue of books for the year 1800, in various languages and classes of literature, on sale for ready money, by J. Cuthell, Middle-Row, Holborn; Where Catalogues may be had, Price One Shilling and Sixpence each. Libraries Purchased.","Cuthell, John",124,1,1,0,10,1,2,0,2,15,0,3,1,0,1,2,2,6,2,0,5,3,0,0,0,2,6,1,0,3,31,0,1,0,0,5,3,3,3,1,0,1,0,2,1,4,1800,1,1,"London : printed by G. Auld, Greville-Street, London, [1800].",London,421,unknown,,,FALSE,"Geography, 2 vol. maps , 3s 1733 a890 Another copy , z vol. neat , 4s 1734 1891 Virgil's firit 6 Books of the Enneid, by Strahan, neat and gilt , 2s -- - 753 x892 Virgil's Works , by Dryden, 3 vol. large paper , plates by Vandergucht, very"
1205300100_000007,"Second volume of Lackington's catalogue for 1792. Consisting of about ninety thousand volumes, ... The whole selling ... By J. Lackington, ...",James Lackington,123,1,4,3,15,1,11,7,0,0,6,4,3,0,5,0,1,4,5,4,4,1,0,2,7,1,6,0,0,0,4,1,0,0,0,2,12,0,0,0,0,2,1,4,1,1,1792,1,1,"[London, 1792].",London,404,male,1746,1815,FALSE,"copperplates, sewed, 2zsd~ 2z3 Pickering's Plan of Discipline for a Militia, is 6d - i775 224 Pledell's Field Fortificatio, cuts , half bouind, 2s 6d. 768 2.5 Pain's Builder's Pocket Treasure, containing the Theory and practical  art of Architenture, with new Designs of Frontispieces, chirnney pieces, Bases, Capitals, Entablatures,"
1168100300_000045,"A catalogue of near ten thousand volumes of curious and scarce books, in which are included A good Collection in Divinity, A small Law Library, And a large and uncommon Collection of Tracts, In near Three Hundred Volumes, Collected by Dr. Mead; Amongst which are many very rare. Which will begin selling August 1, 1783, very cheap, for Ready Money only, At No 27. Snow Hill. Catalogues to be had, with Prices printed, at Mr. Collins's, Bookseller, Change-Alley, facing the Royal Exchange; Mr. Henry Chapman, Bookseller, Old Round Court, Strand; Mr. Hayes, Bookseller, Oxford Street, near Argyle Street; and at the Place of Sale. N. B. Catalogues of the Law Library may be had separate. No Country Orders can be attended to, but what are for Ready Money, nor any Books delivered from the above Catalogue, till paid for.",,133,1,1,2,3,0,9,0,2,1,11,4,1,0,2,0,2,5,5,0,2,3,1,0,0,10,2,2,0,0,40,0,2,1,0,3,5,2,3,2,1,0,0,2,0,3,1783,1,1,"[London : s.n., 1783].",London,138,unknown,,,FALSE,"1678,; Oc Calfon's Mariner's Calendar, 6d 174s t 3 2 3 97 Dr. 3971 Dr. Gll's Exposition of the Old Testament, 5 vol. and 14 Numbers, all that is yet published, the a first vol. neaw, in talf, the 3 others in Numbers, z2 Ias 6d 1778 397s Boyer's French"
1168100600_000017,"A catalogue of several valuable collections of books, lately purchased; including the libraries of Dr. Thomas Lawrence, ... and Mr. John Waring, ... The sale will begin on Tuesday, August, 5, 1783, by Benjamin White, ...",Benjamin White,137,1,5,0,8,0,9,1,3,2,8,6,3,0,12,0,1,1,0,5,20,6,0,0,2,3,5,1,0,1,12,2,0,0,1,10,3,0,1,1,0,4,0,0,0,0,1783,1,1,"[London, 1783].",London,239,male,1724,1794,FALSE,"923 Blomefield's History of Norfolk, with Parkins's Continuation, 5 vol. cmplete h t, ith cts boards , 81 1739 924 blomeseld and Parkins's History of Norfolk, 5 vol. zwith. cuts , elegantly bound by Kalthoeber, : oi o' 1739, c? 9z; Blomefield's [ 39 ] 925 Blomefield's History of Norfolk,"
1227200500_000032,"A catalogue for the year 1797, of a very valuable and extensive collection of books, just removed from the university of Cambridge, Comprehending Every Branch Of Science And Literature, both Antient And Modern, Exhibiting a Fine Assortment of Greek And Latin Classics, Together with many Articles rarely to ... with: And Including, Amongst Other Recent Purchases, The Library of the Rev. J. J. Oakes, Late Rector of Bluntisham, in the County of Huntingdon, a Gentleman distinguished for his Knowledge of various Languages and Taste in the Fine Arts. The Whole are marked at Prices uncommonly Low, and are to be sold for Ready Money Only by W. H. Lunn, (from Cambridge,) No. 332, Oxford-Street, near Argyle-Street, Being the Shop lately occupied by Mr. S. Hayes. Catalogues To be Mad At The Place Of Sale.","Lunn, William Henry           1815",119,0,0,1,9,1,12,1,1,9,5,0,2,0,3,0,2,5,5,0,11,3,0,0,1,1,0,2,1,3,10,3,1,0,1,6,8,0,4,1,0,0,0,1,1,5,1797,1,1,"[Cambridge? : s.n., 1797].",Cambridge,292,unknown,,,FALSE,"6s I 7 1826 Lockmnanrs History of England by Oueftion and Answer, is 6d i78 1827 Another Copy , new, 3s 0.179 kt88 mvontefquieu on the Grandeur aid'declenrfion of the Proimans, 2s 1734 i829 Another Copy , neat , 2s 6d 1734 1830 Millot's Elements of the History of England"
0513300400_000006,"A catalogue of a very extensive and curious collection of books; including the libraries of a nobleman, the Rev. Mr. Bouchery, ... and the Rev. Mr. Laurents, ... Which will be sold, ... this day, 1788, ... by Thomas Payne and Son, ...",Thomas Payne and Son,110,0,0,1,0,1,3,0,2,1,10,3,4,0,3,0,2,2,1,0,1,5,4,2,1,2,0,0,2,3,7,1,0,1,2,4,5,0,2,6,0,0,2,5,9,13,1788,1,1,"[London, 1788].",London,290,unknown,,,FALSE,"qxitb hie portrait , gilt leaves , 4s - - 1t66o 272 Clearius and Mandeflo's Travels in Perlia, the Ealt Indies, c. cuts and raps, 5s - 662 273 The same, cuts , 6s - 1669 274 Thevenot's Travels into the Levant, - 3 parts, cuts , los 6d. 1687"
1198700600_000007,"A Catalogue of books; containing many valuable and rare articles in ancient and modern literature; Amongst Them Are: Folio. Liber Sextus Decretalium, Boniface Viii. Impress. In Memb. a Mogunt. 1470 Hearne's Ectypa Varia, fine copy Birch's Lives, with Houbraken's Heads, 2 vol. large paper Dugdale's Monasticon Anglicanum, with Stevens's Continuation, 3 vol. Enderbie's Wales, large paper Fabyan's Chronicle Fuller's Worthies Hasted's Kent, 2 vol. ... Thucydides a Wasse & Dukero Terentius Varro, Edit-Princeps Haurisii Script. His. Rom. 3 vol. Hickesii Thesaurus, 3 vol. Assemanni Bib. Orientales, 4 vol. Diccionario de la Lengua Castellana, 6 vol. Hoffmanni Lexicon Universale, 4 vol. Lye Diction. Saxonic. a Manning, 2 vol. H. Steph. Thesaurus, Gr. 4 vol. ... 1st impression Birch's Memoirs of Queen Elizabeth, 2 vol. Hawkesworth's Telemachus Swift's Works, 14 vol. complete Madox's Exchequer, 2 vol. Huggins's Orlando Furioso, 2 vol. The Toast, a Poem, by Dr. King Whitaker's Manchester, 2 vol. Gardiner's Logarithms Lilly's Astrology Moxon's Mech. Exercises, 2 vol. in 1, russ. Snelling's Coins Complete Hawkesworth's Voyages, 3 vol. ... Gostling's Canterbury, best edit. Izaacke's Exeter, large paper, Rapin's History of England, 21 vol. best ed. Sir Philip Sidney's Works, 3 vol. Royal and Noble Authors, 2 vol. Sir. Hill Willis's Cathedrals, 3 vol. ... Plautus, Variorum, edit. opt. Polybius, Variorum, 3 vol. Theocritus, cum scholiis Well's Xenophon, 5 vol. Pine's Virgil, russia Cicero, 20 vol. large paper Glasgow Cicero, Lallemand, 14 vol. The Whole are in excellent Condition, and will be on sale from February, 1788, at the Prices printed in the Catalogue, for Ready Money, by Thomas King, Bookseller, No. 25, New Broad-Street, And No. 29, Lower Moorfields. Catalogues, price 6d, may be had at the following Booksellers: Sewell, Cornhill; Johnson, St. Paul's Church-Yard; Brown, Corner of Essex-Street, Strand; Chapman, Chandos-Street; Fletcher, Oxford; ..., Cambridge; and the Places of Sale. Where the full Value is given for Libraries, or parcels of Books; also Books Exchanged.","King, Thomas",112,0,3,2,2,1,3,0,0,5,1,9,1,0,6,2,4,3,4,1,5,4,1,3,2,1,0,0,0,1,11,2,2,0,0,3,6,0,9,0,0,4,1,5,0,5,1788,1,1,"[London, s.n., 1788].",London,153,male,,,FALSE,"vol. neat and gilt ,, 8s 1732 378 Rapin's Hilfory of England , wuith the heads and monuments, 2 vol. 11 4s -- -- 1743 379 Rapin's History of England , by Kelly, 3 vol. 15s 1733 380 Rycaut's LI es of the Popes, 3s 6S 6 381 Rycaut's Ottoman"
1227200500_000085,"A catalogue for the year 1797, of a very valuable and extensive collection of books, just removed from the university of Cambridge, Comprehending Every Branch Of Science And Literature, both Antient And Modern, Exhibiting a Fine Assortment of Greek And Latin Classics, Together with many Articles rarely to ... with: And Including, Amongst Other Recent Purchases, The Library of the Rev. J. J. Oakes, Late Rector of Bluntisham, in the County of Huntingdon, a Gentleman distinguished for his Knowledge of various Languages and Taste in the Fine Arts. The Whole are marked at Prices uncommonly Low, and are to be sold for Ready Money Only by W. H. Lunn, (from Cambridge,) No. 332, Oxford-Street, near Argyle-Street, Being the Shop lately occupied by Mr. S. Hayes. Catalogues To be Mad At The Place Of Sale.","Lunn, William Henry           1815",90,0,0,1,1,1,9,3,0,4,2,4,1,0,1,0,3,4,1,1,4,1,1,0,1,1,2,0,0,0,10,5,2,4,1,2,6,0,7,2,2,0,0,0,0,3,1797,1,1,"[Cambridge? : s.n., 1797].",Cambridge,292,unknown,,,FALSE,"2vo. 5543 b1. wciatfon against Paine, 12m1o.., 41 Jaker s Analysis of Rclearches into the Orilg; V and Progress of Hiitorical Time, avo 554w: W: j j:, !i, i' Mv flterusotherou a T raged, 8o. t 39) A P p ENDIX. FOLIO. 5543 aristophaniscomoedide Undecim, Gr.&lat. Bifeti, very fair and"
1522000200_000014,"A catalogue of books, ancient and modern; Containing the works of the principal authors, and the best editions; and particularly, a large and valuable collection of French literature.The books will be sold at the prices affixed, and the first order will always be prefered. Catalogues, (Price one Shilling, to be returned on the first purchase to the value of 53,) may be had at the Shop of William Creech, at the Crofs, Edinburgh.",William Creech,105,7,2,1,7,4,7,0,0,2,0,3,2,0,5,0,3,1,2,1,8,1,1,0,2,0,8,3,0,0,10,5,1,0,1,2,5,0,0,1,0,2,0,6,2,0,1793,1,1,"Edinburgh : [s.n.], 1793.",Edinburgh,244,male,1745,1815,FALSE,"i~b 787 755 Another copy , in boards , 11 ib 187 756 Arnot's colle~ion of Celebrated Criminal Trials in Scot Jand, from i586 to 17.84, boards , z ys ib 785 757 Account of the Antiquaritu Society of Edinburgh, and the Donations, a parts, 78 ib 785 15j8 tran~fa~ions"
0766300100_000007,"A catalogue of a select collection of books in most languages; Among which are Voyage Pitt de la Grece et D'italie, 6 vol. Stuart's Antiquities of Athens, 2 vol. Paintings in the Florence Gallery, and the Palais Royal Brydges's Northamptonshire, 2 vol. russia Baron Born's Shells, eleg. coloured Edwards's Flowers, coloured, in Russia Domesday Book, 2 vol. eleg. Hudson's Dionysius, 2 vol. russia Survey of the Lakes, with drawings, views, &c. Hearne's Antiquities, russia D'anville's Atlas, complete Granger's Biography, portraits, 8 vol. 4to. Walpole's Painters, 5 vol. Strawberry Hill Museum Leverianum, col. Lewin's Birds, finely painted Moliere, 6 tom. 4to. fine plates, best edit. Conti's Tasso, 2 tom. L. P. morocco Martin's Insects, finely painted Harris's Insects, finely painted Cook's Voyages, fine impressions Baskerville's Classics, 7 tom. 4to. russia extra Kohler's Medals, 24 tom. 4to. Encyclopoedia Britannica, 11 vol. Grose's Antiquities Hanmer's Shakespeare, with additional plates, 6 vol. 4to. Russia Ocuvres de Bonnet, 10 tom 4to. Voltaire, 70 vol. 8vo. fine plates Bomare Dict. D'hist. Nat. 8 tom. 4to. Gilpin's Picturesque Works, 9 vol. morocco Voyages Imaginaires, 39 tom. fine plates Cabinet des Fees, 41 tom. fine plates, eleg. They are now selling (for ready Money) at the Prices printed in the Catalogue, By William Clarke, Bookseller and Stationer, No. 38, New Bond Street, near Maddox Street, London. Catalogues, Price 6d. (to be allowed in Purchase) may be had at the Place of Sale.","Clarke, William",122,6,9,1,1,1,3,0,0,4,0,9,3,0,2,0,11,2,1,0,12,3,2,0,5,1,3,1,0,1,1,1,1,0,2,3,19,0,0,1,0,2,1,2,7,1,1793,1,1,"[London], [s.n.], M.DCC.XCIII. [1793].",London,124,male,,,FALSE,"plates , il los 1790 326 Hampshire, extracted from Domesday Book , with a Translation and Glossary, iss -1789 327 T. Newte, Profpecs and Observations on a Tour in England and Scotland, Nat. Oeconom. and Litorary, fine plates , Il is 1791 328 Carry's new Set of County Maps from"
1198600600_000004,"A catalogue of books for the year 1800, in various languages and classes of literature, on sale for ready money, by J. Cuthell, Middle-Row, Holborn; Where Catalogues may be had, Price One Shilling and Sixpence each. Libraries Purchased.","Cuthell, John",105,1,1,0,5,1,9,0,0,10,0,2,3,0,5,0,1,7,6,0,3,1,1,1,3,1,7,1,0,1,10,2,0,0,3,2,3,0,7,0,0,1,1,1,0,5,1800,1,1,"London : printed by G. Auld, Greville-Street, London, [1800].",London,421,unknown,,,FALSE,"Spain, Portugal, and Barbary, and the Mediterranean Sea, 3s 6d 28 d nn Atlas of the Variations of the Magnetic Needle, half bound , il is 17- 776 i29 Herbert's Directory for the East Indies; containing General and Particular Charts of those Seas, with Dalrymple's Survey of the Chinese Seas,"
1205600400_000006,"A catalogue of near forty thousand volumes of choice books; Containing the Libraries of the late Rev. Dr. T. Winchester, Rector of Appleton, Berks; And the Rev. Dr. Richardson, Rector of St. Anne's, Westminster, And of several other curious Collections; ... D. Halicarnass. Hudsoni, 2 t. Strabo, 2 tom. ch. max. Polybius, Casauboni Caesaris, a Clarke, corio turc. Hist. Script. Romanae, 3 t. cor. russ. Erasmi Opera, 11 tom. ch. max. Hollinshed's Chronicle, 2 v. in russia Catte's Hist. of England. 4 v. Rushworth's Collections, 8 v. Journals, &c. of Lords and Commons, 76 v. State Trials, 11 vol. Blomefreid's Norfolk, 5 vol. ... Sloane's Jamaica, 2 v. in russia Folio, Brown's Jamaica Chauncy's Hertfordshire Thoroton's Nottinghamshire Dictionaries, viz. Biograph. Brit. and Bayle, 12 v. - Richardson's Persian Dict. 2 v. - Chambers, 2 v. - Postlethwayte, 2 v. - Johnson, 2 v. - James, 3 v. - Calmet, 3 v. - Bayle, 5 v. - Ainsworth, 2 v. - Collier. 4 v. - Trevoux, 10 v. - Bayle & Oeuvres, 9 v. - Savary, 5 v. - Richelet, 3 v. - Chaufepe, 4 t. - Martiniere, 10 v. - Espanola. 6 t. - De la Crusca, 6 t. - H. Stephani Thesaur. 5 t. - R. Stephani Thesaur. 4 t. - Hoffmanni Lexicon, 4 t. - Constantine & Scapulae-Hesychii Lex. 2t. -Ducange Gloss. 6 t. - Hickes Thesaur. 3 t. - Dufresne Gloss. & Supple. 10 t. ... De la Jaye Bib. Polyglotta, 10 t. Cooper's Anatomy, l. p. in russia Hippocrates & Galen, 9 t. cor. russ. A compleat and fine Set of Philosoph Transactions at Large, 4to. And many Hundred others equally good, which will be sold, for Ready Money only, this Day, February 1782, and continue on Sale till all are sold, By Thomas Payne and son, booksellers, Next the Mews Gate, in Castle Street. St. Martin's. Catalogues to be had, with Prices printed (price 6d) at Mr. Sewell's, Bookseller, Cornhill; Mr. Owen's, Bookseller, near Temple-Bar, Fleet Street; Mr. Lewis, Bookseller, Russel Street, Covent Garden; Mr. Walter, Bookseller, at Charing Cross; Mr. Ridley, Bookseller, St. James's Street; Mr. Robson, Bookseller, New Bond Street; of the Booksellers at Oxford and Cambridge, and at the Place of Sale. Where may be had the full Value for any Library or Parcel of Books.",Thomas Payne and Son,116,0,1,0,1,1,4,0,2,4,15,4,2,0,1,0,4,1,2,2,2,1,1,2,0,8,2,0,0,1,15,1,0,1,1,5,2,0,4,2,0,0,0,12,5,7,1782,1,1,"[London : s.n., 1782].",London,310,unknown,,,FALSE,"maps , i! 16s - - 1728 267 Kempfer's History of Japan, with cuts , z vol. I 11s 1727 268 Ogilby's Description of Asia, with fine cuts , 7s 6d - 1673 269 Harris's colleetion of Voyages and Travels , improved and continued by Dr. Campbell, 2 vol. new"
1161300700_000008,"A catalogue consisting of a small (but choice) collection of books recently purchased; ... which are now selling ... by T. Arrowsmith, bookseller, no. 10. Middle-Row, Holborn: ...",Thomas Arrowsmith,96,1,2,1,6,3,2,0,2,2,1,1,1,0,2,0,3,2,2,2,6,2,0,2,4,2,2,0,0,0,17,1,1,0,2,3,3,10,1,2,0,2,1,0,1,1,1800,1,1,"[London, 1800?].",London,122,male,1772,1830,FALSE,"neat , 5s 6d 1764 389 Anderson's Constitutions of Free Masons Improved by Entick, neat , 7s - 767 390 Richardson's Works on Painting, c. wvith fine portraits , in boards , 125 (fame as prtblijhetl at il is) 1792 391 Baker's History of the Inquisition, plates , 4s 6d"
1205300700_000208,"Second volume of Lackington's catalogue for 1793. Consisting of above ninety thousand volumes, ... selling ... By J. Lackington, ...",James Lackington,81,2,2,2,6,1,8,3,1,0,0,2,1,0,1,2,1,3,3,1,3,0,0,1,5,6,1,0,1,1,8,4,0,2,0,1,2,1,1,1,0,0,0,3,1,0,1793,1,1,"[London, 1793].",London,431,male,1746,1815,FALSE,"2 vol. boards , very/jcarce, 31 1756 40o8o Lyndewode Proviciales, antique edit . 3s 6d 14082 Malpighii Opera Pofthuma, fig. boards , 4s - 697 14083 Poctl gra ci Veteres Carmines, 2 vol. good set, II 16s 6d 1606 4o84 Platonis Opera Omnia a Ficino, il 7s Franc. i6oz 4o085"
1205300100_000043,"Second volume of Lackington's catalogue for 1792. Consisting of about ninety thousand volumes, ... The whole selling ... By J. Lackington, ...",James Lackington,119,3,0,1,8,0,18,8,1,1,2,5,5,0,1,1,1,12,3,0,4,0,1,0,9,3,1,1,0,1,6,14,0,0,2,0,3,1,0,0,1,0,0,0,1,1,1792,1,1,"[London, 1792].",London,404,male,1746,1815,FALSE,"Birmingham Counterfeit, orinvifible Spedator, a Sentimental Ro0 mance, z vol. (fame as are sold at 6s) neatly bound , for 3s 2320 Berquin's Honest Farmer, a Drama for the Use of Children, new in boards , for i id each 1 79 2322 Berquin's History of Little Grandison, for the"
1206600600_000015,"A catalogue (for 1786,) of several libraries and parcels of books, lately purchased; ... Which will be sold ... by William Collins, ... Catalogues ... to be had of Mr. Hayes, ... Mr. Lea, ... Mr. Chapman, ... Mr. Whieldon, ... Mr. Walker, ... Mess. Merrill's, at Cambridge; and at the place of sale. ...","Collins, William           1801",102,4,2,2,7,2,9,0,1,0,9,1,1,0,2,1,2,5,6,0,3,1,2,0,1,0,0,0,1,4,12,1,2,0,1,3,8,1,2,0,0,1,2,1,1,1,1786,1,1,"[London, 1786].",London,144,unknown,,,FALSE,"very neat and gilt , 31 3s 1757 827 Sheridar's Leaures on Elocution, neat , 7s 6d 1762 828 Sewel's Dutch and English Dictionary, z vol. bel eaition, hay bound , uncut, 1114s 1766 829 Smart's Tables cf Interell, new and neatly bornd, 75 - 1726 830 Satires of Horace,"
1255001200_000007,"A catalogue of a select and valuable collection of books, recently collected, Among which are the following curious and scarce Articles: Coronelli's Atlas, 4 vol. General Atlas Blaeu's Atlas, coloured Heads of Distinguished Persons Flora Londinensis, coloured Raphael's Bible Ashmole's Order of the Garter Edmonson's heraldry, large paper Travels by Harriss, Churchill, Drake, Drummond, Shaw, &c. Henry's Bible, 5 vol. Milton's Paradise Lost, large paper, Russia Thurloe's State Papers, 7 vol. large paper Mss. on the Evidence of Christianity Chambers's Dictionary, 4 vol. Rus. Scapulae Lexicon Elz. 1652 Euripidis Barnesii Cant. 1694 Walpole's Painters, 5 vol. Strwaberry-Hill edition Baskerville's Addison, 4 vol. Cook's last Voyage, 4 vol. first impressions, Russia Forster's Works, 4 vol. R.P. Gill's Exposition, 5 vol. Gough's Topography, 2 vol. Rus. Henry's Britain, 5 vol. Bp Wilson's Bible, 3 vol. Russia Watts's Works, 5 vol. Homeri a Clarke, 4 vol. Russia Pindari Opera, edit, princeps Ciceronis Opera, 10 tom. Russia Oxon. 1783 Horsley's Newton, 5 vol. Russia Vies de Plutarque, 8 tom. grand papier Hist. D'angleterre, par Rapin, 13 tom. avec les portraits per Vertue Lord Carteret's Don Quixote, 4 vol. Russia Martyn's Virgil, 2 vol. coloured Rutherforth's Philosophy, 2 vol. Saunderson's Algebra, 2 vol. Swinburne's Travels, 2 vol. Watts's Views, eleg. in green moroc. Gray's Odes, Strawberry-Hill edit. Biographical Dict. 12 vol. Russia. Universal History, 60 vol. Annual Register, 24 vol. Goldsmith's Works, 16 vol. Modern Europe, 5 vol. Russia Smollet's England, 16 vol. Clarke's Sermons, 10 vol. large paper Doddridge's Family Expositor, 6 vol. Russia Grey's Hudibras, 2 vol. first Impressions 1744 Shakespeare, by Baskerville, Bell, Capell, Theobald, Johnson, &c. Baskerville's Classicks, 6 vol. Baskerville's Milton, 2 vol. Baskerville's Shaftesbury, 3 vol. Baskerville's Congreve, 3 vol. Baskerville's Common Prayer, long lines, blue Turkey Horatius, a Pine, 2 tom. Virgilius, a Pine Ciceronis Opera, 20 tom. Glasg. 1749 Herodotii Opera, 9 tom. Ocuvres de Mad. Genlis, 17 tom. Lettres Historique, 73 tom. Variorum Classicks, and many other articles equally rare To begin selling for ready money only May, 1788, By W. H. Lunn, Bookseller, Opposite the Senate-House, Cambridge, (who give the full value in Ready Money, for Libraries, &c.) Catalogues (price 6d.) to be had at the place of Sale, and of the principal Booksellers in Town and Country.","Lunn, William Henry           1815",118,0,1,1,10,1,16,0,1,0,2,4,3,0,2,0,4,6,9,2,5,0,0,0,1,2,2,1,1,2,18,3,1,0,0,1,9,1,0,3,0,1,1,1,0,3,1788,1,1,"[Cambridge : s.n., 1788].",Cambridge,106,unknown,,,FALSE,"Toland, half bound in Raffia, new, 12s 6d 177i co Hayley's Plays, boards , 9s 6d - 1784 301 Hcoke's Roman History from the Building of Rome to the Ruin of the Commonwealth, 4 vols. illusrated with maps and cuts , very neat and gilt , 21 iss - 1738-71"
1083801000_000015,"A catalogue of books, prints, & books of prints, for 1799. Consisting of a great variety of curious articles, ... now selling, ... by John Simco, ...","Simco, John",111,1,7,1,3,0,7,2,1,5,10,4,0,0,7,0,4,3,6,2,13,2,0,1,2,3,4,0,0,1,2,1,0,0,0,2,2,0,8,2,0,0,2,2,0,1,1799,1,1,"[London, 1799].",London,215,male,1749,1824,FALSE,"his Afta Regia, and Tindall's Crntinuation, 5 vol. elga.ntly bornd. and gilt , with headt an.' tonuments, maps .. C 51 I 6d 17z, c. 743 Rapin's History us England , with Tindall's Continuatidn, Me. dallic History and Summary, complete , 5 vol. in 4 half bound , uncut, ijbh"
1227200400_000034,"Lackington, Allen, & Co's. catalogue, volume the first, Michaelmas, 1796, to September, 1797, consisting of above 200,000 volumes, ... the whole selling ... by Lackington, Allen, & Co. ...","Lackington, Allen, & Co.",82,2,1,0,16,1,6,4,2,0,0,2,4,0,1,3,1,5,1,0,2,0,0,0,4,4,3,1,3,0,1,5,0,0,0,2,1,1,2,1,0,2,1,0,0,0,1796,1,1,"[London, 1796].",London,509,unknown,,,FALSE,"2s 1769 2075 Goodall's Examination of Mary Queen of Scots, 2 vol. 3s 6d 1754 2076 Godwin's Inquiry concerning Political Justice, z vol. (fame that are sold in boards 15s) new, in boards , for 12zs 3d 796 2077 GRANDISON, (SIR CHARLES) BY RICHARDSON, complete in z vol. (containing every"
