PassageID,Title,Author,Total termFreq,termFreq(1791),termFreq(1793),termFreq(anarchi),termFreq(assembl),termFreq(bailli),termFreq(barrer),termFreq(blood),termFreq(cap),termFreq(committe),termFreq(constitut),termFreq(convent),termFreq(cordeli),termFreq(danton),termFreq(death),termFreq(decre),termFreq(deputi),termFreq(evil),termFreq(execut),termFreq(franc),termFreq(french),termFreq(gener),termFreq(girondift),termFreq(govern),termFreq(guillotin),termFreq(head),termFreq(hebert),termFreq(jacobin),termFreq(king),termFreq(leader),termFreq(liberti),termFreq(loui),termFreq(member),termFreq(mountain),termFreq(orlean),termFreq(pari),termFreq(parti),termFreq(peopl),termFreq(popular),termFreq(power),termFreq(priest),termFreq(principl),termFreq(prison),termFreq(public),termFreq(reason),termFreq(red),termFreq(republ),termFreq(revolut),termFreq(revolutionari),termFreq(robespierr),termFreq(san),termFreq(scaffold),termFreq(terror),termFreq(trial),termFreq(tribun),termFreq(victim),termFreq(xvi),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1622100300_000180,"The Literary review, and historical journal: containing ...",,59,0,0,0,0,0,1,0,0,4,0,9,0,0,1,1,1,0,2,1,1,1,0,2,0,1,0,3,2,1,1,0,5,0,0,2,4,0,1,4,0,1,0,1,0,0,3,0,1,4,0,0,0,0,1,0,0,1794,1,1,"London [England] : printed for the editors, by M. Allen; and sold by Allen and West, no 15, Paternoster-Row; Hookham and Carpenter, New Bond-Street; Mercier and Co. Dublin; and Mudie, Edinburgh, 1794-1795.",London,942,unknown,,,FALSE,"long adverse to the tyrant, and had only waited an opportunity of venting their detetation of him. So formidable in fat was his power , that not with ftandin. this decree , his overthrow was extremely dubious. The very officer who was ordered by the president to take the tyrant"
0888500108_000226,The Britannic magazine; or Entertaining repository of heroic adventures. For the year ...,Champante and Whitrow,35,1,1,0,1,0,0,0,0,2,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,2,1,1,0,0,0,0,1,5,0,0,0,1,1,1,1,1793,8,12,"London [England] : printed for the author, and sold by Champante & Whitrow, Jewry-Street, Aldgate, & at the British Directory Office, Ave Maria Lane, St. Pauls, [1793-1807].",London,343,unknown,,,FALSE,"l1rench nobleman, who, being attached to his servant, bestowed on his son a better education than he could otherwise have received, and than the situation of his father would have entitled him to. He became first the bailiff of the Marquis de Bercy, afterwards a clerk in thc commercial and"
1707102300_000020,"The political magazine, for ...",,62,0,0,0,0,0,2,0,0,2,1,3,0,0,0,1,0,0,0,2,4,0,0,6,1,0,0,1,0,0,11,0,2,0,0,1,1,3,0,2,0,0,2,8,0,0,1,1,2,1,0,0,0,0,4,0,0,1794,1,1,"London [England] : printed for H. Greene, no. 6. Cleveland Court, St. James's-Place, where favours from correspondents will be thankfully received, [1794-",London,69,unknown,,,FALSE,"these of the garrison;. ooeoolbs. of powder; 0oo, oo0o haa, : bmpbs, aged aheu, ~.. o? ptartridges; 6iooo lb. of lead, : pmi - proviions of all kinds for six months; i tha.place wsja t b pofltibl -: t'c: ~-: l: : ""The territory of the Republic no longer supports"
1408602600_000016,"The History of Robespierre: Containing a most circumstantial account, collected from authentic sources, of the rise, progress, decline, and destruction of the power and popularity of that extraordinary man.",,58,0,0,0,0,0,2,0,0,5,0,4,0,0,0,2,0,1,0,0,2,2,0,5,0,1,1,3,1,0,1,0,1,0,0,0,1,8,0,2,0,0,0,3,0,0,3,1,3,4,0,0,0,0,2,0,0,1794,1,1,"London : Printed for T. Chapman, No. 151, Fleet-Street, 1794.",London,81,unknown,,,FALSE,"ike !imi, 1 havea p orniard to rid m y country of toe tyrantj. II th convention do not deliver hh~n to 4f the the sword of juffice. The Republic is to be eifa bitiihed not only by the viatories of orur armi ies, but by the vigilance of our"
0662901200_000025,"The history of Robespierre, Political and Personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention. The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tyranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of remarkable characters. To which is added, a brief sketch of his person, life and manners.",,65,0,0,0,2,0,1,1,0,9,0,6,0,0,1,5,1,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,2,0,0,2,1,1,0,3,0,1,0,8,0,0,0,0,2,10,0,0,0,0,2,0,0,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,142,unknown,,,FALSE,"Accuser, were exempted from this power of denunciation. This triumph too fatally convinces Robespierre that his power was now so abridged, that he could not send, at pleafire, to the guillotine , those who dared oppose his measures in either of these assemblies . The Deputies , therefore, now united"
0004000300_000081,"The chronologist of the present war; or general historical and political register: Containing a faithful series of the events which have occurred in Europe, &c. from the commencement of the French Revolution to the end of the year 1798, including a space of nearly nine years. In two parts.-Part I. Amidst a variety of interesting articles will be found the following: acts (principal of Parliament) addresses assassinations battles declarations denunciations executions (remarkable) finance gifts (patriotic) inventions manifestoes motions (remarkable in Parliament) naval engagements proclamations promotions (principal) reports (of Parliament) sieges subsidies supplies treaties (of peace, offensive, defensive, and subsidiary, &c. Chronology- one of the eyes of history.",,56,0,0,0,0,0,1,0,0,2,0,10,0,2,1,2,4,0,1,2,1,5,0,1,0,0,1,1,3,0,3,0,1,0,2,1,0,1,1,1,0,0,0,2,0,0,5,0,1,0,0,0,0,0,1,0,0,1799,1,1,"Dublin : printed by H. Fitzpatrick, 2, Up. Ormond-Quay, 1799.",Dublin,510,unknown,,,FALSE,"confederacy. After having enumerated the many services he had rendered to the general general cause during the war, and stated his utter inability to, continue his exertions, without the iibfiftence demanded by him; he concluded, by saying, that as all hopes on that score had now vanished, "" His Majesty"
0003000302_000108,"An historical view of the French Revolution, from the assembling of the States General in May, 1789, to the acceptance of the republican constitution in September, 1795. Together with a comprehensive detail of the causes which produced, and the consequences which have teemed from that Great Political Phaenomenon.",,60,0,0,0,0,0,2,0,0,1,0,1,0,6,0,2,3,0,2,1,1,2,0,2,0,1,0,0,0,0,1,0,1,1,1,0,4,0,0,2,0,1,7,2,0,0,2,4,2,0,0,1,0,2,5,0,0,1796,2,2,"Newcastle upon Tyne : printed by and for M. Angus, 1796.",Newcastle upon Tyne,559,unknown,,,FALSE,"horrible doctrine of atheism."" On the morning of the 2d of April, Danton , Fabre eglantine, Lacroix, Chabot, Philip peaux, Camille Desmoulins, delaunay'd'an gers, Herault Sechelles, the Abbe d'efpagnac, Gufman, the two Freys, Deindrichen, Lullier, with the celebrated General Wefterman, were brought -394 brought before the revolutionary tribunal . They"
0240200203_000022,"History the interpreter of prophecy, or, a view of scriptural prophecies and their accomplishment in the past and present occurrences of the world; with Conjectures Respecting their Future Completion. By Henry Kett, B. D. Fellow of Trinity College, Oxford, and One of his Majesty's Preachers at Whitehall. In three volumes. ...",Henry Kett,43,1,4,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,4,1,0,0,1,0,0,1,1,1,4,0,0,0,0,4,0,2,0,3,2,0,1,0,1,0,1,2,1,0,0,0,1,0,0,1,0,1799,3,3,"Oxford : printed for Messrs. Hanwell and Parker; and J. Cooke; and sold by C. and J. Rivington, St. Paul's Church-Yard ; Robson, Bond-Street ; Egerton, Whitehall ; Cadell and Davies, Strand ; and Hatchard, Piccadilly, London, MDCCXCIX. [1799].",Oxford,360,male,1761,1825,FALSE,"was carried in procession by her murderers under the windows of the Temple, that the iueen night see this mojl a.fcfing relic of her slaughtered friend. See Moore's Journal, vol. i. p. 317 The Princess Elizabeth was guillotined the laoi of twenty six victims . The heroic and the loyal"
0551501200_000024,"Anti-Revolutionary thoughts of a revolutionary writer: from ""the secret history of the revolution of France,"" by Monsieur François Pagès.","Pagès, François Xavier",45,0,0,1,0,0,1,0,0,2,0,4,0,0,1,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,6,0,1,1,0,0,2,1,0,1,0,1,4,0,0,2,1,1,1,0,1800,1,1,"Salisbury : printed for (and by) J. Easton, High-Street: and J. Wright, Piccadilly, London, [1800].",Salisbury,157,male,1745,1802,FALSE,"the furthest bounds of perversity, at which human nature can arrive. Robespierre , in order that with more hasty strides he might advance towards the dictatorship, abandoned at last the fation of Orleans , which had been the cause of so many evils ; and brought Orleans himself before the"
0258800402_000056,"A journal during a residence in France, from the beginning of August, to the middle of December, 1792. To which is added, an account of the most remarkable events that happened at Paris from that time to the death of the late King of France. By John Moore, M.D.",John Moore,53,0,0,0,2,0,1,0,0,1,0,4,2,2,0,0,1,0,0,0,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,3,1,1,0,1,1,0,1,1,0,0,0,4,0,16,0,0,0,0,2,0,0,1794,2,2,"London : printed for G. G. and J. Robinson, 1794.",London,625,male,1729,1802,FALSE,"agreeable to Danton , who had done everything he could, from the beginning, to prevent any scrutiny from being made relative either to the conduct of Robespierre , or the murder of the prisoners . I am persuaded, therefore, that Barrere thinks Roland's patty, not with Z 4 standing 344)"
0410800102_000004,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams.",Helen Maria Williams,44,0,0,0,0,0,0,1,2,1,0,3,1,5,2,1,2,0,2,2,1,1,0,1,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,4,0,2,0,0,0,0,0,1796,2,2,"London : printed for G.G. and J. Robinson, Paternoster-Row, 1796.",London,275,female,1762,1827,TRUE,"personated. This emlaffy of the human race de lared, by the organ of their Common orator Anacharfis, their admiration of the French republic , and their attachment to its cause. The coriclufion of this drama however was les splendid than the opening scene at the bar of the convention ;."
0257101200_000032,"Substance of Lord Mornington's speech in the House of Commons, on Tuesday, January 21, 1794, on a motion for an address to His Majesty at the commencement of the Sessions of Parliament.","Richard Wellesley, 1st Marquess Wellesley",74,0,0,0,0,0,2,1,0,2,0,4,0,2,2,3,0,0,1,3,0,1,0,5,0,0,0,0,0,0,6,0,0,0,0,0,1,12,1,1,0,2,4,1,0,0,2,0,3,2,0,0,0,2,10,1,0,1794,1,1,"Dublin : printed for P. Byrne, W. M'Kenzie, and J. Milliken, 1794.",Dublin,144,male,1760,1842,FALSE,"clemency in their first proceeding; they immediately resume the severity of TRUE Republicans; they repeal the decree of Robespierre , reject the motion of Barrere , and refer the unfortunate petitioners to those very Committees of wvhofe tyranny they complained. Since this proceeding it appears that the Convention has endeavoured"
0372801400_000044,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams.",Helen Maria Williams,49,0,0,0,1,0,0,2,2,0,0,2,0,4,4,0,2,0,2,3,2,1,0,0,1,1,3,0,0,1,1,0,1,1,0,3,0,2,0,0,0,2,0,0,0,1,2,3,0,1,0,0,0,0,0,1,0,1795,1,1,"Dublin : printed by J. Chambers, No. 5, Abbey-Street, 1795.",Dublin,287,female,1762,1827,TRUE,"visibly: t etching forth its arm to puriih the guilty. For it is -- remarable enough, that they. were not tried for aany of the multiplied crimeithbey had committed, but for having: -- affeted thati tyranny exiff ed: a sacred truth which every heart swelled;; acknowledge, though no lips but"
0003000302_000070,"An historical view of the French Revolution, from the assembling of the States General in May, 1789, to the acceptance of the republican constitution in September, 1795. Together with a comprehensive detail of the causes which produced, and the consequences which have teemed from that Great Political Phaenomenon.",,77,0,0,1,1,0,2,0,0,6,1,10,0,0,2,9,2,0,7,1,0,2,0,0,0,1,0,1,0,0,1,0,5,0,0,1,2,1,0,2,0,0,0,4,0,0,2,1,4,0,0,0,1,0,7,0,0,1796,2,2,"Newcastle upon Tyne : printed by and for M. Angus, 1796.",Newcastle upon Tyne,559,unknown,,,FALSE,"well founded. Paoli was cited to appear at the bar of the Convention , but excused himself; and the persons who were sent to arrest him declared that the service was too dangerous' to be attempted. At the same time charges of a serious nature were exhibited against the ex"
0003100400_000018,"A chronological epitome of the most remarkable events that have occurred during the French Revolution, from 1789 to 1795. To which is added on alphabetical list of those persons who have rendered themselves most conspicuous, and have fallen sacrifices during this interesting period.",,86,1,0,0,0,0,0,0,0,1,0,4,0,0,2,1,2,0,2,3,27,10,0,1,7,0,0,1,0,0,1,0,1,0,0,9,1,0,0,1,1,0,4,2,0,0,0,1,1,0,0,0,1,0,1,0,0,1795,1,1,"London : printed for J. Wallis, No. 16, Ludgate-Street, [1795].",London,95,unknown,,,FALSE,"Allies 3000 j7. The inviolability of the Deputies to the Convention is renewed. 18 One hundred and sixteen ships from America arrive in France . 19 The town of Ypres surrenders so the French , so. Con. ( 7) 1794 o. considerable emigration through terror of the guillotine . 2o."
0662901200_000014,"The history of Robespierre, Political and Personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention. The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tyranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of remarkable characters. To which is added, a brief sketch of his person, life and manners.",,56,0,0,0,1,0,2,0,0,0,0,1,0,0,1,2,2,0,1,1,0,2,0,1,0,1,0,2,1,1,0,0,4,0,1,2,3,4,1,0,1,0,4,1,0,0,2,2,0,10,1,0,0,0,1,0,0,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,142,unknown,,,FALSE,"proscription [ 62 ] proscription of the Jacobins . He then defended the general council of the Commune, by observing, that fitch patriots had too much energy to have dch cflcm of monarchical slaves. ""When the Roman Consul,"" said he, "" had fupprcffed Cataline's conspiracy, Clodius accused him of having"
1051300100_000007,"Memoirs of M. Danton, late minister of justice to the National Convention, who suffered by the guillotine, Saturday April 5, 1794. To which are added, genuine anecdotes of M. Roberspierre [sic], ... who was guillotined July 28, 1794.",,61,0,0,0,0,0,2,1,0,5,0,6,0,11,0,1,0,0,0,0,0,3,0,2,1,0,0,1,0,0,1,0,1,0,0,3,0,5,1,0,0,0,0,4,1,2,5,0,3,0,0,0,0,0,2,0,0,1794,1,1,"London : printed for the author, and sold by Allen and West, 1794.",London,52,unknown,,,FALSE,"Danton would no nore have ap; eared in other countries, if unavoidable, than the infamnou. o'1! law Thomas Paine dare rexiiit old Engl: !nd, V lich his diabolical tenets x cre employed to o\vr turn and ruin. However, it lbolo appeared that Danton had been indisposcd, or prct.llen! to hae"
0309800402_000035,"A residence in France, during the years 1792, 1793, 1794, and 1795; described in a series of letters from an English lady: with general and incidental remarks on the French character and manners. Prepared for the press by John Gifford, Esq. Author of the History of France, Letter to Lord Lauderdale, Letter to the Hon. T. Erskine, &c. In two volumes.",English Lady,53,0,1,0,1,0,1,0,0,8,0,6,0,0,1,1,2,0,0,2,0,2,0,3,3,1,0,0,0,0,0,0,4,0,0,0,1,3,1,1,0,1,0,3,0,0,0,1,2,3,0,0,0,0,1,0,0,1797,2,2,"London : printed for T. N. Longman, Paternoster Row, 1797.",London,493,female,,,FALSE,"but death , were pa; Tcd with no other comment than the usual one of appl.: use This and this only, by involving their personal safety, excited their courage through their fears. mcrlin de Douay, originaliy a worthiess charatter, and become yet more so by way of obviating the imputation"
1665500116_000231,"Encyclopaedia Britannica; or, a dictionary of arts, sciences, and miscellaneous literature on a plan entirely new. ...",,54,0,0,0,0,0,0,1,0,3,0,5,0,0,0,3,1,0,0,1,3,1,1,3,0,0,0,2,0,1,0,0,2,1,0,2,5,0,1,2,0,0,1,2,0,0,0,1,2,5,0,0,4,1,0,0,0,1790,16,20,"Dublin : printed by James Moore, 1790-98.",Dublin,826,unknown,,,FALSE,"bited no finall charge of appearance. Initead of that gives place silence which formerly prevailed, all was bustle and to that of noire; all accused each other. There was no longer modera1 any leader , and there was no formed! party . The former tirm., fyijrem of terror was declared"
1584200126_000097,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,36,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,2,3,0,3,0,4,2,0,0,1783,26,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,528,unknown,,,FALSE,The other was an affec. ionate arid solemn adieu to her father. She retired while the. jury deliberated on their verdit; and when ihe again entered the tribunal there was a majestic solemnity in her.demeanour which perfealy became her situation. She heard her.fentence with attention and compnfure; and after conerfing
1373100102_000559,"The History of France, from the earliest times, till the death of Louis Sixteenth. From the French of Velly, Villaret, Garnier, Mezeray, Daniel, and other eminent historians; with notes, critical and explanatory; by John Gifford, Esq. And continued from the above period, until the conclusion of the present war, by a citizen of the United States. ...","Historical Society of Delaware, MWA",54,0,0,0,0,0,1,0,0,1,0,1,0,4,5,1,0,1,4,3,1,2,0,0,0,0,0,0,1,0,2,1,2,0,0,1,1,2,1,2,0,1,4,0,1,0,2,3,1,2,0,0,0,1,1,1,0,1796,2,4,"Philadelphia : Printed for A. & J.G. Henderson, by Bioren & Madan, 1796[-1798].",Philadelphia,1178,unknown,,,FALSE,"chief of savages, man, when he has once dilcarded humanity and become intoxicated with power . the prisons of Paris were still crowded with victims from all parts of the country, in consequence of that decree which rendtered all prisoners of a certain class to be tried by the revolutionary"
0613500101_000117,"Biographical memoirs of the French Revolution. By John Adolphus, F.S.A. In two volumes. ...",John Adolphus,48,0,2,0,0,0,1,0,0,2,0,4,0,9,0,1,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,3,0,1,4,1,0,0,3,0,0,1,0,1,6,1,0,0,0,0,0,0,1799,1,2,"London : printed for T. Cadell, jun. and W. Davies, in the Strand, 1799.",London,512,male,1768,1845,FALSE,into the wards the Brifrot views of Robespierre and Marat against the opposing nets. party . Garat attributes this to an extreme tenderness and humanity; qualities little to be expeeted in Danton . It was at one time proposed to him that the persons whose animosities hindered the convention from
1027200100_000157,"The history of Jacobinism, its crimes, cruelties and perfidies: comprising an inquiry into the manner of disseminating, under the appearance of philosophy and virtue, principles which are equally subversive of order, virtue, religion, liberty and happiness. By William Playfair, author of the commercial and political atlas, &c.",William Playfair,59,0,0,0,2,0,0,0,0,2,0,3,0,0,1,1,0,0,0,2,0,1,0,2,1,0,1,0,0,0,3,0,2,0,0,1,0,13,1,1,1,2,0,3,0,0,1,2,4,4,0,0,1,0,4,0,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, 1795.",London,821,male,1759,1823,FALSE,"assembly on his ecfapc, his popularity was on the decline. Bourdon de l'oife and Talien were the first who Ventured to show their difcontontment openly, T This was on the ssth of May. and and from the moment they did so, it was looked upon as certain that they mull"
0309800402_000036,"A residence in France, during the years 1792, 1793, 1794, and 1795; described in a series of letters from an English lady: with general and incidental remarks on the French character and manners. Prepared for the press by John Gifford, Esq. Author of the History of France, Letter to Lord Lauderdale, Letter to the Hon. T. Erskine, &c. In two volumes.",English Lady,51,0,0,0,0,0,1,0,0,9,0,6,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,0,1,0,0,3,0,0,2,2,2,1,0,0,1,0,1,0,0,0,0,2,7,0,0,0,2,4,0,0,1797,2,2,"London : printed for T. N. Longman, Paternoster Row, 1797.",London,493,female,,,FALSE,".: L ovcrhear the ie cr.: alous scenes. Every in: cans were taken to lcep tkefe difplutes a proa profound fecret the revilings which accompanied their private conferences were turned into smooth panegyrics of each other when they acended the tribune , and their unanimity was a favourite theme in"
0581300202_000044,"History the interpreter of prophecy, or, a view of scriptural prophecies and their accomplishment in the past and present occurrences of the world. with Conjectures Respecting their Future Completion. By Henry Kett, B. D. Fellow of Trinity College, Oxford, and One of his Majesty's Preachers at Whitehall, In two volumes. ...",Henry Kett,53,0,5,0,0,0,0,2,0,0,1,3,0,1,2,2,1,2,2,4,1,0,0,1,2,1,0,0,2,1,2,0,0,0,0,4,0,0,0,3,2,1,4,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1799,2,2,"Oxford : at the University Press, for the author; sold by Messrs. Hanwell and Parker; and J. Cooke; by F. and C. Rivington, St. Paul's Church-Yard ; Robson, Bond-Street ; Egerton, Whitehall ; Cadell and Davies, Strand ; and by Hatchard, Piccadilly, London, MDCCXCIX. [1799].",Oxford,405,male,1761,1825,FALSE,"passion, which has sunk them beneath the level of the brute creation a passion for the sight of their fellow creatures in the agonies of death , and a literal thirst for human blood . This is the power that first enthroning seven hundred tyrants in the place of one"
0443300700_000008,"Narrative of the dangers to which I have been exposed, since the 31st of May, 1793. With historical memorandums. By John-Baptist Louvet, ...",Jean-Baptiste Louvet de Couvrai,39,0,0,0,1,0,1,0,0,1,0,4,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,3,0,0,1,0,1,1,2,1,3,0,1,1,0,1,1,0,0,0,2,0,0,4,0,3,0,0,0,0,0,1795,1,1,"London : printed for J. Johnson, 1795.",London,252,male,1760,1797,TRUE,"was scarcely known, had 6000ol. L 250), I asked Iooool. (/t.416. 13 4); and Baudouin certainly made a good bargain, for his subscribers were soon tripled. I employed two fellow labourers, yet my dear Lodoifka, also, was obliged to do much. Alas! this was the source of the greatest misfortune,"
0943200100_000422,"The reign of Louis the Sixteenth; and complete history of the French Revolution. With notes, critical and explanatory; by John Gifford, Esq, and other able historians.",John Gifford,42,0,1,0,0,0,1,0,1,1,1,2,0,0,0,2,0,1,1,0,5,2,0,0,1,3,1,0,0,0,2,0,0,0,0,2,1,4,1,0,2,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,1795,1,1,"London : printed for and sold by C. Lowndes, Drury-Lane; and J. Parsons, Paternoster-Row, 1795.",London,849,male,1758,1818,FALSE,"this, divided into twelve months of thirty days each, with five intercalary days, which are dedicated to national festivity, and called, on that account, Sans Culottidcs. Each month is divided into decades, and the day of rest is appointed for every tenth day infteadof the seventh 79 19 See Appendix."
0204601101_000010,Memoirs of General Dumourier. Written by himself. Translated by John Fenwick. Part I.,Charles François Dumouriez,53,0,1,2,1,0,0,1,0,0,0,4,0,0,1,0,1,0,2,6,0,0,1,4,0,2,0,4,1,0,1,1,0,2,0,2,3,3,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,1794,1,2,"London : printed for C. and G. Kearsley, Fleet-Street, M,DCC,XCIV. [1794].",London,215,male,1739,1823,FALSE,"they marked by the odious epithet of Aristocrats; and whom often consisting of fathers of families and old men, and women and children, they sent as hostages into the fortified towns of France . The north and wft of France began to unfold the seeds of discontent against this bloody"
1265301400_000001,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams.",Helen Maria Williams,51,0,1,0,1,0,1,0,0,7,0,4,0,1,1,1,1,0,1,2,0,1,0,4,0,0,0,1,0,1,2,0,0,0,0,3,2,0,0,0,0,1,1,3,0,0,0,0,4,3,0,0,1,0,3,0,0,1796,1,1,"Dublin : Printed BY J. Chambers, NO. 5, Abbey-Street, 1796.",Dublin,228,female,1762,1827,TRUE,"L E T T E R S CON TAI N I NC e  #, A SKETCH OF THE POLITICS OF FRANCE , EROM THE THIRTY first OF MAY 1793 , TILL THR TWENTY eighth1 OF JULY i794, AND OF THE SCENES WHICH HAVE PASSED IN THB PRISONS OF PARIS"
0041200200_000011,An impartial review of the causes and principles of the French Revolution. By an American.,James Sullivan,56,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,3,2,1,0,0,1,3,1,0,0,4,1,4,0,0,1,0,1,3,3,1,1,0,2,3,2,1,0,1,2,0,5,0,0,1,3,0,1,0,1798,1,1,"Boston : Printed by Benjamin Edes, Kilby-Street, --1798.",Boston,100,male,1744,1808,FALSE,"the aid of every one who had an arm for the sword; and of consequence, was obliged to gratify the ambition, and to satiate the malice of every small party and connecion, as well as of each individual who adhered to his authority. A wild frenzy seized the whole nation,"
0003000302_000073,"An historical view of the French Revolution, from the assembling of the States General in May, 1789, to the acceptance of the republican constitution in September, 1795. Together with a comprehensive detail of the causes which produced, and the consequences which have teemed from that Great Political Phaenomenon.",,82,0,0,0,0,0,4,0,0,4,2,16,0,0,1,6,3,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,4,3,0,6,9,2,0,2,0,0,0,3,0,0,2,0,4,0,1,0,1,0,2,0,0,1796,2,2,"Newcastle upon Tyne : printed by and for M. Angus, 1796.",Newcastle upon Tyne,559,unknown,,,FALSE,"by abience or by death ) having been insulted by some women, in his way to the Convention , Gaudet embraced the opportunity to insist that the Convention was no longer free in Paris ; and that a plot had been formed for dissolving the Convention , and placing the"
0170200301_000024,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams. ...",Helen Maria Williams,52,0,0,0,0,0,0,0,0,2,1,3,0,0,2,1,2,4,1,1,0,1,0,4,2,0,0,1,0,0,1,0,1,0,0,3,0,4,0,3,0,0,0,3,1,0,2,2,5,0,0,0,1,1,0,0,0,1795,1,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1795.",London,293,female,1762,1827,TRUE,"the departments, and in every eetion of Paris ; but though the last were in general composed of the creatures of the fation, they were not so secure of what they called the energy of the committees in the country. For this reason , a certain number of what was"
1742600116_000223,"Encyclopædia Britannica; or, a dictionary of arts, sciences, and miscellaneous literature; ... The third edition, in eighteen volumes, greatly improved. Illustrated with five hundred and forty-two copperplates. ...",,59,0,1,0,1,0,1,0,0,0,0,4,0,0,0,2,2,1,1,3,1,1,2,1,0,0,0,3,0,0,2,0,5,5,0,4,10,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1797,16,20,"Edinburgh : printed for A. Bell and C. Macfarquhar, 1797.",Edinburgh,802,unknown,,,FALSE,"whalit Iti iac .rid was passing at a distance, they seemed lonly; iinxlm i for the revcflu. the extermination of each other. In tle mnuithl oft a, .'llary, March, the celebrated Ievolutionaryn Tiwunal wis cta thlited, blifhed for the purpose of trying crieetl comnlitlcd a. gainst the state; and the"
1729000201_000029,New picture of Paris. By M. Mercier. Translated from the French. In two volumes.,Louis-Sébastien Mercier,41,0,1,0,0,0,0,0,0,0,0,5,5,2,0,2,2,0,0,1,0,1,0,0,0,2,1,3,0,0,0,1,0,0,0,6,1,1,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1800,1,2,"Dublin : printed by N. Kelly, 6, South Gt. George's-Street, 1800.",Dublin,284,male,1740,1814,FALSE,"the country. The tranfa~ions of that day was a wretched kind of force, but proved a fruitless seen of most terribler calamities to the whole of France . The inhabitants of a city so immense as Paris called to arms, furnished the commune with the means of invading every authority."
1009500101_000005,"The history of Jacobinism, its crimes, cruelties and perfidies, from the commencement of the French Revolution, to the death of Robespierre: Comprising An Inquiry into the Manner of Disseminating, under the Appearance of Philosophy and Virtue, Principles which are equally subversive of Order, Virtue, Religion, Liberty and Happiness. ... . By William Playfair, Author of the Commercial and Political Atlas, &c.",William Playfair,67,0,0,0,0,2,0,1,0,0,0,2,0,1,1,1,0,0,2,3,2,2,0,4,0,0,2,6,3,0,8,0,0,0,0,1,9,1,0,1,0,0,0,2,1,0,0,2,0,5,0,0,2,3,0,0,0,1798,1,2,"London : printed for J. Wright, No. 169, Piccadilly, 1798.",London,456,male,1759,1823,FALSE,"whole of mankind the trial of the king Probable motive vanity of democrats succefs of tha republican armies condemnation and death of the king new tumults in the convention , and fall of Brifit's party , - - p. 516 C H A P. XII Robespierre's party acquires folidity maffacres"
