PassageID,Title,Author,Total termFreq,termFreq(aaron),termFreq(accept),termFreq(accord),termFreq(altar),termFreq(anoint),termFreq(aton),termFreq(blood),termFreq(bread),termFreq(bring),termFreq(brought),termFreq(bullock),termFreq(burn),termFreq(burnt),termFreq(children),termFreq(clean),termFreq(command),termFreq(congreg),termFreq(continu),termFreq(door),termFreq(drink),termFreq(eat),termFreq(fat),termFreq(father),termFreq(favour),termFreq(fine),termFreq(flour),termFreq(foul),termFreq(goat),termFreq(god),termFreq(hall),termFreq(halt),termFreq(hand),termFreq(head),termFreq(holi),termFreq(israel),termFreq(kid),termFreq(kill),termFreq(lamb),termFreq(law),termFreq(levit),termFreq(meat),termFreq(month),termFreq(mose),termFreq(offer),termFreq(oil),termFreq(peac),termFreq(peopl),termFreq(priest),termFreq(princ),termFreq(ram),termFreq(sacrific),termFreq(servic),termFreq(spake),termFreq(tabernacl),termFreq(tenth),termFreq(unclean),termFreq(vow),termFreq(water),termFreq(work),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0060200200_000109,"The holy Bible, containing the Old and New Testaments; Newly Translated out of the Original Tongues, and With the former Translations diligently compared and revised, By His Majesty's special Command. Appointed to be read in Churches.",,161,3,0,0,7,1,10,9,0,3,1,2,2,2,6,1,2,8,0,4,0,3,2,1,1,0,0,0,8,0,23,0,2,2,6,7,0,0,1,0,0,0,2,2,14,0,1,4,4,0,0,1,0,1,8,1,1,0,4,1,0,1768,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, Cambridge, 1768.",Cambridge,1294,unknown,,,FALSE,"he come out, ard have made an atonement for himself, and for his household, and for all the congregation of Israel . 18 And he shall go out unto the altar that is before the LORD, and make an atonement for it; and haall take of the blood of the"
0071400600_000077,"The holy Bible, containing the Old and New Testaments, Newly Translated out of the Original Tongues: and With the former Translations Diligently Compared and Revised. By His Majesty's special Command. Appointed to be read in Churches.",,132,5,1,0,1,7,0,3,2,2,1,1,0,3,4,3,4,4,0,2,0,7,4,0,0,0,0,0,1,0,9,0,1,2,2,2,0,2,0,2,0,1,0,7,17,2,7,4,1,0,1,6,0,2,4,0,3,1,1,0,0,1721,1,1,"Oxford : printed by John Baskett, &c. Printers to the University, MDCCXXI. [1721].",Oxford,816,unknown,,,FALSE,"to hifons, y of hatfgiving, of his peaceofferings. i r., itsiar the law oath sin offering : an 14 And of ithehall offer one our of the thetce w: here the bumr offeringis killed , whole oblationa si an heave offering unto firs the lin soferitr.g e killed before t"
1639700100_000123,"The Holy Bible, Containing the Old & New Testaments: With arguments prefixed to the different books: and moral & theological observations at the end of every chapter Composed by the reverend ... Doctor of Divinity and one of the ministers of the church at Neuschatel in Swisserland. Translated in the desire of and recommended by the Society for Propagating Christian Knowledge.",Jean-Frédéric Osterwald,157,8,0,2,0,0,3,0,0,2,0,5,0,2,17,1,2,5,0,0,0,0,0,0,0,2,3,0,4,0,0,2,2,1,0,12,2,0,3,0,15,2,0,6,26,3,1,0,0,2,4,2,4,3,4,0,0,0,1,2,4,1793,1,1,"Berwick : Printed by and for John Taylor, MDCCXCIII. [1793].",,1016,male,1663,1747,FALSE,"One golden spoon of ten/beeels, full of in then he heard the voice of one speaking unto him Cod. cense: from off the mercy seat that was upon the ark of 69 One young bullock , one ram , one lamb testimony, from between the two cherubims: of the first"
0065100200_000084,"The holy Bible, containing the Old Testament and the New: Translated out of the Original Tongues, and With the former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be read in Churches.",,146,6,1,0,2,4,0,4,1,3,2,1,1,6,4,0,4,4,0,2,0,5,8,0,0,0,0,0,1,0,13,1,1,0,1,4,0,1,0,3,0,1,0,5,22,1,7,4,4,0,1,7,0,3,1,0,5,1,1,0,0,1778,1,1,"Oxford : printed by T. Wright and W. Gill, Printers to the University: sold by S. Crowder, in Pater-Noster Row, London; and by W. Jackson, in the High-Street, Oxford, MDCCLXXVIII. [1778].",Oxford,1007,unknown,,,FALSE,"eaten the same day that it is offered : be f the blood is brought into the taberna ( hall not leave any ofit until the morning. cle of the congregation to reconcile 16 But if the sacrifice of his offering tbal in the holyplace, ( hall be eaten :"
0056800202_000017,"A short and plain exposition of the Old Testament, with devotional and practical reflections, for the use of families. By the late Reverend Job Orton, S.T.P. Published from the author's manuscripts, by Robert Gentleman. ...",Job Orton,164,1,0,3,4,3,0,0,0,0,2,4,0,4,5,0,0,1,0,0,0,0,0,1,1,5,5,0,8,1,0,0,1,1,0,3,4,0,8,0,2,5,0,4,40,5,5,1,1,11,8,4,5,1,3,0,0,0,0,0,4,1789,2,6,"Shrewsbury : printed and sold by J. and W. Eddowes. Sold also by T. Longman, and J. Buckland, Paternoster Row; C. Dilly, In The Poultry; and J. Johnson, ST. Paul's Church Yard, London, MDCCLXXXVIII. [1788].",Shrewsbury,548,male,1717,1783,FALSE,"wise ye B 4 shall 24 hiall bless the children of Israel , saying unto them, The 25 LORD bless thee and keep theefrom all evil: The LORD make his face thine upon thee, and be gracious unto 26 thee, manifef his love and favour to thee: The LORD lift"
1162300200_000093,"The Holy Bible, containing the Old and New Testaments: ...",,157,11,0,0,5,9,0,5,2,3,3,3,1,2,6,0,6,4,0,2,0,4,6,0,0,0,0,0,1,0,3,0,2,3,1,6,0,0,0,1,0,1,0,11,21,4,7,3,4,0,2,6,0,3,3,0,2,0,1,0,0,1795,1,1,"Oxford : printed at the Clarendon Press, by William Jackson and WIlliam Dawson: and sold at the Oxford Bible Warehouse, London, 1795.",Oxford,1086,unknown,,,FALSE,"of man, or any unclean beast, or any abominable unclean thing, and eat of the flesh of the sacrifice of peace offerings , which pertain unto the LORD, even that soul ( hall be cut off from his people . 22 ¶ And the LORD spake unto Moses , saying,"
0188600100_000159,"The holy Bible, containing the Old and New Testaments; and also the Apocrypha: Translated out of the Original Tongues, with annotations.",,124,4,0,1,2,2,1,0,0,2,0,4,0,2,11,1,1,2,0,0,0,0,0,0,0,1,1,0,4,1,1,0,3,1,0,11,2,0,3,0,14,2,0,6,17,1,2,0,1,1,3,2,4,3,4,0,0,0,1,2,0,1788,1,1,"Birmingham : printed by Pearson and Rollason, MDCCLXXXVIII. [1788].",Birmingham,1571,unknown,,,FALSE,"burnt offering : 82 One kid of the goats for a sin offer ing: 83 And for a sacrifice of peace offerings , two oxen, five rams , five he goats , five lambs of the first year. This was the offering of Ahira the son of Enan, 84 This"
0059900200_000075,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,146,11,0,3,11,3,3,3,5,0,1,1,3,1,4,0,1,2,2,2,2,3,3,0,0,0,1,0,0,3,1,14,5,1,7,3,0,1,5,0,0,1,0,0,18,4,1,0,2,0,9,1,0,0,4,1,0,0,0,0,0,1746,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCXLVI. [1746].",Oxford,1111,unknown,,,FALSE,"ram , and Aaron and his sons shall put their hands upon the head of the ram . 20 Then ( halt thou kill the ram , and take of his blood , and put it upon tie tip of the right ear of Aaron , and upon the tip"
0077900300_000114,"The holy Bible, containing the Old Testament and the New: Translated out of the Original Tongues, and With the former Translations Diligently Compared and Revised, By His Majesty's special Command. Appointed to be read in Churches.",,154,2,0,1,2,2,0,0,0,1,0,8,0,4,5,1,1,2,0,0,0,0,0,0,0,5,4,0,12,0,0,4,0,0,0,1,6,0,11,0,3,4,0,5,27,4,5,0,0,5,9,6,0,3,2,0,0,0,1,1,7,1773,1,1,"Oxford : printed by T. Wright and W. Gill, Printers to the University: and sold by S. Crowder, in Pater-Noster Row, London; and by W. Jackson, in Oxford, [1773].",Oxford,1201,unknown,,,FALSE,"one silver bowl of seventy 6 One young bullock , one ram ; on' fiekels after the shekel of the sanctuary, lamb of tlifirtyear, foi a burnt offering : both of them full of fine flour mingled 70 One kid of the' goats for a sin with oil , for"
1687900101_000078,"The Holy Bible, Containing the Old testament and the New: newly translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,175,5,1,0,17,1,1,3,0,10,0,1,5,7,2,0,1,4,0,2,0,0,2,0,1,3,6,0,1,0,22,2,2,4,1,2,0,2,0,0,0,9,0,3,24,8,0,0,11,0,0,1,0,1,6,0,0,0,2,1,1,1767,1,2,"Cambridge : Printed by John Archdeacon printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, in Cambridge, 1767.",Cambridge,561,unknown,,,FALSE,"and their feet thereat: 36 And when the cloud was taken up 32 When they went into the tent of from over the tabernacle , the children of the congregation , and when they came Ifiael wenton ward in all their journeys; near unto the altar , they walled j"
0073900301_000128,"The holy Bible, containing the Old and New Testaments; Translated out of the Original Tongues, and With the former Translations diligently compared and revised, by his Majesty's Special Command. Appointed to be Read in Churches.",,169,1,0,0,0,0,1,0,2,1,0,4,0,9,5,0,5,7,4,0,6,0,0,2,0,0,4,0,1,1,6,3,3,0,2,4,1,0,11,0,0,7,6,4,38,5,0,1,2,0,5,5,0,2,0,6,0,0,2,1,2,1796,1,2,"Cambridge : printed by John Archdeacon and John Burges, Printers to the University; and sold by C. Dilly, F. & C. Rivington, and B. & J. White, in London; and J. & J. Merrill, in Cambridge, MDCCXCVI. [1796]-98.",Cambridge,988,unknown,,,FALSE,"his father's brethren. 11 And if his father have no brethren, then ye ( hall give his inheritance unto his kinfnian that is next to him of his family, and he ( hall possess it: and it shall be unto the children of Israel a statute ofjudgement, as the LORD"
0060400200_000152,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be Read in Churches.",,173,0,0,1,0,0,3,0,1,2,0,6,0,9,2,0,3,4,5,0,5,0,0,0,2,0,3,0,2,1,10,0,3,0,2,2,5,0,11,0,0,10,3,5,36,3,0,0,3,0,11,2,0,2,1,8,0,0,1,3,3,1754,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCLIV. [1754].",Oxford,1316,unknown,,,FALSE,"Also m in the day of the firfl fruits, I One kid of the goatsfqr a sin offering , .& when ye bring a new meat offering unto the besides the sin offering of atonement , and the, Lev., 6 LO: lord, afteryourweeksbeout, ye shall have an continual burnt offering"
0070700200_000200,"The holy Bible, containing the Old and New Testaments: newly translated out of the original tongues, and with the former translations diligently compared and revised. By his Majesty's special command. Appointed to be read in churches.",,177,12,0,3,12,2,4,6,2,0,1,6,5,3,2,0,1,1,2,2,2,3,2,0,0,0,1,0,0,0,13,24,5,4,7,2,0,2,5,0,0,1,0,0,22,1,1,0,2,0,11,0,0,0,4,1,0,0,0,0,0,1755,1,1,"Oxford : printed by Thomas Baskett, printer to the university, M DCC LV [1755].",Oxford,944,unknown,,,FALSE,"with girdles LORD. hecb. ( Aaron and his sons) and t put the bonnets on 25 And thou ( halt receive them of their hand , """"'"" trd. them: and the priests office shall be theirs for a and burn them upon the altar for a burnt offer Herb. perpetual"
0078000100_000119,"The holy family Bible, containing the Scriptures of the Old and New Testament, and the Apocrypha at large: with concise explanatory notes, on all the Difficult Texts of Scripture, Wherein the objections of Infidels are obviated, and the obscure Passages explained to the meanest Capacity. Illustrated with Copper-Plates. By the Reverend Alexander Fortescu, D. D. Rector of Stretton.","Fortescu, Alexander",104,3,0,1,2,2,1,0,0,1,0,6,0,3,7,1,1,1,0,0,0,1,0,0,0,1,1,0,4,0,1,1,2,1,0,6,2,0,4,0,8,2,1,3,14,2,2,0,0,1,4,2,2,2,3,0,0,0,1,2,2,1774,1,1,"Winchester : printed for the proprietor by John Wilkes, and sold by him, and William Harris, in Saint Paul's Church Yard, London, MDCCLXXIV. [1774].",Winchester,1446,unknown,,,FALSE,"LII! it; lt'e year. Tlis: -: .'otie till His ofl'iring.t.wrone lier charger, o!tici sig our a'icll t': Ion s Okeras. lhe vsegiltlgh there)s nasa hundred it i 7s C O nt; s t t i ti,;. o II; : s t' C till tny ]jrhes, a hiver bowl ot L"
0061100400_000124,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the Former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be Read in Churches.",,151,1,0,1,2,2,1,0,3,3,1,0,0,3,2,1,0,3,0,3,7,2,0,1,0,1,1,0,0,2,26,0,2,8,3,3,0,0,3,6,0,2,0,2,23,2,4,1,5,1,3,2,0,2,5,0,1,6,0,0,1,1766,1,1,"London : printed by Mark Baskett, Printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett, M.DCC.LXVI. [1766].",London,844,unknown,,,FALSE,"but be clean ; then (he l(all be free, and hall conceive seed. 29 This is the law of jealousies, when a wife goeth aside to another instead of her hufland, and is defiled; 30 Or when the spirit of jealousy cometh upon NUMBERS. Tne trial ofjelolu,., Before on him,"
0060400200_000126,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be Read in Churches.",,157,1,0,1,2,3,1,0,3,3,2,0,0,3,3,0,0,3,0,3,7,2,0,2,0,1,1,0,0,1,20,0,2,9,3,4,0,0,3,5,0,2,0,2,26,2,4,1,8,4,3,2,0,2,5,0,1,6,0,0,1,1754,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCLIV. [1754].",Oxford,1316,unknown,,,FALSE,"jealous over his wife, and ( hall set the woman before the LORD, and the priest hall execute upon her all this law . 31 Then shall the man be guiltless from iniquity, and this woman Shall bear her iniquity. CH AP. VI I The law of the Nazarites. 22"
0430900101_000548,"A commentary on the books of the Old and New Testament. In which are Inserted the Notes and Collections of John Locke, Esq; Daniel Waterland, D. D. The Right Honourable Edward Earl of Clarendon. And Other Learned Persons. With Practical Improvements. By William Dodd, L. L. D. Prebendary of Brecon, and Chaplain in Ordinary to his Majesty. In three volumes. ...",William Dodd,165,2,0,1,2,2,0,0,0,0,0,7,0,6,5,1,1,1,0,0,0,0,0,0,0,4,4,0,12,0,0,0,0,0,0,2,6,0,12,0,2,6,0,4,36,5,6,0,0,5,12,6,1,3,1,1,0,0,1,2,6,1770,1,3,"London : printed for R. Davis, in Piccadilly; L. Davis, in Holborn; and T. Carnan and F. Newbery, junior, in St. Paul's Church-Yard, MDCCLXX. [1770].",London,936,male,1729,1777,FALSE,"oil , for a meat offering : 56 One golden spoon of ten Jhekels, full of incense: 57 One young bullock , one ram , one lamb of the first year, for a burnt offering : 58 One kid of the goats for a sin offer ing : 59 And"
0073800500_000112,"The holy Bible, containing the Old Testament and the New: Newly Translated out of the Original Tongues, And with the former Translations diligently Compared and Revised. By His Majesty's special Command. Appointed to be read in Churches.",,143,2,0,0,1,2,1,0,0,2,0,7,1,3,10,1,0,1,0,0,0,0,0,0,0,4,2,0,9,0,0,2,2,1,0,5,4,0,6,0,9,4,0,2,25,4,5,0,0,4,9,5,0,1,3,0,0,0,1,0,5,1735,1,1,"London : printed by John Baskett, Printer to the King's most Excellent Majesty. MDCCXXXV. Cum Privilegio, [1735].",London,838,unknown,,,FALSE,"was the ing: offerine of Eliafaph the son of Deuel. 71 And for a sacrifice of peace offerings , 48 ¶ On the seventh day Elifhama the two ox n, five ram , si ve he goats , five son of Ammihud, prince of the children of lambs of Ihe"
0077100401_000155,"The holy Bible, containing the Old and New Testament; with notes Explanatory, Critical, and Practical, Selected from the works of Several Eminent Divines. ...",,117,2,1,4,6,3,0,0,0,0,2,1,0,1,2,0,0,2,1,0,1,0,0,1,1,1,1,0,2,2,1,0,4,2,1,3,1,0,2,2,3,1,0,6,20,1,5,1,3,8,2,1,5,2,4,0,0,4,0,0,1,1774,1,5,"London : printed and sold by I. Moore and Co. Letter-Founders and Printers, in Queen-Street, near Upper-Moorfields, M.LCC.LXXV. 1774-76. [1775].",London,1000,unknown,,,FALSE,"the hands of the Nazarite, after the hair of his separation is haven. 20 And the priet fllall wave them for a wave offering before the LORD: this is holy for the priest , with the wave breaft, and heave {houlder: and after that, the Nazarite may drink wine. 21"
1477900200_000118,"The Holy Bible, containing the Old and New Testaments: together with the Apocrypha: translated out of the original tongues, with the former translations diligently compared and revised, by the special command of King James I, of England. With marginal notes and references. To which are added, an index, and an alphabetical table of all the names in the Old and New Testaments, with their significations.","Andrews, Ebenezer Turrell",148,9,0,2,1,1,3,0,0,2,0,5,0,2,15,1,3,7,0,0,0,0,1,0,0,1,1,0,2,0,1,0,2,1,0,14,1,0,2,0,20,2,0,9,13,1,1,0,0,0,2,1,7,5,6,0,0,0,1,2,1,1791,1,1,"United States of America. Printed at the press in Worcester, Massachusetts : by Isaiah Thomas. sold by him in Worcester; and by him and Company, at Faust's Statue, no. 45, Newbury Street, Boston, MDCCXCI. [1791]",Worcester|Boston.,1363,male,1766,1851,FALSE,"and four hundred jheke/ls, after ""o,. am. the thekel of the fanatnary· 86 The golden spoons wcere twelve, - sill of incense, wrerghling ten. jhekels apiece, after the th~ekel of the fanc~uary : all the em4fr 24, 0 rr before the LORD for an toffering of the Beor children of"
1456701100_000115,"The New Testament of our Lord and Saviour Jesus Christ, ...",,124,1,0,2,2,2,1,0,2,2,3,0,0,3,3,0,0,3,0,3,6,2,0,1,0,1,1,0,0,1,3,0,2,9,2,4,0,0,3,3,2,1,0,4,19,2,3,1,4,4,3,1,1,2,6,0,1,4,0,0,1,1756,1,1,"Edinburgh : printed by Adrian Watkins, 1756.",Edinburgh,916,unknown,,,FALSE,"VI I die la wt of the nazar ites. 22 te forni of b·lefing the people . and the Loan spake unto moles, saying, 2 Speak unto the children of Israel , and ay o toiz unto them, wthen either man or woman ( hall 1fiepa a asmg rate th~emselv"
1229300100_000124,"The holy Bible, Containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be Read in Churches.",,150,9,0,2,1,1,3,0,0,2,0,5,0,1,15,1,3,8,0,0,0,0,0,0,0,1,1,0,2,0,1,1,2,1,0,14,1,0,2,0,20,2,0,9,15,1,1,0,0,0,2,1,7,4,6,0,0,0,1,2,2,1733,1,1,"Oxford : printed by John Baskett, Printer to the University, MDCCXXXIII. [1733].",Oxford,678,unknown,,,FALSE,"gold: 85 Each charger of silver weigin: g an hundred and thirty jiekels, each bowl seventy: all the silver vefels weigrthed two thousand and four hundred Jhekels after the shekel of the fanstuary. 86 The golden spoons Lere twelve, full ofin cense, weighing tens'ekels apiece, after the shekel of the"
0065700101_000089,"The holy Bible, containing the Old and New Testaments, Translated Out Of The Original Tongues, And With The Former Translations Diligently Compared And Revised. With select notes. Vol. I. Appointed to be Read in Churches.",,155,13,1,2,8,1,1,2,0,1,4,2,1,12,2,2,5,4,0,1,2,3,4,0,0,0,0,0,2,2,0,0,3,2,8,3,0,0,0,0,0,2,0,11,22,1,4,10,0,0,2,4,0,3,3,0,2,0,0,0,0,1795,1,2,"London : printed by M. Ritchie, for John Parsons, Paternoster Row, MDCCXCV. [1795].",London,725,unknown,,,FALSE,"which he sprinkled round about upon the altar . 13 And they presented the burnt offering unto him, with the pieces thereof, and the head : and he burnt them upon the altar . 14 And he did wash the inwards and the legs, and burnt them upon the burnt"
1533400300_000117,"The Holy Bible containing the Old and New Testaments, Newly translated our of the original tongues: and with the former translations diligently compared and revised. By His Majesties special command. Appointed to be read in churches.",,126,5,0,1,2,2,2,0,0,2,0,5,0,2,16,1,2,2,0,0,0,0,0,0,0,1,1,0,3,0,0,1,2,1,0,14,2,0,4,0,11,2,0,5,15,0,2,0,0,1,4,2,3,2,2,0,1,0,1,2,2,1705,1,1,"Edinburgh : Printed by the heirs and successors of Andrew Anderson, printer to the Queens Most Excellent Majesty, Anno Dom, Anno Dom. MDCCV. [1705].",Edinburgh,916,unknown,,,FALSE,"one ram , one lamb si of the first year, for a burnt offering : 82 Dune kid of the goats for a sin offering : t 83 And for a sacrifice of peace offerings , two g; oxen, five rams , five he goats , five lambs of the"
1148500100_000129,"The complete family Bible; containing the Holy Scriptures of the Old and New Testament at large; together with the Apocypha : with a Complete Illustration of all the Difficult Passages; wherein all the Objections of Infidels are Obviated, the Obscure Passages Elucidated, and Every Seeming Difficulty Explained. Together with notes Historical and Critical: By the Rev. Samuel Newton, D. D. Rector of Clifton, &c.","Newton, Samuel, Rev.",172,13,0,1,14,1,3,8,3,0,5,3,1,14,1,0,7,5,0,5,0,2,4,0,0,0,0,0,3,0,2,1,5,1,0,2,1,0,1,0,0,2,0,11,28,3,2,5,0,0,5,3,0,0,6,0,0,0,0,0,1,1771,1,1,"London : printed for the author, by Brewman and Co. at No. 34, Wyon Street; And sold by T. Evans, at No. 54, Paternoster Row; C. Etherington, at York; Messrs. Fletcher and Hodson, Cambridge; Messrs. Berry, at Norwich; W. Gant, at Bristol, and all other Booksellers, [1771].",London,725,unknown,,,FALSE,"took one unleavened cake, and a cake of oiled bread , and one wafer, and put them on the fat , and upon the right shoulder. 27 And he put all upon Aaron's hands , and upon his sons' hands , and waved them for a wave offering before the"
0060000100_000133,"The holy Bible, containing the Old and New Testaments; Translated out of the Original Tongues, and With the former Translations diligently compared and revised, by his Majesty's Special Command. Appointed to be read in Churches.",,145,2,0,3,5,3,0,0,0,0,2,4,0,4,3,0,0,1,0,0,0,1,0,1,0,4,4,0,6,1,0,0,1,1,0,3,3,0,6,1,1,4,0,5,35,4,4,0,1,9,7,2,4,1,3,0,0,2,0,0,4,1789,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John, Francis & Charles Rivington, Benjamin White, and Charles Dilly, in London; and J. & J. Merrill, in Cambridge, 1789.",Cambridge,1293,unknown,,,FALSE,"to the vow which he vowed , so he must do after the law of his separation. 22 te And the lord'fpake unto Moses , saying, 23 Speak unto Aaron and unto his sons, Lt'. saying, On this wise ye shall bless the, l'  of Israel , saying unto"
1229300100_000092,"The holy Bible, Containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be Read in Churches.",,157,10,0,0,4,9,0,4,1,3,3,3,1,2,6,0,7,3,0,2,0,4,6,0,0,0,0,0,1,0,7,0,2,3,1,6,0,0,0,1,0,1,0,12,20,3,7,4,3,0,2,6,0,3,3,0,3,0,1,0,0,1733,1,1,"Oxford : printed by John Baskett, Printer to the University, MDCCXXXIII. [1733].",Oxford,678,unknown,,,FALSE,"unto the · lomd,  having his uncceannefs upon him, even xcha.' : hat soul hall be cut off from his people . ar Moreover, the soul that hall touch any unclean thing, as the uncleanness of man, or any mclean beast, or any abominable unclean thing, and eat of"
1235800300_000069,"The holy Bible, containing the Old and New Testaments; Translated Out Of The Original Tongues; And With The Former Translations Diligently Compared And Revised BY His Majesty's Special Command. Appointed To BE Read In Churches.",,153,10,0,3,8,3,4,4,5,0,0,1,4,2,3,0,1,4,2,2,2,3,3,0,2,0,0,0,0,0,8,12,5,3,6,2,0,1,5,0,0,1,0,0,18,3,1,0,2,0,13,1,0,0,5,1,0,0,0,0,0,1800,1,1,"Cambridge : printed by John Burges Printer To The University; and sold by C. Dilly, F. &. C. Rivington, and J. White, in London; and J. & J. Merrill, in Cambridge. MDCCC. Cum Privilegio, [1800].",Cambridge,1016,unknown,,,FALSE,burn with firo without the camp: it is a sin Offering . z5 Thou ( halt also take one ram ; an 3   xiit. of ttfreratng the prices. Aaron and his sons shall put their hands upon tile head of the ram . 16 And thou ( halt
1708500200_000066,"The New Testament of our Lord and Saviour Jesus Christ, ...",,155,9,0,3,9,2,7,5,2,0,0,1,4,3,2,0,1,3,2,2,3,3,0,0,0,0,1,0,0,0,12,15,3,3,8,3,0,1,5,0,0,2,0,1,20,1,0,0,2,0,10,0,0,1,5,1,0,0,0,0,0,1760,1,1,"Oxford : printed by Thomas Baskett, 1760.",Oxford,1104,unknown,,,FALSE,"heave ty, and l4 But the flesh of the bullock , and his skin, offering unto the LORD. brwe and his dung ( halt thou burn with fire without 9 (sand the holy garments of Aaron ( hall doaors the camp: it is a sin offering , be his sons"
1578701201_000128,"The New Testament of our Lord and Saviour Jesus Christ: with arguments ... and ... observations ... by the Reverend Mr Ostervald, ... Translated at the desire of, and recommended by the Society for propagating Christian Knowledge.",Jean-Frédéric Osterwald,135,2,0,0,3,2,1,0,0,2,0,7,0,4,9,1,0,3,0,0,0,0,0,0,0,3,3,0,7,0,0,0,2,1,0,8,3,0,6,0,10,3,0,2,20,3,4,0,0,2,7,4,2,2,3,0,0,0,1,0,5,1770,1,2,"Edinburgh : printed by Colin Macfarquhar. Sold at his printing-office, 1770.",Edinburgh,720,male,1663,1747,FALSE,"of ten fekel, full of incense: 69 One young bullock , on ram , one lamb of the f irt year, for a burnt of ser ing: 70 One kid of the goats for a sin of frn7i And for a sacrifice of peace offer mngs, two oxen, five rams"
0188600100_000156,"The holy Bible, containing the Old and New Testaments; and also the Apocrypha: Translated out of the Original Tongues, with annotations.",,118,1,0,4,1,3,1,0,3,1,2,0,0,3,2,0,0,2,0,1,3,0,0,1,0,1,1,0,0,4,0,1,2,3,1,3,1,0,3,2,4,2,2,4,20,2,4,1,5,4,3,2,2,2,5,0,0,6,0,0,0,1788,1,1,"Birmingham : printed by Pearson and Rollason, MDCCLXXXVIII. [1788].",Birmingham,1571,unknown,,,FALSE,"he had vowed to be a Nazarite for an whole year, and i; the tclfth month kai'pened to touch a dead carcase, all the ?hi co', i; T el: ven th months went for nothing,. and he was to begin mz ats, vcow agrain. B E R S. CHAP.' V,"
1540800100_000107,"The Holy Bible, containing the Old testament and the New: Translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,124,1,0,3,4,3,0,0,0,0,2,2,0,3,4,0,0,2,0,1,1,1,0,1,0,3,2,0,5,1,1,0,3,2,1,0,3,0,4,2,2,3,0,3,18,3,4,0,2,10,7,3,4,0,4,0,0,3,0,0,3,1792,1,1,"Oxford : Printed at the Clarendon Press, by W. Jackson and A. Hamilton, printers to the University; and sold by W. Dawson, at the Oxford Bible Warehouse, Paternoster Row, London, MDCCXCII. [1792].",Oxford,1198,unknown,,,FALSE,"And the nazarite thall thave the head of his separation at the door of the tabernacle of thle congregation , and ( hall take the hair of the head of his separation and put it in the fire which is under the sacrifice of the peace offerings . r9 And"
1687900101_000067,"The Holy Bible, Containing the Old testament and the New: newly translated out of the original tongues, and with the former translations diligently compared and revised, by His Majesty's special command. Appointed to be read in churches.",,178,13,0,1,13,3,4,6,5,0,1,5,5,2,2,0,1,4,1,2,0,3,5,0,0,0,1,0,0,0,14,25,6,4,6,1,0,2,4,0,0,0,0,0,16,2,1,0,2,0,13,0,0,0,4,1,0,0,0,0,0,1767,1,2,"Cambridge : Printed by John Archdeacon printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, in Cambridge, 1767.",Cambridge,561,unknown,,,FALSE,"them with girdles, ( Aaron and his fons)and put the bonnets on them : and the priest's office ( hall be their's, for a perpetual statute : and thou ( halt consecrate Aaron and his sons. so And thou ( halt cause a bullock to be brought before the tabernacle"
