PassageID,Title,Author,Total termFreq,termFreq(advanc),termFreq(arm),termFreq(armi),termFreq(arriv),termFreq(attack),termFreq(battl),termFreq(bodi),termFreq(camp),termFreq(carri),termFreq(citi),termFreq(colonel),termFreq(command),termFreq(continu),termFreq(count),termFreq(countri),termFreq(duke),termFreq(enemi),termFreq(engag),termFreq(field),termFreq(follow),termFreq(foot),termFreq(forc),termFreq(form),termFreq(french),termFreq(gener),termFreq(ground),termFreq(guard),termFreq(head),termFreq(hors),termFreq(join),termFreq(kill),termFreq(king),termFreq(left),termFreq(line),termFreq(mean),termFreq(near),termFreq(night),termFreq(number),termFreq(oblig),termFreq(offic),termFreq(order),termFreq(parti),termFreq(pass),termFreq(piec),termFreq(princ),termFreq(quarter),termFreq(receiv),termFreq(regiment),termFreq(retir),termFreq(retreat),termFreq(return),termFreq(river),termFreq(sever),termFreq(soldier),termFreq(taken),termFreq(took),termFreq(town),termFreq(troop),termFreq(war),termFreq(wound),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0186300202_000071,"The military history of Charles XII. King of Sweden, written by the express order of his Majesty, by M. Gustavus Adlerfeld, Chamberlain to the King. To which is added, an exact account of the Battle of Pultowa, with a Journal of the King's Retreat to Bender. Illustrated with plans of the Battles and Sieges. Translated into English. In three volumes.","Adlerfeld, Gustavus",115,4,1,6,3,4,1,0,0,0,4,4,2,0,1,2,0,7,1,0,4,0,1,1,4,3,1,2,0,2,1,3,6,2,0,0,2,0,1,2,0,4,2,1,0,3,4,3,2,0,1,2,0,2,2,0,2,6,5,0,1,1740,2,3,"London : printed for J. and P. Knapton in Ludgate-Street; J. Hodges upon London-Bridge; A. Millar opposite to St. Clement's Church in the Strand; and J. Nourse without Temple-Bar, 1740.",London,376,male,1671,1709,FALSE,"to give them the left trouble or molestation. From 264 From Zberen, the army advanced six leagues 1706 to the town of Grimm. The King having received advice that the Saxon troops , which had retreated , were not far off, he took nine hundred and fifty horse , and"
0004100104_000109,"The general history of the late war: containing it's rise, progress, and event, in Europe, Asia, Africa, and America. And exhibiting the state of the belligerent powers at the commencement of the war; their interests and objects in it's continuation; and remarks on the measures, which led Great Britain to victory and conquest. Interspersed with the characters of the able and disinterested statesmen, to whose wisdom and integrity, and of the heroes, to whose courage and conduct, we are indebted for that naval and military success, which is not to be equalled in the annals of this, or of any other nation. And with accurate descriptions of the seat of war, the nature and importance of our conquests, and of the most remarkable battles by sea and land. Illustrated with a variety of heads, plans, maps, and charts, designed and engraved by the best artists. ... By the Rev. John Entick, M.A. and other gentlemen.",John Entick,102,1,2,3,0,2,2,1,1,1,0,3,1,1,0,0,0,4,1,2,0,2,0,1,8,2,0,3,1,3,1,4,0,0,0,0,1,1,1,1,4,5,0,3,4,4,1,0,2,0,4,0,1,2,0,1,5,2,4,2,4,1763,4,5,"London : printed for Edward Dilly, in the Poultry; and John Millan, at Charing-Cross, M.DCC.LXIII. [1763].",London,492,male,1703,1773,FALSE,"officers who were engaged . He has likewise expressed his fatisfa&tion with the behaviour of the field officers of the reserve, particularly M. de Valognie, who distinguished himself much in the aion, and contributed greatly to the good order of the retreat , by the openings he caused to be"
0966500101_000168,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,121,6,1,7,0,5,3,2,1,1,2,0,2,1,4,0,5,4,3,1,1,0,4,1,2,4,2,2,0,0,3,0,0,1,5,0,5,1,2,4,0,6,1,2,0,4,0,2,0,4,3,0,1,1,0,2,3,1,5,0,1,1785,1,5,"London : printed for T. Cadell, in the strand; and R. Baldwin, No 47, in Pater-Noster Row, MDCCLXXXV. [1785].",London,481,male,1721,1771,TRUE,"S and sent another under Count Stirum, to invade the fanm 1703 eleetorate by the way of Newmark, which was surrendered to him, after he had routed a party of Bavarians: the city of Amberg met with the same fate. Meanwhile Count Schlick defeated a body of militia that defended"
0011000103_000576,"The history of England. Written originally in French by M. Rapin de Thoyras. Translated into English by John Kelly of the Inner Temple, Esq; to which is added, critical and explanatory notes; also Chronological and Genealogical tables: with some particulars of the life of M. Rapin.",Thomas Lediard,112,0,0,3,0,1,2,4,2,1,0,1,5,2,7,0,1,9,3,0,2,5,1,2,2,1,1,1,0,3,1,3,7,2,2,1,3,1,0,1,1,6,1,1,1,4,0,0,3,0,2,1,0,4,2,0,0,0,2,0,4,1732,3,3,"London : printed for James Mechell, at the King's Arms, near Red Lion Street, High Holborn, MDCCXXXII. [1732].",London,891,male,1685,1743,FALSE,"him beforehand, and had, therefore, desired the elecor of Bavaria to remove him: but the French having inverted the place, before he could comply with his Majesty's desire, all the elecor could do was to order the count de Thian, to accompany him in this siege, and to observe his"
0014700105_000060,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,116,3,2,4,0,3,2,3,1,1,0,0,4,0,2,3,3,7,1,0,0,1,3,2,8,3,2,1,3,2,1,1,0,5,1,1,0,0,3,1,1,4,0,1,1,14,1,0,1,2,1,0,2,0,0,1,1,0,6,2,1,1794,5,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,392,male,1721,1771,TRUE,"which, after a few discharges of mufquetry, retired to their camp and gave the alarm. In the mean time both armnes were drawn up in order of battle ; the troops of the allies in the plain between the villages of Anrath and Willich, opposite to the French forces ,"
0007300203_000115,"The naval and military history of the wars of England; including, the wars of Scotland and Ireland. In Which IS Given, An accurate and lively Description of the Sieges, Battles, Bombardments, Sea Engagements, Expeditions, and extensive Conquests of the British Arms, in all Quarters of the Globe. With A Variety Of Interesting and extraordinary Anecdotes of Military Skill and Intrepidity, heroic Adventures, brilliant Exploits, martial Atchievements, and memorable Actions of the British Warriors. Calculated To inspire the Rising Generation with Magnanimity and Virtue, and to Impress on their Minds the generous Ardour and Noble Emulation of their Ancestors. None But The Brave Deserve The Fair. ... . Ornamented With Elegant Copper-Plates.","Mante, Thomas",116,3,1,6,1,3,3,1,2,3,0,2,1,4,0,1,4,6,2,0,0,4,2,4,7,4,0,0,0,5,1,2,2,0,2,0,2,1,0,0,2,2,3,1,0,0,0,2,3,4,3,5,0,5,0,0,1,4,0,1,1,1795,3,8,"London : printed for the author, and sold by Champante and Whitrow, Jewry-Street, Aldgate; and at the British directory office, Ave-Maria-Lane, St. Paul's, [1795-1807].",London,504,unknown,,,FALSE,"in to engage them. The French admiral, conscious of his superiority, and perceiving the intention of the English, weighed anchor, formed his fleet into a line of battle , and advanced , in regular order , to the combat. The ardour of the English admiral, and of the Englifi seamen,"
0087900800_000073,"The history of Francis-Eugene Prince of Savoy, Knight of the Golden Fleece, Privy-Counsellor and Prime Minister to his Imperial Majesty, President of the Aulic Council of War, Field-Marshal-General and Commander in Chief of all the Forces of the Emperor, Empire, &c. &c. Containing, the military transactions of above thirty campaigns, made by his Serene Highness in Hungary, Itlay, Germany, and the Low-Countries. And Interspersed with other memorable Events, during a Course of more than Fifty Years. The whole compiled from the best authorities, Printed and Manuscript, By an English officer, who served under his Highness in the last war with France.",John Bancks,118,3,0,4,1,2,2,2,3,0,0,8,5,5,2,0,5,5,1,0,0,1,1,0,4,5,0,2,0,3,1,0,0,3,1,2,5,1,1,0,1,2,0,7,1,10,0,0,2,3,0,0,4,0,2,2,1,1,3,1,0,1741,1,1,"London : printed for James Hodges, at the Looking-Glass on London-Bridge, MDCCXLI. [1741].",London,367,male,1709,1751,FALSE,"Orleats klans, who came to command the Army in his replaces M Place. The Loss of the Battle of Ramillies occa de Ven sioned the calling home of Vendome. lilleroy, dine' who lost it, was at last sensible of his own Incapacity to command an Army , and desired Leave"
1684600203_000007,"A new history of the life and reign of William-Henry Prince of Orange and Nassau; King of England, Scotland, France and Ireland, &c. &c. &c. In which, the actions of that great Prince are distinctly and faithfully related; and the transactions in Ireland, relative to the revolution of that kingdom, (which have hitherto been slightly handled in all other histories) are amply set forth; and introduced with a summary review of affairs from the restauration to the revolution, to evince the necessity of the grand event, for the preservation of the established Protestant religion, and to vindicate the professors thereof for joining His Majesty in opposition to King James II. To which are prefixed, Two dissertations. I. On the government of Holland. II. A brief account of the illustrious House of Orange. Embellished with medals, struck upon the most memorable occurrences of his life. In four volumes.","Harris, Walter",114,1,3,6,0,2,1,1,9,1,0,2,3,1,1,2,5,5,2,1,2,2,1,1,8,3,0,2,2,5,0,2,6,0,1,2,2,0,0,2,4,5,2,1,0,0,0,1,6,0,1,1,1,1,2,0,1,0,0,1,0,1747,3,4,"Dublin : printed for E. and J. Exshaw, on Cork-Hill, MDCCXLVII. [1747].",Dublin,318,male,1686,1761,FALSE,"greatly ftraitned, as they had a rough mountainous Country behind them, which afforded little Relief. The Duke continued in an uncertain Posture till the 20th, (having nevertheless, in the mean Time, entrenched himself. firongly) when, in the. Morning, he had an Account that King amie, having afiembled all his Forces"
0390600100_000091,"The history of the life & reign of Queen Anne. Illustrated with all the medals struck in this reign, with their Explanations; and other useful and Ornamental cuts. To which is added, an appendix, Containing several Authentick and Remarkable Papers; And an Annual List of the most Eminent Persons who dy'd in this Reign, with Characters of the most Conspicuous. By Mr. A. Boyer.",Abel Boyer,105,3,1,6,2,0,1,3,4,0,0,2,2,0,1,1,1,11,1,0,1,3,3,0,2,7,0,2,1,2,0,1,0,3,4,0,2,2,3,4,1,1,0,0,1,1,1,2,1,2,1,1,0,2,0,2,2,0,3,1,4,1722,1,1,"London : printed by J. Roberts; and sold by William Taylor, in Pater-Noster-Row; William and John Innys, at the West End of St. Paul's Church-Yard; John Osborne, in Lombardstreet; Samuel Harding, and Abel Rocayrol, in St. Martin's-Lane, MDCCXXII. [1722].",London,818,male,1667,1729,FALSE,"from Eight Battalions of the Enemies regular Foot , and Six Thousand of the Country People, who made yet a more vigorous Defence than the discipline Men, and, by their firing from the Houses of that Village, very much annoy d the Confederates, after they were got into the Lines"
0181301001_000050,"The life of Her late Majesty Queen Anne, as well before her accession to the throne as after. Together with All the Transactions of her Reign, relating either to the Proceedings of Parliament or Convocation, to Peace or War, the Union of the two Kingdoms, and such other Events as are requisite to render her History complete. Wherein her conduct during the last four years of her reign is not only vindicated, but shewn to be most beneficial and Glorious to Europe in general, and to her own Kingdoms in particular.",Thomas Salmon,119,2,3,7,3,0,6,2,0,2,0,2,1,2,4,0,5,12,1,2,0,1,2,0,0,2,5,0,1,2,0,1,3,6,2,1,1,2,1,0,1,4,2,0,1,1,0,3,10,0,2,1,1,2,1,0,2,0,2,0,2,1721,1,2,"London : printed for Charles Rivington, at the Bible and Crown in St. Paul's Church-Yard, M.DCC.XXI. [1721].",London,520,male,1679,1767,FALSE,"wonderful courage, and was received very briskly by the enemy . Both the one and the other fought with an extraordinary obtlinacy, neither of the parties being willing to lose a foot of ground , till our left wing being engaged we overthrew the King's Gens d' Arms , and"
0560200900_000055,"Memoirs of the life of the late Right Honourable John Lindesay, Earl of Craufurd and Lindesay; Lord Lindesay of Glenesk; and Lord Lindesay of the Byers. One of the Sixteen Peers for Scotland; Lieutenant-General of His Majesty's Forces; And Colonel of the Royal North British Grey Dragoons. By Richard Rolt, Author of The History of the Late War.","John Lindsay, 20th Earl of Crawford",138,2,0,11,1,3,4,2,7,0,0,2,4,0,3,0,0,4,0,2,0,2,1,7,0,8,5,1,0,3,0,4,0,4,3,0,3,2,0,0,1,9,0,3,0,7,1,0,8,2,0,0,6,4,0,1,2,0,2,1,3,1753,1,1,"London : printed for Henry Köpp; and sold by Mr. Newbery, in St. Paul's Church-Yard; Mr. Owen, at Temple-Bar; and Mr. Paterson, in the Strand, M.DCC.LIII. [1753].",London,504,male,1702,1749,FALSE,"off his bleeding friend, in hopes to save his life; which the grenadiers willingly performed. ME A N while, the prince of Hilburghaufen arrived with the foot , and took posr on the ground marked E. where the right wing, commanded by his serene highness prince Charles of Lorrain, was"
0144400203_000048,"The general history of the late war: containing it's rise, progress, and event, in Europe, Asia, Africa, and America and exhibiting the state of the belligerent powers at the commencement of the war; their Interests and Objects in its Continuation; and Remarks on the Measures, which led Great Britain to Victory and Conquest. interspersed with The Characters of the able and disinterested Statesmen, to whose Wisdom and Integrity, and of the Heroes, to whose Courage and Conduct, we are indebted for that Naval and Military Success, which is not to be equalled in the Annals of this, or of any other Nation. And with accurate descriptions of the seat of war, the Nature and Importance of our Conquests, and of the most remarkable Battles by Sea and Land. Illustrated with A Variety of Heads, Plans, Maps, and Charts, Designed and Engraved by the best Artists. ... . By the Rev. John Entick, M.A. and other gentlemen.",John Entick,119,1,4,3,0,3,4,0,1,0,1,4,0,0,5,0,1,12,0,5,0,2,2,0,3,2,1,0,1,7,2,4,0,2,6,0,0,1,1,0,7,3,0,0,1,5,0,2,4,2,1,0,1,1,1,3,1,0,1,0,8,1779,3,5,"London : printed for Edward and Charles Dilly. in the Poultry, M.DCCLXXIX. [1779].",London,488,male,1703,1773,FALSE,"the cavalry had to do in this day. A fqu: dron of the carabineers attempted to penetrate through our infantry, and attacked the battalions of Post and Dreves, but with a considerable loss; and though about 40 of them did indeed force their way, they were never able to L"
0109900400_000075,"The life and actions of Frederic the victorious King of Prussia, Elector of Brandenburg, Grand-Chamberlain of the Empire, &c.&c. Compiled from original memoirs and documents, and adorned with the necessary plates, maps and plans.",,115,1,0,9,1,4,3,1,1,3,0,1,1,2,1,0,1,5,0,0,4,0,2,1,5,7,0,0,0,0,0,1,4,2,2,1,6,2,4,1,2,2,1,1,2,3,0,0,2,2,4,2,0,2,0,2,2,3,5,1,3,1758,1,1,"London : printed for and sold by J. Wilkie, behind the Chapter-House, in St. Paul's Church-Yard; and G. Burnet, without Temple-Bar, 1758.",London,486,unknown,,,FALSE,"and declaring that he should, however, abide by the Rules observed by civilised Nations in the midst of War ; but that if the Ruffans mfould violate them in his Dominions, he would make Reprisals in Saxony. THE Court of Petersbourg took no Notice of this Declaration, and the Russian"
0145700105_000093,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,126,4,3,9,0,2,3,4,4,0,1,1,4,0,2,0,3,10,1,2,1,0,0,2,4,6,0,0,0,1,1,1,0,5,0,0,4,3,1,2,2,6,0,3,2,11,0,1,3,3,0,1,3,0,0,1,0,1,3,1,1,1791,5,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, Pater-Noster-Row, MDCCXCI. [1791].",London,514,male,1721,1771,TRUE,"Hessians, with Elliot's regiment ofenglilh light horfe, Luckner'shuffars, and two brigades of chasseurs; on the sixteenth day of the month, he engaged the enemy near the village of Exdorff, and a very warm aion ensued, in which Elliot's regiment signalised themselves remarkably by repeated charges. At length victory declared for"
1286900300_000239,"The military history of His serene Highness Prince Eugene of Savoy, now generalissimo of the imperial army. As also of His Grace the late Duke of Marlborough, Prince of the Roman Empire, And of His Serene Highness the Prince of Nassau-Friezland, Father to his most Serene Highness the Prince of Orange. Containing A particular Description of all the principal Transactions of the Last War, and of all the Battles, Sieges, &c. in which their Highnesses of Savoy and Friezland commanded, in Conjunction with that glorious and ever-successful General. Together with Memoirs of the Life' of Prince Eugene, from his leaving the Court of France, and entering himself a Voluntier in the Emperor's Service, to his being made Commander in Chief of the Imperial Armies. Written in French by M. Dumont, Baron of Carelscroon, and Historiographer to the present Emperor, and by Mr. Rousset: and now faithfully translated into English by Paul Chamberlen, The Whole embellished and illustrated with a large Variety of whole Sheet Copper-Plates, taken from the original Designs, and engraven by the very best Hands, representing all the Battles and Sieges, in which those Generals were concerned, which is not attempted by any other.",Jean Rousset de Missy,108,2,0,8,1,1,1,1,1,1,0,2,3,0,2,0,10,4,0,0,2,0,5,2,3,5,0,2,0,0,1,2,0,3,4,0,3,2,1,1,0,4,1,4,2,1,1,3,1,1,1,2,3,4,0,0,2,1,1,2,1,1736,1,1,"London : printed by W. Rayner, and sold by the booksellers in town and country, MDCCXXXVI. [1736].",London,805,male,1686,1762,FALSE,"is, We received Advice Yeflerda, that m) Lord Duke nmut have forced the Lines . If that be true, he will think "" no more of returning to the Mojfelle. I confess, this Attempt will redound "" very much to the Glory of his Grace himself; but I don't know"
1258700102_000072,"Memoirs of Prince Eugene of Savoy. Containing all his military actions, his Negotiations in several Courts of Europe, and other Events of his Life, as well Gallant as Political. Intermix'd with Variety of Adventures of Gentlemen and Officers of the Imperial and Confederate Armies in Hungary, Italy, and the Netherlands, where Prince Evgene commanded. Written by a gentleman who constantly follow'd that Prince. Translated from the French. In two volumes.","Artanville, 'd",111,1,1,3,1,3,4,1,2,2,0,1,2,0,3,2,9,8,1,1,0,1,0,1,5,7,1,0,3,0,0,2,3,3,2,0,0,3,4,0,2,2,0,0,3,3,0,0,2,2,1,0,0,3,1,2,2,0,3,0,5,1716,2,2,"London : printed by J. Darby for K. Sanger, and sold by T. Varnam and J. Osborn in Lombard-Street, W. Taylor and A. Bettesworth in Pater-Noster-Row, J. Brown without Temple-Bar, and C. King in Westminster-Hall, M.DCC.XVI. [1716].",London,323,unknown,,,FALSE,"Field , where all the King's Houlhold were ranged behind the Hedges. The Prince of Na[ fau, with whom was Count Oxentiern, led the Infantry round about this Camp ; and having formed it in two Lines , charged the French with such Resolution, that they gave back. This happened"
1138600900_000004,"The history of Francis-Eugene Prince of Savoy, ... Containing, the military transactions of above thirty campaigns, made by his Serene Highness in Hungary, Italy, Germany, and the Low-Countries. ... The whole compiled from the best authorities, ... By an English officer, who served under his Highness in the last war with France.",John Bancks,102,2,0,5,1,5,1,2,0,1,2,4,3,1,1,0,6,3,1,0,3,3,0,1,0,1,1,1,2,2,1,2,1,4,1,1,1,0,0,2,3,5,1,0,0,3,0,3,3,4,0,2,1,1,1,1,1,4,3,1,0,1754,1,1,"[London?] : Printed in the year, 1754.",London,355,male,1709,1751,FALSE,"thit the Imperialists had left their baggage at the firtt of these places, formed the project of seizing it, or at leat ofcaufing a diversion. They fcmt forth a large detach; ucnt, which lllted under covert covert of a wood, at the foot of a little moun 1684 tain, in"
1022400400_000043,"The lives of the princes of the illustrious House of Orange, continued down to the present time. Collected from the best authorities, both printed and manuscript. Illustrated with copper plates and a genealogical table.",,116,1,1,8,0,2,4,0,0,0,1,6,4,1,11,2,3,3,3,0,2,2,2,0,1,5,0,0,0,3,1,1,0,0,0,0,4,1,0,0,5,2,2,0,0,4,7,2,2,4,0,2,2,1,2,1,1,3,1,1,2,1734,1,1,"London : printed for W. Mears, at the Lamb on Ludgate-Hill, M.DCC.XXXIV. [1734].",London,237,unknown,,,FALSE,"the Republic in general , ordered several Officers to be punished for their Cowardice and Treachery. But nothing touched him so sensibly, as to see the Season almost pard without any considerable Ation, which made him resolve to attack Narden. For this Purpose he commanded Colonel Zulejlein and Count Horn"
0004600103_000789,"A new history of England, from the earliest accounts of Britain, to the ratification of the Peace of Versailles, 1763. Humbly Inscribed to the Queen. By Mr. Mortimer.",Thomas Mortimer,122,7,1,7,1,4,2,9,4,0,2,1,2,0,0,1,1,7,0,1,0,1,2,1,7,6,0,0,1,2,1,2,0,4,0,0,2,2,1,2,0,5,1,2,1,10,1,2,0,1,1,0,3,0,0,1,1,2,5,1,1,1764,3,3,"London : printed for J. Wilson and J. Fell, in Paternoster-Row; and sold by Mr. Fletcher at Oxford, Messrs. Fletcher and Hodson at Cambridge, Mr. Smith at Dublin, and by all the booksellers in Great-Britain and Ireland, MDCCLXIV. [1764]-66.",London,836,male,1730,1810,FALSE,"of Hall, near Calel, remained in that situation till the thirtieth day of July, when the troops were again put in motion. The chevalier de Muy, having crossed the Dymel at Stade bergen, with the reserve of the French army , amounting to thirty-five thousand men, and extending these troops"
1139000132_000032,"A new history of England, from the descent of the Romans, to the demise of his late Majesty, George II Inscribed To his present Majesty, George III. By William Rider, A. B. Late of Jesus College, Oxford. ...",William Rider,108,1,1,5,1,4,2,2,1,0,0,1,2,2,0,0,3,7,2,1,1,1,5,0,2,11,1,1,1,2,0,2,5,3,0,0,1,2,2,2,1,3,2,1,0,0,1,1,1,2,1,2,0,2,0,3,1,2,6,2,0,1761,32,50,"London : printed for S. Crowder and Co. in Pater-Noster Row; and J. Wilkie, in St. Paul's Church-Yard, [1761-64].",London,229,male,1723,1785,FALSE,"fixth day of June. The generals , finding the enemy so trong. ly entrenched between Arras and Miramont, that they could not be attacked withou great danger, resolved to besiege Betiune which was invested on the fifteenth day C July, and surrendered on the twenty ni;; i of August. Villars"
1029800200_000408,"A genealogical history of the kings and queens of England, and monarchs of Great Britain, &c. From the conquest, anno 1066. to the year 1707. In seven parts or books. Containing a discourse of their several lives, marriages, and issues; with the times of their births, deaths, places of burial, and monumental inscriptions. Also, their effigies, seals, tombs, cenotaphs, devises, arms, quarterings, crests, and supporters; all curiously engraven in copper-plates. First publish'd to the beginning of King Charles the Second's reign, by Francis Sandford, Esq; Lancaster Herald of Arms: and continued to this time, with many new sculptures, additions, and annotations; as likewise the descents of divers illustrious families, now flourishing, maternally descended from the said monarchs, or from collateral branches of the royal blood of England; by Samuel Stebbing, Esq; Somerset Herald.","Stebbing, Samuel",122,0,1,2,1,5,2,2,2,2,1,0,3,2,10,1,4,9,1,0,0,3,5,0,9,5,0,0,0,3,5,1,1,2,1,1,3,1,1,0,3,4,0,1,1,7,1,1,0,1,1,3,1,1,1,0,0,1,3,3,0,1707,1,1,"London : printed by M. Jenour, for John Nicholson at the King's-Arms in Little Britain, and Robert Knaplock at the Bishop's Head in St. Paul's Church-Yard, M.DCC.VII. [1707].",London,952,unknown,,,FALSE,"and Diligence he could use in his March, was attacked by a Body of 4000 French , under the Duke of 7endofme, mos Foot , in the Mountains of St. seaa/lian near Seravalla, on the Frontiers of Genoa; o that they were orc'd General Ii to Fight their Way through,"
0150800207_000164,"The history of England from the Revolution to the end of the American War, and Peace of Versailles in 1783. In eight volumes. Designed as a continuation of Mr Hume's History. By T. Smollett, M.D. and others. ...",Tobias Smollett,124,1,1,6,0,7,1,3,4,1,0,1,3,4,0,1,0,8,2,0,0,0,3,2,0,9,1,1,1,0,1,4,0,3,7,3,1,1,5,2,1,8,1,0,1,0,3,0,2,1,5,1,1,3,1,1,0,0,5,0,3,1791,7,8,"Edinburgh : printed for G. Mudie, A. Guthrie, and J. & J. Fairbairn, M,DCC,XCI. [1791].",Edinburgh,648,male,1721,1771,TRUE,"attentior on every quarter to their own fecuri: y, became every rv day more indifpcnlible, as the army under Cene C 1t A p. ral Gates continually enecrc.led by the accession of X  ireth bodies of m!ilti;.. 1777 In the beginning of o&ober, General Bourgogne thoight it expedient, from"
0362800100_000019,"The operations of the allied army, under the Command of His Serene Highness Prince Ferdinand, Duke of Brunswic and Luneberg, during the greatest part of six campaigns, beginning in the year 1757, and ending in the year 1762. By an officer, who served in the British forces. Illustrated with maps and plans.","Hotham, Charles, Sir",118,8,0,9,1,1,2,2,1,0,3,0,6,1,1,1,1,9,2,1,0,0,1,1,8,2,2,1,1,0,0,1,0,1,0,0,3,0,2,1,1,2,1,4,1,8,0,1,1,2,3,1,2,0,0,2,2,3,6,1,4,1764,1,1,"London : printed for T. Jefferys, Geographer to the King, M.DCC.LXIV. [1764].",London,318,male,1729,1794,FALSE,"sustain the light troops , who were in pursuit of the enemy . On the 25th, Te Deum was sung on the field of battle , with a Feu de Joy, and a general di{charge of all our artillery. His Serene Highness this day made a present to the Hanoverian"
0726500100_000017,"Memoirs of the lives and conduct of those illustrious heroes Prince Eugene of Savoy, and John Duke of Marlborough: wherein is included a full, particular and impartial account of their Behaviour in the late Wars, as likewise the Military and gallant Actions of The Duke of Argyle, The Earl of Stair, The Lord Cobham, The Earl of Cadogan. And many other generals, both English and foreign, eminent for their Courage and Conduct. The Whole being a compleat and regular history of the Wars in all Parts of Europe, viz. Battles, Sieges, Skirmishes, &c. from the Beginning of the Reign of Queen Anne (of glorious Memory) to the Time of the last general Peace. Collected from Messieurs Dumont, Rousset, and other good authority. The Whole illustrated with a great Number of large Copper Plates, representing the principal battles, &c. Together with the Effigies of Prince Eugene, and the Duke of Marlborough. To which is added a Compleat Alphabetical index.",Jean Rousset de Missy,117,0,0,3,0,2,2,2,0,3,0,3,3,2,5,0,10,4,1,2,0,1,2,1,2,4,0,1,2,3,0,5,4,3,0,0,0,0,0,1,2,2,0,2,2,8,0,2,3,1,2,0,0,1,2,4,1,0,6,3,5,1742,1,1,"London : printed for J. Rowlands, in Exeter Exchange; and Benjamin Stitchall, at the Bible in Clare Court, Drury-Lane, MDCCXLII. [1742].",London,806,male,1686,1762,FALSE,"without the Enemy's making the least Show of pursuing them. All the Forces behaved admirably well, and the whole Ation pased off with Abundance of Gallantry on both Sides. Amongst others, the Troops of his Britannic Majesty distinguished themselves very much, and the Duke of Schomberg, who used to command"
0145700104_000064,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,109,3,0,8,1,3,0,3,2,0,3,2,1,0,4,3,0,3,2,1,1,0,0,0,6,6,1,1,0,0,1,2,4,1,0,0,4,1,2,2,2,2,1,1,1,3,0,2,2,5,1,1,1,1,2,0,6,3,3,0,1,1791,4,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, Pater-Noster-Row, MDCCXCI. [1791].",London,511,male,1721,1771,TRUE,"his further approach, they retired to Eyefenach, where they entrenched themselves in a very strong camp . His Majesty's headquarters were at Kirfchlaben, near Erfurth. While the two armies were thus situated, Major- general Seydelitz, who occupied the town of Gotha, being inforrped, on on the nineteenth, that a large"
0652302600_000098,"A state of the expedition from Canada, as laid before the House of Commons, by Lieutenant-General Burgoyne, And Verified BY Evidence; With a collection of authentic documents, And AN Addition Of Many Circumstances Which Were Prevented From Appearing Before The House BY The Prorogation Of Parliament. Written and collected by himself, And Dedicated To The Officers Of The Army HE Commanded.",John Burgoyne,130,0,1,5,1,5,2,2,3,4,0,1,3,2,0,0,0,16,1,0,0,0,3,2,0,6,0,2,1,1,1,5,0,5,6,2,1,5,1,2,1,8,1,0,1,0,0,1,4,1,5,2,3,3,0,1,0,0,5,1,4,1780,1,1,"London : printed for J. Almon, Opposite Burlington-House, Piccadilly, MDCCLXXX. [1780].",London,216,male,1722,1792,FALSE,"gain the enemy's rear, and by showing thenfelves there to keep them in a check. The further operations intended, were prevented by a very sudden and rapid attack of the enemy on our left , where the British grenadiers were poted to support the left wing of the line ."
0550600104_000118,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,118,3,2,4,0,3,1,3,0,1,0,0,6,0,3,3,5,7,1,1,0,1,2,2,8,3,2,1,3,2,2,1,0,4,1,0,0,0,3,2,1,3,0,1,1,14,1,0,0,2,1,0,2,1,1,1,2,0,4,2,1,1800,4,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin [by H. Baldwin and son], No. 47, in Pater-Noster-Row. MDCCC. (H. Baldwin and Son, Printers, New Bridge-Street.), [1800].",London,513,male,1721,1771,TRUE,"a wood. The acion be;; .- about one in the afternoon, with a severe can. nonading on the part of Prince Ferdinand, which, though well supported, proved ineffectual in drawing the enemy from their cover: he, therefore, determined to dislodge them from the wood by dint o small arms ."
