PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(action),termFreq(administr),termFreq(agre),termFreq(assign),termFreq(bond),termFreq(brought),termFreq(cafe),termFreq(cau),termFreq(charg),termFreq(cite),termFreq(condit),termFreq(court),termFreq(coven),termFreq(creditor),termFreq(death),termFreq(debt),termFreq(deceas),termFreq(decre),termFreq(defend),termFreq(devis),termFreq(dure),termFreq(estat),termFreq(evid),termFreq(execut),termFreq(executor),termFreq(gener),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(indentur),termFreq(judgment),termFreq(laid),termFreq(land),termFreq(law),termFreq(legaci),termFreq(life),termFreq(mention),termFreq(monei),termFreq(paid),termFreq(parti),termFreq(payment),termFreq(person),termFreq(plaintiff),termFreq(plea),termFreq(plead),termFreq(present),termFreq(prove),termFreq(receiv),termFreq(recit),termFreq(releas),termFreq(rent),termFreq(sever),termFreq(statut),termFreq(suit),termFreq(term),termFreq(wife),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0120300101_000104,"The accomplish'd conveyancer. Containing, the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law relating to all sorts of conveyances and deeds in general, ... By Giles Jacob, ...",Giles Jacob,134,1,0,10,3,13,0,0,1,0,4,0,1,2,10,0,1,1,0,0,0,0,2,3,1,3,14,0,6,3,1,10,2,1,1,3,3,0,2,2,3,2,1,1,4,0,0,0,5,0,0,0,0,5,2,1,1,4,1,1714,1,3,"[London] : In the Savoy: printed by J. Nutt, assignee of Edward Sayer Esq; for B. Lintott, 1714-15.",London,519,male,1686,1744,FALSE,"before mentioned and contained Cove Covenant for granting a further Term to the Tenant under thefame Rent and Covenants . A ND that the said A. B. his Heirs and Ass igns, hall and will at the Cois and Charges of the raid T. E. his Executors , Administrators or"
0409200101_000227,"Precedents in conveyancing, settled and approved by Gilbert Horseman, Late of Lincoln's Inn, Esq; and other eminent counsel. In two volumes, with proper tables. ...","Horseman, Gilbert",126,6,1,9,2,1,3,0,0,0,2,0,2,0,2,0,3,5,7,0,1,0,0,1,0,2,16,0,2,0,0,5,6,0,0,2,0,0,1,4,2,1,13,4,4,0,0,0,1,1,0,9,1,0,5,0,2,0,0,1768,1,2,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall; A. Millar; H. Woodfall; W. Strahan; J. Rivington; R. Baldwin; W. Owen; Hawes, Clarks, and Collins; W. Johnston; S. Crowder; J. Dodsley; B. Law; P. Uriel; T. Lowndes; W. Richardson; and A. Shuckburgh. M.DCC.LXVIII. [1768].",London,578,male,,,FALSE,"as the full Value of the Part and Share of or belonging to the said Party so dying of and in the said Joint stock and Trade, did or should appear to be or amount unto, by and according to the yearly Account then next before made and subscribed, together"
0596200102_000088,"A digest of the laws of England. By the Right Honourable Sir John Comyns, Knight; Late Lord Chief Baron of His Majesty's Court of Exchequer. ...","Comyns, John, Sir",100,1,3,10,0,1,2,0,0,0,0,0,1,1,1,0,0,6,0,4,3,1,0,1,0,2,18,0,0,0,0,1,0,0,0,1,9,3,1,0,7,2,0,2,1,3,2,3,0,1,1,0,2,2,0,1,1,1,1,1762,2,5,"London : printed by H. Woodfall, and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for John Knapton, Thomas Longman, and Robert Horsfield, MDCCLXII. [1762].",London,618,male,,,FALSE,"not o Law .. have Aid against the other, though' he did not intend to release the other. R. I Rol. 374 1 2 If a Deed or Will is not duly executed , Equity wvill not relieve. 2 t' r. 475 If one Executor receives and releases the whole"
0171801000_000013,"The grand precedent: or, the conveyancer's guide and assistant. Containing the several distinct parts of all manner of instruments, writings, conveyances and assurances, in one grand deed; as, The Dates; the Parties how written in all Cases; Recitals of Deeds; Considerations; Grants and Premisses, and Bequests in Wills, &c. Exceptions, Habendums, Habendums in Trust to Uses, &c. Reddendums, Conditions and Proviso's; Covenants, Warranties, &c. Not only in all common matters, but upon the most extraordinary occasions, when Things of the greatest Difficulty and Variety have happened. By Giles Jacob, gent.",Giles Jacob,104,5,0,3,0,6,0,0,2,0,2,0,1,3,3,0,0,3,0,2,5,0,1,3,0,0,4,0,1,0,5,10,6,0,2,4,2,2,0,3,1,3,1,2,8,1,1,0,1,0,0,2,0,0,0,1,0,2,3,1716,1,1,"London : printed by Eliz. Nutt, (executrix of J. Nutt, assignee of Edward Sayer, Esq;) for Daniel Brown, Bernard Lintot, T. Ward, W. Mears, J. Brown and T. Woodward, 1716.",London,566,male,1686,1744,FALSE,"cause to be paid unto the said C D. his Executors , Adminifrrators or Assigns , at or in,; C the full Sum of 52 1 of, dc. on, c. next enfuiin the Date of the said Indenture , without any Dedu ion, Defalcation or Abatement, for or by reason'"
0839000100_000033,"Reports of cases determined in the High Court of Chancery, from April 25. 1740. to May 9. 1741. With two tables; ... By Thomas Barnardiston, ...",Great Britain. Court of Chancery,118,0,0,2,0,1,2,2,10,0,3,6,0,2,0,7,1,10,0,0,0,3,1,11,0,0,5,1,0,0,0,3,0,0,1,8,2,2,0,1,1,3,1,6,8,2,0,0,6,1,1,1,0,0,2,1,1,0,0,1742,1,1,"[London] : In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer Esq;) and sold by W. Chinnery, 1742.",London,560,unknown,,,FALSE,"all my Debts be paid ; and "" I do charge all my Lands with the Payment thereof."" Then came the Clause, upon which, together with the other Circumfiances of the Cafe , the present Question principally determines. "" Item, I give all my real and personal "" Etate to"
0286200500_000067,"Sir Orl. Bridgman's Conveyances: being select precedents of deeds and instruments concerning the most considerable estates in England. Drawn and approved By that Honourable Person in the time of his practice. The second volume carefully corrected. To which is added, a large table, and every particular Covenant noted in the Margin to which it refers.","Sir Orlando Bridgeman, 1st Baronet, of Great Lever",102,0,0,6,1,10,0,0,1,0,3,1,1,1,2,0,1,1,0,0,0,3,1,1,0,3,6,0,5,0,2,6,1,1,1,1,6,0,0,2,2,4,2,4,5,0,1,0,5,0,2,2,0,3,0,4,0,1,0,1702,1,1,"London : printed by the assigns of Richard and Edward Atkins: for Richard Smith, at the Angel and Bible without Temple-Bar, MDCCII. [1702].",London,211,male,1606,1674,FALSE,"Gifts, Grants , Joyntures, Dowers, Entails, Ellates, Leases, Rights, Titles, Rents , Arrearages of Rents , lffues, Fines, Amerceaments, Debts , Duties, Judgments , Executions , Recognizances, Statutes Merchant, and of the Staple, Extents, Liberates, Seifures, Charges , Troubles, and Encumbrances whatsoever, had, made, committed, done, acknowledged, or suffered, or"
0640100101_000085,"The new pocket conveyancer, or, attorney's complete pocket-book: ... By James Barry Bird, ... In two volumes. ...","Bird, James Barry",122,0,0,8,2,7,4,0,0,0,17,0,2,1,1,0,1,1,1,0,0,0,3,0,0,2,9,0,4,3,1,2,1,0,0,1,3,0,3,2,1,4,1,8,0,0,1,0,7,0,2,2,1,10,0,0,2,4,0,1796,1,2,"London : printed for W. Clarke and Son, 1796.",London,380,male,,,FALSE,"annuity, yearly rent charge , or clear annual sum of/ s of, c. by half yearly payments , on the days and times, and in the manner therein and hereinafter expressed. And as a further security for the payment of the same, hath also duly executed a warrant of attorney,"
0836700201_000307,"A new and complete law-dictionary, or general abridgment of the law, on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq; The second edition, corrected. In two volumes. ...",Timothy Cunningham,126,0,1,1,0,2,5,4,5,0,3,0,1,1,3,2,1,6,0,0,9,1,0,0,0,3,11,0,0,3,5,9,0,0,0,7,1,1,2,0,1,0,0,2,1,7,0,12,0,0,4,0,0,3,2,4,0,1,2,1771,1,2,"London : printed by his Majesty's law printers, for W. Flexney; G. Kearsly; J. and F. Rivington; T. Longman and Robinson and Roberts, 1771.",London,896,male,,1789,FALSE,"V death , his executor received the rent several years, and in V an action brought against him, wherein the issue was, a whether he had assets or not, all this matter was found i specially but adjudged no assets, because the rent bei longed to the heir . Dyer"
0678400808_000255,"Reports of cases argued and determined in the Court of King's Bench, from Michaelmas Term 39 George III. 1798, to Trinity Term 40 George III. 1800, Both Inclusive. With Tables of the Names of Cases and Principal Matters. By Charles Durnford and Edward Hyde East, of the Temple, Esqrs. Barristers at Law. Vol.VIII.",Great Britain. Court of King's Bench,101,0,0,0,1,1,4,0,8,0,0,3,1,8,5,0,1,1,2,0,7,2,3,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,2,2,7,5,4,4,0,9,1,3,0,0,1,0,2,1,0,0,0,0,3,1800,8,8,"London : printed by A. Strahan, Law-Printer to the King's Most Excellent Majesty; for J. Butterworth, Fleet-Street, [1799]-1800.",London,733,unknown,,,FALSE,"entitled to the cofis up to the time of the defendant's paying money into court , though the plaintiff afterwards enter the record for trial and withdraw it. AB'SE S TIN H: IL ARY T E RWM either by instalments or as a gross sum, then the bond fhallbe void."
0503400300_000164,"The office and duty of executors; or, a treatise directing testators to form, and executors to perform their wills and testaments according to law. What a Man may give or dispose of by his Will; of Revocations and new Publications of Wills. Of the State of Things upon the Testators Death; what may be done by an Executor, &c. Of proving Wills, and of the Fees payable for the Probates. What Things shall come to Executors by or after the Testators Death. Cases between Heir and Executor; and of Suits by or against them; and of the Method of Payment of the Testator's Debts. Of Devastavit or Wasting; and of an executor in his own wrong. Of married Women and Infant Executors; of Legacies; of Executors of Executors; of Administrators. Originally compiled by that Approved and Judicious Author Thomas Wentworth of Lincoln's Inn, Esq; To which is added, the supplement of H. Curson, Gent. many Hundred References, by a Barrister of Grey's Inn; and since revised and brought down to the present Time, by Geo. Wilson, Serjeant at Law.","Doddridge, John, Sir",126,1,2,4,0,1,0,2,1,0,4,0,1,0,0,0,2,5,0,1,4,2,1,1,0,0,37,0,1,1,0,9,0,1,0,4,4,5,0,0,1,0,1,0,4,2,1,3,0,1,0,0,2,4,0,0,4,4,5,1774,1,1,"London : printed by W. Strahan and M. Woodfall, Law Printers to the King's Most Excellent Majesty. For, T. Waller, W. Strahan, P. Uriel, B. Tovey, and W. Flexney, MDCCLXXIV. [1774].",London,559,male,1555,1628,FALSE,"obligation at a day to come 103, 104 Where an arrest by an executor before probate is good, where not 104 Where executor upon non suit shall pay costs, where not 105 Executor obliged to pay a rent arrear upon a lease parol, determined before debt due by obligation o16,"
1064500102_000872,"A compleat body of conveyancing, in theory and practice. In two parts. Part I. Contains the Theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Part II. (in Two Volumes) Contains the Practice: Or, Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Public Funds; and in General all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, gent. deceased. The second edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. In three volumes.","Wood, Edward, conveyancer",142,1,0,1,1,11,4,0,4,0,1,0,1,0,7,28,1,20,0,1,1,0,0,6,0,3,4,2,1,0,0,1,0,3,0,0,0,0,1,3,8,5,1,2,2,0,0,0,0,0,1,1,5,2,7,0,2,0,0,1762,2,3,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall, T. Osborne, C. Hitch and L. Hawes, J. Beecroft, W. Strahan, J. Rivington, R. Baldwin, W. Johnston, T. Caslon, T. Longman, S. Crowder and Co. R. Withy, C. Ware and Co. W. Flexney, W. Bristow, T. Lownds, A. Shuckburgh, and P. Uriel, MDCCLXII. [1762].",London,901,male,,,FALSE,"extend, in Consideration whereof the subscribing Creditors release the Money due to them refpe&tively, with a Proviso to make the Release void in cafe the At signor has made any Concealment. Page 443 In Trust to pay Creditors where the Debtor produces an Account of his Effets on Oath, which"
1559600401_000019,"The new pocket conveyancer; or, Gentleman, tradesman, lawyer and attorney's magazine of law. Being a collection of choice approved precedents, useful for all lawyers, attornies, notaries, clerks, stewards, agents, merchants, tradesmen, and especially farmers and country gentlemen, consisting of agreements. Appointments. Assignments. Awards. Bargains and sales. Bills of sale. Bonds. Covenants. Declarations of trust. Defeazances. Disclaimer. Exchanges. Deeds of gift. Grants. Leases. Letters of Attorney. Letters of licence and composition. Memorials. Mortgages. Partitions. Partnership. Releases. Revocation. Separation. Settlements. Uses. Wills, &c. &c. Compiled from the best authors who have written on these subjects, with the addition of many excellent original precedents. By a gentleman of Lincoln's Inn.",Philip Carteret Webb,110,2,1,7,1,9,8,1,0,0,1,0,1,3,3,1,0,3,4,0,0,0,0,2,0,9,10,0,0,0,2,1,4,0,5,1,2,0,0,3,5,1,0,6,1,0,0,0,2,0,0,2,3,0,3,0,2,1,0,1761,1,2,"Dublin : printed for Richard Watts, in Skinner-row, M,DCC,LXI. [1761].",Dublin,197,male,1702,1770,FALSE,"my TRUE and lawful attorney, for me and in my name to Cue and prosecute the said execution upon the said judgement, and upon composition or agreement made concerning the premises, to acknowledge satisfaction, or to make and do any other release or discharge for the same; and all and"
1202400103_000012,"The first part of the modern conveyancer, or, conveyancing improv'd. Being a choice collection of precedents on most occasions, ... To which are added, opinions of several learned counsel, ... With an exact table to the whole.",,98,0,0,4,2,2,0,0,4,0,3,0,0,0,5,0,0,0,0,0,1,2,2,3,0,2,5,0,2,0,0,0,4,1,3,2,4,0,0,2,6,4,1,9,2,0,0,0,4,0,1,4,2,5,2,1,1,3,0,1725,3,3,"[London] : In the Savoy, printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for J. Walthoe, 1725.",London,387,unknown,,,FALSE,"these Presents . And that from and after Default A Covenant thall be made bs, or in Payment of the said to enter, and Sum of 469 1 3 s. 4 d. or any Part thereof, on quiet Enjoy the Day or Days herein before limited; or of or Default."
1410600101_000285,"The reports of the most learned Sir Edmund Saunders, Knt. late Lord Chief Justice of the King's Bench, of several pleadings and cases in the Court of King's Bench, in the time of the reign of His Most Excellent Majesty King Charles the Second. With three tables: the first, of the names of the cases; the second, of the matters contained in the pleadings; and the third, of the principal matters contained in the cases. The third edition. with notes and references to the pleadings and cases, By John Williams, Sarjeant at Law. In two volumes.",Great Britain. Court of King's Bench,94,2,0,2,0,1,4,0,1,0,1,0,1,2,4,0,0,4,0,0,9,1,0,2,0,0,2,1,2,0,4,0,2,3,0,1,0,0,3,3,3,2,0,0,2,5,3,12,1,0,0,1,1,2,1,1,0,1,4,1799,1,3,"London : printed by A. Strahan, Law-Printer to the King's Most Excellent Majesty, for T. Cadell Jun. and W. Davies, in the Strand; and W. Clarke and Son, Portugal-Street, Lincoln's-Inn Fields, 1799.",London,671,unknown,,,FALSE,"kept on foot by fraud. 333 -- - As to the other judgement, that fatisfaaion is acknowrledg~ed on the r ecord. 334 sthat the defendant had assets over and above the jurdgments, mid the de'ot due to himself. bd 97 zerif~care, and does not tender an ifirue, and therefore bad."
0755300100_000095,"Reports of cases argued and determined in the High Court of Chancery. By William Brown, of the Inner-Temple, Esq; Barrister at Law. Volume the first. From Trinity Term, in the eighteenth, to the conclusion of the twenty-fifth year of the reign of his present Majesty King George the third, both inclusive.","Brown, William",144,2,2,0,0,0,3,1,7,0,0,1,0,4,0,10,0,6,3,11,6,1,0,20,0,2,4,0,1,0,2,2,0,0,0,1,7,1,3,0,1,1,4,6,14,7,0,0,2,1,0,0,0,0,1,0,2,2,3,1790,1,1,"London : printed by A. Strahan and W. Woodfall, Law-Printers to the King's Most Excellent Majesty: for E and R. Brooke, Bell-Yard, Temple-Bar, MDCCXC. [1790].",London,651,male,1747,1794,FALSE,"estates in particular places, and the estates devised ceedi""i at law again II to his wife for her life , after her decease , and also his household the executor . goods and furniture given to his wife for life , after her decease , and all other his freehold,"
0232400102_000254,"A digest of the laws of England. By the Right Honourable Sir John Comyns, Knight, Lord Chief Baron of his Majesty's Court of Exchequer. The fourth edition, corrected, and continued to the present time, by Samuel Rose, Barister at Law, of Lincoln's Inn. In six volumes. ...",Samuel Rose,94,1,2,2,0,0,3,2,0,0,1,0,0,1,0,2,1,10,0,2,9,4,0,2,1,2,2,2,0,3,0,2,0,3,0,4,5,2,0,0,3,6,3,4,0,4,0,1,1,0,0,0,0,0,0,1,2,0,1,1800,2,6,"London : printed by A. Strahan , Law-Printer to the King's Most Excellent Majesty ; for T. N. Longman and O. Rees, G. G. and J. Robinson, T. Cadell, Brooke and Rider, W. Otridge, J. Butterworth, J. Walker, Clarks and Son, and R. Banister, 1800.",London,760,male,1767,1804,FALSE,"the court could not proceed to give relief, aliho' the party could not, on objections of form, have the efiec of the evidence at law . Lee V Shnlbredt Aflr. 83.] [Bill fora difcoverv whether the defendant had not contributed to the expznce of a suit to try a general"
0068900201_000248,"Precedents in conveyancing, settled and approved by Gilbert Horsman, ... and other eminent counsel. In three volumes, with proper tables. ...","Horseman, Gilbert",113,3,1,10,2,4,2,0,0,0,2,0,2,0,4,0,0,3,2,0,1,0,0,1,0,3,15,0,5,0,1,5,6,0,3,1,3,0,0,2,3,1,4,2,1,0,0,0,3,0,2,9,3,0,3,0,1,0,0,1744,1,3,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edward Sayer, Esq;) for John and Paul Knapton, 1744.",London,616,male,,,FALSE,"same, and taken upon them the Burden of the Execution thevaled thereof. And whereas the full Value of the Part and Share of or bis XI E belonging to the said Dennis Afdon of and in the said Joint stock and Trade, did, upon and according to the last Yearly"
0977700400_000061,"Lex vadiorum. The law of mortgages. Wherein is treated, the nature of mortgages, either by deed absolute, and the several sorts of proviso's therein; Or by Defeazance, Demise and Redemise, Covenant, or otherwise: With special Clauses, Conditions, &c. Illustrated by many Precedents and adjudged Cases. Also of Payment of Mortgage Money, by whom and to whom; and several Cases and Rules of Tender, &c. Likewise of Assignments of Mortgages; and the Manner of Transferring, Accounting, &c. With proper Precedents thereof. And further, Of the Equity of Redemption, and the Nature of it, and by what Rules 'tis govern'd, and of Releases thereof, and how transferrable or extinguishable: With the Niceties of buying in precedent Incumbrances, &c. with Precedents of Bills, Answers, Pleas, &c. The third edition; with the addition of modern cases of mortgages, Pawns, Pledges, &c. lately adjudged at Common Law, and in Equity. By Samuel Carter of the Inner Temple, Esq;","S. C. (Samuel Carter), of the Inner-Temple, Esquire",105,0,0,1,0,3,1,0,7,0,2,0,2,3,4,0,0,5,0,5,1,3,1,5,3,1,1,0,0,0,2,8,1,1,2,10,0,0,1,1,7,5,0,3,0,0,1,0,0,1,0,0,1,1,2,2,0,1,7,1737,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for J. Stagg in Westminster-Hall, MDCCXXXVII. [1737].",London,302,unknown,,,FALSE,"who are L itneffes thereto, and where they live, and whether the same was sealed and executed on the Day it bears Date, and whether the said T. C the Father, did make such a Contradc, and levy such a Fine to H. W. as aforesaid, and may also set"
0997000101_000122,"A digest of the law of actions and trials at nisi prius. By Isaac 'espinasse, of Gray's Inn, Esq. Barrister at Law. The third edition, corrected, with considerable additions from printed and manuscript cases. In two volumes. ...",Isaac Espinasse,108,6,5,4,0,2,11,3,3,0,1,0,2,9,1,4,2,13,0,0,1,0,1,0,0,0,8,0,1,0,0,3,0,0,0,2,1,1,0,0,1,0,1,0,2,1,3,4,1,1,0,0,1,1,0,4,0,2,2,1798,1,2,"London : printed by A. Strahan , Law-Printer to the King's most Excellent Majesty : for J. Butterworth , Fleet-Street ; and T. Cadell Jun. and W. Davies, Strand, 1798.",London,469,male,1758,1834,FALSE,"this account is not examinable unless a party interested comes in and controverts it. And the condition of the bond being that he stall administer well and truly, that fiall be construed in bringing in his account , and not in paying the debts of his intestate: and therefore a"
0432000100_000418,"Lex mercatoria rediviva: or, the merchant's directory. Being a complete guide to all men in business, Whether AS Traders, Remitters, Owners, Freighters, Captains, Insurers, Brokers, Factors, Supercargoes, Agents, Containing an account of our mercantile companies; of our colonies and factories abroad; of our Commercial Treaties with Foreign Powers; of the duty of consuls, and of the Laws concerning Aliens, Naturalization, and Denization. To Which IS Added, a sketch of the present state of the commerce of the whole world; describing the Manufactures and Products of each particular Nation; with Tables of the Correspondence and Agreement of their respective Coins, Weights, and Measures. Extracted from the works of the most celebrated British And Foreign Commercial writers. The whole equally calculated for the Information and Service of the Merchant, Lawyer, Member of Parliament, and private Gentleman. By the late Wyndham Beawes, Esq; His Britannick Majesty's Consul at Seville and St. Lucar. The fourth edition, considerably improved, enlarged, and altered to render it suitable to the present Time, by Thomas Mortimer, Esq; Formerly his Majesty's Vice Consul at Ostend, and Author of several Commercial Treatises.",Thomas Mortimer,82,0,0,0,0,4,1,3,1,0,1,1,0,1,2,4,0,5,0,5,4,2,1,4,0,1,1,0,0,0,0,0,0,0,0,4,0,3,4,1,4,2,2,2,1,7,2,0,0,1,1,1,0,0,0,3,0,1,2,1783,1,1,"London : printed for J. Rivington, and Sons, T. Longman, B. Law, S. Crowder, T. Cadell, G. Robinson, J. Sewel, and R. Baldwin, MDCCLXXXIII. [1783].",London,973,male,1730,1810,FALSE,"in Tail Male, Remainder to the Use of his Cousin Edward Manfell in Fee, and charges the Estate with a Debt of 12001 and dies. The Plaintiff's Mother intermarried with Sir edwardmanfi'l, and in 1 685, they, with the remainderman in Fee, join in a Feoffment, with a Covenant tolevy"
1064300300_000088,"A treatise upon the law of mortgages. By John Joseph Powell, Of the Middle Temple, Esq; Barrister at Law.",John Powell,107,0,0,0,0,0,3,1,3,0,3,1,0,4,1,1,0,2,1,2,1,14,0,4,0,0,4,0,2,0,1,3,0,0,6,8,0,12,1,0,8,4,0,1,1,4,0,0,1,0,0,0,1,2,1,1,0,1,4,1785,1,1,"London : printed by his Majesty's law printers; for P. Uriel, Inner-Temple-Lane, and T. Whieldon, Fleet-Street, M,DCC,LXXXV. [1785].",London,560,male,1755,1801,FALSE,"in tail; theeldeft son, being also executor , paid the bonds with the personal estate ; the legatees brought a bill to be let into the real estate in the place of the bond creditors , and be paid out of the land . But although the court admitted, that,"
0977900101_000186,"Cases argued and adjudged in the High Court of Chancery. Published from the Manuscripts of Thomas Vernon, Late of the Middle Temple, Esq; By order of the High Court of Chancery. Vol. I.","Vernon, Thomas",119,1,0,0,1,1,9,3,2,0,2,0,0,6,0,3,0,9,0,5,1,2,0,11,1,2,3,0,0,0,1,5,0,1,0,7,2,0,6,0,4,7,2,3,2,1,1,1,0,2,0,0,0,4,2,1,0,5,0,1726,1,2,"Dublin : printed by J. Watts, and sold opposite the Watch-House, on the North-Side of College-Green, MDCCXXVI [1726].",Dublin,607,male,1654,1721,FALSE,than there may on a Bill of Review but in the Spiritual Courts they allow new Evidence upon Appeals. 443 Appeals lie from the Court of EQUITY at Lancaster to the Duchy Court . Ibid. Zppottionmmt. Vide tberagr. Btrent an t Consent. Vide lgncp. The Consent of Counsel shall not
1202000901_000293,"The complete conveyancer; or, the theory and practice of conveyancing in all its branches. The practical part consisting of Precedents of every Kind that the Practisers of the Law of every Denomination can posiibly have Occasion to consult in the Course of Business. Particularly under the following heads, viz. Acknowledgments Acquittances Acts of Parliament relating to Conveyancing Affidavits Agreements of all Kinds Annuities Appointments Articles Assignments of all Kinds Awards Bargain and Sale Bills Bonds of all Kinds Certificates Charter-Parties Collateral Securities Compositions of Creditors Conditions Confirmations Consent Consideration Copartnership Copyhold Precedents Covenants Declarations Deseasances Demise Deputations Disclaimer Distribution Distress Enfranchisement Exceptions Exchange Feosments Fines Gift (deeds of) Grants Indemnity Indorsements Inrollment of Deeds Jointures Leases of all Kinds Lease and Release Letters of Attorney Letters of Licence Limitations of Uses Licence Livery of Seizin Memorials Mortgages Orders Partition Petitions Presentation Provisoes Receipts Recitals Reconveyances Recoveries Releases Resignations Revocations Separation (deeds of) Settlements Surrenders Uses Warrants of Attorney Warrants Will, &c. the theoretical part consists of the Law of Conveyancing; or, the Various Methods of Acquiring and Conveying Estates, both real and personal. By William Newnam of the Inner Temple, Esq. and others.",William Newnam,94,1,0,3,1,8,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,2,3,9,0,1,5,0,1,0,1,3,2,0,3,4,0,2,2,4,1,4,1,1,2,0,0,0,3,0,0,3,1,3,4,0,1,5,3,1781,1,3,"London : printed for S. Bladon, in Pater-Noster-Row; and sold by all booksellers, &c. in Great-Britain and Ireland, [1781].",London,699,male,,,FALSE,"herein before recited indentures of lease and release , and indenture of demise contained, for the sum of, c. Iob, tlji sil tlltnttlrte ilitfltefeti, That for and in confi congci""'ratio"" deration of the sum of ten liillings of, c. to the said A. C in hand paid by the laid"
0231600100_000039,"Precedents in Chancery: being cases argued and adjudged in the High Court of Chancery, In the Reigns of King William the Third, Queen Anne, and the first Eight Years of King George the First, viz. from 1689 to 1722. By a late careful and judicious hand.",Great Britain. Court of Chancery,104,1,1,2,2,7,1,0,7,0,1,1,0,3,0,0,1,1,0,2,2,4,2,1,0,1,1,1,2,0,0,3,0,0,0,1,2,3,3,1,6,2,1,0,1,3,0,0,0,0,1,0,2,2,0,0,1,1,27,1750,1,1,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by J. Worrall, at the Dove in Bell-Yard, near Lincoln's Inn, MDCCL. [1750].",London,635,unknown,,,FALSE,"could be no Relief, the Law being with the Defendants . Tis loney belonged to the Admiaifiilnr d: hris are, rc. of the Wife , and is diltributable amongst htr nest of Kia. tides between himself of the one Part, and some of his Wife's Relations of the other Part,"
0596000101_000180,Sir Orl. Bridgman's conveyances: being select precedents of deeds and instruments concerning the most considerable estates in England. ...,"Sir Orlando Bridgeman, 1st Baronet, of Great Lever",113,0,0,6,1,9,0,0,0,0,2,0,0,0,3,0,0,1,1,1,0,1,4,4,0,1,7,0,5,1,1,5,2,1,1,0,6,0,0,2,4,3,0,6,5,0,0,0,3,0,0,0,4,12,1,2,2,6,0,1725,1,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer Esq;) for R. Gosling; and Winstanley Battersby, 1725.",London,409,male,1606,1674,FALSE,"in Payment of the uponforfei laid Moneys herein before covenanted to be paid , or of any Part thereof, tre to entler at any of the Times herein before limited for Payment thereof, That then enjoy. and from thenceforth it shall and may be lawful to and for the said"
