PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(arm),termFreq(armi),termFreq(cafe),termFreq(carri),termFreq(caus),termFreq(common),termFreq(confid),termFreq(continu),termFreq(countri),termFreq(debt),termFreq(declar),termFreq(end),termFreq(enemi),termFreq(engag),termFreq(england),termFreq(fleet),termFreq(forc),termFreq(franc),termFreq(french),termFreq(gener),termFreq(god),termFreq(govern),termFreq(hand),termFreq(hous),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(late),termFreq(law),termFreq(littl),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nation),termFreq(natur),termFreq(noth),termFreq(number),termFreq(order),termFreq(parliament),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(public),termFreq(reason),termFreq(reign),termFreq(roman),termFreq(ship),termFreq(spain),termFreq(state),termFreq(taken),termFreq(tax),termFreq(think),termFreq(trade),termFreq(treati),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1107200108_000153,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq. ... . A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,97,2,0,0,1,1,0,0,0,0,0,1,0,3,1,0,2,3,0,0,2,1,1,0,2,0,0,5,1,1,2,3,0,3,1,1,1,0,0,1,0,10,5,2,0,0,1,5,0,0,4,0,0,2,14,5,1,0,3,1,5,1792,8,8,"Edinburgh : printed for G. Mudie, J. Elder, A. Guthrie, J. Hunter, J. & J. Fairbairn, T. Brown, J. Guthrie, Lawrie and Symington, J. Watson, & Co. and C. Elliot, Edinburgh: W. Coke, Leith, and W. Anderson, Stirling, M,DCC,XCII. [1792].",Edinburgh,565,male,1711,1776,TRUE,"Francis Drake, 234 Seminaries founded abroad for the education of Englifl Catholics, 236 Eftabliflment of the court of ecclelialtical conimiffion, 262 Preparations for refilting the Spanish invincible armada, 334 The armada deftrnyed, 343 Enormous grants of monopolies by Elizabeth, 439 Dlath of Queen Elizabeth, 447 Review of the ( late"
0418600702_000049,"An history of England, in a series of letters from a nobleman to his son. ...",Oliver Goldsmith,80,0,1,2,0,1,0,2,4,1,0,1,0,3,0,1,1,3,1,1,2,1,0,0,0,0,8,3,2,1,0,0,0,0,2,1,1,0,0,0,2,1,1,1,0,2,1,1,0,2,0,0,3,10,0,2,0,0,1,5,5,1786,2,2,"London : printed for T. Carnan, in St. Paul's Church-Yard, MDCCLXXXVI. [1786].",London,288,male,1728,1774,TRUE,"in the bay of Campeachy, in America; a right which had been often acknowledged, but never clearly explained, in all former treaties between the two kingdoms . Their Guarda Coflas plundered the Engl: fh merchants with impunity; and upon the least resistance behaved with insolence, cruelty, and rapine. The subjects"
0736600401_000114,"The political and commercial works of that celebrated writer Charles D'Avenant, LL.D. Relating to the Trade and Revenue of England, The Plantation Trade, The East-India Trade, And African Trade. Collected and revised by Sir Charles Whitworth, Member of Parliament. To which is annexed a copious Index. In five volumes. Volume I.",Charles Davenant,96,0,0,0,4,1,4,0,0,0,1,4,0,0,0,2,2,2,4,1,4,4,0,0,0,1,0,0,4,1,1,0,1,2,0,1,4,2,0,2,1,0,1,3,0,0,0,0,0,0,1,1,1,2,0,1,0,0,14,1,18,1771,1,5,"London : printed for R. Horsfield in Ludgate Street, T. Becket and P. A. Dehondt, and T. Cadell in the Strand, and T. Evans in King Street, Covent Garden, MDCCLXXI. [1771].",London,468,male,1656,1714,FALSE,"hence as left the kingdom at every turn unguarded; so that we mutt have been liable to frequent inlults upon our coast and invasions, if our whole naval strength had VOL, I.) d not not, been kept together in one gross, and in a body, which is inconsistent with the"
0481500301_000145,"Parliamentary papers; consisting of a collection of Kings speeches, messages to Parliament, ... from the Restoration in 1660 to ... 1796. A complete and correct collection of the Lords protests, ...",England and Wales. Parliament,72,0,1,1,1,0,0,0,3,0,0,1,0,3,0,2,1,1,1,2,2,3,1,1,1,0,0,6,1,0,1,0,0,0,3,0,1,0,2,2,1,1,2,1,2,2,0,3,1,2,0,1,0,0,3,2,1,0,0,4,5,1797,1,3,"London : printed for J. Debrett, 1797.",London,771,unknown,,,FALSE,"loyal fubjecs, the Commons England , in Parliament assembled, having taken inti our most serious consideration the condition and ate of tbi nation , in refpea of France , and foreign alliances, in ord: to which we have examined the mifchiefs'brught upon Chis tendom, in late years, by the French"
0144400201_000112,"The general history of the late war: containing it's rise, progress, and event, in Europe, Asia, Africa, and America and exhibiting the state of the belligerent powers at the commencement of the war; their Interests and Objects in its Continuation; and Remarks on the Measures, which led Great Britain to Victory and Conquest. interspersed with The Characters of the able and disinterested Statesmen, to whose Wisdom and Integrity, and of the Heroes, to whose Courage and Conduct, we are indebted for that Naval and Military Success, which is not to be equalled in the Annals of this, or of any other Nation. And with accurate descriptions of the seat of war, the Nature and Importance of our Conquests, and of the most remarkable Battles by Sea and Land. Illustrated with A Variety of Heads, Plans, Maps, and Charts, Designed and Engraved by the best Artists. ... . By the Rev. John Entick, M.A. and other gentlemen.",John Entick,71,0,0,1,0,1,1,0,1,1,1,2,0,1,0,1,1,2,2,0,4,4,0,0,1,2,0,2,2,1,2,1,0,1,1,0,4,0,0,2,1,0,0,2,0,0,0,1,1,0,0,0,7,0,4,2,1,2,1,2,5,1779,1,5,"London : printed for Edward and Charles Dilly. in the Poultry, M.DCCLXXIX. [1779].",London,506,male,1703,1773,FALSE,Furnace Hinde Granado SLOOPS. Scorpion A. D. Albany. Shark 1756 Badger Speedwell Baltimore Swallow Cruizer Swan Dispatch Swift Falcon Trial Ferret Viper Fly Vulture Fortune Wasp Grampus Weazle Happy Wolf Hazard Hornet YACHTS. Hound Catherine Jamaica Charlotte Kingfilher Dorset Otter Fubbs Peggy Mary Peregrine William and Mary Porcupine Bolton Ranger
0008300109_000010,"The history of England, from the earliest dawn of record to the peace of MDCCLXXXIII. By Charles Coote, LL. D. Of Pembroke College, Oxford; Author of Elements of the Grammar of the English Language. ...","Coote, Charles",68,1,1,1,3,0,0,0,0,0,2,2,0,1,0,1,0,2,2,0,3,4,2,0,0,1,1,3,1,1,1,0,0,0,0,0,1,0,1,3,1,0,1,1,3,1,1,0,1,0,0,0,5,4,1,1,0,0,2,4,4,1791,9,9,"London : printed for the author, and sold by C. Stalker, NO. 4. Stationers Court; J. Fletcher, Oxford; the Merrils, Cambridge; and all other booksellers, MDCCXCI. [1791].",London,547,male,1761,1835,FALSE,"they cannoniaded the townr with spirit, miiide nob apparent impression., The rear admiral eagerly'ende'avoutrd to make a breach ili the courtine, butt he fou'nic it impra6tiecable. He at length, calledl council of'war  in which' it, vas unanimouily determined, that the siege hotld be relinuliiflied. The .*; ""- -. -"
1279100800_000002,An address to the House of Commons of Ireland: by a freeholder.,"Caldwell, James, Sir",83,0,3,0,0,0,1,1,5,1,0,0,1,2,0,1,1,2,0,1,7,2,2,0,0,1,0,0,1,0,1,0,1,0,2,3,9,0,0,0,0,0,1,2,1,5,1,0,2,2,0,0,1,1,2,2,2,0,2,3,8,1771,1,1,"[Dublin?] : Printed in the year, 1771.",Dublin,44,male,,,FALSE,"to keep what we gain, and when our gain keeps our National Credit firm, and the value of money nearly upon a par with the value of money in other nations , great increase of gain by few hands , is a manifest disadvantage; it increases the value of labour;"
0129708300_000002,An address to the House of Commons of Ireland: by a freeholder.,"Caldwell, James, Sir",83,0,3,0,0,0,1,1,5,2,0,0,1,2,0,1,1,2,0,1,7,1,2,0,0,1,1,0,1,0,1,0,1,0,2,3,9,0,0,0,0,0,1,2,1,5,0,0,2,2,0,0,1,1,1,2,2,0,3,3,8,1771,1,1,"[Dublin?] : printed in the year, 1771.",Dublin,42,male,,,FALSE,"to North America, the North America trade would be better; for this only would enable us to keep what we gain, and when our gain keeps our National Credit firm, and the value of money nearly upon a par with the value of money in other nations , great increase"
0487800101_000047,"The rise, progress, and present state of the northern governments; viz. the United Provinces, Denmark, Sweden, Russia, and Poland: or, Observations on The Nature, Constitution, Religion, Laws, Policy, Customs, and Commerce of each Government; The Manners and Dispositions of the People; Their Military Forces by Land and Sea; The Revenues and Resources of each Power; and on The Circumstances and Conjunctures which have Contributed to Produce the Various Revolutions which Have Happened in them. The Whole Digested from the Most Authentic Records and Histories, and from the Reflections and Remarks Made During a Tour of Five Years through these Nations. By J. Williams, Esq. In two volumes. ...","Williams, John           1783           fl. 1783",81,1,1,2,3,0,0,2,1,0,0,3,1,0,0,0,0,1,2,3,4,0,3,0,2,0,0,0,1,3,0,0,1,0,1,1,0,2,0,1,0,0,1,2,1,2,3,3,4,0,2,0,3,0,7,0,4,0,2,0,8,1777,1,2,"London : printed for T. Becket, Adelphi, Strand, Bookseller to their Royal Highnesses the Prince of Wales, Bishop of Osnabrugh, Prince William, and Prince Edward, M.DCC.LXXVII. [1777].",London,698,unknown,,,FALSE,"war or public danger, the generality agree to levy extraordinary contributions: as sometimes the one hundredth penny of the estates of all the inhabitants, the poll tax , or any other subsidies and payments, according as they can agree, and as the occasion is more or less pressing. Formerly they"
0614201600_000005,"The conduct of the allies, and of the late ministry, in beginning and carrying on the present war.",Jonathan Swift,82,0,2,1,1,1,0,0,2,0,0,1,1,3,1,4,3,2,0,3,2,6,3,0,3,1,1,2,0,0,0,0,0,1,0,0,2,2,2,0,0,0,3,1,0,0,0,1,1,1,0,0,0,3,2,1,1,0,1,2,15,1711,1,1,"London : printed for John Morphew, near Stationers-Hall, 1711.",London,47,male,1667,1745,TRUE,"hastily engaged in a War which bath cost us sixty Ivillions; and after repeated, as well as nnexpeted Snccefs in Arms , bath put us and our Posterity in a worse Condition, nor only ibn any of our Allies, but even our conqnered Enemies themselves. The part we have ared"
1075800100_000018,"Letters concerning the present state of England. Particularly respecting the politics, arts, manners, and literature of the times.",,82,0,0,1,0,2,2,0,1,1,3,1,1,0,1,0,1,2,1,3,6,2,3,0,1,0,1,0,1,3,1,0,2,1,1,1,4,0,0,0,0,2,3,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,20,1772,1,1,"London : printed for J. Almon, opposite Burlington-House, in Piccadilly, MDCCLXXII. [1772].",London,401,unknown,,,FALSE,"1 am not arraigning the particu; ar conduca of that glorious war ; but only stewing. that a greater land force might certainly have been employed in fubordlntition to the navy. However, let us in the second place grant the, that as many troops were so employed as could have"
0207400200_000290,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing, I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System, and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength, Orders of Knighthood, &c. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruing, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To Which Are Added, I. A Geographical Index, with the Names of Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. Illustrated with a correct set of maps, engraved by Mr. Kitchin, Geographer.",William Guthrie,78,2,2,0,1,1,1,2,0,1,0,2,0,0,0,0,0,1,1,0,6,2,7,0,4,0,0,2,1,1,1,0,1,1,0,3,6,2,0,3,0,5,2,2,1,2,1,1,2,0,0,0,0,0,1,0,2,1,1,1,2,1785,1,1,"London : printed for Charles Dilly, in the Poultry; and G.G.J. and J. Robinson, in Pater-Noster Row, 1785.",London,972,male,1708,1770,FALSE,"nation in general thinks the parliament its natural guardian against the court. The kingdom of France is divided into thirty governments , over each of which is appjinted a king's lieutenant- general , a superintendant, who pretty much resembles the lord lieutenants in England , but their executive powers are"
1219200201_000016,"The Mitre and Crown; or, Great Britain's true interest. In which our constitution in church and state will be explain'd and defended, and a short account of most valuable books given, with some original pieces, and law-cases. And also an abstract of what is material in the several publick papers, with the usual common news. And an account of births, marriages, preferments, deaths, &c. To be be publish'd at the middle and end of each month. By a gentleman late of the Temple.","Osborn, George",75,1,0,0,2,0,0,1,6,0,1,1,0,1,2,3,1,1,2,0,0,2,2,0,2,1,1,2,0,0,0,2,1,0,1,1,3,2,0,0,0,4,7,7,0,1,0,2,0,0,0,3,1,1,1,0,1,1,0,1,3,1748,1,2,"London [England] : printed for the author, and sold by J[ohn]. Fuller in Ave-Maria Lane, and by all the booksellers in town and country, [1748]-",London,693,male,1748,1751,FALSE,"and observes the Passages in Commonwealths, will "" find a Touch of Ingratitude towards their Citizens in "" them all."" Allows this as Fact, but thinks it may be accounted for better than by making the blackest of all Vices the Characteristic of Human Nature ; for he has a"
0428500700_000063,"Dr. Goldsmith's history of England, abridged by himself. For the use of schools.",Oliver Goldsmith,71,1,2,1,4,0,3,0,5,0,0,1,0,3,2,0,0,1,1,2,1,2,0,0,1,0,2,6,1,1,1,2,0,1,0,1,1,0,0,0,3,3,0,1,2,1,1,3,0,0,2,0,1,1,0,1,1,0,0,1,4,1799,1,1,"Air : printed by J. & P. Wilson, for Andrew Brydon, bookseller, Glasgow, 1799.",Ayr,356,male,1728,1774,TRUE,"ur rome time, they were obliged to faii towards z aland, where no proper measures were yet consulte. for their disembarkation. Meanwhile, a pefti!ential distemper crept in among the forces so long cooped up in narrow vessels; ialf the army died, while on board, and the other half, weakened by"
0098000205_000017,"The works of Jonathan Swift, D.D, D.S.P.D. in eight volumes. Containing, I. His miscellanies in prose. II. His poetical writings. III. The travels of Capt. Lemuel Gulliver. IV. Papers relating to Ireland, and the Drapier's letters. V. The conduct of the allies, and the Examiners. VI. The publick spirit of the Whiggs, &c. with Polite conversation. VII. Letters to and from Dr. Swift. VIII: Directions to servants, sermons, poems, &c.",Jonathan Swift,91,0,0,0,1,0,2,1,0,1,0,2,0,1,1,1,2,0,0,0,2,2,3,1,1,0,4,5,4,2,1,0,0,0,0,0,2,1,0,1,1,0,7,0,1,2,0,1,1,4,0,0,0,8,5,2,0,0,2,8,8,1741,5,8,"Dublin : printed by George Faulkner, in Essex-Street, M,D,CC,XLVI. [1741-1746].",Dublin,354,male,1667,1745,TRUE,"any of there, the least mention of demanding Spain for the House of aujiria, or of refusing any Peace without that Condition. Having already made an extract from both Declarations of War , I shall here give a Translation of the Eighth Article Article in the Grand Alliance, which will"
0909900103_000044,"The works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes, complete. Published by David Mallet, Esquire. ...","Henry St John, 1st Viscount Bolingbroke",79,1,0,1,1,0,1,3,0,2,0,3,3,1,0,0,4,0,1,0,3,0,0,0,2,0,1,3,0,3,1,0,1,1,1,1,7,1,1,0,1,0,0,2,0,1,4,1,2,2,0,0,0,1,3,4,4,0,0,1,6,1793,3,5,"Dublin : printed by P. Byrne, Grafton-Street, M.DCC.XCIII. [1793].",Dublin,550,male,1678,1751,TRUE,"that the very manner in whlich this rebellion was begun, flews abundantly that it was a start of passion, a sudden frenzy of men transported by their resentment, and nothing less than the execution of a design long premeditated and prepared. The other is, that few examples are to be"
0333901304_000051,"The history of the Puritans, or, Protestant non-conformists, ... with an account of their principles; ... By Daniel Neal, M.A. In four volumes. ...",Daniel Neal,60,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,2,1,2,2,1,0,2,1,1,3,1,1,0,2,1,0,1,0,3,0,0,1,2,2,0,1,4,1,1,1,3,1,0,0,2,1,0,1,2,0,1,2,2,1755,4,4,"Dublin : printed for Brice Edmond, 1755.",Dublin,551,male,1678,1743,FALSE,"this, together with the infurreetions in several parts of the Country , induced him for his greater security to canton the Nation into eleven Difirics, and place over them Major Generals , whole Commission was to infpeet the behaviour of the inferior Commissioners within their Difirics; to commit to prison"
1090501701_000103,"The history and proceedings of the House of Commons of Great Britain; with the speeches and debates in that house, from the death of Her late Majesty Queen Anne. Being an Exact and Impartial Collection not only of all such Speeches and Debates as have already appear'd in Print, But Likewise, Several Others never before Published; With The Numbers Pro and Con upon every Division. To which is added, an appendix, Consisting Of I. Several Papers necessary to illustrate some Particulars in the Course of the Debates. II. The Names of the Members who voted on the most remarkable Points, with their several Posts under the Government. III. Compleat Lists of every Parliament, with the several Alterations therein by undue Elections, Double Returns, Deaths and Promotions of the respective Members. ... .",Great Britain. Parliament. House of Commons,71,0,0,0,0,0,1,0,2,2,1,2,2,0,2,2,1,0,0,3,1,0,2,1,1,0,5,0,3,1,1,0,1,1,0,0,1,0,1,0,3,1,2,2,2,1,3,0,3,1,1,0,1,3,0,3,0,1,1,4,2,1741,1,3,"London : [s.n.], Printed in the Year M,DCC,XLI. [1741].",London,440,unknown,,,FALSE,"of Accommodation, that Court has lately given Orders at all the Ports of Spain and of the wert indies, to fit out Privateers, and to take our Ships . "" I am persuaded that a Britilh Parliament will enable "" m to resent such Treatment, as becomes us; and it"
0018500104_000509,"A general history of England. ... . Containing an Account of the first Inhabitants of the Country, and the Transactions in it, from the earliest Times to the Death of King John, A. D. Mccxvi. By Thomas Carte, an Englishman.",Thomas Carte,66,0,0,0,0,0,2,1,1,0,2,2,2,1,1,1,1,3,2,1,2,3,1,0,3,0,2,6,1,0,0,0,1,0,1,5,1,0,2,1,1,3,1,0,1,2,0,2,1,0,0,0,0,1,0,2,0,0,1,1,1,1747,4,4,"London : printed for the author, at his House in Dean's Yard, Westminster. And sold by J. Hodges, at the Looking-Glass facing St. Magnus' Church, London Bridge, MDCCXLVII. [1747]-55.",London,687,male,1686,1754,FALSE,"would produce, take away all hopes of his being restored by French fuiccours, which were more easily to be transported, and continually reinforced from that country , than from any other in Europe; and would be the more dangerous in England , if that court ent over a body of"
0512200200_000011,"Considerations on the present and future state of France. By M. de Calonne, Minister Of State. Translated from the French.",Charles Alexandre de Calonne,69,1,0,1,1,0,0,1,1,0,1,0,0,1,1,3,2,2,1,4,2,1,1,0,1,1,0,1,1,1,0,1,1,1,2,0,4,1,1,0,1,0,2,0,0,1,1,0,1,5,0,0,2,4,0,0,0,1,1,6,4,1791,1,1,"London : printed for J. Evans, Paternoster-Row, M.DCC.XCI. [1791].",London,543,male,1734,1802,FALSE,"What indispensable obligation has prevented them from reflecting, that if the contempt of discipline in our land forces has brought the kingdom into the mott perilous situation, the dane ger t Is 1 But as this time must arrive, let us suppose that, towards the end of this year, the"
0014700103_000041,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,70,0,0,0,1,0,1,0,3,1,2,2,2,1,0,0,2,3,1,1,1,1,0,0,0,0,4,5,3,1,0,1,1,1,1,0,2,4,1,1,1,3,3,2,0,1,1,6,0,0,0,0,1,1,0,1,0,0,1,2,0,1794,3,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,422,male,1721,1771,TRUE,"and considerable, that nothing but rome unforeseen event could .ltcr or diminish it: A circmfllance that afforded the Jai; .eft fairest profpet of feeiig the old debts discharged, wvithout any necessity of incurring new encumbrances. § VII This anfwery fraught with many other expressions of fttherly tendernel's for his people"
1037100203_000304,"The history of England, by M. Rapin de Thoyras, continued, from the abdication of King James II, to the accession of His late Majesty K. George I. By Thomas Lediard, Gent. Late Secretary to His Majesty's Envoy Extraordinary in Lower Germany. Vol.III.",Paul de Rapin,90,2,0,1,0,0,1,1,3,0,0,0,0,5,1,2,1,4,0,1,5,3,6,0,0,0,2,6,2,1,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3,2,0,1,0,0,6,5,1,1,0,1,3,12,1736,3,3,"London : printed by and for, the sole proprietor, J. Mechell, at the King's-Arms, next the Leg Tavern, in Fleet-Street, MDCCXXXVI. [1736].",London,448,male,1661,1725,TRUE,"in'proofcutiohof this claring war , inconjuntion with her allies, against war , against France and Spain .their vassals and "" the French King , and his grandson: and to fubjecs, and to oppose their attempts willing assure her, that they would, to theutmoft, up and requiring all our fubjets to"
1188400100_000231,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,80,0,0,0,2,0,0,1,1,0,2,0,1,0,1,0,1,5,0,1,7,4,2,0,2,0,4,7,0,1,4,0,0,1,0,1,2,1,0,1,0,2,2,1,1,2,0,1,3,0,5,0,0,2,0,1,1,0,0,2,5,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"the weight of taxes would oblige the commercial people to be more industrious. William, notwithstanding the vas service he had done to the nation , and the public benefits which took place under his auspices, particularly in the establishment of the bank of England , and the recoining the silver"
1188400100_000258,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,71,0,0,0,3,0,2,0,3,0,0,1,1,1,0,1,1,0,5,1,1,9,3,0,0,0,6,2,2,0,0,0,0,0,0,0,2,0,0,2,2,1,1,1,0,2,2,0,3,0,0,0,1,1,2,1,1,0,2,1,4,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"every moment in the Chefapeak, with a large French fleet to cooperate with Walhington, now seriously attempted to reinforce lord Cornwallis, but without success, for on the 5th of September, after a partial aion of a few hours between the British fleet under admiral Graves, and that of the French"
0935600107_000226,"The continuation of Mr. Rapin's History of England; from the revolution to the present times. By N. Tindal, M. A. Rector of Alverstoke, in Hampshire, and Chaplain to the Royal Hospital at Greenwich. Illustrated with Maps, Genealogical Tables, and the Heads and Monuments of the Kings.",Paul de Rapin,89,0,2,0,8,2,1,2,1,2,3,0,2,0,1,0,0,2,1,3,0,0,1,0,3,2,2,3,0,1,2,0,1,1,0,1,3,1,0,6,1,3,4,1,3,2,5,3,0,4,5,0,0,0,0,0,1,0,0,0,0,1761,7,7,"London : printed, by assignment from Mr. Knapton, for T. Osborne, G. Kearsley, H. Woodfall, W. Strahan, J. Rivington, R. Baldwin, W. Owen, W. Johnston, J. Richardson, B. Law and Co. G. Krith, T. Longman, T. Field, T. Caslon, S. Crowder, H. Woodgate, M. Cooper, and C. Ware and Son, M.DCC.LXI. [1761].",London,598,male,1661,1725,TRUE,"had agreec to it, and passed the bill; but the continuance of these additional troops met with great opposition in the house of lords, The two most remarkable speeches were the lord Trevor', against it, and the lord Townshend's for it (d). It was ob. served, (d) As these speeches"
0288000303_000070,"Memoirs of Maximilian de Bethune, Duke of Sully, Prime Minister to Henry the Great. Containing the history of the life and reign of that monarch, ... Translated from the French, ... To which is added, the tryal of Ravaillac for the murder of Henry the Great. In five volumes. ...","Maximilien de Béthune, Duke of Sully",95,1,0,2,3,3,0,0,0,0,0,1,3,3,0,0,2,8,1,3,6,1,1,0,0,0,1,10,0,2,0,0,0,6,0,1,0,0,1,3,3,0,2,0,3,2,2,2,1,0,0,0,0,5,2,2,0,0,0,7,2,1757,3,5,"London : printed for A. Millar; R. and J. Dodsley; and W. Shropshire, 1757.",London,426,male,1559,1641,FALSE,"detail writers who have spoke of it in of the marquis de Rofny's embassy the falo manner , though some to London, which in every point of them, as the authors of Vil agrees with what has been said lerci's memoirs of State , and of here, p. a, &"
0280000103_000114,"Memoirs of Maximilian de Bethune, Duke of Sully, prime minister to Henry the Great. Containing the history of the life and reign of that monarch, ... Translated from the French. To which is added, the trial of Ravaillac, for the murder of Henry the Great. In six volumes.","Maximilien de Béthune, Duke of Sully",95,1,0,2,3,3,0,1,0,0,0,1,3,3,0,0,1,8,1,3,7,1,1,0,0,0,1,11,0,2,0,0,0,5,0,1,0,0,1,4,3,0,2,0,3,2,2,2,1,0,0,0,0,4,1,2,0,0,0,7,2,1781,3,6,"Dublin : printed by R. Marchbank, for Messrs. W. Watson, Sleater, Burnet, Colles, Moncrieffe, [and 11 others in Dublin], 1781.",Dublin,356,male,1559,1641,FALSE,"exalting the glory of that mirliller. P. Matthieu's account of it is conformable to that here given even in the most minute circumstances. Vol. 11 p. 577, & seq. See also the manuscripts in the king's library, vol. 959o, and the first volume of Siri, Mem. recond. Besides the detail"
0104400902_000051,"The works of Dr Jonathan Swift, Dean of St Patrick's, Dublin. Accurately corrected by the best editions. With the author's Life and character; Notes historical, critical, and explanatory; Tables of contents, and indexes. More complete than any preceding edition. In eight volumes.",Jonathan Swift,89,0,0,1,0,0,2,0,1,0,0,1,0,3,1,1,2,0,0,0,3,1,3,2,1,1,2,5,4,2,1,0,0,0,0,0,2,1,0,1,1,1,7,0,1,1,0,2,1,3,0,0,0,11,5,1,0,0,1,5,8,1761,2,8,"Edinburgh : printed for A. Donaldson, at Pope's Head, MDCCLXI. [1761].",Edinburgh,405,male,1667,1745,TRUE,"fettled in the monarchy of Spain , I beliere there are several. points which they have not though: oughly considered; For, firse, it is to be observed, that this ref61ution again if any peace . without Spain is a new incident, graffcd upon. the original qjarrel by the intrigues of"
