PassageID,Title,Author,Total termFreq,termFreq(afternoon),termFreq(air),termFreq(anchor),termFreq(bear),termFreq(blow),termFreq(breez),termFreq(calm),termFreq(caus),termFreq(clear),termFreq(clock),termFreq(cloud),termFreq(cloudi),termFreq(cold),termFreq(continu),termFreq(cours),termFreq(dark),termFreq(dry),termFreq(east),termFreq(fail),termFreq(fall),termFreq(fine),termFreq(fleet),termFreq(fun),termFreq(gale),termFreq(gener),termFreq(heat),termFreq(hot),termFreq(inch),termFreq(land),termFreq(latitud),termFreq(leagu),termFreq(light),termFreq(littl),termFreq(mean),termFreq(moder),termFreq(month),termFreq(morn),termFreq(mountain),termFreq(night),termFreq(noon),termFreq(north),termFreq(observ),termFreq(rain),termFreq(reason),termFreq(rock),termFreq(run),termFreq(sail),termFreq(sea),termFreq(season),termFreq(set),termFreq(small),termFreq(snow),termFreq(south),termFreq(trade),termFreq(warm),termFreq(water),termFreq(weather),termFreq(weft),termFreq(wind),termFreq(winter),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1509700103_000055,"A voyage to the Pacific Ocean. Undertaken, by the command of His Majety, for making discoveries in the Northern Hemisphere. Performed under the direction of Captains Cook, Clerke, and Gore, in His Majesty's ships the Resolution and Discovery; in the years 1776, 1777, 1778, 1779, and 1780. In three volumes. Vol. I. and II. written by Captain James Cook, F.R.S. Vol. III. by Captain James King, LL.D. and F.R.S. Published by order of the Lords Commissioners of the Admiralty.","King, James",102,3,2,0,0,0,1,0,0,0,0,0,1,0,4,1,1,0,12,0,1,1,0,0,3,1,0,1,1,4,5,2,3,2,0,3,0,4,0,3,4,5,0,1,0,0,3,3,1,0,0,1,0,10,1,0,0,5,0,9,0,1785,3,3,"London : printed by H. Hughs, for G. Nicol, bookseller to His Majesty, in the Strand; and T. Cadell, in the Strand, M.DCC.LXXXV. [1785].",London,591,male,1750,1784,FALSE,"island of Modoopapappa, which, we were told by the natives, lay in that dire6tion, about five hours sail from Tahoora. At four in the afternoon , we were overtaken by a flout canoe, with ten men, who were going from Onee heow to Tahoora, to kill tropic and man-of-war birds,"
0831300103_000204,"Modern history: or, the present state of all nations. Describing their respective situations, persons, habits, and buildings; manners, laws and customs, religion, and policy; Arts and Sciences, Trades, Manufactures and Husbandry; plants, animals, and minerals. By Mr Salmon. Illustrated with cuts and maps, accurately drawn according to the Geographical Part of this Work, by Herman Moll. The third edition. With considerable additions and improvements, interspersed in the body of the work: Also the History and Revolutions of each Country, brought down to the present Time. In three volumes. ...",Thomas Salmon,108,1,3,0,0,10,9,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,2,1,0,8,2,0,0,0,0,1,5,3,3,2,1,3,7,4,0,0,4,0,9,3,1,0,1,3,1,0,2,6,0,6,0,1744,3,3,"London : printed for T. Longman, in Pater-Noster-Row. T. Osborne, in Grays-Inn. J. Shuckburgh, in Fleet-Street. C. Hitch, in Pater-Noster-Row. S. Austen, in Newgate-Street. And J. Rivington, in St Paul's Church-Yard, MDCCXLIV. [1744]-46.",London,651,male,1679,1767,FALSE,"it'lh i.altosro.m'ex c ar.the .Countryi'i: mi' now' de'ftibligr.: .' .' 3^, The land breezes begiriichdierlate ifh'the everiig, and, blow till fix' or seven the nexat7: mtnirig, when! they: die away in'fen'ibly; and; fhic; iit.ha6 tim' tiul near.inon, it is genelrally calrti'.;  Aobut noon . ihe, sea breeze rises, .and"
0785700102_000074,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,68,1,0,0,1,0,2,1,0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,1,2,0,1,0,0,10,3,5,1,1,0,0,0,2,2,1,1,3,0,1,0,1,0,1,2,0,0,1,4,3,0,0,2,1,2,4,1,1784,2,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXXIV. [1784].",London,407,male,1728,1779,FALSE,"Weft , and Cooper's Island W. S. W. In this situation we found the variation, by the azimuths, to be 11° 39', and by the amplitude, tude, 11° 2' Eafl. At ten o'clock, a light breeze springing 75s up at North , we freered to the South till twelve, and"
0827400102_000026,"A complete system of general geography: explaining The Nature and Properties of the Earth: viz. It's Figure, Magnitude, Motions, Situation, Contents, and Division, into Land and Water, Mountains, Woods, Desarts, Lakes, Rivers, &c. With particular Accounts of the different Appearances of the Heavens in different Countries; the Seasons of the Year over all the Globe; the Tides of the Sea; Bays, Capes, Islands, Rocks, Sand-Banks, and Shelves. The State of the Atmosphere; the Nature of Exhalations; Storms, Tornados, &c. The Origin of Springs, Mineral Waters, Burning Mountains, Mines, &c. The Uses and Making of Maps, Globes, and Sea Charts. The Foundations of Dialling; the Art of Measuring Heights and Distances; the Art of Ship-Building, Navigation, and the Ways of Finding the Longitude at Sea. Originally written in Latin by Bernhard Varenius, M.D. Since improved and illustrated. By Sir Isaac Newton and Dr. Jurin; and now translated into English; with additional notes, Copper-Plates, an Alphabetical Index, and other Improvements. Particularly useful to Students in the Universities; Travellers, Sailor, and all those who desire to be acquainted with Mixed Mathematics, Geography, Astronomy, and Navigation. By Mr. Dugdale. The whole revised and corrected by Peter Shaw, M. D.","Shaw, Peter",101,0,8,0,0,0,0,0,1,3,0,1,1,5,3,0,1,1,3,0,5,0,0,0,2,1,3,1,0,0,3,0,0,0,0,1,1,4,9,3,0,0,0,10,0,0,0,0,3,4,0,1,1,5,0,1,3,1,0,6,6,1765,2,2,"London : printed for L. Hawes, W. Clarke, and R. Collins, at the Red-Lion, in Pater-Noster-Row, M.DCC.LXV. [1765].",London,415,male,1694,1763,FALSE,"the Mountains , which are all in the same Climate. In the mountainous Places they have their rainy Winter from o/obcr to the end of March, when one would think they lioulld have Heat from the Sun's Nearncfs; and thave Summer from April to October, in which Tiime they have"
1545500100_000110,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. ... By Captain George Dixon.","Dixon, George",125,3,0,0,1,2,5,0,1,3,0,0,0,0,3,0,0,0,3,0,0,2,0,0,5,1,0,0,0,1,7,0,3,0,1,4,0,3,0,4,6,13,5,3,2,0,0,6,1,0,1,0,0,12,0,0,1,8,2,13,0,1789,1,1,"London : printed for John Stockdale, and Geo. Goulding, 1789.",London,475,unknown,,,FALSE,"Our pump well still required close attendance, a good quantity of sand constantly working into it. At three o'clock in the morning of the 24th, we sounded with seventy fathom line over a soft bottom, which showed that we were on the banks of Lagullus, on which we wore ship,"
0435901100_000152,"A new directory for the East-Indies: containing, I. The first discoveries made in the East-Indies by European voyagers ... VI. Directions for sailing to and from the East-Indies, ... The whole being a work originally begun upon the plan of the oriental Neptune, augmented and improved by Mr. Willm. Herbert, Mr. Willm. Nichelson, and others; and now methodised, corrected, and further enlarged, by Samuel Dunn, ...",Samuel Dunn,108,0,0,4,2,10,3,0,0,3,0,3,1,0,1,0,0,0,2,0,0,2,0,0,0,5,0,0,0,10,2,3,0,0,0,0,3,3,4,1,1,2,0,1,0,2,1,2,5,5,1,0,0,3,0,0,1,7,0,15,0,1780,1,1,"London : printed for Henry Gregory, 1780.",London,580,unknown,,1794,FALSE,"in the bay) is the house on Penguin Island, bearing NMW. Green Point NW)N. the flagstaff on the Lion's Rump wis. Charles's Mount siw. in 5 fathoms, distance from the town i mile, and from the nearclt Shore i a mile. About i i or 2 cables length further to"
0785700101_000098,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,91,2,1,0,0,0,1,1,0,4,0,3,0,3,3,3,1,0,2,0,0,0,2,0,1,0,0,0,0,5,9,1,0,1,1,0,1,5,0,1,3,3,0,0,0,0,0,1,1,0,0,0,3,15,0,0,1,4,4,5,0,1784,1,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXXIV. [1784].",London,437,male,1728,1779,FALSE,"be as large as any we had seen. It could not be lcfs than two hundred feet in height, and termninatcd in a peak not unlike the cupola of St. Paul's church. Ac this time we had a great \wefcrly swell, wli CLI made it illl probable that any land"
1764800105_000421,"A collection of voyages and travels, some now first printed from original manuscripts, others translated out of foreign languages, and now first published in English. To which are added some few that have formerly appear'd in English, but do ... deserve to be reprinted. In six volumes. With a general preface, giving an account of the progress of navigation, from its first beginning to the perfection it is now in, &c. The whole illustrated with a great number of useful maps, and cuts, all engraven on copper. ...",,138,3,0,21,0,1,0,2,0,0,0,0,0,3,3,0,1,0,3,2,1,0,0,0,3,0,0,0,0,6,2,10,0,0,0,1,1,1,0,3,0,8,3,8,0,1,1,8,8,0,1,3,0,11,1,0,0,9,0,9,0,1732,5,6,"London : printed, by assignment from Messrs Churchill, for John Walthoe; Tho. Wotton; Samuel Birt; Daniel Browne [and 3 others in London], 1732.",London,768,unknown,,,FALSE,"each hundred, very dear wood. The eleventh, we sailed , and the twelfth passed by Apong, a Dutch fort, very advantageously situated; came to anchor at wiin niba, an English fort, and went ashore. The fifteenth, we arrived at Acra, and anchored about a league and a half from hore."
1402400102_000056,"A voyage round the world, performed in His Britannic Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution, and George Forster, F.R.S. Illustrated with a chart of the southern hemisphere, shewing the tracts of some of the most distinguished navigators; and a variety of portraits of persons and views of places, drawn during the voyage by Mr. Hodges. In four volumes.",Georg Forster,101,4,0,0,0,0,4,2,0,2,0,0,3,0,2,1,0,0,3,0,1,2,0,0,8,0,0,0,1,0,10,2,0,0,1,3,0,6,1,0,9,2,4,0,0,1,1,1,2,0,2,0,0,3,0,0,1,9,0,10,0,1777,2,4,"Dublin : printed for W. Whitestone, S. Watson, R. Cross, J. Potts, J. Hoey, L.L. Flin, J. Williams, W. Colles, W. Wilson, R. Moncrieffe, T. Armitage, T. Walker, C. Jenkin, W. Hallhead, G. Burnett, J. Exshaw, L. White, and J. Beatty, MDCCLXXVII. [1777].",Dublin,400,male,1754,1794,FALSE,"climates and latitudes from 90 to 7 Io. Mr. wtales found its rate of going here to be that of gaining 1 2"", 5'76, on mean time, per day. Th: e mlean result of all the observations he made for ascertaining the variation of the compass and the dip of"
0139400300_000019,A voyage in the Flying-Eagle from Bantam to Baber and other islands to the Eastward of Timor 1672 now first published from the original M.S.S. at the East-India House.,"Payne, Mr",109,3,0,0,1,0,0,1,1,0,6,0,3,0,3,9,3,0,1,2,0,0,0,1,3,2,0,0,0,1,3,10,0,1,0,0,0,5,0,4,7,0,7,2,2,0,6,1,1,0,3,3,0,1,0,0,5,4,0,4,0,1781,1,1,"London : [s.n.], 1781.",London,94,unknown,,,FALSE,"it flows thus: L, : ck. Vide View E. z9th This 24 hours my course has been E 2? S distant run 74 miles 5 fathoms the wind generally NORTHWEST WEST northwest and Small fream to the EASE. N pretty fresh gales cloudy weather and bowers of rain from 9"
0782600100_000115,"Travels in upper and lower Egypt, undertaken by order of the old government of France; by C. S. Sonnini, Member of several Scientific and Literary Societies; and formerly an Officer and Engineer in the French Navy. Illustrated by engravings, consisting of portraits, views, plans, antiquities, plants, animals, &c. drawn on the spot, under the Author's Inspection. To which is subjoined a map of the country. Translated from the French.","Sonnini, C. S. (Charles Sigisbert)",256,1,4,0,0,1,30,4,0,2,0,7,18,1,2,2,1,0,1,0,0,22,0,0,6,0,1,0,0,0,0,0,24,3,0,0,5,24,1,2,23,0,2,6,0,0,1,0,0,0,0,3,0,0,0,0,0,42,0,17,0,1800,1,1,"London : printed for J. Debrett, opposite Burlington House, Piccadilly, 1800.",London,827,male,1751,1812,FALSE,"fell this year was on the 6th; and the bad weather continued almost the whole month . From the ift till the 6th, the day when it was first in my power to make any regular observations , the wind was to the N. or N. N. E.; and every"
0198400100_000051,"The elements of useful knowledge: comprehending, among other interesting particulars, short systems of astronomy, mythology, chronology, and rehtoric; with a brief account of the trial and execution of Louis XVI. and of the Late Transactions in France. To be read in Turns with such approved Selections as are generally used in Schools; and to be chiefly committed to Memory. By the Rev. J. Adams, A. M. Author of the Elements of reading and Lectiones Selectae.",John Adams,100,0,9,0,0,1,0,1,1,0,0,7,1,5,1,0,3,0,0,0,4,3,0,5,0,1,1,0,0,1,1,1,8,0,1,1,0,1,1,2,1,1,1,8,0,0,0,0,2,0,1,7,2,1,0,1,5,2,0,6,2,1793,1,1,"London : printed for B. Law and Son, Ave-Maria-Lane, 1793.",London,348,male,1750,1814,FALSE,"lcagiesfromn: : tleh andw, : Their. change; is at the venial aad autbmnal eqiinoxes,""and it is accompanied wi.h terible; irms of thunder, lightning, and rain . The monsoons are occasioned by the eddair moving towards those places, in which the . air is r.refied by the, hat of the: Am,"
1125300400_000005,"A treatise on tropical diseases; on military operations; and on the climate of the West-Indies. By Benjamin Moseley, M. D. Physician to His Royal Highness the Duke of York, and His Household; to His Royal Highness the Duke of Clarence, and His Household; to His Majesty's Royal Military Hospital at Chelsea; Member of the Royal College of Physicians of London, &c.",Benjamin Moseley,99,0,3,0,1,3,6,0,1,0,0,0,0,3,1,1,0,1,1,0,1,0,0,11,1,2,3,0,0,1,3,0,0,0,0,0,5,1,4,1,0,4,0,11,1,0,0,0,3,3,3,0,2,6,1,0,0,2,0,7,2,1789,1,1,"London : printed for T. Cadell, in the Strand, MDCCLXXXIX. [1789].",London,569,male,1742,1819,FALSE,"air is cold in proportion to their height. In some * BOSMAN says, near the island of Annaboa upon the coast of Guinea, directly under the line, in the month of September, when the fun is vertical, that he could scarcely bear the cold : the reason of this cold"
0981900402_000062,"Travels through France and Italy. In two volumes. Containing observations on Character, Customs, Religion, Government, Police, Commerce, Arts, and Antiquities. With a particular description of the town, territory, and climate of Nice. To which is added, a register of the weather, kept during a residence of eighteen months in that city. By T. Smollett, M.D. ...",Tobias Smollett,252,16,7,0,0,2,1,0,0,11,0,2,34,3,0,0,0,0,6,0,0,2,0,12,0,0,0,5,0,0,0,0,0,2,0,0,2,3,3,11,1,15,0,19,0,0,0,0,0,0,0,1,3,1,0,6,0,72,1,11,0,1778,2,2,"London : printed for R. Baldwin, in Pater-Noster-Row, M.DCC.LXXVIII. [1778].",London,290,male,1721,1771,TRUE,"THE WEATHER . monti. above Ice. above Icl 21 i8 8 Vind weflerly, fair weather . 22 19 9 -- easterly, fair weather . 2 i9 19 -- easterly, fair weather . a 19 i8; -- ealterly, fair weather , fun hot . 25 19 19 -- easterly, fair weather"
1389000200_000050,"The new practical navigator; Being an epitome of navigation, containing the different methods of working the lunar observations, and all the requisite tables used with the nautical almanac, in determining the latitude and longitude, and keeping a complete reckoning at sea; illustrated by proper rules and examples; the whole exemplified in a journal kept from England to the island of Teneriffe: also, the substance of that examination, every candidate for a commission in the Royal navy, and officer in the Honourable East India Company's service, must pass through, previous to their being appointed: this, with the sea terms, are particularly recommended to the attention of all young gentlemen designed for, or belonging to the sea. So that this book, and the nautical almanac, will be found fully sufficient for the seaman and teacher's use, and is rendered easy to any common capacity. The twelfth edition, constructed on a new plan, and illustrated with copper-plates. By John Hamilton Moore, teacher of navigation, hydrographer and chart-seller to His Royal Highness the Duke of Clarence.","Moore, John Hamilton",130,0,8,0,0,9,1,4,3,0,0,0,0,0,2,1,1,0,3,0,0,0,0,4,2,3,3,0,0,2,5,4,0,0,0,0,2,0,1,0,0,7,3,3,2,0,0,2,5,1,2,0,0,10,6,1,0,2,0,28,0,1796,1,1,"London : Printed for and sold by B. Law, in Stationers' Court; G.G. and J. Robinson, Pater-Noster Row; and the author, on Tower Hill, 1796.",London,537,male,,,FALSE,"and, near the southern limits, they blow between the south and eaff. For as the air is expanded by the heat of the fun near the equator, therefore the air from the northward and southward will both tend toward the equator to restore the equilibrium : now these motions from"
1545500100_000029,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. ... By Captain George Dixon.","Dixon, George",107,1,0,3,3,2,7,2,0,1,0,0,0,0,4,0,0,0,4,0,1,0,0,0,4,0,0,0,0,11,3,1,2,0,0,4,0,5,0,2,6,11,5,2,1,0,0,3,1,1,0,0,0,5,0,0,2,5,0,5,0,1789,1,1,"London : printed for John Stockdale, and Geo. Goulding, 1789.",London,475,unknown,,,FALSE,"augufr. 1- j  -, _.,... ___ - LETTER XVIII DURING the 25th and 26th of augufi, we had light winds , and hazy wqather. At seven in the evening of the 26th, the wind shifted to the Southward, and we were in great hopes of getting in with the"
1390600702_000060,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the resolution and adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the resolution. In which is included, Captain Furneaux's narrative of his proceedings in the adventure during the separation of the ships. In two volumes. Illustrated with maps and charts, and a variety of portraits of persons and views of places, drawn during the voyage by Mr. Hodges, and engraved by the most eminent masters.",James Cook,102,2,0,0,0,1,5,4,0,2,0,0,1,0,3,1,0,0,11,1,0,2,0,0,5,0,0,0,0,1,13,0,0,3,1,1,0,5,0,0,4,2,1,2,0,0,0,3,0,0,0,0,1,7,0,0,0,5,6,9,0,1777,2,2,"London : Printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXVII. [1777].",London,447,male,1728,1779,FALSE,"clear pleasant weather ; course fleered E. by N. In the evening, being in the latitude of 55° 8' South , long itudec 14.8° io' wevt, the variation, by the mean of two compaflcs, was 6° 35' Eafl. s: i,, y 26 Having a ficady fresh gale at N. N."
0779600101_000029,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,88,4,0,0,0,0,2,2,0,1,0,0,1,1,4,2,1,0,3,0,0,0,2,3,2,1,0,0,0,0,8,0,0,3,0,0,0,3,0,4,1,3,2,2,0,0,1,2,3,0,2,2,1,6,0,0,0,7,0,9,0,1779,1,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXIX. [1779].",London,468,male,1728,1779,FALSE,"twenty-four hours. We were now in the latitude of 60o 36' South , longitude 107° 54'; and had a prodigious high fvwell from the S. W.; and, at the same time, another from the South or S. S. E. The dashing of the one wave against the other, made the"
1197900300_000008,A voyage towards the North Pole undertaken by His Majesty's command 1773 By Constantine John Phipps.,"Constantine Phipps, 2nd Baron Mulgrave",108,3,2,0,3,0,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,10,2,0,4,2,0,0,6,2,1,5,2,13,2,0,1,2,1,0,0,0,0,3,1,0,2,7,6,0,7,1,1774,1,1,"London : printed by W. Bowyer and J. Nichols, for J. Nourse, 1774.",London,278,male,1744,1792,FALSE,"I took with a sextant of four inches radius, at half past one, the longitude was 9"" 57' 30"" E; which agreed within thirty feven minutes with an observation made by the watch at half an hour after three, when the longitude was 8"" 52' 30"" E. Dip 79 22'."
1537900102_000057,"An authentic narrative of a voyage performed by Captain Cook and Captain Clerke, in His Majesty's ships resolution and discovery, during the years 1776, 1777, 1778, 1779, and 1780; in search of a North-West passage between the continents of Asia and America. Including a faithful account of all their discoveries, and the unfortunate death of Captain Cook. Illustrated with a chart and a variety of cuts. By W. Ellis, assistant surgeon to both vessels.","Ellis, W. (William)           1785",108,4,1,0,3,0,7,2,0,2,0,0,3,0,0,8,0,0,2,2,0,2,0,0,3,0,0,0,0,12,5,4,2,0,0,5,0,3,2,3,7,2,3,1,0,0,0,0,0,0,2,1,0,0,0,0,1,5,0,11,0,1784,2,2,"London : Printed for G. Robinson, Pater-noster-row; J. Sewell, Cornhill; and J. Debrett, Piccadilly, MDCCLXXXIV. [1784].",London,379,unknown,,,FALSE,"N. ninze leagues diiitant. At seven we bore (3p4) s3'5 bore away to the S. W. and at eight the fouther mort land making likre an island, bore S. 76 deg. WV. difiant about seven leagures. At noon we were in latitude 38 deg. r 3 min. N. when the"
0369200200_000004,"A description of East-Florida, with a journal, kept by John Bartram of Philadelphia, botanist to His Majesty for the Floridas; upon a journey from St. Augustine up the River St. John's, as far as the lakes. With explanatory botanical notes. Illustrated with an accurate Map of East-Florida, and two Plans; one of St. Augustine, and the other of the Bay of Espiritu Santo.",John Bartram,70,2,4,0,0,1,3,0,3,1,0,0,1,1,1,1,1,0,2,0,1,0,0,4,0,1,3,1,0,2,3,0,1,1,0,1,2,1,0,2,0,2,1,2,0,0,0,0,6,2,0,0,1,3,0,0,0,2,0,2,5,1769,1,1,"London : sold by W. Nicoll, at No. 51, St. Paul's Church Yard; and T. Jefferies, at Charing-Cross, Geographer to his Majesty, MDCCLXIX. [1769].",London,103,male,1699,1777,FALSE,"having recourse to a map of America, where its northern boundary is seen in latitude 30 47 at St. Mary's River, and its southern point in latitude 25, where the peninsula terminates in the gulf of Mexico, by which it is also bounded on the west, and by the atlantic"
0084600102_000085,"A new collection of voyages, discoveries and travels: containing whatever is worthy of notice, in Europe, Asia, Africa and America: In Respect to The Situation and Extent of Empires, Kingdoms, and Provinces; their Climates, Soil, Produce, &c. with The Manners and Customs of the several Inhabitants; their Government, Religion, Arts, Sciences, Manufactures, and Commerce. The whole consisting of such English and foreign authors as are in most esteem; including the Discriptions and Remarks of some late celebrated Travellers, not to be found in any other Collection. Illustrated with a variety of accurate maps, plans, an elegant engravings. In seven volumes. ...",,82,1,0,0,0,2,3,0,0,0,0,0,0,0,4,1,0,1,1,2,2,3,2,3,0,5,1,2,1,5,0,1,0,1,0,0,1,3,4,3,0,2,1,4,0,3,2,1,4,2,0,0,1,3,1,0,4,0,0,2,0,1767,2,7,"London : printed for J. Knox, near Southampton-Street, in the Strand, MDCCLXVII. [1767].",London,518,unknown,,,FALSE,"wood, are like our meadow land , and lie near the fouth fide of the island, where where a person may ride many miles without meeting with the least ascent. The savannahs are very green and pleasant after rain ; but after a long drought look yellow and parched, Oliver"
0088000100_000047,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. Dedicated, by permission, to Sir Joseph Banks, Bart. By Captain George Dixon.","Dixon, George",113,4,2,2,1,0,7,1,0,3,0,0,0,0,3,0,0,0,12,0,0,2,0,0,2,1,0,0,0,1,1,3,2,2,0,3,0,5,1,4,3,16,0,2,0,0,0,2,0,0,2,2,0,10,1,0,0,5,0,8,0,1789,1,1,"London : published by Geo. Goulding, Haydn's Head, No. 6, James Street, Covent Garden, 1789.",London,460,unknown,,,FALSE,"North Northeast to North 25 deg. West; and Oneehow from North 60 deg. West to 80 deg. West; about six leagues distant. The afternoon proving thick and foggy, we lost sight of both islands. The same foggy weather continued during the 4th and Sth, with strong Westerly gales of wind"
1575200102_001258,"A Complete system of geography. Being a description of all the countries, islands, cities, chief towns, harbours, lakes, and rivers, mountains, mines, &c. of the known world. Shewing the situation, extent, and boundaries, of the several empires, kingdoms, ..., their climate, soil, and produce; their principal buildings, manufactures, and trade; their government, policy, religion, manners, and customs; and the ... including the most material revolutions and changes that have happen'd in every state, either by conquest or treaties; and comprehending ... To which is prefixed, An introduction to geography, as a science: An explanation of maps: The doctrine of the sphere: The system of the world: And a philosophical treaties of the earth, sea, air, and meteors. In two volumes. ... By Emanuel Bowen, geographer to His Majesty, being all new-drawn and ingraved according to the latest discoveries and surveys; ... for the use of all gentleman, merchants, mariners, and others, who delight in history and geography. This work, extracted from several hundred books of travels and history, is brought down to the present time; preserving all that is useful in the fourth and last edition of the complete geographer, publish'd under the name of Herman Moll, &c.",,126,1,2,0,0,7,12,0,0,1,0,3,0,1,2,0,0,2,1,1,3,1,0,0,1,0,0,1,1,8,0,1,0,2,0,0,4,5,3,9,0,7,0,6,0,0,0,0,11,5,0,1,0,1,1,0,8,0,0,11,3,1747,2,2,"London : Printed for William Innys, Richard Ware, Aaron Ward, J. and P. Knapton, John Clarke, T. Longman and T. Shewell, Thomas Osborne, Henry Whitridge, Richard Hett, Charles Hitch, Stephen Austen, Edmund Comyns, Andrew Millar, James Hodges, Charles Corbett, and Jo. and Ja. Rivington, M.DCC.XLVII. [1747].",London,922,unknown,,,FALSE,"the only Months that are dif Cloud over it. They begin to gather on the Mountains tinguifhed with the Name of the Winter Months , by the about two or three in the Afternoon , the rest of the Sky Rains and Thunder, which are more violent then than at"
1763800104_000046,"A voyage to the Pacific Ocean; undertaken by command of his Majesty, for making discoveries in the northern hemisphere; performed under the direction of Captains Cook, Clerke, and Gore, in the years 1776, 1777, 1778, 1779, and 1780. Being a copious, ... abridgement of th Voyage written by Captain James Cook, F.R.S. and Captain James King, ... Illustrated with cuts. In four volumes. ...","King, James",84,3,1,0,1,2,2,0,0,2,0,0,0,0,2,3,0,0,3,0,1,0,0,0,4,0,0,0,0,7,5,2,2,2,0,1,0,3,0,1,2,5,3,3,1,0,0,5,0,1,1,1,0,3,0,0,0,3,2,7,0,1788,4,4,"London : printed for C. Stalker, and Scatcherd & Whitaker, 1788.",London,381,male,1750,1784,FALSE,"former had a place provided for it to the westward, and the latter towards the east . As, according to the Russian charts, the isles of Kunafhir and Zellany, were frill to the south , we entertained some hopes of being able to make them, and, with this view, kept"
1537900102_000036,"An authentic narrative of a voyage performed by Captain Cook and Captain Clerke, in His Majesty's ships resolution and discovery, during the years 1776, 1777, 1778, 1779, and 1780; in search of a North-West passage between the continents of Asia and America. Including a faithful account of all their discoveries, and the unfortunate death of Captain Cook. Illustrated with a chart and a variety of cuts. By W. Ellis, assistant surgeon to both vessels.","Ellis, W. (William)           1785",96,6,0,0,0,1,2,0,0,2,0,0,4,2,1,5,2,2,0,0,0,3,2,1,3,0,0,0,0,12,7,0,0,0,0,1,0,6,1,7,2,0,2,2,0,0,0,1,2,0,0,1,2,0,0,0,2,6,0,6,0,1784,2,2,"London : Printed for G. Robinson, Pater-noster-row; J. Sewell, Cornhill; and J. Debrett, Piccadilly, MDCCLXXXIV. [1784].",London,379,unknown,,,FALSE,"open, cloudy weather . Our latitude w azs 42 deg. 8 min. N. and the 9 thermc. thermometer varied from 39 deg. to 434- deg. We saw several albatroffes, and a few fulmars and brown petrels. The next day a fine gale fprunrg up from the E. S. E. and,"
0583000300_000061,"Observations on the passage to India, through Egypt. Also by Vienna through Constantinople to Aleppo, and from thence by Bagdad, and directly across the great desert, to Bassora. With Occasional Remarks on the adjacent Countries, An Account of the different Stages, And Sketches of the several Routes on four Copper Plates. By James Capper, Esq;",George Baldwin,91,4,0,4,1,3,3,3,0,2,0,0,2,0,6,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,2,1,0,8,1,5,1,3,3,3,0,0,0,4,2,0,2,1,0,0,0,0,2,3,0,13,0,1785,1,1,"London : printed for W. Faden, Geographer to the King, Charing Cross J. Robson, in New Bond Street; and R. Sewell, in Cornhill, MDCCLXXXV. [1785].",London,331,male,1744,1826,FALSE,"an anchor at half past ten at night , and did not weigh again until six the next morning . About seven we arrived amongst a parcel of Ifands covered with trees most of which flood two feet or more in the water ; the Islands are divided by very"
