PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(author),termFreq(bishop),termFreq(brother),termFreq(canon),termFreq(cardin),termFreq(caus),termFreq(church),termFreq(citi),termFreq(clergi),termFreq(council),termFreq(court),termFreq(crown),termFreq(death),termFreq(declar),termFreq(duke),termFreq(emperor),termFreq(empir),termFreq(england),termFreq(faith),termFreq(father),termFreq(follow),termFreq(forc),termFreq(franc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(hand),termFreq(head),termFreq(held),termFreq(holi),termFreq(itali),termFreq(king),termFreq(kingdom),termFreq(latin),termFreq(law),termFreq(legat),termFreq(letter),termFreq(life),termFreq(matter),termFreq(mean),termFreq(oblig),termFreq(order),termFreq(peopl),termFreq(person),termFreq(pope),termFreq(power),termFreq(present),termFreq(princ),termFreq(reason),termFreq(receiv),termFreq(return),termFreq(roman),termFreq(rome),termFreq(sever),termFreq(taken),termFreq(took),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0143700201_000067,Elements of general history. Translated from the French of the abbé Millot. Part second. Modern history. In three volumes. ...,Claude-François-Xavier Millot,79,0,2,3,0,0,1,0,4,0,2,1,3,1,0,1,1,3,1,1,0,1,0,0,2,3,0,1,2,3,1,0,2,2,5,0,0,1,7,0,0,0,3,0,0,1,0,6,3,0,3,2,0,0,2,4,0,0,0,1,1779,1,3,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXIX. [1779].",London,456,male,1726,1785,FALSE,"himi up to his Father for the salvation of mankind, reduced to the degrading meanness of being the fjves of hands Jfained day and night with impurities, with blood and rapine. In the form of doing homage, the vassal puts his hands between thole of the lord paramount. This was"
0360700103_000092,"A compendious history of the Church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",Louis Ellies Dupin,97,2,0,1,2,2,1,0,5,1,0,3,0,1,1,0,0,12,7,0,0,5,0,0,1,0,1,0,2,2,0,0,3,1,5,0,5,1,0,1,0,0,2,1,1,0,1,11,1,0,1,0,1,1,1,2,2,1,6,0,1715,3,4,"London : printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, M.DCC.XVI. 1715- [1716.].",London,353,male,1657,1719,FALSE,"took the Title of Emperor . He was crowned at Adranople by the Patriarch of 7erufalem, made War upon the young Princess, and five years after took Constantinople in 1347 He treated with 7ohn paleo!ogus, and associated him in the Empire : But the War beginning anew, John Paleologus got"
0243400402_000024,"An history of the Christian Church, from the earliest periods to the present time. In two volumes. ...",George Gregory,82,0,2,3,0,1,6,1,4,1,2,3,1,0,1,1,2,1,0,3,0,0,2,3,2,0,1,0,0,0,1,1,1,0,5,1,0,3,0,0,0,0,1,0,5,2,2,5,1,0,1,1,1,1,4,2,2,1,0,1,1790,2,2,"London : printed for George Kearsley, 1790.",London,425,male,1754,1808,FALSE,"maintaining, what he called, the privileges of the Church ; nor could he be induced by any means to comply with the views and measures of Henry. The consequences of thisinflexiblere fiftance were fatal to the haughty prelate. - After repeated affronts, the king one day, in an unguarded moment"
1667200109_000625,"The Modern part of the universal history. Compiled from original writers. By the authors of the antient. Which will perfect the work, and render it a complete body of history, from the earliest account of time, to the present. Vol. XIV.",,88,0,0,4,0,1,5,0,5,2,1,0,0,3,1,0,0,2,1,0,0,1,4,1,3,1,0,0,2,0,1,1,6,1,8,4,0,0,4,0,0,0,2,1,0,0,0,9,1,0,1,0,3,1,3,4,0,0,1,0,1763,9,16,"London : Printed for T. Osborne, C. Hitch and L. Hawes, A. Millar, J. Rivington, S. Crowder, B. Law and Co. T. Longman, C. Ware, and S. Bladon, M.DCC.LXIII. [1763].",London,721,unknown,,,FALSE,"excepted, the clergy murmrelwd very much, Wec Romans and miriited, that the expedition Could not prosper that was supported by the iweat of the poor, are recronciled and the spoils of the churches . Clmrent~ havihg been iaccefsful in his negotiation with the so rpthepo Romnans, had concluded a treaty"
0543601601_000091,"A general history of the Christian church, from the birth of our Saviour to the present time. ... With an appendix, containing the history of philosophers, deists, ... In two volumes. By John Brown, ...",John Brown,82,0,0,4,0,0,2,3,2,0,1,3,1,2,3,2,0,9,2,1,0,0,1,2,5,0,0,0,0,1,1,1,1,5,1,0,0,1,3,0,0,1,0,1,0,0,0,3,6,0,2,1,1,1,0,7,0,0,2,0,1771,1,2,"Edinburgh : printed by and for Gray & Alston, 1771.",Edinburgh,396,male,1735,1787,TRUE,"fault, submitted the treaty he had. fiorn with the emperor to the will of the court , which solemnly annulled it. To mark a.regard to his profnife, Paschal did not him -- self excommunicate Henry; but did it by his le - in a variety of synods or councils in"
0014200101_000133,"The book of martyrs: or, the history of the Church, from the beginning of Christianity, to the conclusion of the reign of Q. Mary I. Giving an Account of the Ten general Persecutions of the Christians under the Roman Emperors; And the Sufferings and couragious Deaths of the Protestants under the tyrannical Government of the Popish Prelates, before the Establishment of the Reformation in the happy Reign of Queen Elizabeth of Blessed Memory. Extracted from the three large volumes of the Famous Mr. John Fox, and divers other books; by the Rev. Mr. Thomas Mason, Formerly Minister of Odiham, in Southamptonshire. And now rendered into modern English, with considerable Improvements from late Authors, by the compiler of the Original Institution of the Church of England. Heartily Recommended to the Perusal of all those who have a Zeal for God's Glory, and the Prosperity of the Protestant Religion, under the present Happy Government; By the Rev. Mr. Bateman, Rector of St. Bartholomew the Great in London. ...",John Foxe,95,2,1,6,0,1,7,3,4,1,1,14,1,1,1,2,1,5,0,0,0,0,2,0,0,1,1,0,4,3,0,0,3,0,2,1,0,0,1,0,1,1,1,0,0,1,5,6,0,1,2,1,0,1,0,4,0,0,1,1,1747,1,2,"London : printed and sold by John Lewis, in Bartholomew-Close, near West-Smithfield, MDCCXLVII. [1747]-48.",London,496,male,1516,1587,FALSE,"the eight following general councils , viz. the Epheine, the Chalcedonian, two of the Nicene, and four of the Conitatinopo litan; and the councils of Lateran, Lyons, and Vienna, were to be peculiarly regarded. These his holiness was then sworn to defend and maintain, both by his preaching, and by"
0818000202_000020,"The works of M. de Voltaire. Translated from the French. With notes, historical, critical, and explanatory. By T. Francklin, D.D. Chaplain to his majesty, and late Greek Professor in the University of Cambridge. T. Smollett, M.D. and others.",Voltaire,93,0,0,3,0,0,1,2,2,2,1,8,1,1,0,2,2,10,5,2,0,1,1,0,3,0,1,0,0,1,0,0,0,1,2,4,0,0,1,3,0,0,2,0,0,0,2,13,2,0,4,0,2,0,2,2,3,1,0,0,1778,2,35,"London : printed for S. Crowder, T. Longman, J. Wilkie, Carnan and Newbery, G. Robinson, R. Baldwin, J. Johnson, F. Newbery, W. Goldsmith, T. Evans, and W. Fox, MDCCLXXVIII. [1761-1781].",London,314,male,1694,1778,TRUE,"promise to defend th church ; but at the same time told them in plain terms, that he could not receive the pope into his kingdom , without the concurrence of his barons, whose advice a kingof France ought always to follow . In the interim Gregory died; but the"
1663600103_000112,"The history of the life of King Henry the Second, and of the age in which he lived. In five books. To which is prefixed, a history of the revolutions of England, from the death of Edward the confessor, to the birth of Henry the second. By George Lord Lyttelton.","George Lyttelton, 1st Baron Lyttelton",76,1,0,7,0,3,2,0,1,2,5,7,1,0,0,2,0,1,0,4,1,0,1,2,1,1,0,0,0,0,1,1,0,0,3,1,1,1,5,0,0,0,1,0,1,0,1,4,3,2,2,0,0,1,1,4,0,1,0,0,1768,3,4,"Dublin : Printed by and for George Faulkner, MDCCLXVIII. [1768].",Dublin,566,male,1709,1773,FALSE,"the head of a synod sub je61ed to, his will, and accordingly sent his orders , iato most parts of Europe, for three convening thereof on the first Sunday in Lent of the following year. There were brought into England by a legate A later : and another, whose commii~on"
0010800101_000073,"The history of religion: particularly of the principal denominations of Christians, viz. Of the Church of Rome, --- England, --- Scotland, - Nonjurors, - Lutherans, - Presbyterians, Of the Independents, - Baptists in general, - Quakers, -- Antinomians, - Moravians, - Methodists in general. Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: With a general Account of the various Sectaries of less Note, since the first Establishment of Christianity. Including a general History of the Reformation, and so much of Civil and Ecclesiastical History as is connected with, or necessary to explain and illustrate the Work. To which is added, A Dictionary of the principal Religious Orders, Offices, Days, Rites, Customs, Habits, and Characters; the most important Transactions of Ecclesiastical Councils, Synods, &c. explaining all such ambiguous Words and Phrases as have a proper Connexion with the Subjects of this History. By an impartial hand.",James Murray,95,1,3,3,0,1,0,1,3,1,0,5,1,3,0,1,0,10,1,1,1,5,0,1,4,0,0,2,0,1,1,3,1,2,2,2,0,3,0,0,2,0,1,1,0,0,0,12,3,0,3,0,1,0,1,4,1,0,3,0,1764,1,4,"London : printed for C. Henderson, at the Royal Exchange; W. Nicoll, in St. Paul's Church Yard; and J. Johnson, opposite the Monument, MDCCLXIV. [1764].",London,507,male,1732,1782,FALSE,"besides other singular privileges which they now enjoy. Pope Gregory VII forced the bishops to take an oath t Preface to Laval's History of the Reformation in France . * Walch's History translated, p. iz2. See the Hiltoir. du Drdit Public. Eccles. Franc . and Moiheim. Inflit. Hifloir. Eccles. p."
0788400106_000067,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,84,0,1,1,0,1,3,3,5,5,1,1,2,2,3,1,0,5,1,2,0,0,1,0,0,1,0,1,0,1,4,0,1,0,4,0,0,1,4,2,3,0,1,0,2,0,1,8,2,3,0,0,1,1,1,4,0,0,0,0,1749,6,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,662,male,1686,1766,FALSE,"fmre Oath andc the litme Promises in a Council of all the iflopa and Abbots of A 1,. Year of Normandy assembled, at Avranches, on the 27th of cpri_.17. September of the present Year g. It is to be observed, that the King only promised to abolish the unlawful Cutolns,"
0002800110_000133,"A general history of the world, from the creation to the present time. Including All the Empires, Kingdoms, and States; their Revolutions, Forms of Government, Laws, Religions, Customs and Manners; the Progress of their Learning, Arts, Sciences, Commerce and Trade; Together with Their Chronology, Antiquities, Public Buildings, and Curiosities of Nature and Art. By William Guthrie, Esq; John Gray, Esq; and others eminent in this branch of literature. Volume I.","Gray, John",83,1,1,0,2,0,3,3,5,0,1,3,1,0,1,0,3,8,2,0,0,0,0,0,0,2,3,0,3,0,5,2,3,2,1,0,0,0,4,1,0,0,1,1,3,0,0,7,0,0,0,1,0,4,1,2,0,1,2,0,1764,10,12,"London : printed for J. Newbery, R. Baldwin, S. Crowder, J. Coote, R. Withy, J. Wilkie, J. Wilson and J. Fell, W. Nicoll, B. Collins, and R. Raikes, MDCCLXIV. [1764].",London,477,male,1724,1811,FALSE,"ruin. He generally resided at Placenza, where he had begun to build a fwrong citadel, which the nobility of the duchy disliked, as they thought it to be intended to bridle them, and to secure Lewiis, who was of a very anourous disposition, S 2 from from his daily invasions"
0788400107_000186,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,97,2,0,2,2,0,6,0,7,1,0,4,1,1,5,2,0,0,0,0,0,1,0,0,4,0,1,0,1,1,1,1,3,2,8,0,0,0,3,3,0,1,4,1,2,0,1,11,3,1,1,0,2,2,1,5,0,0,0,0,1749,7,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,725,male,1686,1766,FALSE,"208 VOL. VII 0 o all Year of all the Branches of polite Literature, by the ablef Chrio3. Men of that Age, and no other Age has abounded with more able Men since the Revival of Learning. When he was but Thirteen Years of Age, Innocell VIII created him Cardinal"
1092200700_000131,"The history of the pontificate: from its supposed beginning, to the end of the Council of Trent, Anno Domini 1563. In which The Corruptions of the Scriptures and Sacred Antiquity, Forgeries in the Councils, and Incroachments of the Court of Rome on the Church and State, to support their Infallibility, Supremacy, and other Modern Doctrines, are set in a true Light. By Laurence Howel, A. M.","Howel, Laurence",88,0,3,2,0,3,3,2,4,0,1,7,0,1,0,1,0,14,3,0,0,1,1,0,2,0,1,1,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,2,1,1,1,12,3,2,3,1,0,0,1,3,2,0,0,0,1716,1,1,"London : printed for J. Pemberton, at the Golden Buck against St. Dunstan's Church in Fleet-Street, MDCCXVI. [1716].",London,605,male,1664,1720,FALSE,"is. very odd; for on the contrary Frideric had the. greater: Reason to expei. a Friend in the Pope than anean emy, they both, according to. the Editors, having been good Friends before. And as to Fr: ideric's Dislike of. the Election, the Inference Shows much Malice in the Author"
0588300103_000111,"The history of the life of King Henry the Second, and of the age in which he lived, in five books: to which is prefixed, a history of the revolutions of England from the death of Edward the Confessor to the birth of Henry the Second: by George Lord Lyttelton. ...","George Lyttelton, 1st Baron Lyttelton",77,1,2,6,0,3,2,0,1,3,5,7,1,0,0,2,0,1,0,1,3,0,0,2,3,1,1,0,0,0,0,1,0,0,2,0,1,1,3,0,0,0,1,0,0,0,1,4,4,2,3,0,1,1,2,4,0,1,0,0,1767,3,4,"London : printed for W. Sandby and J. Dodsley, MDCCLXVII. [1767]-71.",London,543,male,1709,1773,FALSE,"N: ubrigieni, sent to any general council . But many more were now ieto, col. fuinmoned, and some who from age, or infirmity, or other Bledict. sufficient excuses, were manifertly unable to take such a ab. i7ad journey. These were forced to redeem themselves by suns of money extorted moll"
0087800107_000035,"A new and general biographical dictionary; containing an historical and critical account of the lives and writings of the most eminent persons in every nation; particularly the British and Irish; from the earliest accounts of time to the present period. Wherein their remarkable actions or sufferings, their virtues, parts, and learning, are accurately displayed; with a catalogue of their literary productions. ...",,112,0,3,4,0,0,3,0,5,2,0,6,1,0,0,1,0,1,0,1,0,1,0,0,7,2,0,1,1,1,1,2,3,2,15,0,0,0,2,3,1,0,2,0,1,1,0,18,0,4,2,0,5,3,1,2,2,0,1,1,1761,7,11,"London : printed for T. Osborne, J. Whiston and B. White, W. Strahan, T. Payne, W. Owen, W. Johnston, S. Crowder, B. Law, T. Field, T. Durham, J. Robson, R. Goadby, and E. Baker, MDCCLXI. [1761].",London,546,unknown,,,FALSE,"and made him his chief con fideat; by wlich means he had daily opportunities of increasing his riches and honours. He had several children of both sexes, among whom was the cardinal we are speaking of, who being designed for letters , went to France , and studied at Paris."
0003400101_000060,"An essay on universal history, the manners, and spirit of nations, from the reign of Charlemaign to the age of Lewis XIV. Written in French by M. de Voltaire. Translated into English, with additional notes and chronological tables, by Mr. Nugent.",Voltaire,89,1,0,5,0,0,2,2,2,2,2,2,0,1,1,0,0,6,0,0,1,1,0,0,2,0,1,0,0,0,1,1,1,3,3,0,0,1,0,1,1,1,0,1,2,1,2,12,4,0,1,1,1,1,4,8,3,1,2,1,1759,1,4,"Dublin : printed for S. Cotter, Bookseller in Skinner-Row, MDCCLIX. [1759].",Dublin,379,male,1694,1778,TRUE,"that he never afterwards could appear in. public. Some time after this, a grandson of Marozia,. named Otavianus Sporco, was by the interest of his family. elected pope at the age of eighteen. He took the name of John XII out of regard to the memory of his uncle John"
0236800101_000067,"The history of modern Europe. With an account of the decline and fall of the Roman Empire; and a view of the progress of society, from the fifth to the eighteenth century. In a series of letters from a nobleman to his son. ...",William Russell,87,2,1,0,0,0,2,0,2,0,1,4,1,2,0,2,1,11,4,0,1,1,0,1,2,0,0,0,0,0,0,2,2,2,1,1,0,0,0,2,1,0,3,2,3,0,0,8,1,1,3,0,2,1,1,8,1,3,1,0,1779,1,2,"Dublin : printed for Messrs. S. Price, W. Whitestone, R. Cross, E. Lynch, T. Walker, C. Jenkin, E. Cross, P. Higly, R. Moncrieffe, W. Spotswood, W. Hallhead, J. Exshaw, J. Beatty, L. White, and P. Byrne, MDCCLXXIX. [1779].",Dublin,620,male,1741,1793,FALSE,"a cave in Spire 3 But notwithstanding his obligations , and teeming attachment to the church , this parricidious zealot no sooner found himself eftablilhed upon the imperial throne, than he maintained that right of investiture, in opposition to which he had taken arms against his father , and the"
1372900203_000070,Elements of general history. Translated from the French of the Abbé Millot. ...,"Cushing, Thomas Croade",84,0,0,2,0,0,0,0,2,1,0,5,2,6,2,4,3,8,1,2,1,3,0,0,2,0,0,0,1,1,0,2,1,1,2,0,0,2,4,1,1,0,1,2,1,0,1,6,0,1,2,0,1,0,0,7,0,0,1,1,1796,3,5,"Salem [Mass.] : Printed and sold by Thomas C. Cushing, MDCCXCVI. [1796].",Salem,383,male,1764,1824,FALSE,"was army. obliged to enter into a negotiation at Sutri; where it afcal en. was agreed, that the emperor Should renounce the inters into veftitures, not interrupt the freedom of eletions, restore C aee the domains of St. Peter, and make no attempt upon which the life or liberty of"
1372900203_000067,Elements of general history. Translated from the French of the Abbé Millot. ...,"Cushing, Thomas Croade",81,0,1,6,0,2,0,0,3,0,2,5,2,2,1,0,0,3,1,1,0,1,1,0,1,1,1,2,1,4,2,3,3,2,4,0,0,0,1,1,0,0,3,0,0,2,1,5,2,0,4,2,0,0,0,3,0,0,0,2,1796,3,5,"Salem [Mass.] : Printed and sold by Thomas C. Cushing, MDCCXCVI. [1796].",Salem,383,male,1764,1824,FALSE,"He is ex in his letter threatened, that if the king persisted, nhe¢ m'ni"" awuld pierce the adulterous Midianites with a sword more the pop,  /fiarp than that of p/ineas. His legate , at a council in lgate. Autun, thundered his anathemas against the emperor Henry IV and Guibcrt"
0091300201_000058,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,111,0,2,2,0,0,0,0,6,2,2,0,0,6,0,0,0,7,3,1,1,3,0,0,0,0,0,1,2,1,2,1,2,0,12,1,0,0,4,3,0,0,1,2,1,3,0,13,5,1,4,0,4,0,4,4,0,2,0,3,1799,1,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,569,male,1747,1822,FALSE,"the reformer should be expelled. Superstitious terror overpowered the spirit of freedom; Arnold and his adherents were driven from Rome ; and the people again surrendered the government of the city into the hand ; of the pope . In an interview which Adrian had near Sutri, in 155, the"
0276300802_000103,"Two treatises, one of the Christian priesthood, the other of the dignity of the episcopal order. First Written, and afterwards Published to obviate the Erroneous Opinions, Fallacious Reasonings, and Bold and False Assertions, in a late Book, entituled, The Rights of the Christian Church. With a large Prefatory Discourse In Answer to the said Book. All written by George Hickes, D. D. With an Appendix; Whereto are added in this Edition several New Tracts, viz. A particular Treatise written by Isaac Casaubon of Geneva, entituled, De Libertate Ecclesiasticâ, of the Liberty (or free Estate) of the Church. Mr. Hughes's Preliminary Dissertations (to St. Chrysostom de Sacerdotio) wherein the Authority of the Church, as it is distinguish'd from that of the State, is explain'd and defended, and all the Objections of the Erastians answer'd, especially those of a late Author, who has publish'd a Book entituled, The Rights of the Christian Church, &c. The third edition enlarged. In two volumes.",George Hickes,117,1,8,4,0,2,0,2,6,7,0,16,2,0,0,0,0,1,0,0,3,5,0,3,1,0,0,3,0,0,0,1,1,2,12,3,1,3,2,1,1,4,0,0,2,0,0,3,1,1,7,0,1,0,1,6,0,0,0,0,1711,2,2,"London : printed by W. B. for Richard Sare at Grays-Inn-Gate in Holborn, 1711.",London,656,male,1642,1715,FALSE,"those Days, either in'that City or elsewhere. In like manner Sigif mulct King of bougundy, as soon as he became a $ Member of the Church of God , cdmmanded a Synod to be assembled at the City of Pan. I must not omit a most noble Example, with which"
1237100600_000035,"A supplement to Mr. Samuel Puffendorf's Introduction to the history of Europe: containing A Succinct, but most Exact Historical Account of several European States and Countries, not Inserted in the said Introduction. Viz. The Lives of the Popes. The Turkish Empire. An Historical Account of the European Tartars, and the Cossacks. With some Historical Observations of Lap land and Greenland. By J. C. M. D. S. Reg. S. who oblig'd the Publick with Puffendorf's Introduction and Continuation.",Samuel von Pufendorf,98,2,3,0,0,0,2,0,2,1,0,7,1,0,1,2,2,6,2,3,1,0,1,3,3,0,4,0,1,0,2,2,0,1,3,1,0,0,4,0,0,2,0,0,1,0,4,18,0,2,6,1,1,0,0,2,1,0,0,0,1710,1,1,"London : printed, and are to be sold by W. Taylor, at the Ship in St. Paul's Church-Yard, 1710.",London,708,male,1632,1694,TRUE,"Rom; ifp Court , the Venetians and most of the other Italian Princes enter into a Confederacy, to put a stop to the farther progress of the Imperial Arms, which they having effected in onme measure, it was thought fit to put an end to the War by a Peace"
0021100303_000071,"The history of the Church, from the beginning of the world to the year of Christ 1718. In four volumes. Compendiously written in French by Lewis Ellis Du-Pin, Doctor in Divinity of the Faculty of Paris. And now translated into English according to the third Paris edition, Revis'd, Enlarg'd, and put into a new Method by the Author. with a compleat index to the Whole. ...",Louis Ellies Dupin,105,1,0,0,1,0,4,3,1,2,0,2,0,6,4,4,1,7,5,0,0,1,0,0,2,0,2,0,1,0,0,0,5,3,3,3,0,0,1,0,0,0,0,2,1,1,0,15,0,1,6,0,3,4,0,4,1,2,3,0,1724,3,4,"London : printed for Bernard Lintot at the Cross-Keys between the Temple Gates, 1724.",London,360,male,1657,1719,FALSE,"the Empire . a He got himself elected Emperor , after his Brother's Death , by moult of the Princes of Ger mmny. b Some others eleated otho Son to Henry Duke of s.xony. C Pope Innocent III declared for otho, confirmed his Elction, and rejected that of Philip, who"
0118200102_001133,"A new history of ecclesiastical writers: containing an account of the authors of the several books of the Old and New Testament; Of the Lives and Writings of the primitive fathers; An Abridgment and Catalogue of their Works: Their Various Editions, and Censures Determining the Genuine and Spurious. Together with a Judgment upon their Stile and Doctrine. also, a compendious history of the councils; with chronological tables of the whole. Written in French by Lewis Ellies du Pin, Doctor of the Sorbon, and Regins Professor of Divinity at Paris. ...; Containing the Authors that flourished in the Seventh, Eighth, Ninth, Tenth, Eleventh, Twelfth, Thirteenth, and Fourteenth Ages of the Church.",Louis Ellies Dupin,87,0,0,5,1,2,1,1,3,1,0,5,0,2,5,1,3,1,0,3,0,0,0,0,3,0,0,0,2,0,0,2,1,2,3,1,0,0,2,3,0,0,0,2,2,0,1,16,0,1,3,1,0,6,0,2,0,0,0,0,1724,2,3,"Dublin : printed by and for George Grierson, at the Two Bibles in Essex-Street, MDCCXXIV. 1723-[24].",Dublin,818,male,1657,1719,FALSE,"Innocent the Gross, is in his Interview with A Council at Albericus, Canon of Aix. tand the Emp kil'd byacci the Pope at Liege, but Rheims, held in the Foucher a Monk of Char ror Lothari u dent, and his Sr. Bernard opposes it, Month of October, tres. at Liege."
0118300103_000033,"A new history of ecclesiastical writers: containing an account of the authors of the several books of the Old and New Testament; Of the Lives and Writings of the primitive fathers; also, a compendious history of the councils; with chronological tables of the whole. Written in French by Lewis Ellies du Pin, Doctor of the Sorbon, and Regius Professor of Divinity at Paris. Volume the third; Containing the Authors that flourished in the Fifteenth and Sixteenth Ages of the Church.",Louis Ellies Dupin,86,0,0,0,0,0,1,2,4,3,3,6,2,0,2,1,2,0,1,1,1,0,0,3,7,4,0,0,2,0,1,1,2,0,6,3,1,0,3,0,0,0,1,0,2,0,1,9,0,1,1,0,0,2,2,4,0,1,0,0,1724,3,3,"Dublin : printed by and for George Grierson, at the Two Bibles in Essex-Street, MDCCXXIV. [1724].",Dublin,842,male,1657,1719,FALSE,"this manner, for Alexander V dying at Bohemia, May the 3 rio. Balthazar Coffi, who besides his own Interest, had, a Recommendation from Louis of Anjou, King of. Sicily, was chosen Pope a few days after, and tookjoin the I 1 XT -^ I 17 ^7 vyt' d. pope ."
0547500107_000041,"A summary of universal history from the creation to the present time. In letters from a father to his son. By Francis Dobbs, Esq. Member for the Borough of Charlemont, in Ireland. ...",Francis Dobbs,97,0,1,1,0,0,9,0,2,0,2,6,0,3,5,1,1,6,1,1,0,0,3,0,2,1,0,0,0,0,1,2,0,5,3,0,0,0,0,0,0,0,0,1,1,1,1,10,4,2,5,0,0,2,3,6,1,0,3,1,1800,7,9,"London : printed for the author [by S. Gosnell], and sold by S. Sael and Co. No. 192, Strand, 1800.",London,256,male,1750,1811,FALSE,"was, that 200, 0 strangers visited that metropolis. This Pope renewed all the bulls that hd been issued against the emperor Lewis, but a diet held in Germany supported that prince against the papacy. Clement, however, by his intrigues, got Charles of Luxemburgh made king of the Romans , who,"
0477500402_000020,"An essay on universal history, the manners, and spirit of nations, from the reign of Charlemaign to the age of Lewis XIV. Written in French by M. de Voltaire. Translated into English, with additional notes and chronological tables, by Mr. Nugent.",Voltaire,82,1,3,3,0,0,2,1,2,3,0,0,1,3,1,2,2,9,1,1,1,0,0,0,5,0,1,1,2,1,1,1,0,5,4,0,0,1,1,2,2,1,1,0,2,1,0,8,0,0,1,0,0,1,0,3,0,1,0,0,1759,2,4,"London : printed for J. Nourse at the Lamb opposite Katherine-Street in the Strand, MDCCLIX. [1759].",London,400,male,1694,1778,TRUE,"was accused of it: but thirty years after, the Dominicans obtained letters -patent from John king of Bohemia, son of Henry VII by which they were declared innocent. It is a melancholy circumstance to have had need of those letters . As in the elections of the popes there was"
0788400106_000044,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,110,0,0,3,0,0,1,0,6,1,1,0,0,5,1,1,0,9,7,0,0,0,1,1,0,0,0,2,0,1,0,1,1,1,0,2,0,0,10,7,0,0,3,0,1,0,1,14,2,1,8,0,0,2,3,5,1,1,1,5,1749,6,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,662,male,1686,1766,FALSE,"minded Persons have made it their "" Business to sow the Seeds of diftcnfion between u"" us k This Letter being read aloud, and faithfully ii) G'vesrea terpreted by Reinald, Chancellor of the Empire , iofg.' to for the Sake of those who understood not the Lap,,,, s. tin, the"
1107300201_000173,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society, from the fifth to the eighteenth century. In a series of letters from a nobleman to his son. ...",William Russell,89,0,0,0,0,0,2,0,1,6,0,0,2,6,0,0,3,5,3,0,0,1,0,0,0,1,0,1,0,1,1,0,8,1,3,2,0,1,2,2,2,1,1,1,2,2,1,3,4,0,4,0,3,2,2,4,1,1,3,0,1779,1,2,"London : printed for G. Robinson, Paternoster-Row; J. Robson, New Bond-Street; J. Walter, Charing-cross; and J. Sewell, Cornhill, MDCCLXXIX. [1779].",London,623,male,1741,1793,FALSE,"lie made his public entry with great magnificence. He thence repaired to Ferrara, where he found ambassadors from Francis Sforza, duke of Milan, inviting him to return by that city , where where he should receive the iron crown ; and here too IETTER he received deputies from Florence and"
0444800107_000178,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Esq; Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,97,1,1,1,0,0,10,1,4,3,1,6,1,0,3,0,3,2,0,1,0,0,1,0,2,1,5,0,1,2,1,0,3,1,9,1,0,0,1,0,1,0,1,0,4,0,2,11,1,0,0,1,1,2,0,4,0,3,0,0,1748,7,7,"London : printed for the author: and sold by A. Millar, over-against Catharine-Street in the Strand: and by W. Sandby, opposite to St. Dunstan's Church, Fleet-Street, M.DCC.XLVIII. [1748].",London,521,male,1686,1766,FALSE,"and those of the Venetians quite out of his Dominions z. te Cardinal The melancholy Death of the Cardinal of Pavia, late Legate at fd bp.tir Bologna, that happened at this Time, added greatly to the Concern Duke of Urbis Holiness was under for the Loss of that City and"
