PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(amen),termFreq(angel),termFreq(apostl),termFreq(baptiz),termFreq(believ),termFreq(bless),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(command),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(ghost),termFreq(glori),termFreq(gospel),termFreq(grace),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(king),termFreq(know),termFreq(law),termFreq(life),termFreq(live),termFreq(love),termFreq(manner),termFreq(mean),termFreq(merci),termFreq(mind),termFreq(natur),termFreq(offer),termFreq(order),termFreq(peopl),termFreq(person),termFreq(power),termFreq(prayer),termFreq(reason),termFreq(receiv),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(spirit),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0288100101_000178,"The works of the Right Reverend Father in God Thomas Wilson, D.D. Lord Bishop of Sodor and Man. In two volumes. With his life, compiled from authentic papers by C. Cruttwell. ...",Thomas Wilson,95,0,2,0,0,0,1,1,1,0,3,2,1,0,1,2,2,3,2,3,2,2,1,5,3,3,0,0,3,0,4,4,0,1,0,5,0,0,0,3,2,0,0,0,2,1,1,2,6,0,3,0,1,2,3,1,4,2,2,3,1781,1,2,"Bath : printed for C. and R. Cruttwell; and sold in London by C. Dilly; J. F. and C. Rivington, and J. Johnson, St. Paul's Church-Yard; J. Phillips, George-Yard, Lombard-Street; and James Fox, Westminster, Westminster, MDCCLXXXI. [1781].",Bath,648,male,1663,1755,FALSE,"and keep you in the way to eternal life ; and this is what you must beg of God, sir this faith is his gift; and that he may increase it in you unto your life's end . Ind. I hope .I fall never forget to pray for so necessary"
0844901200_000003,An essay towards making the knowledge of religion easy to the meanest capacity. Being a short and plain account of the doctrines and rules of Christianity. By his Grace Edward Lord Archbishop of Tuam.,Edward Synge,116,1,0,0,2,0,2,0,0,0,6,2,5,1,3,0,0,1,1,3,2,4,1,3,1,0,0,1,1,2,14,1,2,1,2,3,2,0,1,2,1,3,3,0,3,4,3,2,0,3,1,0,1,4,4,4,1,1,4,4,1734,1,1,"London : printed for R. Williamson, near Gray's-Inn Gate in Holborn, [1734].",London,35,male,1659,1741,FALSE,"for Sinners. This is the and wretched Condition which all Mankind by Nature are in, ever since the Sin of our first Parents. But notwithstanding that Man had thus brought himself into this evil State; yet God in his infinite Mercy would not presently forsake, or wholly cast him off:"
1043300400_000005,"The poor man's daily companion; or, a choice collection of prayers, and other spiritual exercises: with the manner of serving at mass, Jesus psalter, examination of conscience, prayers in time of indulgences, vespers and complin, &c.",,105,1,2,1,1,0,1,6,1,1,3,0,2,1,0,2,2,0,6,3,2,0,3,0,6,2,1,3,2,3,8,1,1,0,0,4,5,0,1,1,1,0,0,7,0,0,0,1,4,1,1,1,0,2,1,2,3,3,0,2,1799,1,1,"London : printed by J. P. Coghlan, No. 37, Duke-Street, Grosvenor-Square, M,DCC,XCIX. [1799].",London,257,unknown,,,FALSE,"and inftrution in thywords. With thee, facredredeemer,, are words of eternal . life : to. whom hall we go but to thee,. eternal fountain of truth : give me, 0 God grace to prafife I what thou commandeft, and command what thou pleafeft. t Credo in unum Deum, say, T"
1075100100_000043,The sunday service of the Methodists; with other occasional services.,Church of England,136,1,4,0,0,0,0,3,3,4,15,0,3,0,1,0,2,1,0,3,8,6,4,0,1,2,5,1,2,2,12,7,1,0,0,2,2,3,0,0,6,1,1,2,1,4,0,1,4,1,4,2,0,6,0,0,0,0,0,5,1788,1,1,"London : [s.n.], Printed In The Year 1788.",London,439,unknown,,,FALSE,"the Elder firtr receive the Commtnion in both Kinds himself, and then proceed to deliver the same to the other mainijers in like maanner (if any be present), and after that to the People also, in order , into their Handls. And when he delivereth the Bread to any one,"
0763301000_000193,"The new whole duty of man, containing the faith as well as practice of a Christian: made easy for the practice of the present age, As the Old Whole Duty of Man was design'd for those unhappy Times in which it was written; and Supplying the Articles of The Christian Faith, Which are Wanting in that Book. Tho' Essentially necessary to Salvation. Necessary for All Families. And Authorised by the King's most Excellent Majesty With Devotions proper for several Occasions.",,92,3,4,0,0,0,0,2,0,1,2,1,2,1,0,2,1,3,2,4,2,1,2,2,2,5,3,0,4,1,6,2,0,0,1,1,3,3,0,0,0,0,0,2,1,2,1,1,6,0,2,1,0,0,1,2,1,3,2,1,1766,1,1,"London : printed only for John Hinton, at the King's Arms, in Pater-Noster Row, [1766].",London,590,unknown,,,FALSE,"and to redress the grievances of all such as come before them. And grant that all rulers may so govern, and sub jees so obey, that they may always deserve thy heavenly grace , assistance, protection and salvation; which I afkia the name, and for the sake and righteousness of"
0210501900_000021,"A new and correct edition of the book of common prayer, and administration of the sacraments, And other Rites of the Church of England. In which Certain Alterations and Amendments are most humbly offered and recommended. To which is prefixed, A letter to the most reverend the Archbishops, And the Right Reverend the Bishops of the Church of England. By a priest of the same church.",Church of England,152,0,13,0,1,0,3,5,0,0,17,0,0,0,0,0,1,3,1,4,1,5,3,2,3,8,1,0,4,4,11,16,1,0,0,2,1,3,0,0,3,1,0,0,1,2,0,0,0,0,1,4,0,4,7,3,4,3,0,6,1768,1,1,"London : printed for J. Fletcher and Co. in St. Paul's Church-Yard, M.DCC.LXVIII [1768].",London,341,unknown,,,FALSE,"after Eajter. Almighty God, whose Son Jesus Christ was made flesh, that he might die for our sins , and rise again for our justification; Increase and strengthen our faith in this great mystery of godliness; that we, believing in his holy name, may be enabled to overcome the world"
0768000100_000041,The sunday service of the Methodists in the United States of America. With other occasional services.,Church of England,133,0,4,0,0,0,0,5,1,1,10,0,3,0,1,0,2,2,0,2,8,5,4,1,1,6,3,2,1,1,12,8,1,0,0,1,4,3,0,0,8,1,1,2,0,3,0,2,3,1,4,1,0,6,1,0,0,1,0,7,1790,1,1,"London : [s.n.], Printed in the Year MDCCXC. [1790].",London,425,unknown,,,FALSE,"thy Name; Thy kingdom come; Thy Will be done on Earth , As it is in Heaven : Give us this day our daily bread; And forgive us our trelpaffes, As we forgive them that trespass against us; And lead us not into temptation; But deliver us fromn evil: For"
0134702400_000005,"Devotions for the altar: or, select prayers and meditations to be used both before, at, and after the receiving the Holy Communion. To which are added, private prayers at home, both Before and After the Celebration in the Church. Collected by a lady for her own private use, and now publish'd for the benefit of others.",,129,2,8,1,0,0,2,6,7,10,5,0,1,1,4,1,2,2,1,2,0,0,2,0,3,3,0,0,1,3,8,11,1,1,0,4,0,6,1,0,1,2,0,3,0,0,0,1,2,0,5,2,0,7,2,0,0,2,1,2,1716,1,1,"London : printed for Thomas Harbin, at the Bible and Anchor in the New Exchange in the Strand, 1716.",London,60,unknown,,,FALSE,"Powers thereof, now represented before thy Divine Majesty, we and all thy whole Church , may be made Partakers of all other Benefits of his moult precious Death and Re furretion from the Earth , and glorious Ascension into Heaven , who livethand reigneth with thee and B 2 the"
0718100100_000061,"The great necessity and advantage of publick prayer, and frequent communion. Designed to revive primitive piety. By the Right Reverend Father in God William Beveridge, D. D. Late Lord Bishop of St. Asaph.",William Beveridge,119,0,12,1,0,0,1,6,6,5,3,1,2,1,2,1,1,2,1,1,2,0,3,0,5,3,0,0,1,1,8,6,0,0,1,2,1,2,0,0,3,2,0,2,0,0,2,3,1,0,5,5,0,8,2,0,0,0,2,3,1708,1,1,"London : printed by E. P. for R. Smith, in Exeter-Change in the Strand, 1708.",London,287,male,1637,1708,FALSE,"and reft: Help me to approach these Holy Mysteries with Fear and Reverence, deep Humility, and ardent Devotion; with an Heart full of Faith and Love , sensible of thy Infinite Goodness, in sending thy Son to die for me, and of his his inexpressible Love in undertaking and accomplishing"
0756800400_000197,"The new whole duty of man, containing the faith as well as practice of a Christian: made easy for the practice of the present age, ...",,96,3,2,0,0,0,0,3,0,1,2,1,2,1,0,2,1,3,2,3,2,2,4,4,1,4,1,0,4,1,9,2,0,0,1,1,3,4,0,1,0,0,0,1,1,2,1,1,5,0,2,1,0,1,1,2,1,4,2,1,1791,1,1,"London [i.e. York?] : printed for A. Millar, W. Law, and R. Cater, and for T. Wilson, and R. Spence, York, [1791].",York,493,unknown,,,FALSE,"Son Jesus Christ , our Lord and Saviour . Amen . A Prayer for the Clergy. God, who of thy great goodness hast set apart an order of men on purpose to guide and govern us, to direct and assist us in matters of our eternal fslvation; grant , that"
1190401200_000090,"The book of common prayer, and administration of the sacraments, and other Rites and Ceremonies of the Church, According to the Use of The Church of England: together with the Psalter or Psalms of David, Pointed as they are to be sung or said in Churches.",Church of England,121,2,4,7,2,0,3,0,2,2,10,0,0,0,3,0,2,1,0,2,5,3,6,1,0,1,2,1,1,6,11,9,0,0,0,5,0,1,0,0,4,0,0,2,1,1,2,0,2,0,2,1,0,6,0,3,1,1,0,3,1767,1,1,"Cambridge : printed by John Archdeacon, Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, in Cambridge, [1767].",Cambridge,424,unknown,,,FALSE,"strengthen yoiu in all goodness ad and bring you to .everlaftin . .. ...... life ; i i 1 i life , through Jesus Christ our Lord. Amen . Then shall the Pries say, Hear .what comfortable words our Saviour Christ saith unto all that truly turn to him. comie"
0473400200_000005,A liturgy for the use of the mint-meeting in Exeter.,Joseph Bretland,106,0,10,0,1,0,0,2,0,0,7,0,1,2,1,2,4,2,1,0,4,0,1,2,1,2,1,0,5,0,6,5,3,0,2,1,5,2,0,0,5,1,0,1,2,4,0,1,2,0,1,2,1,2,1,2,4,1,1,2,1792,1,1,"Exeter : printed by R. Trewman and Son, M,DCC,XCII. [1792].",Exeter,168,male,1742,1819,FALSE,"forth thy praise, not only with our lips, but in our lives , by giving up ourselves to thy service, and and by walking before thee in holiness and righteousness all our days: that at length we may obtain eternal life , through Jesus Chriit our Lord. Now to thee,"
0275700500_000009,"Specimens of the manner in which public worship is conducted in dissenting congregations: With a Service for Baptism; The Celebration of the Lord's Supper, and, the Burial of the Dead. By J. H.",John Harrison,103,0,3,1,0,0,1,6,1,0,6,2,0,0,0,0,3,2,1,4,2,0,3,4,5,2,0,1,1,4,3,4,0,0,1,2,4,3,0,1,4,2,1,1,0,3,0,2,5,2,2,1,0,4,1,1,0,2,1,1,1793,1,1,"Preston : printed and sold by Thomas Walker, MDCCXCIII. [1793].",Preston,124,male,1693,1776,FALSE,"we depart to receive the great end of our faith and hope, our final and complete salvation. Hear our prayers , 0 God, and accept of us through Jesus Christ the son of thy love , by whom we ascribe unto thee the kingdom, the power , and the glory"
0931900501_000143,"Ecclesiastical law. By Richard Burn, LL. D. Chancellor of the Diocese of Carlisle, and Vicar of Orton, in the County of Westmorland. The Fifth Edition. In Four Volumes. ...",Richard Burn,111,0,5,0,0,0,0,8,1,2,4,0,1,1,1,0,0,2,2,5,1,1,1,1,3,7,3,3,4,2,12,2,1,1,1,0,4,1,1,0,0,2,1,1,2,1,1,2,3,1,4,2,0,2,4,1,0,2,1,0,1788,1,4,"London : printed by A. Strahan and W. Woodfall, Law-Printers to the King's most Excellent Majesty ; for T. Cadell, in the Strand, MDCCLXXXVIII. [1788].",London,515,male,1709,1785,FALSE,"lby th newchurch built nsu t o in nold parish.) founder, or famoe proper fjib/iitute : which he lays upon the communion table, and thenjflanding up, and turning to the congregation, says, Dearly beloved in the Lord; forasmuch as devout and holy men, as well under the law as under"
1075100100_000042,The sunday service of the Methodists; with other occasional services.,Church of England,126,3,4,7,1,0,2,1,4,4,8,0,0,1,5,0,2,0,0,1,6,3,6,2,0,2,3,3,1,6,13,9,0,0,0,2,0,0,0,0,5,0,0,2,0,1,2,0,2,0,2,1,0,7,0,2,0,1,0,2,1788,1,1,"London : [s.n.], Printed In The Year 1788.",London,439,unknown,,,FALSE,"I Tim. i. 15 Hear also what St. John faith : If any man sin , we have an Advocate with the Father ,. Jesus Christ the righteous:. and he is the propitiation for our sins . I John II i, 2 After which the Elder hallproceed, saying, Lift up"
0354001400_000012,"A manual of prayers and other Christian devotions. Revised and corrected, with large additions, by R- C-, D.D.",Richard Challoner,111,2,4,0,3,0,1,4,0,0,1,0,3,3,3,0,1,1,2,3,6,2,3,0,5,5,0,2,3,0,11,4,0,0,0,2,2,2,0,0,8,1,1,1,0,3,1,1,5,0,1,2,0,3,0,1,0,1,3,1,1800,1,1,"London : printed by Sampson Low, Berwick Street, Soho; for E. Booker, No. 56, New Bond Street, 1800.",London,575,male,1691,1781,FALSE,"of thy holy relilrreaion and afcen sion; that being supported with thy heavenly grace in this life , I may ascend to thee; and appearing before thy glorious seat, pure and unspotted, may there receive my happy place, and sing thy praise for ever. Amen . The Song of Zachary,"
0689600700_000025,"A collection of hymns, for the use of the Protestant Church of the United Brethren.",United Brethren in Christ,112,0,5,3,0,0,5,1,2,4,9,2,7,0,3,0,1,2,5,3,2,4,3,1,1,2,1,2,0,3,6,5,0,1,0,2,3,1,2,0,0,0,0,0,0,0,0,2,0,1,2,1,0,3,6,3,0,0,1,2,1789,1,1,"London : printed: and sold at the brethren's chapels in Great-Britain and Ireland, M.DCC.LXXXIX. [1789].",London,321,unknown,,,FALSE,"of the Holy Ghost , was coriceived of the virgin Mary; as the children are partakers of fle/h and blood , he also himself likewise took part of the same, was born of a woman: And being found in fashion as a main, was teipted in all points like as"
1187500200_000007,"Devotions, for the use of the Liverpool congregation.",Catholic Church (England),113,0,6,1,1,0,0,3,2,3,3,0,1,2,3,1,2,1,3,3,8,3,2,1,1,3,0,1,4,3,6,4,0,0,0,4,2,7,0,0,6,1,0,0,0,0,0,1,4,0,4,0,0,5,1,1,0,4,0,2,1783,1,1,"Liverpool : printed by G. Woods, MDCCLXXXIII. [1783].",Liverpool,248,unknown,,,FALSE,"good, I love thee with my whole heart above all things. O that thy love may lb possess my soul, that nothing thing in life or death may be able ever to separate me from thee. Put therefore thy passion and cross, between thyjuftice and my soul, now and at"
1572000600_000080,"The book of common prayer, and administration of the sacraments, and other rites and ceremonies of the church, according to the use of the Church of Ireland: Together with the Psalter or Psalms of David, pointed as they are to be sung or said in churches; and the form or manner of making, ordaining, and consecrating of bishops, priests, and deacons.",Church of Ireland,134,0,10,0,0,0,0,4,2,5,12,0,1,1,2,0,2,3,0,2,9,4,5,0,3,2,0,1,3,2,10,11,1,0,1,2,2,1,0,0,4,1,0,2,0,2,0,1,4,1,2,2,0,5,0,0,0,1,3,5,1773,1,1,"Dublin : Printed by the executors of David Hay, assignee of the Late Boulter Grierson, printer to the King's Most Excellent Majesty, MDCCLXXIII. [1773].",Dublin,631,unknown,,,FALSE,"Prayer , the People repeating after him every Petition. O UR Father which art in heaven , Hallowed be thy Name; Thy kingdom come; Thy will be done in earth , as it is in heaven : Give us this day our daily bread; And forgive us our tref passes,"
1043100200_000008,"Prayers selected from the Book of common prayer, for the more convenient use of private families.",Church of England,142,1,14,3,11,0,2,3,0,1,19,0,3,1,0,0,1,1,1,1,1,2,3,2,6,6,0,0,1,1,12,19,0,2,0,4,1,3,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,1,4,3,0,1,1795,1,1,"Bath : printed by S. Hazard, 1795.",Bath,23,unknown,,,FALSE,"preferv from FALSE Apostles , may be ordered a guided by faithful and TRUE pastors, th Jesus Christ our Lord. Amen . THE ANNUNCIATION OF THE BLESS VIRGIN MARY. W E beseech thee, O LORD, pc thy grace into our hearts ; that as have known the incarnation of thy"
0448900303_000130,"Sixty-Four practical sermons by the late Reverend Mr. Daniel Wilcox, Preacher of the Gospel in Monks-Well-Street, London. Printed at the earnest Desire of the Congregation, and others that were his Occasional Hearers. To which are added, the confession of faith delivered at his ordination to the ministry; and a discourse on the duty of holding fast the form of sound words. In Three Volumes. ...","Wilcox, Daniel",97,3,0,0,2,0,8,1,1,3,4,0,2,1,3,1,1,2,1,2,1,2,2,3,2,0,0,2,1,3,4,0,1,1,1,4,1,0,0,1,1,0,2,2,3,0,1,1,0,0,0,2,3,3,4,2,0,3,1,5,1757,3,3,"London : printed for Edward Dilly, at the Rose and Crown, in the Poultry, near the Mansion-House, MDCCLVII. [1757].",London,480,male,,,FALSE,"accomplish our redemption. As twas requisite that the lame nature thatfnn'd flould alfojiffer. and the children to be redeemed wcerepartakers offleyh and blood ; he alo himself like wsije took part o the fme, that being Emnmanuel, God with us, he might be a most suitable and all fufficient Saviour"
1152300300_000093,"The book of common prayer, and administration of the sacraments, and Other Rites and Ceremonies of the Church, According to the Use of the Church of England: together with the Psalter or Psalms of David, Pointed as they are to be sung or said in Churches.",Church of England,121,2,4,7,2,0,3,0,2,2,10,0,0,0,3,0,2,1,0,2,5,3,6,1,0,1,3,1,1,6,11,9,0,0,0,5,0,1,0,0,4,0,0,1,1,1,2,0,2,0,2,1,0,6,0,3,1,1,0,3,1757,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, 1757.",Oxford,423,unknown,,,FALSE,"life , ` -- -- 7 [_ -- -_-.^ C life , through Jesus Christ our Lord. Amen . I Then Shall the Priest say, Hear what comfortable words our Saviour Christ saith unto all that truly turn to him: C Ome unto me, all ye that C travel, and"
0952800400_000021,"The liturgy of the Church of England, reduc'd nearer to the primitive standard. Humbly propos'd to publick consideration. By William Whiston, M.A.",William Whiston,115,2,5,0,2,0,3,2,0,2,9,0,4,0,0,1,2,4,0,0,7,2,3,4,1,3,4,1,5,4,9,7,4,2,0,1,1,2,0,0,2,0,0,0,1,2,0,1,1,0,0,0,2,1,2,0,0,3,2,2,1750,1,1,"London : printed for the author, and sold by Mr. Whiston, in Fleet-Street; and Mr. Bishop, in Little Turn-Stile, Holborn, M.DCC.L. [1750].",London,112,male,1667,1752,TRUE,"that by the holy dotrine, delivered by him, all the diseases of our souls may be healed, through the merits of thy Son Jesus Christ our Lord. Amen . The Epifle. Watch thou in all,. Tifit. 4 ver. 5 to V i6. The Gospel . The Lord appointed. S.lu. io."
0455500104_000967,"The practical works of the late reverend and pious Mr. Richard Baxter, in four volumes. With a preface; giving some account of the author, and of this edition ... Together with alphabetical tables to each volume.",Richard Baxter,118,3,0,0,0,0,10,1,0,4,5,2,3,1,4,1,1,3,3,1,4,2,3,1,2,0,0,0,1,1,12,3,0,0,3,4,2,5,0,0,1,1,2,0,0,1,0,1,1,0,1,1,1,6,4,4,0,2,1,6,1707,4,4,"London : printed for Thomas Parkhurst; Jonathan Robinson, and John Lawrence, 1707.",London,959,male,1615,1691,FALSE,"28 II But (affirmatively) there is yet an Excellent Sort and Degree of Unity and Concord to be fought with Hope among Christians , worthy of all our utmost Labour; yea, there is a TRUE and Excellent Unity and Concord, which all TRUE Christians do already enjoy, consisting in the"
0210901900_000197,"The new whole duty of man: containing the faith as well as practice of a Christian; made easy for the practice of the present age, As the Old Whole Duty of Man was designed for those unhappy Times in which it was written; and Supplying the Articles of the Christian Faith, Which are wanting in that Book, though Essentially Necessary to Salvation. Necessary for All Families, and Authorised by the King's most Excellent Majesty. With Devotions proper for several Occasions.",,116,1,4,2,1,0,3,1,0,6,6,1,1,0,3,0,3,1,1,2,6,1,6,1,2,0,2,0,0,8,9,10,0,0,0,3,0,2,0,0,1,0,0,0,0,0,1,3,11,0,0,1,0,2,1,3,1,1,1,4,1764,1,1,"Dublin : printed for P. Wilson, and T. Dyton, in Dame-Street, MDCCLXIV. [1764].",Dublin,611,unknown,,,FALSE,"Therefore, with angels and archangels, and all the. company of heaven ,. I laud and magnify thy glorious name; evermore praifirig thee, and saying'  holy , holy , Lord of Hofts!' heaven and Earth  are full of thy glory . Glory be to thee.0.lord moil.  high ."
1254100100_000002,"The order of confirmation: with instructions for them that come to be confirmed. And prayers, to be used before and after confirmation.",Church of England,110,0,3,0,1,0,2,9,2,3,4,1,1,2,0,0,0,2,1,1,3,2,0,1,3,2,0,1,3,1,19,4,0,0,1,2,1,1,1,0,2,4,2,1,0,0,0,0,3,0,3,2,0,2,6,1,0,2,2,3,1792,1,1,"London : printed for F. and C. Rivington, Booksellers to The Society for promoting Christian Knowledge, No. 62, St. Paul's Church-Yard, 1792.",London,21,unknown,,,FALSE,"of chy holy Apostles ) we have now laid our Hands ; to certify them by this Sign, of thy Favour and gracious Goodness towards them. Let thy fatherly ihand, we beseech thee, ever be over tihem; let thy Holy Spirit ever be with them; and so lead them in"
0819500600_000048,"The pious country parishioner instructed how to spend every day, through the whole Course of his Life, in a religious and acceptable manner. Advice how to keep the Lord's Day holy. A Course of Reading the Holy Scriptures, wherein is shewn how much they out-do in Eloquence, all the Rules of human Art. A right Method of Education; the ill Consequence of with-holding Instruction from Children; how to subdue their Passions, and make them a Comfort to their Friends, and a Blessing to the World. The Feasts and Fasts. To which are added collects on Several Occasions: Also, a Discourse concerning the indispensible, though in Country Parishes, much neglected, Duty of Receiving the Blessed Sacrament of the Lord's-Supper: Wherein The Nature of it is described: The Obligations of frequenting it enforced: All the Excuses, usually brought for the Neglect of it, answered: The Ignorant Person taught what he must do in order to be A Worthy Communicant. And because all must die, Rules are given for a devout Behaviour in the Time of Sickness; and Directions laid down how to prepare for a happy Change at Death.",,118,3,7,1,0,0,0,7,8,8,2,1,0,0,2,0,1,0,2,2,3,2,7,1,4,3,0,0,3,2,12,1,1,0,1,3,2,3,0,0,2,1,0,2,0,1,0,1,1,0,4,1,0,3,6,0,0,1,0,3,1793,1,1,"London : printed for F. and C. Rivington, No. 62, St. Paul's Church-Yard; B. Law, and Son; R. Baldwin, S. Bladon, and G. and T. Wilkie, 1793.",London,251,unknown,,,FALSE,"crucified Body deliver me from this Body of Death . After receiving thej Bread. A LL Love , all Glory be to thee, 0 Lord, who feedeft me with the Bread of Life . Make me a Partaker of the Virtue of thy crucified Body . I offer to thee"
1180000600_000130,"The book of common prayer, and administration of the sacraments, and other Rites and Ceremonies of The Church of England. Also, the Companion to the altar. With notes and Annotations.",Church of England,126,1,4,0,0,0,0,4,5,6,11,0,1,0,2,0,2,2,0,3,9,4,6,0,2,1,3,4,2,2,9,7,1,0,0,2,1,1,1,0,3,1,0,2,1,3,0,1,2,1,3,2,0,5,0,0,0,0,1,5,1791,1,1,"Birmingham : printed by J. Thompson, MDCCXCI. [1791].",Birmingham,577,unknown,,,FALSE,"you; do this in remembrance the bread of me. Likewise after Supper, he § Here he is to §, took the Cup, and when he had given his hand . into thanks, he gave it to them, saying, Drink ye all of this, for II this is my his hand"
0871900400_000037,"The poor prisoner's comforter. In a collection of proper instructions and prayers, for Christians in prison. By the Use of which a Prisoner may find Comfort and Satisfaction in his Poverty and Confinement, and wisely improve them to his eternal Salvation. To which is added, instructions and devout exercises for a person laying under sentence of death. According to Mr. Gother, and other pious Authors.","Mackenzie, Alexander",124,0,3,0,1,0,1,5,3,5,6,0,0,1,2,0,0,2,6,1,6,2,2,0,2,4,0,1,1,3,7,7,0,0,0,5,2,3,0,0,6,1,0,3,0,0,1,0,2,0,3,4,0,8,1,4,0,2,0,8,1764,1,1,"London : printed by R. Balfe, in the year, 1764.",London,229,male,1730,1800,FALSE,"and sacred Blood , - which, flowing out of the Side of my Lord and Saviour Jesus Christ , wafheth away the Spots of our Offences, cleanse, fanaify, and preserve my Soul, I beseech thee, to everlasting Life . V E thank thee, O Lord God, merciful Father , that"
0220500400_000039,"The sacrament book; being a week's preparation for a worthy receiving of the Lord's supper. According to the usage of the Church of England; Consisting of Meditations, Prayers, Ejaculations, and Hymns, For Morning and Evening every Day in the Week: With Litanies, Forms of Examination of Conscience, and of Confession of Sins, Directions for the Improvement of Time, and A Companion, or Spiritual Guide at the Altar. To which are added, A devout Exercise after Receiving; Prayers for Morning and Evening, and on special Occasions. By the editor of the New whole duty of man.",Editor of the New whole duty of man,99,1,2,1,0,0,0,4,1,3,6,1,2,1,1,1,1,2,0,1,5,2,3,0,1,1,1,1,3,0,6,5,1,0,1,1,1,3,1,0,3,1,0,2,0,2,1,0,8,2,2,2,0,5,0,0,0,2,1,4,1764,1,1,"Dublin : printed for Sarah Cotter in Skinner-Row, M,DCC,LXIV [1764].",Dublin,244,unknown,,,FALSE,"and tlankfgiving; moult 1umbly beseeching thee to grant , that by the merits and death of thy son Jesus Christ , and through faith in his blood , we and all thy whole church may obtain remission of our sins , and all other benefits of his paffon. And here"
0391400600_000040,"Lectures on the art of reading. In two parts. Containing Part I. The art of reading prose. Part II. The art of reading verse. By Thomas Sheridan, A. M. Author of Lectures on Elocution, British Education, &c.",Thomas Sheridan,109,2,0,0,0,0,2,2,3,3,7,1,2,0,1,1,1,1,0,3,6,0,1,0,3,3,0,1,2,3,9,1,5,3,1,6,4,1,1,1,1,1,0,1,0,1,1,1,3,1,4,3,1,1,0,4,2,2,1,1,1781,1,1,"London : printed for C. Dilly, in the Poultry; J. Dodsley, Pall-Mall; and T. Evans, in the Strand, MDCCLXXXI. [1781].",London,413,male,1719,1788,TRUE,"of the Virgin Mary' and was made man"" and was crucified also for us under Pontius Pilate"" He suffered' and was buried' and the third day he rbfe again' according to the scriptures  and ascended into Heaven "" and sitteth on the right hand of the Father ""' And"
0265300700_000020,"A complete manual of family and private devotions, suited to a great variety of cases: collected from the writings of Bishop Taylor, Bishop Kenn, Bishop Patrick, Mr. Spinckes, Mr. Nelson, Mr. Kettlewell, Doctor Horneck, Doctor Scott, Doctor Inett, Mr. Jenks, and other eminent divines of the Church of England. With a serious exhortation to family-prayer, by Dr. Gibson, late Bishop of London. To which are added, Answers to the Objections against Prayer in General.",,113,1,1,3,0,0,0,4,2,1,4,2,0,0,1,2,3,2,2,1,3,0,3,1,2,0,0,2,6,7,7,2,2,1,0,5,3,8,0,0,4,3,1,1,0,1,0,3,1,1,5,3,0,0,3,0,0,2,2,2,1741,1,1,"Manchester : printed by R. Whitworth, on Cockpit-Hill, [1741?].",Manchester,354,unknown,,,FALSE,"love , that whosoever believeth in him might not perish, but have everlasting life . For that end hath he laid down his life , and redeemed us by his blood from the hands of our enemies; and triumphed over them all, most gloriously; and in token thereof ascended into"
1233401300_000078,"The house-Keepers guide, in the prudent managing of their affairs. Being several observations relating to the orderly and discreet government of private families, Grounded upon Reason, Experience, and the Word of God. Recommended to all Young House-Keepers, for their Benefit and Advantage.",,102,1,1,0,0,0,0,6,0,1,5,0,2,1,1,1,2,2,1,2,4,1,3,2,2,4,0,2,3,2,7,2,0,0,2,2,5,3,0,1,7,1,0,0,1,0,0,1,4,1,2,3,0,2,2,0,1,2,1,3,1706,1,1,"London : printed for A. Bosvile at the Dial and Bible against St. Dunstans Church in Fleetstreet, 1706.",London,277,unknown,,,FALSE,"desire to present ourselves, Souls and Bodies , a living Sacrifice, holy and acceptable to God, which is our just and reasonable Service. Dwell in us for ever by thy divine Spirit , and grant that we may not at any time, by lufiful, unclean, or adulterous Desires, defile the"
1166100100_000179,"The book of common prayer, and administration of the sacraments, and other Rites and Ceremonies of the Church, according to the use of the Church of Ireland; together with the Psalter or Psalms of David, Pointed as they are to be Sung or Saidin in Churches; and the form or Manner of Making, Ordaining, and Consecrating of Bishops, Priests, and Deacons.",Church of Ireland,97,1,1,0,3,0,0,1,1,0,7,0,7,2,0,0,0,4,2,3,2,4,2,2,2,0,2,2,0,1,9,3,2,0,0,1,1,0,0,0,0,1,0,0,4,1,2,1,4,0,1,3,4,2,1,1,1,2,2,2,1800,1,1,"Dublin : printed by George Grierson, Printer to the King's Most Excellent Majesty, 1800.",Dublin,634,unknown,,,FALSE,"I you. And when lie had said this, he brcatled on them, and faith unto then, Receive ye the Holy Ghost . vwhofe soever sins ye remit, they are remitted unto them: and who fibever sins ye retain, they are retained. ¶ Or this: S. Matth. XXVIII 18 TESUS came"
