PassageID,Title,Author,Total termFreq,termFreq(answer),termFreq(believ),termFreq(better),termFreq(brother),termFreq(captain),termFreq(colonel),termFreq(cry),termFreq(daughter),termFreq(differ),termFreq(end),termFreq(famili),termFreq(father),termFreq(form),termFreq(friend),termFreq(girl),termFreq(god),termFreq(govern),termFreq(hand),termFreq(happi),termFreq(heart),termFreq(herself),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(kind),termFreq(know),termFreq(ladi),termFreq(letter),termFreq(life),termFreq(light),termFreq(littl),termFreq(love),termFreq(madam),termFreq(marri),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(miss),termFreq(morn),termFreq(mother),termFreq(near),termFreq(oblig),termFreq(old),termFreq(opinion),termFreq(person),termFreq(poor),termFreq(prai),termFreq(receiv),termFreq(return),termFreq(set),termFreq(suppos),termFreq(sure),termFreq(taken),termFreq(think),termFreq(thought),termFreq(turn),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1152900600_000008,"The history of Sir Charles Grandison, abridged from the works of Samuel Richardson, Esq. Author Of Pamela And Clarissa.",Samuel Richardson,72,2,0,1,4,0,0,2,1,0,0,5,1,0,2,1,1,0,0,2,2,2,1,2,1,0,1,8,3,1,0,0,4,1,2,0,1,2,0,0,1,0,1,0,0,1,0,1,2,5,1,0,0,0,2,0,1,3,0,0,1,1798,1,1,"London : printed for E. Newbery, At The Corner Of St. Paul's Church-Yard, [1798].",London,143,male,1689,1761,TRUE,"lasted no longer than the next day, and that her malady had returned with double force. She fiut herself up in her chamber, without seeming to know that her woman was in it, or making any answer to the quefions he afled her; but setting her chair with its back"
1698600402_000083,"Memoirs of Miss Sidney Bidulph, extracted from her own journal, by Mrs. Sheridan, author of Nourjahad. The fourth edition. In two volumes.",Frances Sheridan,81,1,2,1,7,0,0,0,2,0,0,0,3,0,1,3,0,0,1,3,1,2,0,2,0,0,2,1,0,1,1,1,1,3,1,0,0,1,8,1,0,0,1,2,0,3,1,0,0,0,1,0,3,0,2,6,2,1,1,2,6,1782,2,2,"Dublin : printed by H. Chamberlaine, No. 5, College-Green, M DCC LXXXII. [1782].",Dublin,339,female,1724,1766,TRUE,"creature the is, now the is dressed. I find the old gentleman a man of admirable understanding, and great reading. He has a simplicity in his manner that is truly engaging but at the same time a politeness that thews he is no firanger firanger to the great world ."
0012900501_000015,The history of Miss Maria Barlowe. In a series of letters. In two volumes. ...,,79,0,2,1,2,0,0,0,3,0,0,1,3,1,3,2,1,0,4,2,1,1,0,3,0,1,4,2,5,0,0,1,0,5,0,1,1,1,6,0,1,0,1,1,0,1,3,0,1,0,0,1,2,0,4,4,0,0,0,0,3,1777,1,2,"London : printed for Fielding and Walker No. 20, Pater-Noster-Row, MDCCLXXVII. [1777].",London,263,unknown,,,FALSE,"my inner room, I besought Mr. Brightley not to see him, and he went away. the young gentleman was full of grief an vexation, and I thought a lits 5 tle ( ia) tie fiuftered, which I was not furpifed at; for when the mind is ruffled by any cross"
0292300130_000006,"Bell's British Theatre. Consisting of the most esteemed English plays. .. . Containing Comus,..,[sic]....... By Milton. Alchymist, ....... - Ben Jonson. Love for Love, ..... - Congreve. Rival Queens, ..... - Lee.",,77,2,0,1,0,0,1,0,1,0,0,3,6,1,3,1,0,0,0,2,1,2,1,2,1,0,5,7,0,3,0,3,3,1,1,2,0,0,4,1,0,0,0,2,0,2,1,0,0,0,0,0,2,1,2,1,1,1,0,1,5,1797,30,34,"London : printed for, and under the direction of, George Cawthorn, British Library, Strand, 1797.",London,344,unknown,,,FALSE,"few hours that a handsome suit on the back of a sprightly young fellow, will still do more among the women, than all your sentiment and slovenliness. Cecil. What, would you persuade me that Miss Rivers will go off with you - Sir Harry. You have hit the mark for"
0483000202_000018,"Family pictures, a novel. Containing curious and interesting memoirs of several persons of fashion in W----re. By a lady. In two volumes. ...",Susannah Gunning,71,0,2,0,2,0,0,0,0,0,0,2,2,0,3,3,0,0,0,1,1,2,0,0,2,1,2,0,0,1,0,2,1,2,2,0,0,0,5,1,2,0,1,3,1,2,5,0,1,2,0,0,0,2,5,1,2,4,0,2,1,1764,2,2,"London : printed for W. Nicoll; and T. Durham, 1764.",London,215,female,1740,1800,TRUE,"of knowing myself to be the objea of her affections; but what.am I now to do?"" Mi; ss Miss Caroline was too much interested in her brother's happiness , not to offer her best afiltance to console him. "" I am, Charles, said she, moult: incerely distressed upon your account."
0363001102_000090,"The life of Marianne: or, the adventures of the Countess of *** By M. de Marivaux. Translated from the original French. ...",Pierre de Marivaux,64,2,1,0,0,0,0,2,8,0,0,4,1,0,0,1,0,0,0,2,0,2,1,1,0,1,2,2,0,0,1,1,2,1,3,0,0,1,3,0,4,1,1,2,1,0,1,0,1,0,0,1,1,2,1,1,0,1,1,1,2,1743,2,2,"London : printed for Charles Davis against Grays-Inn in Holbourn; and Paul Vaillant in the Strand, MDCCXLIII. [1743].",London,277,male,1688,1763,TRUE,"daughter in law; This Marchionefr, they say, was but a very infignifi capt and poor Country Gentleman's Widow, with whom the late Marquis fell in Love in her Country, and whom he married pretty much.hand over Head, rich and a great Man as he was himself. But now that he"
0744900700_000004,"Lionel and Clarissa: or, the school for fathers. A comic opera. Written by Mr. Bickerstaff. Marked with the variations in the manager's book, at the Theatre-Royal in Drury-Lane.",Isaac Bickerstaffe,77,0,4,1,1,0,2,0,1,0,1,1,3,0,1,1,0,0,0,2,3,1,0,3,2,0,2,5,0,0,0,4,1,9,4,1,1,0,1,0,0,0,3,2,0,1,1,0,0,0,2,2,4,1,2,0,0,2,0,1,1,1786,1,1,"London : printed for W. Lowndes, No. 77, Fleet-Street, M.DCC.LXXXVI. [1786].",London,73,male,1733,1812,TRUE,"A. coxcomb, a fop, A dainty milk op; t7, o, e/7enc'd and dizened from bottom to top, Looks jitf like a doll for a milliner'shop. A thing sill of prate, And pride and conceit; Ill fa/hion, no weight; Who Jhrngs and takes fnzu, nd carries a muff; 0.4 minikin, Finiking,"
0290600604_000024,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. Vol. IV.",Samuel Richardson,66,1,1,0,4,1,0,0,0,1,0,1,2,0,1,1,0,0,2,1,3,0,0,1,0,1,2,2,2,0,0,0,2,3,0,0,0,1,3,1,6,1,1,0,0,0,2,2,1,1,1,2,0,0,0,1,1,4,2,2,2,1754,4,7,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster-Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; and by J. Leake, at Bath, M.DCC.LIV. [1754].",London,303,male,1689,1761,TRUE,"but 1 believe you are some children take after the Father , some after the Mother Forgive me, my dear. But I won't. I have a great mind to quarrel with you, Harriet. Pray don't; because I could neither help, nor can be sorry for, what I said. But pray"
1780700100_000020,"The relapse: or, virtue in danger. A comedy, as written by Sir John Vanbrugh. ... as performed at the Theatre-Royal in Covent-Garden. Regulated from the prompt-book. ... by Mr. Wild, prompter.",John Vanbrugh,78,1,0,1,0,0,0,0,1,0,0,0,3,0,0,3,1,0,1,3,1,1,4,3,0,1,2,2,0,0,0,1,7,1,4,2,0,1,3,2,0,0,1,4,1,0,3,3,0,0,0,1,2,0,4,2,1,3,2,0,2,1777,1,1,"London : printed for John Bell, 1777.",London,103,male,1664,1726,FALSE,"being too fond; for men now a days hate a woman that loves them. Mis. Love him! Why do you think 1 love him, nurse? i cod, I would not care if he were hanged, so, I were but once married to him No that which pleases me, is to"
0022500306_000011,"The history of Sir Charles Grandison; in a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,82,0,3,0,2,0,0,3,0,0,0,0,0,0,0,5,4,0,0,2,2,3,1,1,0,0,1,3,3,1,0,0,6,9,3,2,0,0,6,0,2,0,1,1,0,0,3,2,2,0,2,0,0,0,3,1,2,1,2,0,0,1796,6,7,"London : printed for T. Longman, J. Johnson, G. G. and J. Robinson, R. Baldwin, J. Nichols, S. Bladon, W. Richardson, W. Lane, W. Lowndes, G. and T. Wilkie, P. Mc. Queen, C. D. Piguenit, Cadell and Davies, and S. Bagster, MDCCXCVI. [1796].",London,374,male,1689,1761,TRUE,"herself to be the greateli gainer by matri matrimony; and therefore was aflamed of conlentt ing to accept of an honourable offer? As if, in other words , fle was to be the felf denying receiver rather than conferrer of an obligation Lord, how we rambling headed creatures break in"
0250504400_000043,"Poems, fables, and plays, by Edward Moore.",Edward Moore,82,1,1,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,1,4,1,0,0,2,1,3,8,0,0,3,0,3,9,5,2,2,0,2,0,0,1,0,5,0,0,0,1,2,1,1,1,2,0,0,3,1,0,4,2,0,2,1756,1,1,"London : printed by J. Hughs, for R. and J. Dodsley in Pall-Mall, MDCCLVI. [1756].",London,514,male,1712,1757,TRUE,"engrofied me, and you are talking of yourself- -- would you have me say? Col. That your neglect of me has been dissembled; and that I have leave to love you, and to hope for you. Roft. This is very strange now! Why, tis not in your power to avoid"
0451300200_000004,Lionel and Clarissa. A comic opera. As it is performed at the Theatre-Royal in Covent-Garden.,Isaac Bickerstaffe,79,0,4,2,0,0,1,0,1,0,1,1,2,0,2,1,0,0,1,2,3,2,0,2,2,0,0,8,0,0,0,3,1,9,3,0,1,0,1,0,0,0,3,1,0,1,2,1,0,0,3,2,5,1,1,1,0,1,0,2,2,1768,1,1,"London : printed for W. Griffin, in Catharine-Street, Strand MDCCLXVIII. (P. 1s 6d, [1768].",London,83,male,1733,1812,TRUE,"your noble grandfather. Mr. jej. I think he ought tobe'proud of me: I believe there's many a Dukey nay Prince, who would esteem rhemfelves happy in having such a son Lady M. Yes, my dear; but your fiter was always your father's favourite: he intends to give her a prodigious"
1217800104_000018,"The children of the abbey, a tale. In four volumes. By Regina Maria Roche. ...",Regina Maria Roche,67,0,1,1,0,2,0,0,1,0,0,2,0,0,1,2,0,0,0,0,4,2,1,3,1,1,2,1,1,1,0,2,2,3,4,0,1,0,5,0,0,0,0,1,1,0,1,2,0,1,0,3,4,0,0,3,0,1,1,1,4,1798,4,4,"London : printed for William Lane, at the Minerva-Press, Leadenhall-Street, M.DCC.XCVIII. [1798].",London,313,female,1764,1845,FALSE,"Miss Emily, and told me all about his circun stances; and I found he had a fine fortune, which indeed I partly guessed before, from the appearance he made, and he said he would not only marry Miss Emily, but take her parent out of prison, and provide for the"
1009700202_000027,The history of Mrs. Drayton and her two daughters. In three volumes. ...,,76,0,3,0,0,5,1,0,3,0,0,0,1,1,0,4,0,0,0,2,0,4,0,0,1,0,0,1,0,1,1,1,2,2,1,0,0,2,2,0,0,0,0,3,1,0,3,0,2,0,0,2,4,2,4,3,0,1,4,2,7,1767,2,3,"London : printed for F. Noble; and J. Noble, 1767.",London,241,unknown,,,FALSE,"fay: but as all her looks, words , and actions are entirely regulated by her parents, the is more to be pitied than blamed, upon the whole, I think , for the singularities of her appearance, which may, with great propriety, be attributed to those who conduct her education."" ""Upon"
0387400204_000009,"Rosella, or modern occurrences. A novel. In four volumes. By Mary Charlton, ...",Mary Charlton,70,0,0,1,0,0,0,1,2,0,0,2,2,0,3,2,2,1,1,1,1,3,1,1,2,3,2,4,2,0,0,1,2,1,0,0,0,1,3,1,0,0,1,1,0,1,7,0,1,4,0,0,1,0,3,0,1,1,0,0,3,1799,4,4,"London : printed at the Minerva-Press, for William Lane, 1799.",London,315,female,1770,1830,FALSE,"Campbell entered into her office a! most immediately, by preparing dinner for her fair inmate; and as rofel.a saw no one in the house but her, she began to hope that Jamie was absent from the place: for the specimen specimen of internal government she had witnessed at Macdoual's, had"
0709800602_000021,"The errors of education. In three volumes. By Mrs. Parsons, ...",Eliza Parsons,84,3,1,2,0,0,1,0,0,0,1,0,0,1,3,2,1,0,0,2,2,2,1,1,0,3,4,11,1,1,0,4,2,5,1,0,0,3,7,0,2,0,1,0,2,1,4,0,2,3,0,0,0,2,0,0,0,0,0,0,2,1791,2,3,"London : printed for William Lane, at the Minerva Press, 1791.",London,228,female,1738,1811,TRUE,"her, but it was evident she had been in tears. CC 0 my dearest lady , how happy I am to see you, exclaimed she. ( I ""I thank you, my good Mrs. Wilkins. How is Miss Rivers ?"" C Ah, madam , very ill indeed. I broke it out"
0835001000_000006,"A word to the wise. A comedy, by Mr. Hugh Kelly. Adapted for theatrical reprentation, as performed at the Theatre-Royal, Covent-Garden. Regulated from the prompt-book, By Permission of the Manager.",Hugh Kelly,87,1,0,1,0,7,0,0,6,0,0,6,6,0,1,1,0,0,0,3,0,0,4,1,3,0,1,2,0,0,0,1,3,6,4,1,0,0,5,1,0,0,0,2,0,0,3,0,0,0,0,2,1,1,5,0,2,3,0,2,2,1795,1,1,"London : printed for the proprietor, under the direction of John Bell, British Library, Strand, Bookseller to His Royal Highness the Prince of Wales, MDCCXCV. [1795].",London,85,male,1739,1777,TRUE,"Villars, I won't brag too much neither; I D am still flesh and blood, and these make a very dangerous composition in the hour of love and opportunity. lil. My dear captain , this is no jesting matter the happiness of a deserving young lady is at stake, and a"
0302600600_000029,"Clarissa; or the History of a Young Lady. Comprehending the most Important Concerns of private Life. Abridged from the Works of Samuel Richardson, Esq; author of Pamela, and Sir Charles Grandison.",Samuel Richardson,71,1,0,0,2,0,3,2,2,1,0,1,2,0,0,0,0,0,4,3,2,3,0,0,2,0,4,4,1,0,1,2,1,2,0,1,0,0,3,0,6,1,1,1,0,2,3,0,1,0,0,0,0,1,0,1,1,0,2,1,3,1772,1,1,"London : printed for and sold by F. Newbery, at the Corner of St. Paul's Church-Yard, 1772.",London,185,male,1689,1761,TRUE,"news, than the whole house was in the utmost confusion, the servants running different ways, lamenting and wringing their hands ; Mrs. Harlowe was in fits, and all in such disorder, that he could get no commands, nor obtain any notice of himself. He therefore proceeded to Mrs. Howe's, where"
0555600202_000011,The history of Betty Barnes. In two volumes. |...,,79,1,0,0,1,4,0,0,2,0,0,1,7,0,1,2,1,0,2,1,2,1,0,4,1,0,1,9,1,2,1,1,1,2,2,0,1,1,5,0,0,1,0,3,0,0,2,0,1,4,0,0,0,0,1,4,1,0,0,0,4,1770,2,2,"London : printed for James Fleming, in Pater-Noster-Row, M,DCC,LXX. [1770].",London,230,unknown,,,FALSE,"I were extremely intimate, how very meritorious it C 4 woulj would be to (natch him from the Jaws of Hell, my making a Convert of him to the TRUE Church. As this was very frequently inculcated, I began in earnest a Work I thought so acceptable to God ;"
0017100105_000015,"The history of Sir Charles Grandison. In a series of letters. By Mr Samuel Richardson, Author of Pamela and Clarissa. In eight volumes. ...",Samuel Richardson,79,1,2,1,1,0,0,1,4,1,1,0,1,1,4,1,0,0,2,1,1,2,1,1,0,2,1,7,1,0,0,0,8,0,2,0,1,1,1,0,0,0,1,0,0,1,2,0,0,1,2,2,0,0,3,0,0,5,0,2,9,1776,5,8,"London : printed for John Donaldson, corner of Arundel-Street, No. 195. in the Strand. Sold by T. Wilson, at York: A. Smith, Halifax; D. Akenhead, Newcastle: W. Darling, Edinburgh: W. Boyd, Dumfries: W. Anderson, Stirling: Angus and Son, Aberdeen: and L. Flin, Dublin, M,DCC,LXXVI. [1776].",London,325,male,1689,1761,TRUE,"of such a ficiety, and to guard it from that fuperllition and enthuliafm which soars to wild heights in almofft all nunneries, would confirm it a blessing to the kingdom. I have another Scheme, my lord, proceeded Sir Charles an hospital for female penitents: For such unhappy women, as having"
0720200105_000019,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In six volumes. To the Last of which is added, An Historical and Characteristical Index. As also, A Brief History, authenticated by Original Letters, of the Treatment which the Editor has met with from certain Booksellers and Printers in Dublin. Including Observations on Mr. Faulkner's Defence of Himself, published in his Irish News-Paper of Nov. 3. 1753. Vol. I.",Samuel Richardson,91,0,2,0,3,0,0,4,0,0,0,0,1,0,0,6,2,0,0,4,5,2,0,1,0,1,5,7,2,1,0,0,8,5,1,1,0,0,7,0,6,2,1,0,1,0,2,1,0,0,2,0,1,0,5,1,0,0,0,1,0,1753,5,6,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; and by J. Leake, at Bath; And By R. Main, in Dublin, [1753]- M.DCC.LIV. [1754].",London,397,male,1689,1761,TRUE,"my love ! -- And to your guardian, child !- To my guardian, madam Well, but I hope I then gave her a few particulars. The dear girl tried to be joyful, and burft'into tears! Why weeps my girl ?-0 fie! Are you sorry that Miss Byron will have your"
0458000409_000063,Miscellanies. The ninth volume. By Dr. Swift.,Jonathan Swift,122,0,0,3,1,0,10,1,0,1,0,1,1,0,2,0,1,0,2,0,0,0,1,3,0,1,2,21,0,0,0,1,5,5,2,1,0,0,28,1,0,0,1,2,0,0,2,5,0,0,1,0,1,0,5,0,4,4,1,1,1,1751,9,9,"London : printed for C. Davis, against Gray's-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Feetstreet, MDCCLI. [1751].",London,282,male,1667,1745,TRUE,"a Spade a Spade. Lady Smart. [mijiakes the tea tongs for the Spoon] What! I think my Wits are a wool gathering Today. Miss . Why, Madam , there was but a Right and a Wrong. Lady Smart. Miss , I hear, that you and Lady Coupler are as great"
0018900403_000003,The family party. In three volumes. ...,"Young, Mary Julia",69,1,0,1,1,0,0,0,1,0,1,2,1,0,1,1,1,0,2,1,2,4,0,0,1,3,2,9,0,2,0,0,0,3,2,0,1,2,3,1,3,0,2,0,1,0,0,1,2,1,0,0,1,0,1,1,3,0,2,0,2,1791,3,3,"London : printed at the Minerva, for William Lane, Leadenhall-Street, MDCCXCI. [1791].",London,194,female,,,FALSE,"House - -- which rea. son, to own the truth, you would oblige me, by contriving to find out whether he was or was not a married man. Dickson allured her she would strike ouit a method of obtaining this deftred information. But Dickson, said the lady , just hand"
0277600204_000048,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,81,1,1,2,2,0,0,1,1,1,1,0,2,1,4,1,0,0,0,0,0,3,0,1,0,3,1,8,1,1,0,0,8,0,1,0,1,3,2,0,1,0,3,0,0,2,1,0,0,1,2,2,1,0,4,2,0,2,0,1,8,1762,4,7,"London : printed (by assignment from Mr. Richardson's executors) for J. Rivington, in St. Paul's Church-Yard; C. Hitch and L. Hawes, R. Baldwin, J. Richardson, S. Crowder and Co. and J. Coote, in Pater-Noster-Row, MDCCLXII. [1762].",London,304,male,1689,1761,TRUE,"Miss Byron, in the Letters to her Lucy (bowing to me) which ihe has had the goodness to allow us to read, helped us to a criterion!  Men in their addresses to young women, he very happily observes, forget not to set forward the advantages by which they are"
1591600108_000006,"The history of Clarissa Harlowe, in a series of letters. By S. Richardson.",Samuel Richardson,81,1,0,2,7,0,3,0,4,1,0,2,6,0,1,1,2,0,2,1,4,0,0,4,2,0,2,0,0,0,0,0,0,4,0,1,1,0,2,0,5,1,2,0,0,1,2,1,0,2,1,4,0,0,4,0,3,0,1,0,1,1792,8,8,"Basil : printed for J. L. Legrand, MDCCXCII. [1792].",Basel,485,male,1689,1761,TRUE,"she should give such a villain as him a relation to my family . Well, but, there is no room to think , said your mother , that she will give us such a relation, my dear. The poor girl will lessen, I fear, the number of our relations, not"
0187301300_000032,"A complete collection of genteel and ingenious conversation, according to the most polite mode and method now used at court, and in the Best Companies of England. In three dialogues. By Simon Wagstaff, Esq;",Jonathan Swift,130,0,0,3,1,0,10,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,3,0,1,3,23,0,0,0,1,6,5,2,1,0,0,34,1,0,0,1,2,0,0,2,5,0,0,1,0,2,0,5,0,4,3,1,1,1,1738,1,1,"London : printed for B. Motte, and C. Bathurst, at the Middle Temple-Gate in Fleet-Street, M.DCC.XXXVIII. [1738].",London,305,male,1667,1745,TRUE,"but they say, Hedges have Eyes, and Walls have Ears. Lady Afw. Well, Miss , I can't help it; you know , I am old Tell truth; I love to call a Spade a Spade. 0 4 Lady Lady Smart [ mijfakes the Tea. tongs for the Spoon.] What! I"
0128901201_000030,"The marriage act. A novel. In which the ruin of female honour, the contempt of the clergy, the destruction of private and public liberty, with other fatal consequences, are considered; in a series of interesting adventures. ...",John Shebbeare,95,4,0,0,0,0,0,0,5,0,0,2,5,0,1,1,0,0,1,0,1,2,0,1,1,0,1,7,2,0,0,2,6,2,7,2,1,0,13,1,7,0,0,4,1,0,0,1,0,1,0,3,2,0,5,0,0,0,3,0,0,1754,1,2,"London : printed for J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury, MDCCLIV. [1754].",London,338,male,1709,1788,FALSE,"ennobling his Family . THE next Morning , after a sleepless Night, though' no Cares or other vexatious Matters kept her from Resting (such is the Effet of Joy, as well as Sorrow) this Lady got up, being determined to let herdaugh ters into the Secret, particularly Miss Molly, who"
0882001001_000010,The mansion house: a novel. In two volumes. Written by a young gentleman. ...,"Brewer, J. N. (James Norris)",67,1,5,0,0,0,2,0,2,0,1,2,2,1,0,1,0,0,1,4,2,1,3,2,0,0,0,0,3,1,0,1,3,1,0,0,0,0,2,0,3,0,0,2,0,2,4,1,1,1,2,1,0,0,1,2,0,3,0,2,1,1796,1,2,"London : printed for William Lane, at the Minerva-Press, 1796.",London,186,unknown,,,FALSE,"would paint the scenes of dometfic bliss he hoped to enjoy,. enjoy, when he should return , (as he fbndly flattered hinfelf he should) rich in honour and in wealth. , Or the day of his arrival in London,, he did not fail making use of his permission to write"
1299100301_000015,The history of Miss Maria Barlowe. In a series of letters. In two volumes.,,78,0,2,1,2,0,0,0,2,0,0,1,4,1,3,2,1,0,4,2,1,1,0,3,0,1,4,2,5,0,0,2,0,4,0,1,1,1,6,0,1,0,1,1,0,1,3,0,1,0,0,1,1,0,4,4,0,0,0,0,3,1778,1,2,"Dublin : printed for S. Price, B. Corcoran, W. Whitestone, T. Wilkinson, R. Cross, R. Fitzsimons, D. Chamberlaine, J. Hoey, J. Williams, W. Colles, C. Jenkin, E. Cross, G. Burnet, T. Walter, J. Exshaw, J. Beatty, and J. Magee, M,DCC,LXXVIII. [1778].",Dublin,152,unknown,,,FALSE,"came in, but as there are two doors to my inner room, I besought Mr. Brightley not to see him, and he went away. the young gentleman was full of grief and vexation, and I thought a little flustered, which I was not surprised at; for when the mind is"
0889700101_000064,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, ... In eight volumes. ...",Samuel Richardson,66,2,2,1,5,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,2,1,0,1,0,0,4,4,2,1,0,2,1,1,1,0,0,3,2,3,0,1,1,0,0,1,1,2,1,2,1,1,0,1,2,1,2,2,1,0,1,1776,1,8,"Edinburgh : printed by William Darling, 1776.",Edinburgh,358,male,1689,1761,TRUE,"her but myself. I left her not, continued Miss Graudifon, till eleven; and the housekeeper, and my maid, sat up in her room all the rest of the night. I arose before my usual time to attend her. I slept not well myself. I did nothing but dream of robbers,"
0027500107_000042,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life. In seven volumes. To each of which is added, a table of Contents. The fourth edition. In which many passages and some letters are restored from the original manuscripts. And to which is added, an ample collection of such of the Moral and Instructive sentiments interspersed throughout the Work, as may be presumed to be of general Use and Service. ...",Samuel Richardson,77,1,0,0,0,0,1,0,0,0,1,1,1,0,2,0,2,0,2,1,2,2,2,0,2,1,3,9,5,1,2,2,1,0,0,1,0,0,3,0,4,1,1,2,0,1,3,1,1,2,1,0,1,1,1,1,0,1,2,0,5,1751,7,7,"London : printed for S. Richardson: and sold by John Osborn, in Pater-Noster Row; by Andrew Millar, over-against Catharine-Street in the Strand; by J. and J. Rivington, in St. Paul's Church-yar[d] and by J. Leake, at Bath, M.DCC.LI. [1751].",London,453,male,1689,1761,TRUE,"when Ihe should find on her arrival in town, that the dear Lady , who was so deservedly the darling of her heart , was no more! He proceeded to Miss Howe's, with the Letter for her. That Lady , he was told, had just given orders for a young"
1255200301_000028,"Plays, Written by Sir John Vanbrugh. In Two Volumes. ... Containing The Relapse, or Virtue in Danger. The Provoked Wife. Esop, in Two Parts. ... Containing The Confederacy. The False Friend. The Mistake.",John Vanbrugh,81,0,0,1,0,0,0,0,1,0,0,0,3,0,0,3,1,0,0,3,1,1,3,3,0,1,2,2,0,0,0,1,8,2,5,2,0,1,7,2,0,0,1,4,1,0,3,3,0,0,0,1,1,0,4,2,1,3,2,0,2,1719,1,2,"London : printed for J. Tonson and M. Wellington, and sold by William Taylor at the Ship in Pater-Noster-Row, M.DCC.XIX. [1719].",London,325,male,1664,1726,TRUE,"Men now a days hate a Woman that loves em. Miss . Love him! Why do you think I love him, Nurse? I Cod I would not care if he were hanged, so I were but once married to him No that which pleafesme, is to think what work I'll"
0444200201_000036,"Memoirs of Miss Sidney Bidulph. Extracted from her own journal, and now first published. In three volumes. ...",Frances Sheridan,75,2,4,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,2,1,2,0,1,4,3,2,0,1,2,4,2,3,1,0,1,1,1,12,0,1,1,1,1,0,0,2,0,0,0,4,0,3,0,1,1,1,1,3,1772,1,3,"London : printed for J. Dodsley, in Pall-Mall, MDCCLXXII. [1772].",London,340,female,1724,1766,TRUE,"and that love , which, when it would have been meritorious in him, he disrelished, he might have pursued with eagerness when interdi&ed. This might have been the cafe. I believe you may remember an instance of it among our own acquaintance, Mr. Saunders, who refufeda young lady for his"
0464900202_000039,The history of Lucy Wellers. Written by a lady. In two volumes. ...,"Smythies, Miss",75,4,2,1,3,0,0,0,1,1,0,1,0,2,0,1,0,0,1,0,1,1,2,2,0,0,2,9,2,1,0,2,0,4,2,0,0,1,0,2,0,1,0,0,2,3,2,1,1,0,0,1,0,3,3,3,0,3,1,3,0,1755,2,2,"London : printed for R. Baldwin, at the Rose in Pater-Noster-Row, MDCCLV. [1755].",London,317,female,1753,1759,FALSE,"poor dear Pugg is taken dangerously ill, * and I am out of my wits about him.' Mrs. Goodafl, immediately return'dthe followig answer . To To Lady Dumie'. Dear Harriot, T N compafion to the delicacy of your constitution, I will receive you alone, tomorrow morning , if you have"
1294200100_000008,"Conclusion of the memoirs of Miss Sidney Bidulph, As prepared for the Press By the late editor of the former part. Volume III.",Frances Sheridan,69,1,1,0,1,0,0,0,4,0,1,2,1,0,1,2,0,0,1,3,0,1,1,1,2,0,2,5,2,1,0,1,2,2,0,0,1,0,8,1,3,0,3,1,0,0,3,0,1,1,1,0,0,1,2,3,0,1,0,0,1,1767,1,1,"Dublin : printed for G. Faulkner, in Parliament-Street, M.DCC.LXVII. [1767].",Dublin,343,female,1724,1766,TRUE,"at Mrs. Darnley's house ; where he was received by his tender mother with as much pleasure (so ivifs Darnly expresses hersef) as his first entrance into life had given. her; but her joy was of very flort duration. Lord V was invited to an election dinner, where having drank"
