PassageID,Title,Author,Total termFreq,termFreq(church),termFreq(civil),termFreq(conscienc),termFreq(equiti),termFreq(exercis),termFreq(fear),termFreq(god),termFreq(govern),termFreq(law),termFreq(mind),termFreq(opinion),termFreq(ought),termFreq(passion),termFreq(peac),termFreq(persecut),termFreq(pretenc),termFreq(pretend),termFreq(privat),termFreq(public),termFreq(reason),termFreq(religion),termFreq(soul),termFreq(state),termFreq(toler),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0315800102_000202,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,55,7,7,2,0,0,0,2,4,2,1,2,1,0,1,0,2,0,2,2,1,10,0,0,9,1759,2,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,724,male,1632,1704,TRUE,"orthodox, that is, in plain terms, unto themselves, any peculiar privilege, or power, above other mortals, in civil concernments; or who, VOL. II U u u upon upon pretence of religion , do challenge any manner of authority over such, as are rnot associated with them, in their ecclesiastical communion;"
0313600104_000083,"A third collection of scarce and valuable tracts, on the most interesting and entertaining subjects: but chiefly such as relate to the history and constitution of these kingdoms. Selected from an Infinite Number in Print and Manuscript, in the Royal, Cotton, Sion, and other Public, as well as Private Libraries; Particularly that of the late Lord Somers. Revised by eminent hands. ...",,47,5,0,1,0,0,0,5,6,3,1,4,1,0,1,1,1,0,3,1,1,7,0,4,2,1751,4,4,"London : printed for F. Cogan, at the Middle-Temple-Gate, in Fleet-Street, MDCCLI. [1751].",London,500,unknown,,,FALSE,"Frailties of hiuman Nature, the moult Orthodox Divines are inclined to such Methods, no less than the moss Heterodox and Erroneous. This is not the worst. In all Ages and Countries, since the Eftablilhment of Christianity, ambitious or discontented Perfbns have endeavoured to gain the Multitude to their Side, by"
0315401000_000021,Letters concerning toleration by Iohn Locke.,John Locke,45,11,7,0,0,0,0,1,1,2,2,2,2,0,3,2,1,1,1,0,2,3,0,1,3,1765,1,1,"London : printed for A. Millar, H. Woodfall, I. Whiston and B. White, I. Rivington, L. Davis and C. Reymers, R. Baldwin, Hawes Clarke and Collins, W. Iohnston, W. Owen, S. Crowder, T. Longman, B. Law, C. Rivington, E. Dilly, R. Withy, C. and R. Ware, S. Baker, T. Payne, A. Shuckburgh, M. Richardson [and 15 others in London], MDCCLXV [1765].",London,405,male,1632,1704,TRUE,"men confider how heinously they sin, who, adding injustice, if not to their error, yet certainly to their pride, do rashly and arrogantly take.upon them to misuse the fir vants of another mafler, who are not at all accountable to them. Nay, further: if it could be manifest which of"
0196400400_000045,"Sermons on various subjects, by William Sellon, Late Proprietor OF, And Preacher At Portman-Chapel; Minister Of Saint James, Clerkenwell; And Joint Evening Preacher At The Magdalen-Hospital.","Sellon, William",36,0,1,1,1,1,0,5,1,4,1,0,0,1,1,0,1,1,2,8,2,1,1,2,1,1792,1,1,"London : printed for F. and C. Rivington, NO 62, ST. Paul's Church-Yard, M.DCC.XCII. [1792].",London,437,male,1730,1790,FALSE,"happy effects by conduct and courage in our armies: we have great advantages from the peculiar nature of our situation, and from the numbers, strength, and disposition of our people. So that, under there auspicious circumstances, if we would a with sincerity, and exert a spirit and resolution becoming men,"
0777300500_000107,"Theologia Eklektike. A discourse of the liberty of prophesying. Shewing the unreasonableness of prescribing to other mens faith, and the iniquity of persecuting differing opinions. By Jer. Taylor, Chaplain in Ordinary to King Charles the First, and sometime Lord Bishop of Down and Connor.",Jeremy Taylor,58,2,0,3,0,0,0,4,2,17,4,6,0,0,0,1,3,3,1,6,1,1,0,0,4,1709,1,1,"London : printed for the assigns of Luke Meredith; and are to be sold by James Holland at the Bible and Ball at the West End of St. Paul's, 1709.",London,421,male,1613,1667,FALSE,"unite themselves to a common defence: If you permit them, hey divide themselves upon private interest, ad the rather, if this interest was an ingredient fthe opinion . The Sum is this, it concerns the duty of a rice because it concerns the honour of God , hat all vices"
0463200103_000003,"Sermons translated from the original French of the late Rev. James Saurin, Pastor of the French Church at the Hague. ... . on the Attributes of God. By Robert Robinson.",Jacques Saurin,48,4,2,1,0,2,1,6,1,2,1,0,1,1,2,2,0,3,0,0,0,16,2,0,1,1796,3,6,"London : printed for J. Murgatroyd, No. 73, Chiswell Street, Moorfields. Sold also by Mr. Dilly, in the Poultry; Vernor and Hood, Birchin Lane; Button and Priestley, Paternoster-Row; Mathews, Strand; D. Walker, Holborn; Binns, Leeds; Wilson and Spence, York; Laing, Ogle, Fairbairne, Hunter, and Constable, Edinburgh, 1796.",London,391,male,1677,1730,FALSE,"lie has rendered free content eltcntial to every man's felicity and peace . With his own content iuljcchtion makes him happy; without dominion over the universe: would make him miserable. The religion of nature, (I mean by this expression, here, the objects, which display the nature of the Deity, and"
0620200700_000014,"Discourses preached on several occasions. By Tho. Sherlock, D. D. Late Lord Bishop of London. Vol. V.",Thomas Sherlock,73,3,9,16,0,1,0,0,5,10,1,2,3,1,4,0,0,1,0,3,2,6,0,6,0,1775,1,1,"London : printed for T. Davies, in Russel-Street, Covent-Garden, and L. Davis, in Holborn, MDCCLXXV. [1775].",London,377,male,1678,1761,FALSE,"does not assec the civil Magistrate's Power, nor tie up his Hands from interpofingwitrh the civil Sword, in Matters proper for its. Jurifdiaion, however, they may be pretended to be allied to Religion . The Foundation or Principle upota which the Magistrates's Power has been both unreasonably exalted and depressed,"
0996100202_000061,"The spirit of laws. Translated from the French of M. de Secondat, Baron de Montesquieu. By Thomas Nugent, L.L.D. ...",Montesquieu,72,0,1,0,0,1,2,1,3,11,2,0,7,1,0,5,1,0,0,0,1,25,1,6,4,1792,2,2,"Dublin : printed for W. Mckenzie, No. 33, and J. Moore, No. 45, College-Green, MDCCXCII. [1792].",Dublin,429,male,1689,1755,TRUE,"proud of fnewing that we eftccm what he would have us despise C What mnur the gods th, nk of thegf of the f te; mous, aid tin "" admirable plato, when a good man would blhj) to receive p' f' ents from a villain ?' Rsum V ni northeast"
1092700103_000089,"The philosophical works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes. Published by David Mallet, Esq; ...","Henry St John, 1st Viscount Bolingbroke",39,3,3,3,0,0,1,1,6,3,0,1,1,0,1,1,0,1,1,2,0,6,1,3,1,1754,3,5,"London : [s.n.], Printed in the Year MDCCLIV. [1754].",London,428,male,1678,1751,TRUE,"to the bane of society, and to the shame of the christian profefrion. Do there remain then no means to prevent the fatal effets of theological dilfutes, and ecclesia itical quarrels? Some countries are so miserable by principles of bigotry incorporated with those of their government , and by the"
0315800102_000192,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,44,8,3,0,0,0,0,2,1,2,2,2,5,0,5,1,1,1,2,0,1,4,0,1,3,1759,2,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,724,male,1632,1704,TRUE,"neighbourhood; of which, on other occasions, the interest of religion , makes them to be extrenaely apprehensive. They do not forwardly attack those errors, which are in fafiaion at court, or are countenanced by the government . Here they can be content to spare their arguments: which yet (with their"
0952200400_000008,"Mr. Le Clerc's Extract and judgment of The rights of the Christian church asserted, &c. Translated from his Bibliotheque choisie, tome X. To which is prefix'd, a letter to a noble peer, occasion'd by a late presentment of the Grand Jury of Middlesex.",Jean Leclerc,39,1,1,4,1,3,0,5,1,1,0,2,5,0,0,1,1,1,0,2,2,4,0,4,0,1708,1,1,"London : printed for A. Baldwin near the Oxford Arms in Warwick-Lane, 1708.",London,41,male,1657,1736,FALSE,"of Persecution alone, that makes Men act like Devils for the Honour ui, God ; and I see not, that without this Doctrine any fiich cafe can happen: But supposing it fliou'd, the Magistrate may employ his Power to restrain them from doing mischief; because as Men in the State"
0647800200_000004,"Tyranny and persecution enemies to liberty and truth; displayed in prose and verse, by a lover of truth and righteousness.",Peter Annet,56,1,1,2,0,1,2,2,4,1,0,2,1,0,3,1,0,0,0,3,18,8,0,2,4,1763,1,1,"London : [s.n.], Printed in the Year MDCCLXIII. [1763].",London,63,male,1693,1769,FALSE,"and refuted; whereby intriguing and ambitious men will be curbed, FALSE principles will have but little influence, and the liberties civil and religious of mankind be more effetually secured. Religion will be, not the effect of blind obedience to, and implicit belief of those, who may have an interest to"
1635900301_000061,A Collection of the Occasional papers. For the year ...,Benjamin Grosvenor,49,13,2,3,0,0,0,7,0,1,1,4,1,0,0,0,1,2,1,3,1,4,1,1,3,1716,1,3,"London [England] : printed for J. Knapton, at the Crown in St. Paul's Church-Yard; J. Harrison under the Royal Exchange; and A. Dodd, without Temple Bar, 1716-[1719]",,312,male,1676,1758,FALSE,"be abolifl'd. Tis a Jest to erect Churches and set up Statues in Honour of? ver.z, 3..  - r lt. St. Paul, and at the same time trample upon his Authority, and make so great a Part of the Bible obfrolete. These are very short Glosses I have made"
0964900101_000056,"The works of Sir William Temple, Bart. complete in four volumes octavo. To which is prefixed, The life and character of the author.","Sir William Temple, 1st Baronet",38,2,2,1,0,0,0,0,2,1,0,6,0,2,2,2,1,1,2,1,2,7,1,3,0,1770,1,4,"London : printed for J. Brotherton and W. Sewell, J. Whiston, C. Bathurst, J. and F. Rivington, T. Payne, W. Johnston, S. Crowder, B. White, L. Hawes and Co. C. Rivington, G. Pearch, J. Knox, R. Baldwin, and the Executors of H. Lintot, and T. Wotton, MDCCLXX. [1770].",London,521,male,1628,1699,FALSE,"in all other matters, tells me, I should be of his opinion , but that passion or interest blinds me; unless he can convince me how, or where, this lies, he is but where he was, only pretends to know me better than I do myself, who cannot imagine, why"
0703900500_000003,"Some observations upon the laws against Protestant dissenters; proving that the manner of executing those laws, is provoking to God, injurious to the dissenters, and scandalous to the church.",,63,8,3,7,0,0,1,5,9,11,1,0,0,0,0,6,3,2,0,1,2,3,0,1,0,1717,1,1,"London : printed for, and sold by J. Roberts in Warwick-Lane ; J. Harrison, at the Royal-Exchange, and A. Dodd, at the Peacock without Temple-Bar, [1717].",London,43,unknown,,,FALSE,"aq against the Dictates of that Light, which they believe to be Heavenly, and of the Truth, of which Principles they are thorowly persuaded, have been obliged to quit their Em Employments, and to see themselves and Families perifl with Misery and Want? We are not without innumerable Examples of"
0691303000_000018,"A letter concerning toleration. By John Locke, Esq.",John Locke,42,5,6,1,0,0,0,0,3,3,1,1,1,0,1,1,1,0,2,2,0,10,0,1,3,1796,1,1,"Huddersfield : printed for the editor, by J. Brooke, 1796.",Huddersfield,71,male,1632,1704,TRUE,"toleration : but this has not happened by anything peculiar unto the eerius of such assemblies, but by the u: happy circum rances of an oppressed or ill fettled liberty. Those accusations would soon cease, if the lawv of toleration w ere once so fettled, that all churches were obliged"
0909900104_000213,"The works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes, complete. Published by David Mallet, Esquire. ...","Henry St John, 1st Viscount Bolingbroke",42,3,3,4,0,0,0,1,7,3,0,1,1,0,1,2,0,1,1,2,0,8,1,2,1,1793,4,5,"Dublin : printed by P. Byrne, Grafton-Street, M.DCC.XCIII. [1793].",Dublin,645,male,1678,1751,TRUE,"means to his "" end : "" every one of which propositions is blasphemy, and yet, as theology has corrupted genuine christianity, it will be hard to evade them all. BUT since such a change as this may be wihled for by good men, rather than expected by any man,"
0681000200_000050,The political writings of Sir Richard Steele.,Richard Steele,36,4,2,6,0,2,0,4,1,4,0,1,0,1,3,1,0,2,0,1,1,1,0,1,1,1715,1,1,"London : printed for J. T. and sold by Owen Lloyd near the Church in the Temple, and J. Brown at the Black Swan, without Temple-Bar, 1715.",London,317,male,1672,1729,TRUE,"Charaderiftick of Protestant Churches to admit with all Candour the Li erty of studying the Scriptures, and consequently of teaching and being taught them. The Scriptures (by being open to Men who are not allowed to Commune with others upon them, and learn from whom they please with all Freedom)"
0112600101_000046,"The works of Sir William Temple, Bart. In four volumes. ... To which is prefixed, The life and character of the author.","Sir William Temple, 1st Baronet",39,1,4,2,0,0,0,1,3,2,0,6,0,2,3,1,1,1,2,0,2,5,1,2,0,1754,1,4,"Edinburgh : printed for G. Hamilton & J. Balfour, A. Kincaid & A. Donaldson, L. Hunter, W. Gordon, J. Yair, and C. Wright; and for A. Stalker, at Glasgow, 1754.",Edinburgh,520,male,1628,1699,FALSE,"restored in France and in Slanders; where, notwithstanding the great concussions that were made in the government by the Huguenots and the Guetfes, yet they were never esteemed, in either of those countries, to amount further than the seventh or eighth part of the peo. pie. And whosoever designs the"
0581100502_000099,"A compleat system, or Body of Divinity, both speculative and practical, founded on scripture and reason: written originally in Latin, by Philip Limborch, Professor of Divinity. With Improvements from Bishop Wilkins, Archbishop Tillotson, Dr. Scott, and several other Divines of the Church of England. In two volumes. By William Jones, a Presbyter of the same Church. The second edition corrected. To which is prefix'd, Mr. Le Clerc's funeral oration on Mr. Limborch.",Philippus van Limborch,41,4,1,3,0,2,1,4,1,5,1,1,2,0,2,1,0,2,2,3,0,6,0,0,0,1713,2,2,"London : printed by John Darby in Bartholomew-Close, M.DCC.XIII. [1713].",London,576,male,1633,1712,FALSE,"Magifrate be admitted, it imut be fuppofd either that the Power of the Church is superior to that of the Magistrate, which is the Rk mifl) Opinion ; or Ccllateral, which is very absurd. For it is inconsistent with good Order, that there Thould be two Supreme Powers coordinate with,"
0524400600_000022,Miscellanies in prose and verse.,Jonathan Swift,41,4,1,2,0,0,0,4,5,3,0,1,1,0,1,1,1,1,1,1,2,8,0,3,1,1713,1,1,"London : printed for John Morphew, near Stationer's-Hall, MDCCXIII. [1713] [1714].",London,427,male,1667,1745,TRUE,"justly laid to their Charge than to other Men, because, that would be to make Religion itself, or at least the berf Constitution of Church Government , answerable for the Errors and Depravity of Human Natured I WITHII W I T H I N these last Two Hundred Years all"
0309102000_000003,"A letter concerning toleration. By John Locke, Esq.",John Locke,43,5,8,0,1,0,1,3,1,3,0,0,3,0,2,1,2,0,0,2,1,5,4,0,1,1800,1,1,"London : printed by J. Crowder, Warwick-Square, for J. Johnson, in St. Paul's Church-Yard, 1800.",London,142,male,1632,1704,TRUE,"a Christian, let such a one talk never so much of the church , he plainly demon firates by his asions, that it is another 3 1 kingdom he aims at, and not the advancement of the kingdom of God . That any man should think fit to cause another"
0546801000_000011,"An answer to a late pamphlet, entitled An examination of the scheme of church power laid down in the Codex juris ecclesiastici Anglicani, &c. Shewing the unfair representations and groundless reflections made by the author of that pamphlet: And that The Scheme of Church Power laid down in the Codex Juris Ecclesiastici Anglicani, is in Support and Maintenance of the Royal Supremacy, and agreeable to our Laws and Constitution. by the author of The parallel.","Andrews, John",40,9,1,2,3,0,1,3,2,7,0,1,0,0,0,1,0,1,0,1,1,1,0,2,4,1735,1,1,"London : printed for J. Roberts near the Oxford-Arms in Warwick-Lane, MDCCXXXV. [1735].",London,165,male,1693,1747,FALSE,"Church of England, as from the great Authorities I have mentioned cannot be doubted, viz. that the Bishops have a Power of Coirretion and Discipline in the Chulrch grounded on the lword of God ; and if the Church of England be part exam.p. of our Constitution, how can """
0707101900_000058,"The alliance between church and state: or, the necessity and equity of an established religion and a test law demonstrated. In Three Books. The third edition, corrected and enlarged. By the Rev. Mr. Warburton, Preacher to the Hon. Society of Lincoln's Inn.",William Warburton,55,8,6,3,0,1,0,3,1,5,3,0,1,0,1,1,1,0,0,1,1,7,0,11,1,1748,1,1,"London : printed for J. and P. Knapton in Ludgate-Street, MDCCXLVIII. [1748].",London,297,male,1698,1779,TRUE,"a Form, the Profefflon of which should be a Term of Communion, and as general aspoflible. See FAITH. 60 -- punishable as Mischiefs, not as Errors, 351 P. PAPI s s agree with Hobbiis in domineeringover Conscience , 69 PAPISTS make the state the Creature of the Church , 31"
1096601100_000004,"A free and candid disquisition on religious establishments in general, and the Church of England in Particular. Occasioned by a visitation sermon preached at Chelmsford, May 22, 1770. To which is prefixed, An Answer to a Letter from a Clergyman, concerning Subscription to the XXXIX Articles of the Church of England.",Benjamin Dawson,53,1,3,10,0,2,0,0,0,8,0,5,1,0,0,1,1,1,0,0,2,9,0,4,5,1771,1,1,"London : printed for B. White, in Fleet-Street, MDCCLXXI. [1771].",London,70,male,1729,1814,FALSE,"his duty in guarding the religious rights of the community, such ambiguity would furnish out to the magifi rate: - Nay, what scope, if he thould be a bigot in Religion , or of a tyrannical temper, it gives him for distressing and persecuting his dissenting sub jets. Nor shall"
1258400200_000135,"Free thoughts on the toleration of popery, deduced from a review of its principles and history, with respect to Liberty and the Interests of Princes and Nations. Wherein The Question concerning the Repeal of the Penal Statutes is examined, and some late Acts of the British Legislature are considered; with some Occasional Remarks on the Religious Establishment and Laws of Great-Britain. The whole Authenticated and illustrated by a Variety of Historical Notes and unexceptionable Testimonies. To which is subjoined An Appendix, containing several Papers relative to the Subject. by Calvinus Minor, Scoto-Britannus.",Archibald Bruce,39,1,2,2,0,0,0,0,1,6,1,7,2,0,2,1,0,1,0,2,3,3,1,2,2,1781,1,1,"Edinburgh : printed for the author. Sold by the Booksellers of Great-Britain and Ireland, M.DCC.LXXXI. [1781].",Edinburgh,477,male,1746,1816,FALSE,"to the Popish religion or not? As this is the main hinge on which the controversy turns, to ascertain this has been the chief objet in eye in the foregoing zeview of its principles and hiftoly; and if this be once ascertained, the question is decided. For if such be"
1299901100_000023,A philosophical examination of the principles of the French revolution.,Jean-Baptiste Duvoisin,56,3,4,3,0,1,0,2,1,6,1,2,0,1,0,1,0,0,0,3,1,19,0,4,4,1800,1,1,"London : Printed and published by G. Cawthorn, British Library, No. 132, Strand, bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H.D. Symonds, J. Wallis, West and Hughes, Paternoster-Row; J. Wright, Piccadily; and P. Will, Edinburgh, 1800.",London,107,male,1744,1813,FALSE,"break forth with new splendour. Waiting in the riean time with a firm confidence, when the term which God hath appointed for they trial of his church shall arrive, let us examine what will be the political restdjf of the entire abolition in France of the Catholic worship, CHAPTER VIII"
0678600200_000002,"A discourse (seasonable at this time) concerning the laws, ecclesiastical and civil, made against hereticks, by popes, emperors and kings, Provincial and General Councils, approved by the Church of Rome: Shewing I. What Protestant Subjects may expect to suffer under a Popish Prince acting according to those Laws. II. That no Oath or Promise of such a Prince can give them any just Security that he will not execute these Laws upon them. With a preface against persecuting and destroying hereticks. By a cordial friend to the Protestant religion now by Law established in these Realms. Now re-published with an introduction.","Barlow, Thomas",39,2,3,3,0,0,0,0,4,8,2,2,1,0,3,2,1,0,0,1,1,3,0,2,1,1744,1,1,"Dublin : printed by A. Reilly, for S. Hyde Bookseller in Dame-Street, MDCCXLIV. [1744].",Dublin,149,male,1607,1691,FALSE,"really is the right view wherein Popery ought to be taken, in this Church and Nation, by the King and People. As Christians and Followers in the way of Salvation, we nmmf needs be offended with that intolerable mass of Errors and Corruptions, of Superflitions and Idolatry that has crept"
0200800202_000074,"Sketches and hints of church history, and theological controversy. Chiefly translated or abridged from modern foreign writers. By John Erskine, D. D. One of the Ministers of Edinburgh. ...","Erskine, John",58,3,10,4,0,1,0,2,11,1,0,1,1,0,3,3,1,0,0,2,2,11,0,2,0,1790,2,2,"Edinburgh : printed for Archibald Constable. [ M. Gray ], 1790- [1797].",Edinburgh,323,male,1721,1803,FALSE,"who have proved faithful in the cause of Christ; and, if called in Providence, imitate what you admire. Be strong in the Lord. Forget not, that the fiery trial which awaits the church shall be of short continuance, and issue in her great and lasting prosperity. And while ministers warn"
0462800201_000048,"The works of Mr. Thomas Emlyn. ... . Containing, I. A Narrative of the Proceedings against him. First printed 1719. II. An Humble Inquiry into the Scripture Account of Jesus Christ. 1702. III. General Remarks on Mr. Boyse's Answer. Wrote 1704. Also on Christ's not knowing the Day of Judgment, and the Argument from the Creation. Now first published. IV. An Answer to Mr. Boyse on the head of Worship. 1706. Now added, An Answer to Dr. Waterland on the same head. V. The supreme Deity of God the Father demonstrated a-against Dr Sherlock. 1707. VI. A Vindication of Bishop Fowler against Dr. Sherlock. 1707. Vii. A Letter to Dr. Willis, (afterwards Bishop of Winchester) occasioned by his Sermon before the House of Commons, Nov. 5. 1705. Viii. The Previous Question to the several Questions about Baptism; Whether it was intended as a standing ordinance among the posterity of baptized Christians? 1710. To which are prefixed, Memoirs of the Life and Writings of the Author.",Thomas Emlyn,46,0,4,3,0,1,0,5,2,5,1,4,0,0,2,9,0,1,1,1,1,5,0,0,1,1746,1,3,"London : [s.n.], Printed in the Year MDCCXLVI. [1746].",London,573,male,1663,1741,FALSE,"that perfecction for religion , and merely speculative opinions which hurt no man's civil right, had been oft and generally condemned by Protestants of this age; and that nothing laid a greater odium on a late neighbouring prince than this, that he persecuted his peaceable Protestant fubjecs, though twas under"
0434901500_000015,"Discourses preached on several occasions. By the Right Reverend Father in God, Thomas Sherlock, D. D. Late Lord Bishop of London, and Master of the Temple. Vol. V.",Thomas Sherlock,53,1,3,18,0,1,0,0,1,4,0,0,4,1,2,1,0,1,2,2,1,6,0,5,0,1797,1,1,"Oxford : at the Clarendon Press, MDCCXCVII. [1797].",Oxford,350,male,1678,1761,FALSE,"have for their End, as all other civil Laws have, the Good of the State , and are enacted to prevent the Growth either of Principles or Practises which are conceived to be dangerous: and I would fain know how the Subject's Conscience can bind the Magistrate's Power from acting"
0697000104_000011,Remarks on ecclesiastical history.,John Jortin,31,4,1,1,1,1,0,3,1,1,2,1,3,0,0,2,1,2,0,0,0,5,0,1,1,1751,4,5,"London : printed for C. Davis in Holbourn, R. Manby and H. Shute Cox on Ludgate-Hill, and J. Whiston in Fleet-Street, MDCCLI. [1751].",London,558,male,1698,1770,FALSE,"were not made for nothing. Superstition and Monkery were grown so troubleorne and audacious, that the Council found it absolutely necessary to endeavour to curb this spirit z. A. 372 Some Pagan philosophers, deiirous to know who should succeed Valens, had recourse to magic arts; and found out that his"
0045701200_000013,"Catholic faith and practice: being considerations of present use and importance in behalf of the Protestant religion, and of religious liberty, against the artful Attempts of the Emissaries of Rome, to undermine both in these Kingdoms. Wherein the character of the excellent Bishop Taylor is fully vindicated from the unfair Representations of Mr. Phillips in his Life of Cardinal Pole: And the Absurdities of the Popish Religion are set forth in their true Light.","Jones, John",57,7,0,2,0,0,0,1,3,1,0,5,1,0,5,0,1,0,1,8,3,7,1,2,9,1765,1,1,"London : printed for Robert Horsfield, at the Crown in Ludgate-Street, MDCCLXV. [1765].",London,74,male,1700,1770,FALSE,"could freely join in communion and worship with all churches professing the faith of Christ as delivered in the New Testament, and requiring no terms of communion repugnant to, or inconsistent with, that great rule of faith. He clearly distinguishes between the worship as well as dotrines of our protestant"
0843900300_000146,"The principles of moral and political philosophy. By William Paley, M. A. Archdeacon of Carlisle.",William Paley,50,0,2,1,0,2,0,0,1,1,1,5,1,1,0,2,0,0,2,3,2,17,0,0,9,1786,1,1,"London : printed by J. Davis, for R. Faulder, New Bond Street, M.DCC.LXXXVI. [1786].",London,696,male,1743,1805,TRUE,"to teach the people their own religion , or to convert them to another. In my opinion the advantage lies on the fide of the former scheme; and this opinion , if it be assented to, makes it the duty of the magifrrate, in the choice of the religion which"
0434400102_000069,"The principles of moral and political philosophy. By William Paley, D.D. ...",William Paley,54,0,2,1,0,2,0,1,1,3,1,3,2,0,0,2,0,0,1,3,1,24,0,2,5,1799,2,2,"London : printed for R. Faulder, New Bond-Street, M.DCC.XCIX. [1799].",London,442,male,1743,1805,TRUE,"wants authority, with him wants everything. Since then this authority appertains, not to the religion which is most commodious, to the religion which is most sublime and efficacious, to the religion which suits belt with the form, or seems mofl calculated to uphold the power and liability of civil government"
0777300500_000106,"Theologia Eklektike. A discourse of the liberty of prophesying. Shewing the unreasonableness of prescribing to other mens faith, and the iniquity of persecuting differing opinions. By Jer. Taylor, Chaplain in Ordinary to King Charles the First, and sometime Lord Bishop of Down and Connor.",Jeremy Taylor,49,0,0,2,0,0,0,4,3,1,1,7,1,0,6,2,0,0,2,5,1,7,1,1,5,1709,1,1,"London : printed for the assigns of Luke Meredith; and are to be sold by James Holland at the Bible and Ball at the West End of St. Paul's, 1709.",London,421,male,1613,1667,FALSE,"the Prince is bound to do as he is bound to fatisfic. Tio God it is all one. For abftracliig from the offence of persons, which is to be con. lidered just as our obligation is to content thi persons, it is all one whether we indulge to then to"
1508900700_000007,A letter concerning toleration. Written by Mr. Locke.,John Locke,44,8,4,0,0,0,0,2,1,2,2,2,5,0,5,1,1,1,1,0,1,4,0,1,3,1740,1,1,"[London? : s.n.], Printed in the year M.DCC.XL. [1740].",London,48,male,1632,1704,TRUE,"Perfecutionz, and to become Masters, there they desire to live upon fair Terms, and preach up foleration. When they are not itrengthlned with the civil Power, then they can bear most patienltly and unmovedly the Contagion of Idolatry, Superitition~ and Heresy in their Neighbourhood; of which, in other Occasions, the"
0833101701_000299,"The works of the Most Reverend Dr. John Tillotson, late Lord Archbishop of Canterbury: containing fifty four sermons and discourses, on several occasions. Together with The rule of faith. Being all that were published by his Grace himself, and now collected into one volume. To which is added, An alphabetical table of the principal matters.",John Tillotson,50,1,1,13,0,0,0,4,1,1,4,2,1,6,3,1,2,1,0,1,7,1,0,0,0,1728,1,3,"London : printed for J. Round in Exchange Alley; J. Tonson in the Strand; J. Darby in Bartholomew Close; A. Bettesworth, J. Osborn, T. Longman, and J. Batley in Pater-Noster Row; F. Fayram and E. Symon at the Royal Exchange; J. Pemberton and J. Hooke in Fleetstreet; C. Rivington in St. Paul's Church-Yard; and F. Clay without Temple Bar, 1728.",London,660,male,1630,1694,TRUE,"confider what opinions they embrace in order to practice, and not to susser themselves to be hurried away by an unreasonable prejudice and a heady passion , without a due and calm examination of things; not to be over born by pride, or humour, or partiality, or interest, or by"
0358900102_000204,"The works of John Locke, in four volumes.",John Locke,42,5,6,2,0,0,0,0,2,4,1,1,1,0,1,1,1,0,2,2,0,9,0,1,3,1777,2,4,"London : printed for W. Strahan, J. F. and C. Rivington, L. Davis, W. Owen, S. Baker and G. Leigh, [and 18 others in London], 1777.",London,687,male,1632,1704,TRUE,"doctrine of toleration . But this has not happened by anything peculiar unto the genius of such assemblies, but by the unhappy circumifances of an oppressed or ill fettled liberty. These accusations would. soon cease, if the law of toleration were once so fettled, that? all churches were obliged to"
0147900800_000034,"The real seeker: or, a series of letters relative to his religious doubts. With their respective solutions and rejoinders.",,33,2,3,1,0,1,0,1,1,3,0,1,0,0,0,1,1,4,1,2,4,3,0,1,3,1769,1,1,"London : printed for J. Williams, No. 38, Fleet-Street, M.DCC.LXIX. [1769].",London,391,unknown,,,FALSE,"We scattered all over the world, of whom there is continual succession and great numbers, ""have entered into an holy league, not, as long ""as one of us shall remain, will we lay aside our ""concern and design for your salvation; and no ""force, no power of the Englifl stall"
