PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(acr),termFreq(appear),termFreq(belong),termFreq(brought),termFreq(cafe),termFreq(charg),termFreq(church),termFreq(common),termFreq(counti),termFreq(court),termFreq(daughter),termFreq(debt),termFreq(deed),termFreq(devis),termFreq(enter),termFreq(estat),termFreq(execut),termFreq(executor),termFreq(father),termFreq(field),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(ground),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(held),termFreq(hold),termFreq(hous),termFreq(king),termFreq(laid),termFreq(land),termFreq(law),termFreq(life),termFreq(manor),termFreq(monei),termFreq(paid),termFreq(pass),termFreq(peopl),termFreq(person),termFreq(purchas),termFreq(rent),termFreq(sea),termFreq(sever),termFreq(statut),termFreq(taken),termFreq(tax),termFreq(tenant),termFreq(tenement),termFreq(term),termFreq(town),termFreq(valu),termFreq(water),termFreq(wife),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0979900103_000348,"The complete conveyancer; or, the theory and practice of conveyancing in all its branches. The practical part consisting of Precedents of every Kind that the Practisers of the Law of every Denomination can possibly have Occasion to consult in the Course of Business. Particularly under the following heads, viz. Acknowledgments Acquittances Acts of Parliament relating to Conveyancing Affidavits Agreements of all Kinds Annuities Appointments Articles Assignments of all Kinds Awards Bargain and Sale Bills Bonds of all Kinds Certificates Charter-Parties Collateral Securities Compositions of Creditors Conditions Confirmations Consent Consideration Copartnership Copyhold Precedents Covenants Declarations Deafeasances Demise Deputations Disclaimer Distribution Distress Enfranchisement Exceptions Exchange Feoffments Fines Gift (deeds of) Grants Indemnity Indorsements Inrollment of Deeds Jointures Leases of all Kinds Lease and Release Letters of Attorney Letters of Licence Limitations of Uses Licence Livery of Scizin Memorials Mortgages Orders Partition Petitions Presentation Provisoes Receipts Recitals Reconveyances Recoveries Releases Resignations Revocations Separation (deeds of) Settlements Surrenders Uses Warrants of Attorney Warrants Will, &c. The theoretical part consists of the law of conveyancing; or, the Various Methods of acquiring and conveying Estates, both real and personal. A new edition in three volumes, with additions and improvements. By William Newnam, of the Inner Temple, Esq. and Others.",William Newnam,92,0,2,1,0,0,5,4,0,0,0,4,3,4,4,3,0,3,0,0,2,0,0,1,0,9,1,0,0,1,1,4,2,0,0,10,3,8,3,1,1,1,0,0,2,5,0,0,0,2,0,1,0,1,0,0,0,0,0,1788,3,3,"London : printed for S. Bladon, in Pater-Noster-Row, [1788].",London,685,male,,,FALSE,"tenant for life without any deed ; this fllall entre first as a surrender of the lease for life , and then as afeoffmenit.. Plough. x4o. Dyer 358 But see thejiatute of Frauda. Fourthly, yshen a Grant , cis nade of the rame Land , or a Thing out of"
0860401100_000111,"A general abridgment of law and equity alphabetically digested under proper titles with notes and references to the whole. By Charles Viner, Esq;",Charles Viner,84,2,0,0,1,1,1,0,0,3,2,3,3,3,0,2,0,5,0,7,0,0,0,0,0,1,0,2,0,12,2,1,0,0,1,7,3,0,0,6,2,0,0,3,2,2,0,0,1,0,0,2,0,0,0,0,1,2,1,1757,1,1,"Aldershot in Hampshire near Farnham in Surry : printed for the author, by agreement with the law-patentees, [1757?].",Aldershot,485,male,1678,1756,FALSE,"decreed ter dies. This is a Tenancy in common between Mother and augh accordingly. C win.'m ter, and during the Mother's Lil: the Daughter's Moiety neither de Rep. 34 pi. fccnded or refiuted to the Heir , but was an Interest undifpotcd of, ad __ _1 _ 1 2 in"
0598500103_000217,"Reports of cases argued and determined in the High Court of Chancery, and of two special cases adjudged in the courts of common law: collected by William Peere Williams, Late of Gray's Inn, Esq; Vol. III. Published with Notes and References, and Two tables; one of the Names of the Cases, the other of the Principal Matters: by his son William Peere Williams, of the Inner Temple, Esq;",William Peere Williams,78,0,0,1,1,0,3,1,0,0,0,3,0,1,0,2,2,2,1,3,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,7,3,2,0,6,2,1,0,1,1,2,4,1,9,1,4,5,0,1,0,0,0,1,1,1749,3,3,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; for T. Osborne in Gray's Inn, MDCCXLIX. [1749].",London,646,male,1664,1736,FALSE,"Personal Estate with 4o. per Annum to his Wife , to be paid quarterly, the Executor was ordered to bring before the Master sufficient in Bonds and Securities, to be set apart to secure this Annuity. 336 Where the Spiritual Court has refused to grant the Probate of a Will"
0409200102_000217,"Precedents in conveyancing, settled and approved by Gilbert Horseman, Late of Lincoln's Inn, Esq; and other eminent counsel. In two volumes, with proper tables. ...","Horseman, Gilbert",83,3,1,1,3,0,0,0,0,0,7,0,0,0,0,0,0,3,1,2,0,1,0,0,0,2,6,0,0,5,0,0,0,0,4,7,1,2,7,3,1,0,0,3,3,3,1,0,0,0,0,3,3,1,0,6,0,0,0,1768,2,2,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall; A. Millar; H. Woodfall; W. Strahan; J. Rivington; R. Baldwin; W. Owen; Hawes, Clarks, and Collins; W. Johnston; S. Crowder; J. Dodsley; B. Law; P. Uriel; T. Lowndes; W. Richardson; and A. Shuckburgh. M.DCC.LXVIII. [1768].",London,599,male,,,FALSE,"respect of the Manor and I iereditaments herein after mentioned, or The Phrcels. some Part thereof) all that the Manor of Burney, with the Appurtenances, in the County of Bedford, and all that Capital Message, with the Appurtenances, called Burney in the same County , and all Messuages, Farms, Lands"
1250900400_000016,"A digest of the law respecting county elections. Containing the duty and authority of the high sheriff, from the receipt of the writ to the return thereof; and the mode of proceeding at County elections, whether determined by the View, the Poll, or the Scrutiny. Together with, the qualifications, and personal and other disqualifications, of the voters. By Samuel Heywood, Esquire, of the inner Temple.",Samuel Heywood,82,2,0,2,1,0,5,0,2,3,7,1,0,0,4,0,0,4,0,0,0,1,0,1,0,1,2,2,0,2,3,2,0,0,0,6,0,3,7,0,1,0,0,3,0,3,0,0,0,0,2,5,4,0,0,1,0,0,2,1791,1,1,"Dublin : printed for E. Lynch, P. Byrne, J. Moore, A. Grueber, R. White, H. Watts, and J. Milliken, M.DCC.XCI. [1791].",Dublin,317,male,1753,1828,FALSE,"thereof, and the fllkr paid a chief rent , being one year's rent , to the lord on alienation, and that the licence was enrolled. The lord of the manor , or his lleward, had no other concern in the title; the fieward sometimes called for the feoffment to infpet"
1202000901_000862,"The complete conveyancer; or, the theory and practice of conveyancing in all its branches. The practical part consisting of Precedents of every Kind that the Practisers of the Law of every Denomination can posiibly have Occasion to consult in the Course of Business. Particularly under the following heads, viz. Acknowledgments Acquittances Acts of Parliament relating to Conveyancing Affidavits Agreements of all Kinds Annuities Appointments Articles Assignments of all Kinds Awards Bargain and Sale Bills Bonds of all Kinds Certificates Charter-Parties Collateral Securities Compositions of Creditors Conditions Confirmations Consent Consideration Copartnership Copyhold Precedents Covenants Declarations Deseasances Demise Deputations Disclaimer Distribution Distress Enfranchisement Exceptions Exchange Feosments Fines Gift (deeds of) Grants Indemnity Indorsements Inrollment of Deeds Jointures Leases of all Kinds Lease and Release Letters of Attorney Letters of Licence Limitations of Uses Licence Livery of Seizin Memorials Mortgages Orders Partition Petitions Presentation Provisoes Receipts Recitals Reconveyances Recoveries Releases Resignations Revocations Separation (deeds of) Settlements Surrenders Uses Warrants of Attorney Warrants Will, &c. the theoretical part consists of the Law of Conveyancing; or, the Various Methods of Acquiring and Conveying Estates, both real and personal. By William Newnam of the Inner Temple, Esq. and others.",William Newnam,88,3,1,0,1,0,5,0,0,0,1,6,2,0,0,2,0,1,0,2,0,0,0,0,0,1,0,3,2,5,3,4,0,0,4,1,1,5,12,1,3,0,0,0,0,0,0,1,0,2,0,9,1,2,0,0,0,2,2,1781,1,3,"London : printed for S. Bladon, in Pater-Noster-Row; and sold by all booksellers, &c. in Great-Britain and Ireland, [1781].",London,699,male,,,FALSE,"upon condition nevertheless, that in, pol condition cafe the marriage intended to be ihortly had and bolemnized between the said E. E. and H. A. daughter of dit """"""''.ag' the said D. A. ( hall not take effect;; in cafe the same shall take effect, then if the heirs ,"
0232400103_000235,"A digest of the laws of England. By the Right Honourable Sir John Comyns, Knight, Lord Chief Baron of his Majesty's Court of Exchequer. The fourth edition, corrected, and continued to the present time, by Samuel Rose, Barister at Law, of Lincoln's Inn. In six volumes. ...",Samuel Rose,96,1,0,2,1,0,0,0,0,1,3,0,3,3,0,14,0,8,0,1,1,0,0,3,0,0,0,3,0,8,1,0,2,0,0,12,5,2,0,0,1,1,1,2,1,3,4,0,0,1,0,2,2,1,0,0,0,3,0,1800,3,6,"London : printed by A. Strahan , Law-Printer to the King's Most Excellent Majesty ; for T. N. Longman and O. Rees, G. G. and J. Robinson, T. Cadell, Brooke and Rider, W. Otridge, J. Butterworth, J. Walker, Clarks and Son, and R. Banister, 1800.",London,646,male,1767,1804,FALSE,"testator. As, if A. having lands in four counties , devises those in three counties to his wife in part, and part to others, and afterwards devises all generally to his wife for the benefit of his son; this flhall be extended only to the land in the fourth county"
0470500107_000015,"The statutes at large, from Magna Charta, to the end of the last Parliament, 1761. In eight volumes. By Owen Ruffhead, Esq;",Owen Ruffhead,86,0,0,0,1,0,0,2,1,5,10,3,1,4,0,1,0,8,0,1,0,2,0,1,0,6,3,0,0,1,0,1,1,0,1,2,1,0,1,7,0,1,0,2,1,0,3,5,0,0,1,0,0,4,1,0,0,4,0,1768,7,8,"London : printed by Mark Baskett, and by the assigns of Robert Baskett; and by Henry Woodfall and William Strahan, 1768-70.",London,762,male,1723,1769,FALSE,"late the Estate of Colonel Charles Lance, deceased, to Alexander Walker Esquire. 21 An Ad for Sale of the Estates devised by the Will of John Hylton Esquire, deceased, and for applying the M oney Money arising thereby in the Payment of his Debts and Legacies. 22 An At for"
0503900102_000062,"A general abridgment of cases in equity, argued and adjudged in the High Court of Chancery, &c. With several cases never before published, alphabetically digested under proper titles; with notes and references ... And three tables, ... By a gentleman of the Middle Temple.",Great Britain. Court of Chancery,101,1,0,1,1,0,4,7,0,0,0,2,4,0,4,3,0,4,0,6,1,0,0,2,0,5,0,0,0,2,0,1,0,1,0,4,1,3,0,1,4,0,0,1,0,10,0,0,1,2,11,2,0,0,0,0,0,9,3,1756,2,2,"[London] : In the Savoy: printed by and for Henry Lintot, 1756.",London,802,unknown,,,FALSE,"a rent charge to the Wife , and thereby the Land sore as all such Rents are chargeable by the Land - tax Acd, so ought Tax ABE b catfe there is this; and the Saving in that Statute of Covenants and Agreements be no Saving, as tween Landlords and"
1064500103_000097,"A compleat body of conveyancing, in theory and practice. In two parts. Part I. Contains the Theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Part II. (in Two Volumes) Contains the Practice: Or, Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Public Funds; and in General all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, gent. deceased. The second edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. In three volumes.","Wood, Edward, conveyancer",93,3,0,1,1,0,0,2,0,1,0,6,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,4,5,3,1,0,0,2,5,4,8,16,2,1,0,0,2,0,2,0,1,0,1,0,2,7,4,0,0,0,1,1,1762,3,3,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall, T. Osborne, C. Hitch and L. Hawes, J. Beecroft, W. Strahan, J. Rivington, R. Baldwin, W. Johnston, T. Caslon, T. Longman, S. Crowder and Co. R. Withy, C. Ware and Co. W. Flexney, W. Bristow, T. Lownds, A. Shuckburgh, and P. Uriel, MDCCLXII. [1762].",London,895,male,,,FALSE,"did surrender and yield up into the Hands of the lord.of the: Manor off.. aforesaid, the said several Closes of paffure and arable Land : -: the Appurtenances, and all his Estate , Right, Title, Interest, Possession, (if more: than one Life ) Reversion: Claim and Demand whatsoever, of, in"
0525901200_000019,"The complete court-keeper: or, land-steward's assistant: ... By Giles Jacob, ...",Giles Jacob,75,2,1,2,0,0,2,0,0,0,2,8,2,0,1,0,0,1,2,2,0,0,0,0,0,4,0,0,4,4,2,2,1,2,4,4,1,1,9,1,2,0,0,0,0,2,0,0,0,2,0,2,2,1,0,0,0,0,0,1781,1,1,"London : printed by his Majesty's law-printers; for J. Rivington and Sons; W. Owen; T. Longman; P. Uriel; W. Flexney; E. Brooke; and T. Whieldon and Co., 1781.",London,570,male,1686,1744,FALSE,"within the fid Manor , now in the poleffitin of him the said A. B. which he claimed to hold for Term of his Life , hy Copy of Court roll of the Manor aforesaid, bearing Date, rc. and all the Ettate, Right, Title, Interest, Claim and Demand whattlever, as"
0500700102_000261,"Reports of cases argued and determined in the High Court of Chancery, and of some special cases adjudged in the Court of King's Bench: collected by William Peere Williams, ... In two volumes. ...",William Peere Williams,69,0,0,1,0,1,0,3,1,1,0,2,0,4,1,3,1,0,1,1,0,0,0,0,0,3,1,1,3,6,1,1,1,3,0,4,1,3,1,0,1,0,0,1,3,0,0,1,1,3,0,2,0,2,0,1,0,3,2,1740,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for T. Osborne, 1740.",London,836,male,1664,1736,FALSE,"Will, or any Writing purporting to be his last Will under Hand and Seal, attested by three Witnesses, if Baron dies before his Wife , to charge the Premises with 2000 I. The like Power, mutatis smn tandis, to the Wife , if she die first, to charge the Premises"
0330300104_000138,"Ecclesiastical law. By Richard Burn, LL. D. Chancellor of the Diocese of Carlisle, and Vicar of Orton, in the County of Westmorland. The fourth edition. In four volumes. ...",Richard Burn,111,1,0,0,1,0,2,1,0,1,0,26,2,3,0,7,5,2,1,8,0,0,0,0,0,3,0,1,1,1,2,1,0,0,1,13,5,0,0,7,1,0,0,7,0,1,0,1,2,0,0,0,1,1,0,0,0,1,1,1781,4,4,"London : printed by W. Strahan and M. Woodfall, Law-Printers to the King's most Excellent Majesty ; for T. Cadell, in the Strand, M.DCC.LXXXI. [1781].",London,518,male,1709,1785,FALSE,"him, he cannot enter into the land without such assent: for it may be, the executor hath not aftcts besides, to pay the testator's debts . Lawof Ex. 262 Yea if a man do beqdeath goods to another, which are in the custody Qs that other person ; yet if"
0528500201_000132,Cases argued and decreed in the High Court of Chancery.,England and Wales. Court of Chancery,87,0,0,0,1,0,2,2,0,0,0,2,2,4,4,5,1,1,1,2,3,0,0,2,0,0,0,0,0,4,0,0,0,0,0,12,1,1,0,1,1,1,0,5,7,5,1,0,3,0,0,5,0,7,0,1,0,0,0,1735,1,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for J. Walthoe, sen. and are to be sold by T. Osborne, 1735.",London,343,unknown,,,FALSE,"the Plaintiff hath Seisin. ibid. Vendor of Lands takes a Lease of them at such a Rent , with Condition of re entry, and gives collateral Security for the Payment of the Rent , and a reentry. The Vendor could have no Relief against the collateral Security without Payment of"
0067000600_000057,"The law of devises, revocations, and last wills. To which is added, choice precedents of wills. By the late Lord Chief Baron Gilbert.",Jeffrey Gilbert,93,0,0,0,0,0,3,3,0,0,2,0,0,1,2,2,0,6,1,6,0,0,0,0,0,2,0,7,2,4,1,0,0,0,2,3,1,5,4,0,0,0,0,11,2,4,1,0,0,0,1,2,0,11,0,0,0,4,0,1756,1,1,"[London] : In the Savoy: printed by Henry Lintot; for T. Waller, 1756.",London,310,male,1674,1726,FALSE,"and devise unto my said Trustees, and the Survivors and Survivor of them, and the Eecutors, Administrators and Assigns of such Survivor, my Lease from the Crown of certain Lands , c. in in the County of for all fih Estate , Term of Years therein, as I am, thall"
0173700800_000060,"The law of devises, last wills, and revocations. By the late Lord Chief Baron Gilbert. To which is added, a select number of wills, drawn by men eminent in the profession.",Jeffrey Gilbert,72,0,0,0,1,0,1,2,0,0,1,0,0,1,4,1,0,5,2,3,0,0,0,0,0,2,0,2,0,2,1,0,0,0,1,2,2,6,4,0,2,0,0,8,0,5,0,0,0,1,0,6,1,4,0,1,0,1,0,1792,1,1,"Dublin : printed for James Moore, (no. 45,) College-Green, 1792.",Dublin,277,male,1674,1726,FALSE,"title of dower of, into or out of my estate , then and from thenceforth the said annuity shall cease, determine and be utterly void. And whereas I am possessed of certain hereditaments at in the county of - held by one or more lease or leases for years, I"
0640200300_000044,"The compleat conveyancer. A collection of presidents for conveyances: being such draughts which have either been drawn or perused by the late eminent and learned conveyancers, Sir John Maynard Kt. Sir Francis Pemberton Kt. Sir Ambrose Philips Kt. and Sir Thomas Skipwith Kt. Serjeants at Law, Sir John King Kt. Isaac Ewer Esq; and other the Chiefest Conveyancers of the Age; whereby the Estates of several Persons of Honour, and the greatest Quality in England have been settled and conveyed.",,80,3,3,1,1,0,0,4,1,2,3,1,2,0,2,0,0,2,3,4,0,0,0,0,0,7,0,0,0,1,1,1,0,0,5,2,6,0,6,2,1,0,0,0,3,0,0,5,0,0,0,0,1,2,0,0,0,5,0,1701,1,1,"London : printed by the assigns of Richard and Edward Atkins Esquires, for Isaac Cleave at Serjeants-Inn Gate in Chancery-Lane, and Abel Roper at the Black Boy in Fleetstreet, [1701].",London,381,unknown,,,FALSE,"the said Sir John Croke did by his Indenture, bearing date the ith day of May in the year of our Lord 1649 for the Consideration of a Iooo 1 of lawful English Money therein mentioned, grant the Manor of Dib den alias Dipden, and Premises in the said County"
0471600102_000403,"Precedents in conveyancing, settled and approved by Gilbert Horsman, ... and other eminent counsel. In two volumes, with proper tables. ...","Horseman, Gilbert",80,2,1,0,1,0,0,1,0,2,1,1,0,0,0,0,0,4,0,2,1,0,0,2,0,4,7,1,1,8,3,1,0,0,2,10,3,0,5,0,1,0,0,3,1,2,0,0,1,0,0,1,0,2,0,0,1,3,2,1757,2,2,"[London] : In the Savoy: printed by Henry Lintot; for D. Browne, T. Osborne and J. Shipton, J. Worrall, J. Shuckburgh, C. Hitch and L. Hawes, [and 12 others], 1757.",London,597,male,,,FALSE,"Bargain, cor therewith or with any Part thereof used, occupied, possessed or enjoyed (all which for a Year said Land or Garden Ground , Hereditaments and Premises herein before granted and released, are now in the actual Possession of the said Francis Foot and George Carr, by Virtue of a"
1202000901_000864,"The complete conveyancer; or, the theory and practice of conveyancing in all its branches. The practical part consisting of Precedents of every Kind that the Practisers of the Law of every Denomination can posiibly have Occasion to consult in the Course of Business. Particularly under the following heads, viz. Acknowledgments Acquittances Acts of Parliament relating to Conveyancing Affidavits Agreements of all Kinds Annuities Appointments Articles Assignments of all Kinds Awards Bargain and Sale Bills Bonds of all Kinds Certificates Charter-Parties Collateral Securities Compositions of Creditors Conditions Confirmations Consent Consideration Copartnership Copyhold Precedents Covenants Declarations Deseasances Demise Deputations Disclaimer Distribution Distress Enfranchisement Exceptions Exchange Feosments Fines Gift (deeds of) Grants Indemnity Indorsements Inrollment of Deeds Jointures Leases of all Kinds Lease and Release Letters of Attorney Letters of Licence Limitations of Uses Licence Livery of Seizin Memorials Mortgages Orders Partition Petitions Presentation Provisoes Receipts Recitals Reconveyances Recoveries Releases Resignations Revocations Separation (deeds of) Settlements Surrenders Uses Warrants of Attorney Warrants Will, &c. the theoretical part consists of the Law of Conveyancing; or, the Various Methods of Acquiring and Conveying Estates, both real and personal. By William Newnam of the Inner Temple, Esq. and others.",William Newnam,88,1,6,1,3,0,1,0,0,2,5,2,1,0,1,2,0,4,0,1,0,2,1,0,0,4,10,0,1,5,0,0,0,0,1,12,2,2,7,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,2,2,1781,1,3,"London : printed for S. Bladon, in Pater-Noster-Row; and sold by all booksellers, &c. in Great-Britain and Ireland, [1781].",London,699,male,,,FALSE,"barred and for ever excluded by virtue of these presents. 3|tl iljli't= nerfg, c. Deed Mr. P H I L L I P S' s Opinion. *, s *. amr of opinion; that the devise to F.: F; now the wife of G. L gave her an eftate tail; for"
0174000502_000129,"The practice of the Court of Chancery. Originally published by Joseph Harrison, of Lincoln's-Inn, Esq. and enlarged by John Griffith Williams, Esq. barrister at law. The eighth edition, with considerable additions: including The proceedings before the master On Sales of Estates, Maintenance for Infants, the Appointment of a Receiver, &c. And several new precedents, by Wilmot Parker, Solicitor. In two volumes. ...","Harrison, Joseph",86,1,2,1,3,0,0,1,1,4,4,4,0,0,0,0,1,0,1,3,0,2,0,0,0,1,3,0,0,9,0,1,0,0,8,8,2,0,5,1,1,0,0,1,1,3,0,2,0,0,0,0,7,3,0,0,0,2,0,1796,2,2,"London : printed by A. Strahan, Law Printer to the King's most Excellent Majesty; for J. Butterworth, In Fleet-Street, 1796.",London,562,male,1734,1779,FALSE,"tenements , wood grounds , leafows, commons , common of pasture, demefae lands , courts baron, courts leet, perquisites and prot 2 sits fits of courts , fines, heriots, reliefs, amerciaments, rents ,, ser. rices, escheats, waifs, estrays, deodands, felons' goods, warrens, heaths, .mines, moors, marihes, patronages, and bene sices"
0503800201_000294,"A general abridgment of cases in equity, argued and adjudged in the High Court of Chancery, &c. With several cases never before published, alphabetically digested under proper titles; with notes and references ... And three tables, ... By a gentleman of the Middle Temple.",Great Britain. Court of Chancery,79,0,0,1,0,0,3,4,0,1,0,4,3,3,0,5,0,3,0,3,1,0,0,1,0,0,0,3,0,4,1,1,0,0,0,9,0,4,1,1,2,0,0,1,4,5,0,1,1,0,1,5,0,0,0,0,0,3,0,1756,1,2,"[London] : In the Savoy: printed by and for Henry Lintot, 1756.",London,476,unknown,,,FALSE,"they ( hall release, che only i 6 who refuses shall lose his Legacy, - - 4 Lands limited on Condition to an Ancestor, where the Heir may perform the o6 6 Condition, though the Lands never came to the Ancestor, 6 Conditions precedent and subsequent in which there may"
0172100300_000042,"The law of executors and administrators. By Samuel Toller, Esq. of Lincoln's Inn, Barrister at Law.","Toller, Samuel, Sir           1821",107,0,0,1,0,0,1,0,1,0,0,3,3,2,2,2,1,9,0,12,0,0,0,1,0,3,1,2,1,18,2,2,0,0,1,13,3,0,2,5,1,3,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1800,1,1,"London : printed by A. Strahan, Law-Printer to the King's most Excellent Majesty, for J. Butterworth, Fleet-Street, 1800.",London,430,unknown,,,FALSE,"the ellate conceive himself to hold it in fee, his interest will not be considered as personal against his evident intention; a, if an estate in mortgage be sold by the mortgagee absolutely and fraudulently to a third person , the purchase money , on repayment by the vendor afta"
0173000300_000098,"The office and duty of executors: or, a treatise directing testators to form, and executors to perform their wills and testaments according to law. Originally compiled by that judicious and approved author, Tho. Wentworth, late Bencher of Lincoln's-Inn. And now enlarged with a supplement, containing Divers Matters and Things not comprized in former Impressions, relating to Wills, Executors, Administrators, Devises, Legacies, &c. Collected from the Common and Statute Laws, and methodically digested, rendring the whole compleat, and in all its Parts conformable to the present Time and Laws now in Force. With References to the several Acts of Parliament and authentick Books of Reports both Ancient and Modern authorizing and approving the same. By H Curson of the Inner-Temple.","Doddridge, John, Sir",117,1,0,0,1,0,7,1,0,2,0,4,0,10,0,4,0,4,2,28,0,0,0,0,0,1,0,5,1,4,0,0,0,2,0,8,2,8,1,0,0,0,0,1,0,8,0,0,3,1,0,2,2,1,0,0,0,3,0,1720,1,1,"[London] : In the Savoy: printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for D. Browne, R. Sare, J. Walthoe, D. Taylor, R. Gosling and J. Osborn, 1720.",London,564,male,1555,1628,FALSE,"29 If one Executor be cited and refuse, yet he may afterwards administer at his Pleasure i the like if more refuse: But if all refuse before the Ordinary, and the Ordinary commit Admini firation to another, there they cannot afterwards administer. And the Executor who proveth the Will mull"
0346600102_000095,"The accomplish'd conveyancer. Containing, the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law...and also, all manner of precedents made use of in conveyancing,...The second edition, corrected, with additions. By Giles Jacob, Gent. ...",Giles Jacob,72,1,0,0,3,0,0,2,0,1,2,3,0,1,3,1,0,3,1,6,0,0,0,0,0,7,0,2,2,3,0,0,0,0,1,3,3,0,5,1,3,0,0,3,0,5,0,1,1,0,0,0,2,1,0,0,0,2,0,1732,2,3,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for B. Lintot, 1726-36.",London,636,male,1686,1744,FALSE,"demised and granted , hall remain, continue and be unto the laid f C and. N. respectively, and their refpebtive Executors , tors, Administrators and Assigns, free and clear, and freely and clearly acquitted and discharged of and from all Manner of former and other Bargains, Sales, Gifts, Grants ,"
0173000100_000003,"Every man his own lawyer: or, a summary of the laws of England, in a new and instructive method, under the following Heads, Viz. I. Actions and Remedies, Writs, Process, Arrests, and Bail. II. Courts, Attornies and Solicitors therein, of Juries, Witnesses, Trials, Executions, &c. III. Estates and Fortunes in Lands and Goods, and how acquired; Ancestors, Heirs, Executors and Administrators. IV. Laws relating to Marriage, Bastardy, Infants, Ideots, Lunaticks. V. Liberty of the Subject, Magna Charta, Habeas Corpus, and other Statutes. VI. King and his Prerogative, the Queen and Prince, Peers, Judges, Sheriffs, Coroners, Justices of Peace, Constables, &c. Vii. Public Offences, Treason, Murder, Felony, Burglary, Robbery, Rape, Sodomy, Forgery, Perjury, &c. And their Punishment. So plainly treated of that all Persons may be fully acquainted with our Common and Statute Law, and that as well in Cases Civil as Criminal, and know how to protect themselves and their Property, In Every Circumstance Whatsoever.",Giles Jacob,98,0,0,1,0,2,3,1,1,3,2,10,0,3,0,1,0,4,4,1,0,0,0,1,0,4,1,0,0,2,1,1,1,7,0,7,8,2,0,1,1,0,0,5,0,4,0,0,9,1,0,1,1,2,0,0,0,2,0,1791,1,1,"Dublin : printed for James Moore, No. 45, College-Green, M.DCC.XCI. [1791].",Dublin,534,male,1686,1744,FALSE,"Action of Slander. For charging a man with particular crimes 73 Slander of persons in their offices and pro sessions 74 Slandering a man's title to an estate , c. 76 Of defamation by libels 78 ac7ion of a2ault and Battery. The nature of this action, and where it lieth"
0679000101_000065,"A treatise on the law of mortgages. The fourth edition, revised, corrected, and greatly enlarged; together with an appendix of precedents. By John Joseph Powell, ... In two volumes. ...",John Powell,111,0,0,0,0,1,4,6,0,0,0,8,2,12,0,3,0,10,4,1,2,0,0,8,0,0,1,0,2,2,1,4,0,1,0,5,1,4,0,9,2,1,0,1,10,0,0,1,0,0,0,1,2,0,0,0,0,2,0,1799,1,2,"London : printed for J. Butterworth, 1799.",London,580,male,1755,1801,FALSE,"Lord Camden Chancellor. This is a very material cafe in point of precedent. The question is where there is a bill by creditors, for sale of an estate to pay debts , and all the parties have put in their answers, and submitted to thejuiif' diction, whether the heir at"
