PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(apostl),termFreq(appear),termFreq(believ),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(confid),termFreq(coven),termFreq(dead),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(foul),termFreq(glori),termFreq(god),termFreq(gospel),termFreq(grace),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(know),termFreq(law),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mean),termFreq(natur),termFreq(noth),termFreq(peopl),termFreq(person),termFreq(power),termFreq(preach),termFreq(promis),termFreq(receiv),termFreq(righteou),termFreq(salvat),termFreq(save),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(soul),termFreq(speak),termFreq(spirit),termFreq(think),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0768001300_000005,"A sermon preached (in part) before the Right Worshipful Dean of the arches, And the Reverend the Clergy of the Deanery of Shoreham; assembled in visitation at Sevenoaks, in Kent, on Friday the 21st day of May, 1742. Addressed to them by the Rev. Henry Piers, A. M. Vicar of the Parish of Bexley; sometime Student of Trinity-College, Dublin. Author of two Letters in defence of our present Liturgy.","Piers, Henry",112,3,0,0,0,1,0,5,1,3,2,0,2,1,4,1,1,0,7,0,0,0,15,4,1,0,1,0,2,3,2,3,4,3,2,1,0,6,4,0,0,2,1,1,1,1,1,3,3,1,3,1,1,2,0,0,0,3,4,2,1754,1,1,"London : printed by J. Lewis, in Paternoster-Row, 1754.",London,12,male,1695,1769,FALSE,"justification? Learn then to look upon them in their proper light ; ""As the fruits of that "" faith , whereby God has julfified thee; and "" that as such only are they acceptable to ""him; and that thou art justified, that is, ac"" "" righteous before God only for"
0452402800_000008,"The stroke of death, practically improved. The substance of a sermon, occasioned by the death of Mrs. Susanna Birley, Late Wife of the Rev. George Birley, of St. Ives, in Huntingdonshire. Who departed this life, Jan. 19th, 1782. In the Thirtieth Year of her Age. preached at St. Ives, Feb. 3d. By Dan Taylor: to which is prefixed, the speech delivered at her interment, Jan. 23d, by Robert Robinson.",Robert Robinson,96,0,2,0,4,1,1,5,1,0,1,1,0,4,0,0,1,3,2,1,1,2,11,2,1,0,2,1,2,4,3,0,3,4,1,2,0,0,0,0,1,1,0,0,3,3,5,1,1,0,3,0,0,1,1,2,0,1,4,3,1782,1,1,"London : printed for J. Buckland, Paternoster-Row, and J. Matthews, Strand, MDCCLXXXII. [1782].",London,76,male,1735,1790,FALSE,"and then your pleasure is turned into eternal pains, and your laughter and mirth into ""weeping and gnalh ing of teeth,"" for ever. Again; by this itroke we are deprived of all opportunities to prepare for heaven . "" There is no work , or device, or wifclom, or knowledge,"
0907500700_000008,"The blessedness lost in the first Adam, to be found in Christ the second Adam. Being the substance of some sermons on Psalm lxxii. 17. -And Men shall be blessed in him- By the late Reverend and learned Mr. William Wilson Minister of the Gospel at Perth. With a preface prefixed, To the Gentlemen of the Deistical Principles in or about the Burgh of Perth.",William Wilson,129,1,0,1,1,1,0,12,0,0,2,1,1,6,1,2,2,1,2,0,0,3,21,4,1,1,0,1,5,3,0,7,1,4,0,0,1,4,2,0,7,0,2,4,0,1,3,1,0,1,5,0,3,2,0,0,0,5,1,2,1747,1,1,"Edinburgh : printed for David Duncan, and sold at his house, opposite to the Weigh-House, North-Side of the Street, MDCCXLVII. [1747].",Edinburgh,82,male,1690,1741,FALSE,"Hope and Expectation toward God : God comes to us in the Person of his Son in a Way of Grace and Mercy, and ip him we may draw near with Hope and a holy Confidence unto God , John XIV 6 I an the wiay: He is the Way"
0929200301_000128,"The four Gospels; with a comment, and reflections both spiritual and moral. By Pasquier Quesnel. Translated from the French. Revised, corrected, and the Popish errors expunged, by a presbyter of the Church of England. ...",Pasquier Quesnel,115,2,3,2,4,2,0,10,1,2,1,0,0,2,0,0,3,1,3,2,0,0,5,9,6,0,4,0,2,5,0,1,3,1,0,1,1,0,3,0,1,2,7,1,1,0,3,1,2,0,4,1,0,4,0,1,5,0,0,3,1790,1,2,"Bath : printed and sold by S. Hazard; sold also by G. G. J. and J. Robinson, Paternoster-Row, Dilly, in the Poultry, and Matthews, in the Strand, London; Mills and Bulgin, Bristol: Woolmer, Exeter; Spence, York; Prince, Oxford; Eddowes, Shrewsbury, &c., [1790].",Bath,642,male,1634,1719,FALSE,"grace becomes effcaual to the salvation of all that truly believe in him. 19 1 Go ye therefore and teach all nations, baptising lhenb inl the name of the Father , and of the Son, and of ihe holy ghaoi. Jcfus Christ says to his apostles , go ye therefore"
0929300100_000135,"The four Gospels; with a comment, and reflections both spiritual and moral. By Pasquier Quesnel. Translated from the French. Revised, corrected, and the Popish errors expunged, by a presbyter of the Church of England. ...",Pasquier Quesnel,106,2,3,0,1,1,1,7,1,2,0,0,0,1,2,2,2,2,2,3,0,1,7,3,4,4,3,4,3,4,0,0,2,1,0,3,1,0,0,2,1,2,3,4,4,0,1,0,0,0,3,1,0,3,0,0,1,6,2,1,1790,2,2,"Bath : printed and sold by S. Hazard; sold also by G. G. J. and J. Robinson, Paternoster-Row, Dilly, in the Poultry, and Matthews, in the Strand, London; Mills and Bulgin, Bristol: Woolmer, Exeter; Spence, York; Prince, Oxford; Eddowes, Shrewsbury, &c., [1790].",Bath,751,male,1634,1719,FALSE,"not glorify his mercy without satisfying his justice, which was not to be done but by a victim worthy of himfelf; and because it became him, for whom are all things, and by whom are all things, in bringing many sons unto glory , to make the captain of their"
1103101600_000003,"Christ's commission to Peter, and the rest of the apostles, in giving them the keys of the kingdom of Heaven, no commission for the Pope of Rome. A sermon, preached at Trinity Chapel, Windmill-Street, Finsbury-Square, On the Lord's Day Evening, October 12, 1794. By J. Wilson, Minister of the Gospel. Published at the Request of the Subscribers.","Wilson, John, dissenting minister",116,2,2,0,0,2,0,9,0,2,0,0,1,3,1,0,2,0,2,2,0,0,14,4,3,1,7,6,5,5,2,0,1,0,2,2,0,2,0,0,1,2,3,1,0,0,2,1,1,0,4,1,2,5,0,2,2,2,3,2,1794,1,1,"London : printed and sold by J. Chalmers, No. 81, Old-Street. Sold also by M. Priestley, (late Trapp) No. 1, Paternoster-Row; J. Murgatroyd, No. 73. Chiswell-Street; J. Phillips, No. 27, City-Road; J. Spring, Glamford-Briggs, Lincolnshire; and at the vestry of the chapel, MDCCXCIV. [1794].",London,29,unknown,,,FALSE,"for your past, none for your  future provocations. Chaltifed you may be, with "" the rod of a father , but not with the wounds of ""an enemy."" it is God that jzfifieth, who is he that condemneth. though men Should condemn you, God will not; though devils accuse"
1079201400_000003,"Christianity in short: or, the Way to be a good Christian, recommended to the use of such as want either time or capacity for reading longer and learneder discourses. Consider seriously. Learn industriously. Pray devoutly. Believe firmly. Repent sincerely. Love unfeignedly. Resolve deliberately. Practice constantly. Hope patiently. Receive Thankfully. And Enjoy Eternally. By C. Ellis, author of The gentile-sinner.",Clement Ellis,109,2,0,0,1,1,3,2,0,2,0,1,2,2,1,4,1,2,2,4,0,0,17,1,2,1,0,3,9,0,0,2,4,1,2,5,0,1,0,2,0,2,1,2,1,0,2,1,1,2,4,1,0,3,0,1,3,2,1,2,1701,1,1,"London : printed and sold by Henry Hills, in Black-Fryars, near the Waterside. For the benefit of the poor, [1701?].",London,17,male,1633,1700,FALSE,"God had punished Adam according to his sin with death , he bad cut of Mankind from the Earth ; but he was graciously pleased to show mercy. God suffered man to live for a time upon Earth , butof as he might be sensible of the great evil he"
0914501200_000808,"The biographical and martyrological dictionary: containing the lives, sufferings, and deaths, of the most eminent martyrs and confessors of Christ, From The Earliest Ages Of At The World To The Present Time. Extracted From The scriptures of the Old and New Test Aments, Acts and Monuments, and the Works of the most eminent Writers in several Languages, both ancient and modern, who have made this important Part of History their Study. Including the Life, Sufferings, and Martyrdom [of] our blessed Lord and Saviour Jesus Christ, ... the Martyrdoms of the Apostles, Evangelists, and other Primitive Christians; The History of some of the most eminent Martyrs and confessions during The Ten Great Persecutions Under The Roman Emperors; Persecutions in Asia and Europe under the Arians. - ... of the Witnesses under Popery, ... the Persecutions in ... and Flanders; the Martyrdoms of Italy; and the ... Barbarities practised by the Inquisition of Spain and ... The History of the Spanish. Invasion,-of the Gun-Powder Plot,-of the Fire of London,-of the Conspiracy in 1668,-of the barbarous Murder of Sir Edmonbury Godirey, and the Design of Parkins, Friend, and Fenwick, for the Re-Establishment of Popery and the Extirpation of the Protestant Religion,-of the Cruelties committed by Judge Jefferies in the West of England,-And of the Persecution against the People called Quakers:-An accurate Account of the Martyrdoms of Scotland, especially under the inauspicious Reigns of Mary, Charles II. and James VI. - And a distinct Narrative of the bloody Massacre of Ireland with a particular Relation of the Cruelties exercised by the Papists in consequence of that detestable Tragedy. - With many other Articles too numerous to be particularized. Forming At Once Complete Biographical Dictionary of Martyrs and Confessors, Upon a more useful and methodical Plan than any that have hitherto appeared. To the whole is annexed, a general index, A General Index, By the Help of which the Reader may turn up any particular Article at Pleasure. By a clergyman and others.",Clergyman and others,136,3,0,3,3,0,1,11,1,1,0,0,4,1,2,0,2,1,4,5,0,4,15,1,2,2,3,3,5,7,0,1,5,9,4,0,0,1,0,2,0,3,2,0,0,1,0,0,0,2,3,0,0,5,0,4,1,4,3,2,1790,1,1,"Newcastle upon Tyne : printed by M. Angus, In Drury-Lane, Flesh-Market, M.DCC.XC. [1790].",Newcastle upon Tyne,917,unknown,,,FALSE,"they come, we submit to the communion. wisdom and pleasure of Almighty God ; for we cannot They profess faith in God , by his orily begotten Son presume to determine. Jesus Christ , as being their light andlife, as well as their As to the doctrine of the final"
0577900600_000011,"A narrative of the founding and settling the New-gathered Congregational Church in Boston: with the opposition of the South Church to the minister, his defence of himself before the council, and espostulatory letter to that church afterwards. By Andrew Crosswell [sic], A.M. Pastor of said church. To which is added, by way of appendix, the defence of that doctrine of justifying faith, which hath been so much condemned in New-England, written by Messirs. Boston, Erskines, &c. when the same was cried down in Scotland, Anno Dom. 1721. Never before printed in New England.",Church of Scotland. General Assembly,143,2,0,0,6,1,1,13,0,1,6,1,0,1,4,0,0,0,21,2,0,1,15,8,2,0,3,0,2,3,0,0,2,1,0,2,1,1,0,0,2,0,0,7,3,1,7,1,4,3,4,0,2,3,1,0,1,3,1,0,1749,1,1,"Boston: N.E. : Printed and sold by Rogers and Fowle in Queen-Street, MDCCXLIX. [1749].",Boston,38,unknown,,,FALSE,"and Doubting are in their Nature , a6ts and effets, contrary to Faith : That, Peace and Joy are the native Effets of Believing : That the Promises of the Gospel , and chrijf in his Priestly Office therein held forth, are the proper Objea of julftifying Faith : That,"
0421200600_000004,"A charge, by John Clayton: a sermon, by Benjamin Davies, D.D. with an introductory address, by Thomas Towle, B.D. All delivered On Wednesday, June 29, 1791; at the public separation of The Rev. James Knight, to the Pastoral office in the Church of which the late Rev. John Rogers was Pastor.","Clayton, John",138,1,0,0,28,2,0,8,1,3,0,2,1,1,2,2,0,2,4,13,0,0,15,0,3,2,1,1,3,4,0,1,1,0,1,0,0,1,0,1,2,2,3,1,1,1,3,1,0,1,1,1,0,9,0,0,1,5,2,0,1791,1,1,"London : printed for C. Dilly, Poultry, MDCCXCI. [1791].",London,63,male,1754,1843,FALSE,"both they and their pof  terity were exposed to the avenging wrath of  God as a righteous Judge, and their offended Sove ( 15) Sovereign. Here, I believe , was the corm mencement of human depravity; here was the, spring of those fircams of corruption which flow to"
1405100500_000007,"Preaching Christ, the office-work of ministers, and how they should perform it;-- shewn in a sermon preached at Arundel, at the ordination of the Reverend Mr. Silas Moody, to the work of the ministry, and pastoral care of the church and congregation in that place; January 9, 1771. By Oliver Noble, A.M. Pastor of a church in Newbury.","First Congregational Church (Kennebunkport, Me.)",133,2,0,0,4,0,0,19,0,0,1,0,1,3,4,0,2,2,2,2,0,2,14,6,1,1,2,0,5,4,0,3,2,0,6,1,1,5,1,1,1,0,13,2,2,1,5,1,1,0,0,1,1,0,0,1,0,3,3,1,1771,1,1,"Salem [Mass.] : Printed and sold by Samuel Hall, near the Exchange, MDCCLXXI. [1771].",Salem,32,unknown,,,FALSE,"Buxt to sum up this thoughrt in a word , Christ the Lord must be preached in his twofold nature , and threefold office; as the very God , and real man, united in one eternal and incomprehensible person ; and, in this regard, a Saviour infinitely faited to the"
0855600100_000016,"Lectures on the church catechism, delivered in the parish church of St. George the Martyr, Southwark, by the Rev. H. Draper, A.M. Lecturer of that Parish, and Sunday evening preacher at St. Antholin's, Watling-Street.","Draper, Henry           1768 or 9",113,1,0,0,5,0,0,6,1,0,0,0,1,1,2,1,1,1,7,4,0,2,15,2,2,0,5,1,3,5,1,0,3,2,1,2,1,0,0,1,0,5,1,1,1,0,5,1,2,1,1,3,0,4,0,1,1,2,4,3,1799,1,1,"London : printed at the Philanthropic Reform, London-Road, Surry. To be had of the author, next the Public Kitchen, St. George's Fields, 1799.",London,332,unknown,,,FALSE,"saith, "" We are not of them that draw back unto perdition."" The grace of god within the saint, is a steady and uniform principle, whereby he is supported in the procession of the faith . He holds it "" fast."" Let the world smile or frown, he regards it"
0420902500_000004,"A sermon, preached at the ordination of the Rev. James Boyd, at Bangor, on Penobscot River, September 10, 1800. By the Rev. Rosewell Messenger [i.e., Messinger], Pastor of the First Church in York. [One line of Latin text].","First Congregational Church (Brewer, Me.)",84,1,0,0,2,2,0,4,2,0,1,1,0,3,5,1,0,1,2,3,0,0,7,2,1,0,5,1,3,1,0,0,2,1,1,0,0,1,2,1,1,1,4,1,1,1,1,1,1,0,2,1,1,3,0,0,3,1,2,3,1800,1,1,"[Newburyport, Mass.] : From the press of Angier March, sold at his bookstore, north side of Market-Square, Newburyport, [1800].",Newburyport,28,unknown,,,FALSE,"Further, to preach Jcfjs Christ and hin ctrucfcd is a branch ofperfuafion, yea, the foundation of preaching , and cannot too frequently be presented before the ungodly, In doing this ministers will convey their hearers to the original innocence of man, from the inheritanceof which he was speedily driven by"
1572401000_000027,"The works of the late Reverend Mr. Matthew Henry; being a complete collection of all the discourses, sermons and other tracts, that were published by himself. Together with an account of his life, and a sermon, preach'd on the occasion of his death. Both by the Reverend Mr. William Tong.",Matthew Henry,112,2,1,0,8,0,1,2,0,1,0,2,0,4,1,1,0,4,2,3,0,2,17,1,1,0,0,1,9,2,0,3,4,0,3,0,1,3,1,0,2,4,1,1,0,1,1,1,0,1,6,1,1,0,0,3,1,1,1,6,1726,1,1,"London : printed for Emanuel Matthews in Pater-noster-Row; John and Benjamin Sprint and Aaron Ward, in Little-Britain; Daniel Midwinter and Ranew Robinson in St. Paul's Church-Yard; Richard Ford in the Poultry; and L. Jackson, M.DCC.XXVI. [1726].",London,828,male,1662,1714,FALSE,"unchangeable in his Being, Wisdom, Power , Holi C ness, Justice and Truth , having his Being of him CC self, and giving Being to all Things. C I believe that the living and TRUE God is but One. "" And that in the Unity of the Godhead there is"
1752000101_000089,"Faith and practice represented in fifty-four sermons on the principal heads of the Christian religion; preached at Berry-Street, London. By I. Watts, ... D. Neal, ... J. Guyse, ... S. Price, D. Jennings, ... J. Hubbard. ...",,96,0,1,0,1,1,0,3,0,1,2,0,1,2,1,4,0,3,0,5,0,3,11,3,1,1,1,1,1,1,3,3,2,0,0,2,0,3,0,0,6,2,7,1,1,2,2,2,2,1,1,1,0,2,0,1,0,2,0,2,1757,1,2,"London : printed for J. Buckland, and T. Longman; J. Waugh; J. Ward, and E. Dilly, 1757.",London,486,unknown,,,FALSE,"for the near Approach of it put him into an Agony, and made him sweat great great Drops of Blood . What Affronts and Indignities did he suffer in the High Priest's Hall! and how awful were the Triumphs of vindictive Justice, when"" he hung upon the Cross, and was"
0281100400_000056,"Hymns and spiritual songs. In two books. I. Collected from the scriptures, and suited to the Gospel. II. Prepar'd for baptism and the Lord's supper. To which is added, a poem on the death of Dr. Gill. By Edward Trivett.","Trivett, Edward",132,0,0,0,5,4,2,7,0,4,0,0,1,1,4,1,0,3,2,2,0,6,11,3,9,1,1,3,0,5,4,0,6,3,6,4,0,1,0,1,1,0,1,0,0,0,4,1,1,4,1,2,1,2,1,1,2,5,5,0,1772,1,1,"Norwich : printed by R. Beatniffe, in Cockey-Lane; and sold by the author at Worstead, and by J. Gurney, opposite Hatton-Garden, London, [1772?].",Norwich,391,male,1735,1785,FALSE,"and Grace , Unfold and plead for Life and Peace. 5 Deftly bi the Spirit's Work and Care, Preach and defend by Words most clear; Life , Light and Growth, Fruit and lncreafe, Are by the Spirit's Care and Grace . 6 Man's ruined state found in his Ears, And"
1340800102_000204,"The history of the rise, increase, and progress of the Christian people called Quakers. Interemixed with several remarkable occurrences. Written originally in low Dutch, and also translated into English. By William Sewel. The third edition. In two volumes.",William Sewel,145,0,0,2,4,0,0,19,3,0,0,5,1,1,2,1,1,0,8,0,0,0,9,3,6,0,0,2,1,2,0,1,9,16,5,1,0,2,0,0,0,3,5,1,3,0,1,2,3,2,3,2,0,4,0,6,2,3,1,0,1795,2,2,"London : printed and sold by James Philips, George Yard, Lombard Street, 1795[.].",London,727,male,1653,1720,FALSE,"chang e both in him and in us. TRUE and living faith in Christ Jesus the Son of the living God (t), has refpsea to his entire being and full neis, to him entirely as in himself, and as all power in heaven and earth is given unto him (u);"
0127501200_000190,"A brief collection of remarkable passages and occurrences relating to the birth, education, life, conversion, travels, services, and deep sufferings of that ancient, eminent, and faithful servant of the Lord, Margaret Fell; but by her second marriage, Margaret Fox. ...",Margaret Fell,139,1,2,0,5,0,0,8,0,0,0,1,2,1,0,1,1,2,5,2,0,0,14,0,0,0,6,1,2,3,5,20,2,13,2,1,0,0,0,1,1,0,2,2,2,1,1,3,0,2,8,2,1,4,0,0,2,6,1,0,1710,1,1,"London : printed and sold by J. Sowle, in White-Hart-Court in Gracious-Street, 1710.",London,558,female,1614,1702,FALSE,"upon Earth , and impofibility of Perfection; and so they get the Apostles and Christ's Words , and quite deny that which they spoke for, preached and prayed for, and laboured for, which was to present every Man perse in Christ Jesus . And so all poor People , as"
0892000201_000139,"The Christian's magazine, or A treasury of divine knowledge.","Coote, J. (John)",119,2,7,4,1,3,3,6,1,5,0,0,1,7,0,2,1,1,0,3,0,0,6,4,0,2,0,2,7,11,0,0,2,1,3,0,1,0,0,1,0,3,3,2,2,0,0,0,3,1,4,2,1,1,0,2,1,1,1,5,1760,1,7,"London [England] : printed pursuant to his Majesty's royal licence, for J. Newbery in St. Paul's Church Yard, and J. Coote in Pater-Noster Row, [1760]-M DCC LXVII. [1767].",London,471,unknown,,,FALSE,"bosom of Mary. He was born at Bethlehem; was circumcised, and.named Jesus , that is, Saiviour. He was adored by the Magi or wise men, who came exprefsfrom the East; the first fruits of the Gentiles. He passed his) outh in silence and labour, subject to his mother and yofeph"
0293701700_000010,"Sacred declarations: or, a letter to the Inhabitants of London, Westminster, and all other parts of Great Britain: On the account of those sins, which provoked God to send and continue, the mortal sickness among the cattle, and to signify, by the late awful earthquakes, that his anger is not turned away. Proposing to their serious Thoughts, Declarations of the Righ[t]eous God in his Holy Word, concerning some Sorts of Persons whom he will punish in the Day of his Visitation for Sin. And likewise, An Account from the same Sacred Scriptures, of a sure Way to Safety, Comfort, and Happiness.",Théophile Lobb,116,1,1,1,5,1,0,6,1,0,0,0,1,0,1,1,1,3,4,3,0,1,16,1,0,0,1,0,3,5,0,1,5,1,1,4,0,0,1,3,0,1,2,6,3,2,4,3,5,0,8,0,0,1,0,0,1,3,0,4,1750,1,1,"London : printed for J. Buckland, at the Buck in Pater-Noster-Row, M.DCC.L. [1750].",London,38,male,1678,1763,FALSE,"obtain Forgiveness, and the Favour of God ; and therefore a sure Way to Safety, Comfort, and Happiness. But what is the Way by which Sinners may return to God ? This is a most important Inquiry, and our Blessed Saviour answers it in Yohnxiv. 6 Yefusfaith unto him, (that"
0311700901_000035,"Discourses on the following subjects: I. On the Mosaic revelation ... XXXII. ... By the late William Cooper, ... In two volumes. ...","Cooper, William           1786",113,1,1,1,2,0,2,4,4,1,1,0,5,4,0,0,0,3,9,2,0,0,10,2,0,1,2,3,1,3,1,0,8,2,3,1,1,1,1,0,1,3,0,5,2,2,1,0,2,1,0,3,0,1,0,1,0,3,2,6,1795,1,2,"London : printed for J. Deighton, 1795.",London,433,unknown,,,FALSE,"distant regions. When he had spoken these things, the words of scripture inform us, that he was received up into heaven , in the pretence and in the light of his apostles , far above angels and archangels, principalities and powers , even at the right hand of God ;"
0224700302_000202,"The history of the rise, increase, and progress of the Christian people called Quakers. Intermixed with several remarkable occurrences. Written originally in Low Dutch, and also translated by himself into English. By William Sewel.",William Sewel,138,0,0,1,4,0,0,21,6,0,0,6,1,2,1,1,2,0,6,0,0,0,8,3,6,0,0,1,1,2,1,1,7,15,3,2,0,2,0,0,0,1,5,1,3,0,1,2,3,3,3,1,0,2,1,6,1,1,1,0,1799,2,2,"London : printed and sold by James Phillips and Son, 1799-1800.",London,670,male,1653,1720,FALSE,"of light , received from Christ (as such) be properly called the fullness of Christ , or (hrift as in fullness, nor exclude lim (so considered) from being our complete Saviour ; for Clrilt himself to be our light , our life and Saviour (:), is so confiflant, that without"
1266100100_000163,"Magnæ Britanniæ notitia: or, the present state of Great Britain; With divers remarks upon The Antient State thereof. By John Chamberlayne, Esq; and more correct and larger Additions in the List of the Officers, &c. than in any former Impression; together with the Prince's Houshold, never before printed. With His Majesty's Royal Privilege.",John Chamberlayne,153,0,0,0,1,0,1,12,1,1,0,3,2,5,0,0,2,5,8,4,0,1,21,0,9,1,1,2,7,2,0,0,5,0,2,1,2,3,0,0,3,0,2,1,2,0,2,6,0,1,9,3,1,7,0,1,0,5,5,3,1723,1,1,"London : printed for B. and S. Tooke, Daniel Midwinter, Jacob Tonson, E. Valentine, and T. Wotton, MDCCXXIII. [1723].",London,783,male,1666,1723,FALSE,"Faith ; may by a due Use of the Means be understood by Unlearned as well as Learned; The Holy Ghost speaking in the Scriptures , is the Supreme Judge of Conzro verfies relating to the Faith . II God is One i Essence, infinite in Being and Perfeaions; in"
0108400800_000005,"The king's recovery, a national mercy: or, a call to Britain's gratitude, in the memento or review of former deliverances, and the Present Providence, in the Restoration of his Majesty To his Family and People. Addressed to the Inhabitants of the British Empire in general, with those Of the Isle of Thanet and Ramsgate, in particular; Considered in Two Discourses delivered in Ramsgate, April the 23d 1789. Being the Day appointed for a General Thanksgiving. By George Townsend, Of Ramsgate.",George Townsend,123,0,3,0,2,7,1,5,0,5,0,1,0,3,3,1,2,2,0,5,0,1,8,0,1,1,2,1,6,6,1,1,6,2,2,10,0,3,0,3,0,0,0,1,0,1,3,1,0,1,11,1,0,4,0,0,2,2,1,1,1789,1,1,"Canterbury : printed and sold by Simmons and Kirkby. Sold also by Burgess, Ramsgate; Hall, Margate; and all the booksellers in Kent. Mathews, Strand; Pitcher, No. 44, Barbican, London; and the Rev. John Townsend, Rotherhithe, MDCCLXXXIX. [1789].",Canterbury,80,male,1768,1844,FALSE,"in death and glory , by the real Church of Christ . i. He hath loved them with an everlasting love , Jer. XXXI 3 Therefore he hath delivered them from wrath, sin , Satan and misery or with loving kindness, hath drawn them from the ways of darkness, ignorance"
0421100102_000505,"The works of that eminent servant of Christ, Mr. John Bunyan, late Minister of the Gospel, and Pastor of the Congregation at Bedford. Being several discourses upon various divine subjects. The second edition, with the following additions: I. A preface Recommendatory, by the Reverend Mr. Samuel Wilson. II. Some account of the life and death of the author, with his Dying Sayings. III. A Representation of the House of the Forest of Lebanon, curiously engraven on a Copper-Plate. IV. A Vindication of his Book of Gospel-Truths Opened, against the Quakers. V. A Caution to stir up to watch against Sin.",John Bunyan,182,3,0,0,25,1,0,5,0,0,0,4,2,3,0,0,0,0,7,0,0,1,12,14,1,0,1,3,3,2,0,10,7,1,2,1,2,2,1,0,0,4,1,8,1,0,1,0,0,9,0,11,6,6,4,2,3,10,2,1,1736,2,2,"London : printed for E. Gardner, in Bartholomew-Close near West-Smithfield: J. Marshall, at the Bible in Gracechurch-Street: J. and J. Marshall, at the Bible in Newgate-Street: A. Ward, at the King's-Arms in Little-Britain: J. Clarke, at the Golden-Ball in Duck-Lane: and J. Oswald, at the Rose and Crown in the Poultry, MDCCXXXVI. [1736]-37.",London,872,male,1628,1688,TRUE,"Things contained in Scripture , for there is Gospel as wvell as Law , and therefore I shall speak to that also; that is, whether thou shaft felt the Power of the Gospel , as well as something of the Power of the Law ? 2 Then thou hast found"
0266601900_000008,"The new practice of piety: containing the necessary duties. of a Christian life: OR The Means of acquiring every Virtue The Remedies against every Vice, And Directions how to resist all Temptations: Adapted to the Genius of the Present Age. Whereby The Ignorant will be instructed, the Unbelieving convicted; the Vicious awakened and reclaimed; and the Religious confirmed in their holy Resolutions. And Directed how to walk in the Favour of God and Man. By his Majesty's Speical Authority, For Public Use and Benefit.","Hodges, James, Sir           1774",129,1,0,0,4,0,0,7,1,1,0,0,0,2,1,1,2,4,7,2,0,5,22,1,3,1,4,4,11,1,2,0,3,0,0,3,0,1,0,0,0,1,2,1,2,1,3,0,2,5,4,1,0,3,0,0,2,5,1,2,1749,1,1,"London : printed for J. Hodges, at the Looking-Glass, facing St. Magnus Church, London-Bridge, MDCCXLIX. [1749].",London,495,unknown,,,FALSE,"and death of our blessed Saviour . Read thego/els, the //iims of David; and especially those portions of scripture , the epifles and go/ pels, which, by the wisdom of the church , are appointed to be publicly read upon Sundays and holy days. Attend deligently to the reading of"
0240400100_000041,"The christian preacher, or, discourses on preaching, by several eminent divines, English and foreign, revised and abridged; with an appendix on the choice of books. By Edward Williams, D.D.","Williams, Edward",102,0,1,0,0,0,0,9,0,2,0,0,1,1,3,1,3,1,2,0,1,1,8,2,3,0,2,3,4,5,0,1,1,1,1,2,0,1,2,1,0,2,5,2,0,0,4,3,0,1,2,6,5,3,1,0,0,0,4,1,1800,1,1,"Halifax : printed by Holden and Dowson, for J. Fawcett, Ewood-Hall, near Halifax, sold by T. Wills, Stationers' Court, W. Button, Paternoster-Row, London; by J. Smith, Sheffield; T. Hannam, Leeds; and P. Holden, Halifax, [1800].",,516,male,1750,1813,FALSE,"the congregation! Study your matter well, by meditation and read. ing, and comparing scriptures together, till you have gotten it completely within your grasp and survey: then if you should happen to be so situated in preaching , that you could not refresh your memory by the infpeaion of your"
0400202800_000038,"The scripture-Doctrine of divine grace. By the Reverend John Andrews, LL. B. Vicar of Marden in Kent, and Chaplain to his Grace the Duke of Dorset.","Andrews, John",105,1,0,2,0,0,0,8,1,3,0,1,0,3,2,1,1,3,1,0,0,2,6,3,1,1,5,1,6,2,3,2,5,0,4,0,2,2,0,3,2,2,3,1,0,0,2,2,1,0,1,6,0,0,0,1,3,1,1,4,1769,1,1,"London : printed for Edward and Charles Dilly, in the Poultry near the Mansion-House, MDCCLXIX. [1769].",London,209,male,1729,1813,FALSE,"peace? Do they urge the absolute, indifpenfible and universal necessity of our having a new heart , and leading a holy life ? Do they show their people clearly and difinc'ly what they must do to be saved , according to the terms of the new Covenant ? Do they"
