PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(appear),termFreq(appoint),termFreq(better),termFreq(cafe),termFreq(caus),termFreq(charg),termFreq(chariti),termFreq(children),termFreq(church),termFreq(citi),termFreq(counti),termFreq(court),termFreq(famili),termFreq(gave),termFreq(gener),termFreq(god),termFreq(hall),termFreq(hand),termFreq(hous),termFreq(inhabit),termFreq(justic),termFreq(king),termFreq(labour),termFreq(laid),termFreq(land),termFreq(law),termFreq(littl),termFreq(live),termFreq(mean),termFreq(monei),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parish),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(poor),termFreq(pound),termFreq(power),termFreq(present),termFreq(provid),termFreq(rate),termFreq(reason),termFreq(receiv),termFreq(relief),termFreq(remov),termFreq(rich),termFreq(school),termFreq(set),termFreq(settlement),termFreq(tax),termFreq(think),termFreq(town),termFreq(want),termFreq(wife),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0347900302_000129,"The practice of a justice of peace: containing the statutes which give jurisdiction to that magistrate. With a greater variety of precedents ... By T. Cunningham, ...",Timothy Cunningham,134,4,0,0,2,0,1,1,1,0,0,1,2,7,0,2,0,0,0,13,0,2,5,10,0,0,0,0,0,0,0,1,0,1,0,0,13,4,0,18,11,1,1,0,1,0,1,2,2,7,0,0,1,5,1,0,9,3,0,1,1762,2,2,"London : printed by E. Richardson and C. Lintot; for W. Owen, 1762.",London,653,male,,1789,FALSE,"or sessions, there to be indiced for his or their contempt in that behalf. 18 Sect. 21 Whereas the inhabitants of the counties of Lancah'ire, che/hire, Derbyshire, rorkjbire, Northumberland, the bithoprick of Durham, Cumberland and Weflmorland, and many other counties in England and ipalcs, by reason of the largnefs of"
0501001100_000054,"Cases and resolutions of cases, adjudg'd in the Court of King's Bench. Concerning settlements and removals, from the first year of King George I. to the present time. ...",Great Britain. Court of King's Bench,129,1,0,3,0,1,0,3,0,0,1,0,1,1,1,0,0,0,0,4,1,4,3,7,0,1,0,0,0,0,0,0,2,1,3,1,17,1,0,20,16,0,0,0,1,1,4,5,9,7,0,0,1,5,1,0,1,0,0,1,1742,1,1,"[London] : In the Savoy. Printed by Henry Lintot, (assignee of E. Sayer, Esq;) for W. Meadows, 1742.",London,472,unknown,,,FALSE,"Person dwelling in any Parish , till Oath be made before fomejuftice, of some Matter which he shall judge to be a reasonable Cause for having such Relief : And that the same Person had by himself, or some other, applied for Relief at some Vestry, or other public Meeting"
0839900500_000010,"Continuation of the decisions of the Court of King's Bench. upon settlement-cases, by four additional years, ending in July 1772: To which is added A Complete Abridgment of each Case; and Two Tables of the Names of the Cases, One Chronological, the other Alphabetical; together with a Table of the Principal Matters. Published for the Use of Justices of the Peace, and Barristers, and Others attending the Quarter-Sessions. By James Burrow, Esq. Master of the Crown-Office.",Great Britain. Court of King's Bench,103,0,0,0,0,0,1,1,9,0,2,4,0,6,2,1,0,1,0,1,1,3,5,4,0,0,1,7,2,0,2,1,0,0,6,4,12,0,0,2,5,0,0,0,1,5,0,1,1,2,0,0,0,4,4,0,0,0,2,0,1772,1,1,"London : printed by His Majesty's Law-Printers, for B. Tovey, at the Dove, in Bell Yard, near Lincoln's Inn, MDCCLXXII. [1772].",London,104,unknown,,,FALSE,"i ulk lay, was within the Parish of Friendsbury, or nor."" But it never came before the Court any more, 1 believe. Michaelmas * 649 Michaelmas Term Io Geo. 3 i769. Rex V Inhabitants of Stapleton. N? zoo; T WO Justices removed Yohn Mortimer and Sarah his Wifesaaturday 2sth and"
0572700102_000031,"Sessions cases adjudged in the Court of King's Bench, chiefly touching settlements, from the latter end of Queen Anne's reign to the present time: with two tables, ...",Great Britain. Court of King's Bench,103,0,0,1,0,0,2,0,0,1,1,0,0,1,4,0,0,1,0,0,0,2,5,7,2,0,6,1,3,0,3,2,5,2,9,2,9,2,0,1,3,3,2,0,1,0,0,0,0,8,0,0,2,7,0,1,0,1,2,1,1750,2,2,"[London] : In the Savoy: printed by Henry Lintot; for Daniel Browne; and John Shuckburgh, 1750.",London,425,unknown,,,FALSE,"it rather throws Persons under those Circumfiances which the Words of the Statute meant to redress and provide against; for by this Means poor lpople purclhafec small qoantities of Land and undo themficives in Building, and this Man's parting with and selling the House . so soon after as he"
0411500200_000527,"The justice of peace: a treatise containing the power and duty of that magistrate, ... Together with a table ... By Theodore Barlow, ... To which is added an appendix, ...","Barlow, Theodore           1749",91,3,1,0,2,0,0,1,1,0,3,1,0,4,1,0,1,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,4,0,6,2,9,0,1,2,13,1,0,0,2,5,0,2,4,0,0,0,3,1,4,0,0,1,1,4,1745,1,1,"[London] : In the Savoy: printed by Henry Lintot (assignee of Edward Sayer, Esq;) for John and Paul Knapton, and John Nourse, 1745.",London,745,unknown,,,FALSE,"be abridged or L Parish or Place, and the Wife and withdrawn, or to be committed to the House Children of any such Person cohabiting in the of Correcion, to be whipped and kept to hard same House (except one Child to attend an Labour , not exceeding twenty-one Days."
0595300100_000097,"A collection of statutes that relate to the office of Justices of the Peace, Deputy-Lieutenants, and commissioners of sewers, Unto The End of this present Sessions Of Parliament.",Great Britain,123,0,1,0,0,0,2,1,0,0,1,0,5,6,0,0,0,0,0,2,2,2,5,4,1,1,1,0,5,0,0,0,0,2,0,0,10,9,1,21,5,2,0,1,4,1,1,1,0,7,0,0,0,1,0,1,7,2,1,7,1727,1,1,"[London] : [s.n.], Printed in the Year, MDCCXXVII. [1727].",London,353,unknown,,,FALSE,".fbr want of such Supplies as are necessary, May it please your moult Excellent Majesty thatit maybe enacted, and be it Enaeted by the King's moult Excellent Majesty, by and with the Advice and Consent of the Lords Spiritual and Temporal, and the Commons in this present Parliament assembled, and"
0347900302_000131,"The practice of a justice of peace: containing the statutes which give jurisdiction to that magistrate. With a greater variety of precedents ... By T. Cunningham, ...",Timothy Cunningham,134,2,2,1,0,0,0,3,1,0,2,0,1,1,1,1,0,0,0,4,0,2,2,10,0,0,0,1,1,0,0,0,3,3,7,1,18,2,0,21,11,1,0,0,2,1,5,4,8,6,0,0,0,6,0,0,0,0,0,0,1762,2,2,"London : printed by E. Richardson and C. Lintot; for W. Owen, 1762.",London,653,male,,1789,FALSE,"annual office in such parish being legally placed in such office . 39 gstat 12 Ann. flat.. cap. 18 fict. 2 If any person shall be an apprentice bound, by indenture, or an hired servant to any person who did come into any parish by certificate and not afterwards having"
0119500200_000138,"The country justice: containing the practice, duty and power of the justices of the peace, as well in as out of their sessions. ... By Michael Dalton ... And, ... an appendix; being, a compleat summary of all the acts of Parliament, ... By William Nelson ...","Dalton, Michael           1648?",100,4,4,0,0,1,4,0,3,0,0,0,0,0,2,1,0,0,0,1,0,2,1,4,1,0,0,5,2,3,1,0,3,0,1,1,0,2,0,1,15,1,0,1,1,5,2,1,3,1,0,0,4,0,8,1,3,0,2,5,1727,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) and are to be sold by J. Knapton, A. Bettesworth, R. Gosling, J. Pemberton [and seven others in London], 1727.",London,864,unknown,,,FALSE,"the setting the Poor to work , is the TRUE Duty of Overseers, for otherwise their bare gathering or railing a Stock, is to little Purpose. And note, that the churchwardens and Overseers of the Poor , may §* 6 by and with the Consent of two or more Justices"
0236500102_000257,"An essay towards a topographical history of the county of Norfolk, containing a description of the towns, villages and hamlets, ... By Francis Blomefield, ... and continued, from page 678, of vol. III. by ... Charles Parkin, ...",Francis Blomefield,111,2,0,2,1,1,1,0,0,0,1,0,9,7,5,0,0,1,0,0,2,3,3,1,0,0,2,1,0,0,0,0,4,2,2,0,4,3,1,10,9,0,11,0,2,2,2,1,1,2,0,0,4,0,1,1,1,0,0,6,1739,2,5,"Fersfield : printed in the year 1739, and sold by W. Whittingham, in Lynn; and R. Baldwin, London, 1739.",Fersfield,922,male,1705,1752,FALSE,"a Special Court , the Governor stall be obliged to hold it at such a Time as the 20 gluardians shall so desire, and if he refuses, the Deputy Governor, and if he refuses, any 4 Afflrtants stall and may hold it: at which Special Court , every Member of"
0172900101_000473,"The law of a justice of peace and parish officer: containing all the acts of Parliament at large concerning them, and the cases determined on those acts in the Court of King's Bench. To which is added, a collection of precedents revised and settled by Persons of Eminence in the Law; comprising a greater Variety than any other Work of this Kind extant. By John Lord Viscount Dudley and Ward, and T. Cunningham, Esq. ...","Cunningham, T. (Timothy)",99,1,1,3,1,0,3,1,1,0,0,0,0,5,3,0,0,5,0,4,1,0,0,1,6,0,1,0,2,0,0,0,6,0,6,4,2,3,0,4,4,1,1,2,3,8,0,1,4,5,0,0,2,0,1,0,0,1,0,2,1769,1,4,"London : printed by H. Woodfall and W. Strahan; Law-Printers to the King's Most Excellent Majesty; and sold by W. Griffin, in Catharine-Street, in the Strand, MDCCLXIX. [1769].",London,861,unknown,,,FALSE,"of this act on any person or persons neglecting or refuing to account for or pay over any money remaining in his or their hands , which he or they have received in pursuance hereof; anything in any of the said recited acts contained to the contrary thereof in any"
1202700103_000567,"The statutes at large, from Magna Charta, to the twenty-fifth year of the reign of King George the Third, inclusive. With a copious index, and appendix, consisting of obsolete and curious acts, some of which were never before printed. By Owen Ruffhead, Esq. A new edition, in ten volumes, revised, corrected, and continued, by Charles Runnington, Esq. Barrister at Law.",Owen Ruffhead,137,0,2,0,0,0,2,0,3,0,0,1,7,6,0,1,0,2,0,3,3,0,2,8,0,0,1,0,0,0,0,1,4,0,1,0,10,8,0,19,10,1,3,0,2,1,2,8,4,7,0,0,0,1,0,3,10,1,0,0,1786,3,14,"London : printed by Charles Eyre and Andrew Strahan, printers to the king's most excellent majesty; and by William Woodfall and Andrew Strahan, law printers to the king's most excellent majesty, MDCCLXXXVI. [1786].",London,763,male,1723,1769,FALSE,"the said Person or Persons ( hall have Liberty to appeal to the next General Quarter Sedfions of the Peace , to be held for the said County , Riding, or Division, City , or Town Corporate, who, upon full Hearing of the said Appeal, Shall have full Power finally"
0498400101_000125,"The state of the poor: or, an history of the labouring classes in England, from the conquest to the present period; ... together with parochial reports ... With a large appendix; ... By Sir Frederic Morton Eden, Bart. In three volumes. ...","Sir Frederick Eden, 2nd Baronet",98,1,2,0,2,0,0,3,0,0,7,0,0,1,0,2,0,0,1,2,0,0,1,1,0,5,0,0,1,1,1,1,0,0,1,2,7,0,3,2,12,1,1,1,2,7,0,2,3,0,0,4,1,0,0,1,0,4,1,11,1797,1,3,"London : printed by J. Davis, for B. & J. White; G. G. & J. Robinson; T. Payne; R. Faulder; T. Egerton; J. Debrett; and D. Bremner, 1797.",London,673,male,1766,1809,FALSE,"intrigues of a powerful body of do"" "" mal contents, were circumfanlces very unfavourable. to the reformation of evils, which had been accumulated by the neglects and. "" misfortunes of half a century I"" - It was in tie capacity of one of the original Commissioners of the Board of"
0172700300_000190,"The office and authority of a justice of peace: collected out of all the books, whether of common or statute-law, hitherto written on that subject. Shewing also the Duty of Constables, Commissioners of Sewers, Coroners' Overseers of the Poor, Surveyors of the Highways' Church-Wardens, and other Parish-Officers: Digested under alphabetical titles. To which are added, precedents of indictments and warrants: Never before Printed. Very useful for Justices of the Peace, Coroners, Sheriffs, Clerks of the Assises, and of the Peace, and all others concern'd in such Matters. The fourth edition, corrected, amended, and continued. By W. Nelson, of the Middle-Temple, Esq;",William Nelson,79,2,3,0,1,0,1,1,1,0,6,2,0,3,0,1,0,0,0,1,3,2,1,2,0,1,0,0,2,0,0,1,0,2,1,1,6,0,2,3,10,1,0,0,2,0,2,0,2,4,0,0,0,3,2,1,1,2,0,0,1714,1,1,"London : printed for Charles Harper, and sold by John Hooke, at the Flower-de-Luce, over against St. Dunstan's Church in Fleetstreet, 1714.",London,631,male,1652,,FALSE,"in Default of such Distress, that then you forthwith certify us of the same. Given under our Hands and Seals, 6 C A Warrant to levy. 4 on an Overseer for negleging to meet Monthly. To the churchwardens and Overseers of the Poor , c. s.ixfi - W Hereas it"
0340300800_000051,"The history of the poor laws: with observations. By Richard Burn, LL. D. One of his Majesty's Justices of the Peace for the County of Westmorland.",Richard Burn,89,0,1,1,1,1,0,1,1,2,2,0,0,3,0,1,0,0,0,0,1,7,0,1,0,2,1,3,1,0,0,0,1,4,0,0,3,0,0,11,11,0,0,0,2,4,1,0,3,2,0,0,4,2,1,1,0,4,0,5,1764,1,1,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's most Excellent Majesty ; for A. Millar, in the Strand, M.DCC.LXIV. [1764].",London,298,male,1709,1785,FALSE,"bind' them out apprentices; to provide for the aged and impotent; to affilt thole whose labours will not maintain their families ; to apprehend rogues, vagabonds, and beggars, and cause them to be set on work ; to inflit reasonable correction, where they see it necessary; to entertain proper officers"
1153500700_000054,"A plan for the establishment of charity-houses for exposed or deserted women and girls, and for penitent prostitutes. Observations concerning the Foundling-Hospital, shewing the ill consequences of giving public support thereto. Considerations relating to the poor and th poor's-laws of England; Wherein the great Increases of Unemployed Poor, and of Thieves and Prostitutes, are shewn to be immediately owing to the Severity, as well as the Defects of our Poor's - Laws; and to be primarily caused by the Monopolizing of Farms, and the Indosure of Common Lands; which have likewise decreased the Number of People, and brought our Woollen Manufacturies into a precarious State, as is made appear by Extracts from several Laws and other Authorities. Also, a New System of Policy, Most humbly proposed, for Relieving, Employing, and Ordering the Poor of England; Whereby a great Saving may be made in the Charge of Maintaining Them; the Poor's - Rates be kept nearly Equal in all Parishes, as in Equity they ought to be; and every Pretence for wandering about Begging, be taken away. To which are annexed, Forms of the principal Accounts necessary to be kept for those Purposes, whereby such Persons as are not conversant in Accounting will easily be able to comprehend all that is here proposed on that Head. By J. Massie.",Joseph Massie,118,0,1,0,0,2,0,0,3,0,0,0,1,16,0,0,0,2,0,0,0,4,4,0,0,4,0,1,0,0,1,0,1,1,3,1,9,0,8,5,21,2,1,0,3,2,2,0,2,8,1,0,1,1,0,1,2,3,0,1,1758,1,1,"London : printed for T. Payne, in Castle-Street, next the Mews Upper Gate, Charing Cross; sold by W. Shropshire, in New Bond-Street; W Owen, at Temple-Bar; and C. Henderson, at the Royal-Exchange. - MDCCLVIII. [1758].",London,153,male,,1784,FALSE,"by his Industry, it will generally be better to have some of them sent to the HO u s E s of'aaintenance and Employment, than to'pay fiuc ALLOWANCES ..., ' PROPOSITION X REMOVAL op THE POOR . POOR PEOPLE should not be REMOVED from one County or Parish to another,"
0572600300_000013,"The parish officer's complete guide. Containing The Duty Of The Churchwarden, Overseer, Constable, And Surveyor of the Highways, AS Settled BY The Act Of Parliament Passed Last Sessions. The Whole Laid Down In AN Easy, Concise, And Familiar Manner; And Cleared From The Technical Terms of the Law, AS Well AS The Inaccuracies Of Former Publications Of The Like Kind. The fourth edition, with considerable additions and improvements. By John Paul, Esq. Barrister at Law.","Paul, John",115,0,2,1,1,0,1,1,1,0,4,0,0,3,2,2,0,0,0,2,2,2,4,7,0,1,0,0,2,0,0,0,4,0,7,1,15,4,0,19,10,1,0,0,2,0,1,6,1,1,0,0,0,3,0,1,0,0,1,0,1781,1,1,"London : printed by W. Strahan and M. Woodfall, Law-Printers to His Majesty; for W. Richardson and L. Urquhart, at the Royal Exchange, [1781].",London,170,male,1707,1787,FALSE,"Same Stat. Churchwardens and overseers to keep a Register of the Admit. tance of the Poor . Books are to be kept in every parish wherein the names of all persons who do receive collection fiall be registered, with the day and year when they were admitted, and the occasion"
1213602700_000020,"A collection of decisions of the Court of King's Bench upon the Poor's Laws, down to the present time. In which are contained many Cases never before published; extracted from the Notes of a very Eminent Barrister deceased: The whole digested in a regular Order. By a barrister at law of the Inner Temple. To which are prefixed, extracts from the statutes concerning the poor.","Bott, Edmund",105,0,1,1,0,0,2,0,1,0,1,0,3,4,2,2,0,1,0,5,3,0,9,3,1,1,1,0,4,0,2,0,2,1,3,1,13,4,0,13,8,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,3,2,0,1,1770,1,1,"London : printed by W. Strahan and M. Woodfall, Law-Printers to the King's most Excellent Majesty; for P. Uriel in Inner Temple-Lane, and W. Griffin in Catherine-Street in the Strand, [1770?].",London,403,unknown,,,FALSE,"of any funi of there ms or sums of money so misspent or taken by churchwardens pending the or overseers of the poor , the evidence of the parishioners, or any of them, other than of such as receive alms, or any pension, or gift out of such collections or"
0119500200_000160,"The country justice: containing the practice, duty and power of the justices of the peace, as well in as out of their sessions. ... By Michael Dalton ... And, ... an appendix; being, a compleat summary of all the acts of Parliament, ... By William Nelson ...","Dalton, Michael           1648?",112,1,0,2,0,0,0,0,1,0,7,1,0,3,0,3,1,3,0,0,0,5,5,1,0,0,0,7,2,0,6,0,3,2,2,0,14,1,0,5,6,2,0,0,1,16,2,0,1,2,0,0,0,2,3,1,0,0,1,0,1727,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) and are to be sold by J. Knapton, A. Bettesworth, R. Gosling, J. Pemberton [and seven others in London], 1727.",London,864,unknown,,,FALSE,"given. C, aifi The Mother, who was an Inhabitant legally fettled in C ad twao baito Children there under the Age of 7 Years; and after the Death of her settlnt Husband, hle with her said Children came by a Certificate from C of tito the Parish of D. afterwards"
0620400202_000014,Sketches of the history of Man. Considerably improved in a third edition. In two volumes. ...,"Henry Home, Lord Kames",95,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,3,0,3,1,1,2,5,0,1,1,1,2,2,0,0,2,2,2,0,8,1,4,5,16,0,0,2,4,2,0,1,1,1,1,0,1,1,9,2,2,0,0,1,1779,2,2,"Dublin : printed by James Williams, 1779.",Dublin,556,male,1696,1782,TRUE,"and then "" ( hall be put out of town ."" This was a law against vagrants, for the sake of order . There was little occasion, at that period, to provide for the the innocent poor ; their maintenance being a burden upon monasteries. But monasteries being put down"
0120300600_000041,"A collection of decisions of the Court of King's Bench upon the Poor's Laws, down to the present time. In which are contained many Cases never before published; extracted from the Notes of a very Eminent Barrister deceased: The whole digested in a regular Order. By Edmund Bott, Esq. Barrister at Law of the Inner Temple. To which are prefixed, extracts from the statutes concerning the poor.","Bott, Edmund",127,4,1,0,1,0,0,2,2,0,5,2,0,1,0,0,0,0,0,3,2,2,3,11,0,0,0,0,0,0,0,0,3,1,4,0,12,0,1,16,21,1,0,0,2,3,1,4,3,3,0,0,2,5,1,0,0,0,0,5,1773,1,1,"London : printed by W. Strahan and M. Woodfall; Law-Printers to the King's most Excellent Majesty; for P. Uriel in Inner Temple-Lane, and W. Griffin, in Catharine Street, Strand, 1773.",London,533,unknown,,,FALSE,"Page 8 If the inhabitants of any parish be not able, to relieve their poor , two justices may afrefs persons dwelling in the neighbouring parishes , being within the same hundred, 9, 10 Two justices may grant warrants for levying money assessed for the relief of the poor ,"
1551500800_000080,"The Universal officer of justice. Containing, the general power and authority by law, of the several officers and ministers following, viz. 1. Of justices of peace. 2. Clerks of the peace. 3. Of custos rotulorum. 4. Of commissioners of hackney-coaches. 5. - - of hawkers and pedlars. 6. - - of the wine licence, &c. 7. Of mayors and bailiffs of towns. 8. Of clerks of markets and tool-takers. 9. Os sheriffs of counties 10. Of under-sheriffs, and their bailiffs, &c. 11. Of coroners. 12. Of constables &c. 13. Of church-wardens and sidesmen. 14. Of vestry-men. 15. Of overseers of the poor. 16. And surveyors of the highways. The whole being collected from all the books our common and statute laws written upon the subjects and render'd generally useful to all sorts of people.",,117,7,3,0,4,1,3,1,1,0,1,2,0,2,0,0,0,1,0,0,5,1,3,10,0,0,1,1,0,0,0,0,3,5,1,0,9,6,0,6,19,0,1,1,4,3,1,4,3,1,0,0,1,0,0,0,0,0,1,1,1731,1,1,"In the Savoy : Printed by E. and R. Autt, and R. Gosting, (Assings of Edw. Sayer, Esq;) for D. Midwinter and A. Ward, J. Brotherton, J. Hazard, W. Meadows, T. Cox, W. Hinchlife. W. Bickerton, T. Astley, S. Austen, L. Gilliver, and R. Willock, 1731.",London,344,unknown,,,FALSE,"of London and Suburbs, and elsewhere, who yearly choose Officers for the Parish , and take Care of its Concernments. - And they are mentioned in diverse other Statutes: The Statute 7 Ann. cap. 17 enables Churchwardens, Overseers of the Poor , and principal Inhabitants in a Vestry, to rate"
1006700100_000131,"Conductor generalis: or, The office, duty and authority of justices of the peace, high-sheriffs, under-sheriffs, goalers, coroners, constables, jury-men, and overseers of the poor. As also the office of clerks of assize, and of the peace, &c. Collected out of all the books hitherto written on those subjects, whether of common or statute-law. The whole alphabetically digested under the several titles, with a table directing to the ready finding out the proper matter under those titles. To which is added, a collection out of Sir Mathew Hales, concerning the descent of lands; with several choice maxims in law, and the office of mayors, &c.",Matthew Hale,127,2,1,0,1,2,2,2,1,0,3,0,5,1,1,0,0,1,0,1,0,12,2,3,1,1,0,2,1,0,1,0,0,0,0,0,5,2,0,8,25,0,1,0,5,1,0,3,2,1,0,0,10,1,0,1,1,0,0,15,1749,1,1,"New-York : Printed and sold by J. Parker, at the new-printing-office, in Beaver-Street, 1749.",New York,510,male,1609,1676,FALSE,"(by Taxation of every Inhabitant of the Parish , c. in such Sams as they shall think fit) a convenient Stock' of Flax,. Hemp, Wool, Thread, Iron, c. to set the Poor to work . · By 3 Car. t. C 4 One Justice of Peace may give his Coftfent"
0284000200_000237,"The office and authority of a justice of peace: collected out of all the books, whether of common or statute law, hitherto written on that subject. Shewing also the Duty of Constables, Commissioners of Sewers, Coroners. Overseers of the Poor, Surveyors of the Highways, Churchwardens, and other Parish-Officers: Digested under alphabetical titles. To which are added, Precedents of Indictments and Warrants, Never before Printed. Very Useful for Justices of the Peace, Coroners, Sheriffs, Clerks of the Assizes, and of the Peace, and of all others concern'd in such Matters. The ninth edition, corrected, amended and continued down to this present year. By W. Nelson, of the Middle Temple, Esq;",William Nelson,118,2,0,1,0,0,2,3,3,0,0,1,0,2,1,0,3,0,0,0,0,2,4,8,0,0,1,9,0,0,1,0,1,3,7,0,17,1,0,11,5,1,0,0,0,3,4,2,4,4,0,0,0,3,9,0,0,0,0,0,1726,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for D. Browne, J. Walthoe, R. Gosling, W. Mears, T. Woodward, J. Hooke, F. Clay, J. Stephens and B. Motte, MDCCXXVI. [1726].",London,762,male,1652,,FALSE,"Parish who gave the Certificate, but who had lived there some Time, went into another Parish by Virtue of the Certificate, by which the Parish who gave it, owned him to be settled as an Inhabitant vsith them I afterwards, being poor , the Parinl from which he came took"
0503200200_000703,"A new law-dictionary: containing, the interpretation and definition of words and terms used in the law; and also the whole law, and the practice thereof, Under all the Heads and Titles of the same. Together with such Informations relating thereto, as Explain the History and Antiquity of the Law, and our Manners, Customs, and Original Government. Abstracted from all Dictionaries, Abridgments, Institutes, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. And fitted for the Use of Barristers, Students, and Practisers of the Law, Members of Parliament, and other Gentlemen, Justices of Peace, Clergymen, &c. By Giles Jacob, gent.",Giles Jacob,135,0,2,0,0,1,1,0,6,0,5,0,0,0,1,0,0,0,0,2,0,2,2,5,0,0,0,8,3,0,1,0,0,0,7,0,12,3,0,17,14,1,1,0,1,13,2,0,6,3,0,0,0,3,9,0,0,0,2,2,1729,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for J. and J. Knapton, J. Darby, A. Bettesworth, F. Fayram, W. Mears, J. Pemberton, J. Osborn and T. Longman, C. Rivington, F. Clay, J. Batley, and A. Ward, MDCCXXIX. [1729].",London,771,male,1686,1744,FALSE,"of poor Persons denring Relief ; and take the Benefit of their Work for their better Maintenance; and poor Persons refusing to be so lodged and kept, shall be truck out of the Parilh books, and not be inritled to any collection; and where any Parish , co. shall be"
0894400300_000073,"Parish law: or, a guide to justices of the peace, ministers, churchwardens, ... and all others concern'd in parish business: compiled from the common, statute, and other authentick books; ... together with correct forms of warrants, commitments, ... To which is added a choice collection of precedents ... By Joseph Shaw, Esq;","Shaw, Joseph",129,1,2,1,0,0,1,2,2,0,4,2,0,2,0,2,0,0,0,13,2,1,7,4,0,1,1,0,0,0,2,0,1,6,6,0,15,0,0,19,10,0,0,0,1,0,0,4,3,2,0,0,0,7,1,0,1,3,0,0,1753,1,1,"[London] : In the Savoy: printed by Henry Lintot; for R. Ware; J. Hodges; and J. Nourse, 1753.",London,430,male,1671,1733,FALSE,"the Church . accoullnted on wardens and Overseers of the Poor ; which Notice the laid tc Notice zi'cn, Churchwarden, c. if required, is to read or cause to be read publicly, immediately after Divine Service in the Plaril Church , the firt Lord's Day; the aid Notice to be"
1209200200_000031,"A digest of the militia laws, to the End of the last Session of Parliament in the 19 Geo. III. With a copious index. By Richard Burn, LL.D.",Richard Burn,111,5,6,0,3,0,1,1,0,0,3,0,3,6,1,6,0,0,0,10,3,0,0,5,0,6,0,1,1,0,0,0,3,6,3,3,6,3,0,4,5,0,0,0,0,3,1,3,3,0,0,0,0,0,0,2,3,0,1,1,1779,1,1,"London : printed for W. Strahan; and T. Cadell, in the Strand, 1779.",London,168,male,1709,1785,FALSE,"-- in -- late troop of bors guards, or, - regiment of horse reduced,) savet and except my pay as lieutenant, enign, adjutant, quarter imoier, or surgeon (as the cafe may be) for serving in a regiment of militia. If it is in a regiment of fencibles, then the last"
0119400200_000045,"A guide to justices; or modern English precedents, for the direction of justices of peace and their clerks, in making out warrants, mittimus's, recognizances, Supersedeas's, Affidavits, Informations, Inquisitions, Summons, Precepts, Certificates for the Poor, and Warrants for their Removal, Bonds, &c. Not being in any Book Extant: Also necessary for all Deputy-Lieutenants, Commissioners of Sewers, &c. to assist them in the Execution of their several Offices. Approv'd and published at the Request of his Majesty's Justices of the Peace for the County of Gloucester. The second edition corrected, with large additions. By Joseph Higgs, Gent. who has been Clerk to the Commission of the Peace, from the Reign of King Charles the Second to the present Time.","Higgs, Joseph",115,1,0,0,0,0,3,0,2,0,2,1,0,3,0,2,0,1,0,7,2,1,7,2,0,0,0,0,5,0,0,1,0,2,4,1,18,7,0,4,8,5,0,0,1,4,0,2,0,7,0,0,2,7,1,0,0,0,2,0,1742,1,1,"[London] : in the Savoy: printed by Henry Lintot, (assignee of Edward Sayer, Esq;) for S. Birt, C. Hitch, C. Ward and R. Chandler, M.DCC.XLII. [1742].",London,370,unknown,,,FALSE,"inhabits a Tenement of 1o i. a Year, though in two Parishes , he hall be fettled where he lodgeth; if he ( hall inhabit forty Days, although he bath no Manner of Stock on it, yet this seems to be contrary to the Meaning of the Ac, for it"
0232900303_000029,"The justice of the peace, and parish officer. By Richard Burn, ... The sixth edition. In three volumes. ...",Richard Burn,113,2,0,1,3,0,4,0,5,0,0,2,0,3,5,2,0,0,0,3,1,3,4,1,0,0,0,3,1,0,3,0,0,12,6,1,12,0,0,6,2,0,2,0,0,1,1,1,0,4,0,0,1,12,2,0,4,0,0,0,1758,3,3,"[London] : In the Savoy: printed by Henry Lintot; for A. Millar, 1758.",London,530,male,1709,1785,FALSE,"/favenger's rate , or to., the repairs of the highways, and shall duly pay the same, shall be deemed to be fettled thereby. 9 G. C 7 f 6 9 An. Paying to the county bridge gains no settlement , for there all the county is liable, and he pays"
