PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(alon),termFreq(appear),termFreq(arm),termFreq(art),termFreq(beauti),termFreq(care),termFreq(charm),termFreq(death),termFreq(earth),termFreq(face),termFreq(fall),termFreq(fate),termFreq(fear),termFreq(fight),termFreq(flow),termFreq(form),termFreq(foul),termFreq(friend),termFreq(glori),termFreq(god),termFreq(grace),termFreq(hand),termFreq(happi),termFreq(head),termFreq(hear),termFreq(heart),termFreq(heaven),termFreq(hope),termFreq(hour),termFreq(joi),termFreq(king),termFreq(know),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mind),termFreq(natur),termFreq(night),termFreq(onc),termFreq(pain),termFreq(peac),termFreq(plain),termFreq(power),termFreq(prais),termFreq(ring),termFreq(round),termFreq(song),termFreq(sweet),termFreq(tear),termFreq(thought),termFreq(turn),termFreq(vain),termFreq(view),termFreq(virtu),termFreq(voic),termFreq(world),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0664600600_000038,"Clio: or, a secret history of the life and amours Of the Late celebrated Mrs. S---n---m. Written by Herself, in a Letter to Hillarius.",Martha Sansom,97,0,2,0,4,1,4,0,3,3,1,1,1,0,3,0,2,1,0,0,0,2,2,1,3,0,2,4,2,1,2,2,0,2,5,0,1,8,2,1,2,1,1,0,0,2,0,0,1,1,9,1,5,0,2,1,0,2,3,0,1752,1,1,"London : printed for M. Cooper, in Pater-Noster-Row, 1752.",London,216,female,1690,1736,FALSE,"the enchanting Hillarius; all my Senses are yours, and my Iife itself only of your allowing. Would it were happy enough to bless you! would it were pawed with you, my Angel, and I should aflk no other Heaven ! how should I be eternally adoring you to my last"
0560001000_000036,"Poems by Mr. Thomas Blacklock. To which is prefix'd, an account of the life, character, and writings, of the author, by the Reverend Mr. Spence, Late Professor of Poetry, at Oxford.",Thomas Blacklock,82,1,2,0,1,1,0,0,3,0,3,0,0,4,0,0,1,1,0,1,1,1,0,3,0,1,1,2,3,4,1,0,0,1,3,1,1,2,0,3,1,3,1,1,0,1,1,0,2,5,3,3,0,0,1,4,3,4,2,1,1756,1,1,"London : printed for the author, by R. and J. Dodsley, in Pallmall, M.DCC.LVI. [1756].",London,305,male,1721,1791,FALSE,"even relucant envy hiss acclaim. BUT, ah! blind fate will no diftincion know ; 165 Swift down the torrent all alike must flow : * HOMER. Wit, Wit, virtue , learning, are alike its prey; All, all must tread th' irremeable way. No more fond withes in my breast shall"
1042701200_000003,Odes on several subjects.,Mark Akenside,84,1,2,0,1,2,1,3,3,1,1,0,0,1,0,0,2,1,0,4,0,2,1,1,0,0,2,1,1,0,7,2,0,1,1,1,0,3,2,4,0,1,3,2,0,6,2,0,3,5,2,1,0,0,0,1,1,2,2,1,1745,1,1,"London : printed for R. Dodsley at Tully's Head in Pall-Mall. And sold by M. Cooper in Pater-Noster-Row, 1745.",London,43,male,1721,1770,TRUE,"death bell groaning foun4 Renew my mind's oppressive gloom, Till starting horror shakes the room! Is there in nature no kind power To tooth affliction's lonely hour ? To blunt the edge of dire disease, And teach these wintery shades to please? C X Come Come, CHEERFULNESS, triumphant fair, Shine"
0262800600_000010,Original poems. On several occasions. By Miss Whateley.,"Darwall, Mary",90,1,0,0,0,0,1,7,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,3,1,0,1,5,1,0,3,2,0,1,1,1,0,7,6,3,1,1,3,1,1,3,2,1,1,1,4,1,4,1,3,2,1,1,0,6,1764,1,1,"[Dublin] : London: printed for R. and J. Dodsley ; and Dublin: re-printed for Jos. Sheppard, Bookseller, in Smock-Alley, near the Blind-Quay, MDCCLXIV. [1764].",Dublin,111,female,,,FALSE,"Hills and Woods with Echoes ring , I cheerless fill complain: f4 While [ 72 ] While Youths and Maids the Dance pursue Abflrated from the jocund Crew I mourn my absent Swain. Regardless of my fleecy Care , To yonder Row of Beeches fair My wandering Course I steer;"
0889800500_000041,"Ovid's Art of love. In three books. Together with his remedy of love. Translated into English verse, by several eminent hands. To which are added, The court of love and the history of love. With copperplates.",Ovid,75,0,2,1,0,2,2,0,2,0,1,1,1,2,1,1,3,1,0,1,1,0,0,3,1,1,1,2,0,1,1,0,0,2,2,1,0,9,0,2,1,2,2,1,0,1,2,1,0,2,2,0,1,2,0,1,1,1,3,4,1793,1,1,"London : printed for the booksellers, MDCC.XCIII. [1793].",London,192,male,43,1718,FALSE,"her hair, Her eyebrows darker, but her fore head fair, Straight is her nose; her eyes like emeralds bright; Her well m; ade cheeks are lovely red and white; Short is her mouth, her lips are made to kifs, Rosy and full, and prodigal of bliss; hier teeth like ivory"
0394201600_000043,The works in verse of Mark Akenside M.D.,Mark Akenside,90,1,2,0,1,3,1,2,4,1,2,0,0,1,1,0,1,1,0,3,0,3,0,2,0,0,2,1,3,0,5,3,0,0,1,1,0,5,4,4,0,1,4,0,0,8,2,0,2,3,2,1,2,0,1,0,1,2,2,1,1773,1,1,"Dublin : Thomas Ewing, 1773.",Dublin,387,male,1721,1770,TRUE,"your faithful breast To groundless fears a prey. Come, where with my prevailing lyre The skies, the streams, the groves conspire To charm your doubts away. VIII Throned in the fun's descending car, What power unseen diffufeth far This tenderefs of mind ? vwhat genius finiles on yonder flood? What"
0122703500_000003,Odes on several subjects.,Mark Akenside,78,1,2,0,1,2,1,3,2,1,1,0,0,1,0,0,2,1,0,3,0,3,1,0,0,0,2,1,1,0,4,2,0,0,1,1,0,3,2,4,0,1,4,2,0,6,2,0,3,2,2,1,1,0,1,1,1,3,2,0,1745,1,1,"London : printed for R. Dodsley, and sold by M. Cooper, 1745.",London,52,male,1721,1770,TRUE,"the tapers, urge the fire, And bid the joyletfs day retiree Alas, in vain I try.within. To raise the dull, dejeaed: scene, While roused by grief there fiery pains Tear the frail texture of my veins; While winter's voice , that storms around, And yon deep death bell groaning sound"
1013200202_000168,"The polite repository; or, amusing companion: a selection of tales, histories, adventures, anecdotes, from the best modern publications. With a variety of originals, Instructive and Entertaining we cull the choicest. ... . Part the First.",,87,0,2,2,1,1,3,0,5,0,0,2,0,1,2,0,2,4,1,0,0,1,1,2,1,0,2,1,2,1,1,3,0,0,0,2,1,7,5,4,0,0,0,2,2,4,1,0,2,0,4,3,0,1,1,4,1,0,0,2,1791,2,2,"London : printed for William Lane, at the Minerva. Scadenhall street, 1791-92.",London,584,unknown,,,FALSE,"my lids enclosed, And lulled, uncalled, my fearless soul to rest, Now leaves me, though invoked with tears , exposed To the sharp anguish of a troubled breast. No more the lark, ambassador of morn, Greets me with tidings of returning day; No more I hear the hunter's early horn,"
0134501500_000009,"Poems, dedicated, by permission, to The Right Honourable the Countess Fitzwilliam. By S. Pearson.","Pearson, Susanna",81,0,0,0,2,2,3,0,2,0,1,1,1,1,0,0,2,0,0,1,1,0,4,1,0,3,1,2,1,0,1,1,0,0,3,2,0,4,3,1,1,0,2,1,1,4,0,0,3,1,6,3,1,0,1,1,3,5,2,2,1790,1,1,"Sheffield : printed by J. Gales, and may be had of G. G. J. and J. Robinson, Pater-Noster-Row; T. Cadell, in the Strand; and C. Forster, Poultry, London, M,DCC,XC. [1790].",Sheffield,65,female,,,FALSE,"anxious Mercy plans thy future peace . Perhaps, when her sweet voice shall harmonise The wild, discordant feelings of mankind, And Commerce rend, disdaining dark disguise, The sanguine wreathes that now her temples bind; benig ly bright, the social arts may seek Along thy glowing shores to build their fanes,"
0896000200_000010,"Life review'd: a poem; founded on reflections upon the silent inhabitants of the church yard of Truro, in the County of Cornwall, With an elogy on the late Rev. Mr. Samuel Walker, Who was Many Years Curate of that Borough. To which are added, the Lord's Prayer, Creed, and Ten Commandments. Paraphrased, &c. By E. Smith.","Smith, Elizabeth, of Birmingham",82,1,1,1,1,0,2,3,1,2,1,1,0,1,0,0,1,1,0,1,2,2,9,1,0,0,0,1,5,1,5,2,1,1,3,3,1,1,3,1,0,0,1,2,0,3,0,1,1,1,1,1,2,3,2,2,1,0,0,1,1782,1,1,"Birmingham : printed for the author, by Pearson and Rollason, MDCCLXXXII. [1782].",Birmingham,146,female,,,FALSE,"all admit, Wore the keen Plume of double pointed. Wit; His varying Turns of Lively Humour brought Perpetual Food for Vacancy of Thought ; Which did a Banquet aptly store prepare, To kill the tedious Hours , and baffle Care ; * : E 2 By E 28, ] By"
0305800300_000004,The second part of Original poems: serious and humorous. By Mr. Henry Baker.,Henry Baker,76,2,2,1,3,1,2,3,3,1,2,0,2,1,1,0,0,1,0,0,2,1,1,0,2,2,0,1,2,0,1,4,1,1,2,0,1,6,2,1,0,0,2,2,1,2,1,1,3,1,2,1,0,2,0,1,0,1,1,0,1726,1,1,"London : printed for the author; and sold by J. Parker next the Cocoa-Tree in Pall-Mall ; T. Wotton, and T. Worral in Fleetstreet ; R. Franklin in Russel-Street, Covent-Garden ; J. Brotherton in Cornhill ; and J. Roberts in Warwick-Lane, [1726].",London,105,male,1698,1774,FALSE,"John's now baptising of his Son: And fiuts to Church before the foik,.. As proud as any turkey cock., The Table's. plentifully store, '' Anp cheerful Healths go round the Board. :; i4 - Th : The Guefis how pleased? I cannot say; They eat, and drank, and went their"
0297300104_000182,"The works of the late reverend and learned Isaac Watts, D.D. published by himself, and now collected into six volumes. In which are also inserted the second part of the Improvement of the mind, An essay on education, and some additions to his Miscellaneous thoughts in prose and verse. Now first published from his manuscripts, and, the Direction of his Will, revised and corrected by D. Jennings, D.D. and the late P. Doddridge, D.D. ...",Isaac Watts,94,1,1,1,3,2,1,1,4,2,1,3,1,0,1,0,0,2,0,0,2,5,3,1,0,1,1,4,3,1,0,3,1,1,2,3,2,10,2,3,2,2,2,1,0,3,0,0,1,2,3,0,1,0,2,0,0,1,2,0,1753,4,6,"London : printed for T. and T. Longman at the Ship, and J. Buckland at the Buck, in Pater-Noster-Row; J. Oswald at the Rose and Crown in the Poultry; J. Waugh at the Turk's-Head in Lombard-Street; and J. Ward at the King's-Arms in Cornhill, MDCCLIII. [1753].",London,714,male,1674,1748,TRUE,"every care , but love . II But hence, ye wanton young and fair, Mine is a purer fame; No Phillis shall inset the air , With her unhallowed name. III 7efus has all my powers poleft, My hopes , my fears , my joys : He, the dear Sovereign"
0332502100_000007,Poems on several occasions.,Thomas Moss,71,1,0,0,1,1,2,1,2,0,0,1,1,2,2,0,2,1,0,2,0,0,1,2,3,0,1,4,2,1,1,1,0,0,2,0,2,3,2,2,0,1,1,1,1,1,1,0,1,2,5,1,2,0,1,0,2,2,3,0,1769,1,1,"Wolverhampton : printed and sold by G. Smart; Mr. Longman, Pater-Noster-Row; and Mr. Dodsley, Pall-Mall, London, M.DCC.LXIX. [1769].",Wolverhampton,64,male,1738,1808,FALSE,"Oaks pretending Arms , I told my solitary Tales of Love , And wearied Echo with my Cynthia's Charms . Twas then the Streams flowed musical along, Twas then the Meadows wore a richer Bloom, Each feathered Warbler tuned a sweeter Song , And every Gale was loaded with Perfume."
0333301600_000028,"A collection of psalms and hymns. Published by John Wesley, M. A. Fellow of Lincoln College, Oxford; and and Charles Wesley, M. A. Student of Christ-Church, Oxford.",Charles Wesley,96,0,2,0,1,3,2,3,1,2,3,2,1,0,1,0,1,3,0,1,2,3,2,2,0,1,0,4,3,1,2,2,1,1,3,3,3,5,0,4,2,0,0,0,0,5,10,0,0,2,2,1,1,0,0,0,0,1,2,2,1743,1,1,"London : printed by W. Strahan: and sold at the Foundery near Upper Moorfields, [1743].",London,144,male,1707,1788,TRUE,"I T A RK, dullsoul, how everything Strives t' adore our bounteous King !. Each a double Tribute pays; Sings its Part, and then obeys. 2 Nature's fprightlieft, sweetest Choir; Him with cheerful Notes admire; Every Day they chant their Lauds,. While the Grove their Song applauds. 3 Though' their"
0113100300_000067,"Exercises for the memory and understanding: consisting of select pieces in prose & verse; together with a series of examinations relative to arts, science, and history. By Thomas & John Holland.","Holland, John",101,3,1,0,1,0,1,1,0,1,4,1,0,0,0,0,1,3,0,0,2,6,0,2,0,1,1,7,5,1,2,2,1,0,4,3,2,5,1,4,4,0,1,2,2,5,7,2,1,2,0,0,1,0,1,3,0,2,2,0,1798,1,1,"Manchester : printed at George Nicholson's office, 9, Spring-Gardens, 1798.",Manchester,534,male,1766,1826,FALSE,"solemn praise ; And when every blessing's flown, Love thee for thyself alone . 245 XXXIII Hail, great Creator, wise and good To thee our songs we raise; Nature through all her various scenes Invites us to thy praise . At morning, noon, and evening mild, Fresh wonders strike our"
0255300301_000028,"The miscellaneous works in prose and verse of Mrs. Elizabeth Rowe. The Greater Part now first published, by her Order, from her Original Manuscripts, By Mr. Theophilus Rowe. To which are added, Poems on several occasions, by Mr. Thomas Rowe. And to the whole is prefix'd, An Account of the Lives and Writings of the Authors. In two volumes. ...","Rowe, Thomas",81,1,0,1,0,1,2,2,4,2,1,0,0,1,1,0,1,0,0,1,0,1,1,1,4,0,2,3,2,1,2,4,0,0,1,1,2,4,3,0,1,0,1,2,1,1,2,0,2,4,0,1,4,0,2,3,4,1,2,0,1739,1,2,"London : printed for R. Hett, at the Bible and Crown in the Poultry; and R. Dodsley, at Tully's-Head in Pall-Mall, MDCCXXXIX. [1739].",London,400,male,1687,1715,FALSE,"by fame, with pleasure compafs'd round , Unhurt you traverse this enchanted ground, To heaven with faintlefs speed your course pursue, Nor can the gaudy scene from heaven divert your view . And when this darling theme your tongue employs, Seraphic notions rule your charming voice , We hear an"
0628801001_000052,"American poems, selected and original. Vol. I.",,81,3,0,0,2,0,6,0,5,0,1,2,1,0,1,0,4,4,1,0,1,2,2,1,2,0,1,3,1,1,2,2,0,2,0,2,0,3,0,2,2,1,2,0,2,3,1,0,2,3,2,4,0,1,0,0,1,0,0,0,1793,1,1,"Litchfield [Conn.] : Printed by Collier and Buel. (The copy-right secured as the act directs.), [1793].",Litchfield,320,unknown,,,FALSE,"foul's delight, To tread the lonely silent vale, And "" drink the spirit of he gale : "" Or when the cloudless moon on high, Beamed forth her radiance from the sky: To wander over the airy hill, Where pattering falls the lucid rill; And see the wild flowers lhining"
0381000115_000018,Bell's classical arrangement of fugitive poetry. Vol. XV.,,78,2,1,0,0,3,0,1,0,3,1,1,1,1,2,0,2,0,0,3,1,2,0,1,0,1,1,1,2,0,2,0,2,0,0,1,1,4,1,2,1,0,2,1,1,1,3,1,1,5,3,2,0,1,2,0,6,3,2,0,1792,15,15,"London : printed by John Bell, British Library, Strand, Bookseller to His Royal Highness the Prince of Wales, MDCCXCII. [1792].",London,169,unknown,,,FALSE,"due: Who loves the Muse, deserves the Muse's love : Then raise thy numbers high, Sound out her glory to the throne of Jove, Spread the glad voice through all the ambient sky, From the dull marble vindicate her praise , And waft it down to lighten future days. Ye"
0543902000_000006,Eloisa to Abelard. Written by Mr. Pope.,Alexander Pope,83,0,2,0,2,2,1,1,3,2,2,1,2,3,0,0,1,2,0,1,1,0,3,0,1,1,1,2,3,0,0,3,0,0,2,1,1,10,1,0,0,1,0,0,2,1,2,0,1,0,1,2,2,1,1,0,3,3,1,7,1720,1,1,"London : printed for Bernard Lintot, at the Cross-Keys between the Temple-Gates in Fleet-Street, MDCCXX. [1720] [1719].",London,61,male,1688,1744,TRUE,"your said airsand bless the ihepherd's name There to the tender lute attune your voe, While hyacinths, and myrtles round you grow. So may Sylvanus ever tend your bowers! And Zephyr brush the mildew from the flowers! Bid all the ivans from Cam and ijis haste, In the melodious choir"
0273001300_000019,"The juvenile speaker: or dialogues, and miscellaneous pieces in prose and verse; for the instruction of youth, in the art of reading. By the author of The polite reasoner.","Weightman, Mary",83,2,0,1,0,1,3,1,3,2,1,1,3,1,1,0,2,3,0,1,0,2,2,1,0,1,1,3,3,4,1,4,1,3,1,1,2,5,2,1,0,0,1,1,1,5,0,0,1,1,3,0,1,0,0,0,2,1,2,0,1787,1,1,"London : printed for W. Bent, Pater noster Row, MDCCLXXXVII. [1787].",London,131,female,,,FALSE,"and day, are fled, And every care , but love . F 4 But Bu t hence, ye wanton, young, and fair, Mine is a purer flame; No Phillis shall insea the air , With her unhallowed name. Jesus has all my powers pos'ei'd, My hopes , my fears ,"
0290700200_000011,Juvenile poems on various subjects. By George Roberts.,"Roberts, George, Poet",107,0,1,0,3,2,7,2,8,4,0,2,0,0,1,0,2,1,0,1,0,1,3,0,6,0,0,3,5,1,4,4,0,0,1,0,2,12,3,1,1,1,3,1,0,1,1,0,1,0,2,1,0,0,5,1,1,0,1,7,1763,1,1,"Limerick : printed for the author by John Cherry, MDCCLXIII. [1763].",Limerick,179,unknown,,,FALSE,"impatient of his stay, Snatched him to cidown him In the Realms of Day; Heaven too revere! to take the Royal Youth , W'he World's Example of Valour, andes Truth. Put hold, my Muae, let not this Female Tear ; Though' due, and pious, find Acceptance here; Wlhile British irms"
0590000400_000021,Love tales and elegies: interspersed with pastorals and other curious poems. Selected from the best authors. With several valuable originals.,,87,1,1,1,2,1,4,1,6,0,1,1,3,1,1,0,1,1,0,2,0,0,3,3,1,0,1,3,0,0,4,5,1,0,1,1,0,12,1,3,0,2,1,1,0,2,1,0,1,1,3,4,0,0,0,0,1,0,1,2,1775,1,1,"London : printed for J. Wenman, No 144, Fleet-Street, MDCCLXXV. [1775].",London,193,unknown,,,FALSE,"Cold is that breast which warmed the world before, And those love darting eyes muff roll no more. Thus if eternal justice rules the ball, Thus Shall your wives, and thus your children fall : On all the line a sudden vengeance waits, And frequent hearses (hall besiege your gates;"
0107100300_000033,"The speaker: or, miscellaneous pieces, selected from the best English writers, and disposed under proper heads, with a view to facilitate the improvement of youth in reading and speaking. To which is prefixed An essay on elocution. By William Enfield, LL. D. Lecturer on the Belles Lettres in the Academy at Warrington.",William Enfield,77,0,2,0,0,1,1,0,2,0,1,0,1,4,0,0,2,0,0,2,2,0,1,0,1,0,1,1,2,0,2,4,0,1,4,0,2,2,5,6,0,1,3,2,1,0,2,1,1,2,1,1,1,1,2,0,6,1,1,0,1780,1,1,"London : printed for Joseph Johnson, St. Paul's Church-Yard, MDCCLXXIV. [1774] [1780].",London,459,male,1741,1797,FALSE,"soul Miuf rise fromn Individual to the Whole. self- love but serves the virtuous mind to wake, /: the small pebble stirs the peaceful lake; [ j3 Thi The centre moved, a circle Itrait succeeds, Another till, and still another spreads; Friend , parent, neighbour, first it will embrace; His"
0261800800_000038,"Important directions how to spend every day, and particularly the Lord's day. Chiefly collected from the Rev. Mr. Baxter and Dr. Doddridge, With Prayers for the Morning and Evening in the Closet and in the Family. To which are added (by permission) extracts from the Rev. Dr. Young on the Last Day, on the Importance of Time, and on the Cure of Death. With A Collection of Poems, Psalms and Hymns, from the Rev. Dr. Watts, and others of the most considerable Authors.",,109,0,0,0,2,0,0,4,4,1,2,1,0,0,3,0,3,2,0,1,3,11,5,2,3,0,0,2,7,2,0,5,0,1,3,0,2,7,1,2,2,0,4,2,0,2,3,0,1,0,0,1,2,0,3,1,1,0,3,5,1748,1,1,"London : printed by W. Strahan: and sold by J. Buckland, at the Buck in Pater-Noster Row, MDCCXLVIII. [1748].",London,181,unknown,,,FALSE,"prieftsito GOD ,. 5 Shield us with thy protecting graces And crown our future days with peace .; Then hall our tongues thy praise proclaim,. And spread the glories of thy name. 6 Keep us this day unstained with sin,. At night let all be calm within; On us with"
0149005200_000005,"Miscellaneous pieces, in verse and prose, by Theodosia.",Anne Steele,104,3,1,1,2,2,3,5,6,0,1,2,0,0,0,1,0,3,0,1,0,0,2,2,2,0,1,11,1,5,4,4,0,0,2,0,0,1,6,2,0,1,0,0,0,4,2,0,0,1,4,1,2,0,6,3,3,0,1,2,1780,1,1,"Bristol : printed by W. Pine. Sold by T. Cadell, T. Mills, and T. Evans; - and by J. Buckland, Pater-Noster-Row, and J. Johnson, St. Paul's Church Yard, London, 1780.",Bristol,247,female,1717,1778,FALSE,in my heart ! Inspired to praise I then fhalljoin Glad nature's cheerful song : And love and gratitude divine Attune my joyful tongue. B 4 The [s] The SICKLY MIND . HERE are the happy moments fled? Where are the joys that once were mine? When meditation kindly spread
0447700800_000013,Poems by Lady Tuite.,"Tuite (Eliza Dorothea), Lady           1764",92,3,1,0,0,3,3,2,2,0,0,1,0,1,1,0,1,2,0,3,0,1,2,2,1,1,1,6,2,4,4,0,0,0,2,0,3,2,2,5,0,0,4,1,0,3,2,0,1,1,1,3,1,2,5,2,3,0,2,0,1796,1,1,"London : printed for T. Cadell, jun. and W. Davies, (successors to Mr. Cadell), Strand, 1796.",London,203,female,,,FALSE,"TURN , wandering firanger, to this lowly cell, By pride unnoticed, and to fame unknown; For here Content does with an Hermit dwell, By noise disgusted, and from greatness flown. Here calm Releftion cheers the lonely hour , And (should Remembrance wake the finother'd sigh, Then) grateful Hope points upward"
0579800306_000018,"The poetical calendar. Containing a collection of scarce and valuable pieces of poetry: With Variety of originals and translations, by the most eminent hands. Intended as a supplement to Mr. Dodsley's collection. Written and selected by Francis Fawkes, M. A. and William Woty. In twelve volumes.",William Woty,93,5,0,1,1,0,0,3,3,1,1,1,0,0,0,0,1,0,0,0,1,0,6,1,1,1,0,1,3,1,3,3,4,2,2,0,2,11,1,2,0,1,0,0,1,4,4,2,0,2,2,0,2,2,1,0,5,2,0,3,1763,6,12,"London : printed by Dryden Leach; for J. Coote, at the King's Arms, in Pater-Noster-Row, MDCCLXIII. [1763].",London,126,male,1731,1791,FALSE,"throng, Around your favourite Helicon, And with your pretence grace Britannia's shades. A I R. By Tempe's green groves, By the Graces and Loves ; By your numbers divine; By the notes ye refine: Descend, sweet nymphs; descend, and sing The natal day of Britain's king . RECITATIVE. Again the"
0268500200_000005,"The unfortunate lovers; two admirable poems: extracted out of the celebrated letters of Abeland and Eloisa. Two of the most remarkable Persons of their Time, For Learning, Wit, and Genius. One written by Mr. Pope. The other, in answer to it by Lady M-. With a Preface, giving a short Account of their personal Characters, &c. To which is added, A letter from fair Rosamond to K. Henry II.",,103,1,4,0,1,1,0,3,2,1,2,0,3,2,0,2,1,4,0,0,0,1,3,1,0,0,1,11,4,2,2,1,0,1,1,1,0,16,4,0,1,3,1,2,0,3,0,0,1,0,1,6,1,1,1,2,1,0,2,1,1756,1,1,"London : printed and sold at the pamphlet-shops, M.DCC.LVI. [1756].",London,29,unknown,,,FALSE,"thy dear image in my broken heart : My tortured soul conflicing passions move, I hope , despair, repent -- yet still I love . A thousand jarring thoughts my bosom tears For thou, not God , 0 Eloif art there. To the FALSE world's deluding pleasure dead, Nor longer"
0535400801_000019,"Poems on subjects chiefly devotional. In two volumes. A new edition. To which is added, a third volume, consisting of miscellaneous pieces. By Theodosia.",Anne Steele,84,0,1,0,1,0,2,2,3,1,1,3,0,0,3,0,0,0,1,0,4,1,2,1,2,0,0,5,2,2,1,5,1,1,2,0,2,6,1,2,3,0,2,2,0,3,3,1,1,2,3,0,1,0,3,0,0,1,1,0,1780,1,3,"Bristol : printed by W. Pine. Sold by T. Cadell, T. Mills, and T. Evans; - and by J. Buckland, Paternoster-Row, and J. Johnson, St. Paul's Church Yard, London, 1780.",Bristol,263,female,1717,1778,FALSE,"brow, And vietory waits his arms . III But see my glorious Leader nigh!' My Lord, my Saviour lives ; Before him death's pale terrors fly, And my faint heart revives. IV Jesus, [ 154 ] IV Jesus, be thou my sure defence, My guard for ever near; And faith"
0836100204_000046,"Old ballads, historical and narrative, with some of modern date; now first collected, and reprinted from rare copies and Mss. With notes. By Thomas Evans. ...","Evans, Thomas",83,0,0,0,1,2,1,3,3,0,0,1,1,1,2,0,0,2,0,2,0,1,2,0,2,2,3,5,1,3,1,4,0,1,1,0,0,6,4,1,1,0,2,2,1,0,1,1,1,0,1,4,2,1,3,2,0,1,0,4,1784,4,4,"[London] : Printed for T. Evans, in the Strand, MDCCLXXXIV. [1784].",London,343,male,1742,1784,FALSE,"repose, He looked about and missed his clothes, And saw her rags left in the room, How he did storm, and fret and fume! Yet wanting clothes and friends in town, Her ragged petticoat and gown, He did put on, and mounting strait, Bemoaned his unhappy fate . You would"
0847200300_000044,"A collection of hymns and sacred poems, in two parts. By James Fordyce.",James Fordyce,88,3,0,4,0,1,1,4,0,3,2,0,1,0,1,0,2,2,0,3,0,1,1,3,1,1,0,3,2,1,4,1,0,0,5,3,1,2,2,1,2,0,3,1,1,4,1,0,0,1,1,5,1,0,0,0,4,2,1,2,1789,1,1,"Edinburgh : printed for the publisher, MDCCLXXXIX. [1789].",Edinburgh,262,male,1720,1796,FALSE,"thy command the fun and, moon appeared : By' thee the wheels of time do daily run, While heavenly roads are measure by the fun: The foaming. brine confess thy mighty sway, And wind and ftorns their Maker's voice obey: By ( 236) By thee, the lofty pines expand and"
0646801300_000032,"The warbling muses, or treasure of lyric poetry: containing seven hundred and thirty-one songs, on all Sorts of Subjects, and in every Measure of Verse; a great Many of them from Manuscripts, and scarce any found in the Collections. Compiled for the Use of Musical Composers; as likewise for the Entertainment of Youth in our polite Schools. By Benjamin Wakefield, Esq; Being the first Attempt of this Kind.",,94,2,0,1,2,5,1,3,2,3,2,1,0,1,0,0,1,2,0,0,0,1,1,0,0,1,0,3,2,0,1,1,0,1,1,4,5,9,1,0,2,2,1,3,0,2,1,1,0,10,2,0,1,1,1,0,0,5,4,1,1749,1,1,"London : printed for G. Woodfall at the King's-Arms, near Craig's Court, Charing-Cross, MDCCXLIX. [1749].",London,311,unknown,,,FALSE,"and Death attend on War and Spoil, Unsated Vengeance and remorfe!efs Rage. purchase Spoil even Love ites is sold; Her Lover's Heart is least Amanda's Care ; ad 1 through' War must seek detelled Gold, Not for myself, but for my venal Fair: That ( 142) That while Ihe bends"
1577901701_000029,"Apollo: or, The Songster's Universal Library. Being a collection of all the new and old songs on love, mirth, war, hunting, and drinking. Likewise, the pastoral ballads, loyal and sea songs, duetts, cantatas, &c. Contained in the several theatrical pieces and oratorios, or those sung at the gardens in these kingdoms. Interspersed with many original Irish, English, and Scotch songs, of mirth and oddity, that have hitherto been only handed about incorrectly in manuscript. First part of vol. I.",,92,5,1,2,3,1,1,0,1,2,1,0,0,1,3,1,0,1,0,1,0,1,0,2,1,0,0,6,2,0,2,3,0,1,2,2,0,13,1,0,2,0,1,1,1,6,0,1,3,2,2,1,1,0,0,1,6,2,0,2,1775,1,1,"Dublin : Printed by James Hoey, Jun. at the Mercury, [1775?].",Dublin,152,unknown,,,FALSE,"of love with ZOREB send me! lyssa. "" With him your heart new woes would prove. ZAIDA. "" I fear no woes with him I love . moroc. "" Away with love and fond desires"" "" rage with all thy fires."" Recif. LY ss, depart this is no hour for"
1024000300_000097,"The english reader: or, pieces in prose and poetry, selected from the best writers, designed to assist young persons to read with propriety and effect; to Improve their Language and Sentiments; and to Inculcate some of the Most Important Principles of Piety and Virtue. With a few preliminary Observations on the Principles of Good Reading. By Lindley Murray, Author of ``english Grammar Adapted to the Different Classes of Learners,'' &c.",,86,3,2,0,0,2,1,0,1,1,3,0,2,1,0,0,1,5,0,2,0,2,2,2,0,2,0,2,5,0,0,2,1,2,1,2,0,4,1,3,1,1,0,1,3,2,8,1,2,0,1,1,2,0,1,0,1,3,2,1,1799,1,1,"London : printed for T.N. Longman and O. Rees, Paternoster-Row; Darton and Harvey, Gracechurch-Street; and Wilson, Spence, and Mawman, York, 1799.",London,394,unknown,,,FALSE,"unpitied and alone . When first thy Sire to send on earth Virtue , his darling child, designed, To thee he gave the heavenly birth, And bade to form her infant mind . Stern rugged nurfc! thy rigid lor. Will patience manry a year fly bore. What sorrow was, thou"
