PassageID,Title,Author,Total termFreq,termFreq(agreeabl),termFreq(answer),termFreq(attent),termFreq(ball),termFreq(believ),termFreq(better),termFreq(brother),termFreq(certainli),termFreq(convers),termFreq(cri),termFreq(dai),termFreq(danc),termFreq(daughter),termFreq(even),termFreq(famili),termFreq(feel),termFreq(felt),termFreq(friend),termFreq(girl),termFreq(happi),termFreq(have),termFreq(hear),termFreq(heard),termFreq(herself),termFreq(hope),termFreq(hous),termFreq(ill),termFreq(know),termFreq(ladi),termFreq(leav),termFreq(littl),termFreq(long),termFreq(love),termFreq(manner),termFreq(mean),termFreq(miss),termFreq(mother),termFreq(parti),termFreq(pleasur),termFreq(pride),termFreq(quit),termFreq(realli),termFreq(repli),termFreq(room),termFreq(saw),termFreq(sir),termFreq(sister),termFreq(speak),termFreq(sure),termFreq(think),termFreq(thought),termFreq(time),termFreq(wish),termFreq(woman),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0147103801_000027,"Robert and Adela: or, the rights of women best maintained by the sentiments of nature. In Two Volumes, ...",,71,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,1,0,2,1,2,5,1,0,2,1,2,0,2,4,4,0,0,0,0,1,0,4,0,2,1,1,1,2,2,3,1,3,1,1,7,5,0,0,2,0,0,1795,1,2,"Dublin : printed for P. Byrne, P. Wogan, W. Jones, and G. Folingsby, 1795.",Dublin,312,unknown,,,FALSE,"ever saw her but in the presence of my mother . I conducted Adela to Salens. I never saw a more interesting object than the Countess de Mont morin. She was handfomne, you remember when we law her in the convent: but three years have transformed the unfinihied girl into"
0509300802_000019,"Louisa. A novel, in two volumes. By the author of Melissa and Marcia ; or, the sisters. ...","Hervey, Elizabeth",71,1,1,1,1,2,1,0,1,1,2,1,0,3,0,4,0,1,2,1,1,7,0,0,1,0,0,0,3,3,2,2,1,1,0,0,1,4,0,0,0,1,0,1,0,1,6,0,1,1,2,2,3,2,1,0,1,1790,2,2,"Dublin : printed for P. Wogan, P. Byrne, J. Moore, J. Jones, Grueber and McAllister, and W. Jones, 1790.",Dublin,322,female,1748,1820,FALSE,"who thought that Mrs. Dinley, so far from seeming alhamned of the part ihe had acted, appeared rather in her narration, to value herielf upon her cleverness, interrupted her. I flould imagine,"" said she, "" that amidst .these torments, the voice of conscience, must be the most troublesome of all;"
0423900303_000010,"Agitation: or, memoirs of George Woodford and Lady Emma Melvill. In three volumes. Dedicated (by permission) to the Honourable Mrs. Lionel Damer. By the author of The ring, and The false friends. ...",Author of The ring,106,1,2,2,0,0,0,3,2,1,1,3,0,1,1,2,0,1,4,0,0,2,0,1,1,0,2,1,5,28,2,0,0,1,1,2,4,0,2,0,1,0,0,2,2,0,11,0,2,0,5,1,3,2,0,0,1,1788,3,3,"London : printed for J. Barker, Russell-Court Drury-Lane, [1788?].",London,219,unknown,,,FALSE,"room . The Boltons were equally affected, but all attributed his sudden departure to the right cause, namely, that he was known to some of the E 3 party party that entered the ballroom. Lady Bolton, laving left her daughter alone for an hour, then went up to her with"
0022600302_000020,The errors of education. In two volumes. By Mrs. Parsons. Dedicated (by Permission) to the Right Hon. the Countess of Hillsborough. ...,Eliza Parsons,67,1,0,0,0,0,1,1,0,1,1,5,0,1,2,0,3,1,1,2,1,5,0,0,1,2,0,0,1,6,0,3,0,0,2,1,4,1,0,1,0,0,1,3,0,2,2,1,0,1,3,2,1,0,1,2,0,1792,2,2,"Dublin : printed for T. Jackson, No. 23, Parliament-Street, MDCCXCII. [1792].",Dublin,226,female,1738,1811,TRUE,"his lordship appeared more pleated that his niece had obtained her freedom by the unhappy man's death, than concerned for his untimely fate he made but a short visit that he might return and write his mother what he called such desirable intelligence. Mils Mayhank felt a little difguffed at"
0049502100_000002,"Stella; translated from the German of M. Goethe, Author of the Sorrows of Werter, &c. &c.",Johann Wolfgang von Goethe,78,1,0,0,0,0,1,0,1,0,2,3,0,3,0,1,0,1,0,3,1,6,1,2,1,0,2,0,3,4,2,2,0,6,1,0,0,2,0,1,0,2,1,0,2,1,0,0,1,2,1,0,6,1,5,2,4,1798,1,1,"London : printed for Hookham and Carpenter, No. 14, Old Bond Street, 1798.",London,118,male,1749,1832,TRUE,"his love made every place amusing, and every trifle interesting! LUCY. Certainly nothing is so pleasant as travelling. MRS. SUMMERS. And after a hot day in summer, or bad roads in winter, when we came into many B 4 much much worse inns than this, and felt the simple pleasure"
0016000301_000017,"He deceives himself. A domestic tale, in three volumes. By Marianne Chambers, Daughter of the late Mr. Charles Chambers, Many Years in the Service of the Hon. East-India Company, and unfortunately lost in the Winterton. ...","Chambers, Miss (Marianne)",75,0,0,0,0,2,0,1,0,1,1,3,0,2,1,5,2,0,3,0,2,6,1,4,1,1,0,0,2,3,1,0,1,1,0,2,2,9,1,1,0,2,0,1,1,1,1,0,1,1,0,1,4,1,1,0,1,1799,1,3,"London : printed for C. Dilly, in the Poultry, 1799.",London,313,female,,,FALSE,"truth of what I have said; do you hear ?"" he cried , "" do not forget it,"" as he went out at the gate. CHAP. VII CHAP. VII ANGELINA remained a few days longer at the rectory; and, one morning while they were at work, the conversation turned on"
0310901103_000023,"The abbey of Saint Asaph. A novel. In three volumes. By the author of Madeline, of [sic] the castle of Montgomery. ...",Isabella Kelly,74,0,0,0,0,2,1,9,2,2,3,0,0,0,1,1,3,0,5,2,1,5,0,0,1,6,1,0,0,2,1,1,0,2,0,0,2,0,0,2,0,0,0,6,0,1,2,3,1,1,0,0,1,1,1,0,2,1795,3,3,"London : printed for William Lane, at the Minerva-Press, 1795.",London,198,female,1759,1857,FALSE,"his arms, with all the tenderness of a parent, requested the might ever confider him as a father, and a friend , anxious to promote her happiness , and desiring lhe might draw upon his affecetion and fortune, for every wish his power could accomplish, he presented her a note"
0017100101_000010,"The history of Sir Charles Grandison. In a series of letters. By Mr Samuel Richardson, Author of Pamela and Clarissa. In eight volumes. ...",Samuel Richardson,67,3,0,0,1,2,2,0,0,0,0,0,1,4,1,0,0,0,2,2,0,4,3,0,2,1,0,0,1,9,0,2,1,1,0,1,2,3,2,3,1,0,0,0,0,1,0,1,0,2,2,0,2,0,1,0,4,1776,1,8,"London : printed for John Donaldson, corner of Arundel-Street, No. 195. in the Strand. Sold by T. Wilson, at York: A. Smith, Halifax; D. Akenhead, Newcastle: W. Darling, Edinburgh: W. Boyd, Dumfries: W. Anderson, Stirling: Angus and Son, Aberdeen: and L. Flin, Dublin, M,DCC,LXXVI. [1776].",London,359,male,1689,1761,TRUE,"reasons, since ihe gave any; and then you had not been troubled with the impertinent remarks of your saucy kinswoman. Lady Betty was so kind as to take great notice of me. She desired to be one in every party of pleasure that I am to be engaged in. Persons"
0032700103_000036,"Exhibitions of the heart; a novel, in four volumes. Dedicated (by Permission) to The Queen. by Miss Hutchinson. ...","Hutchinson, Miss (A. A)",70,0,1,3,1,0,1,3,0,1,1,0,0,3,2,0,1,1,0,1,1,1,0,0,0,2,0,0,1,1,1,3,1,3,0,0,1,7,1,1,0,1,0,4,4,0,3,0,1,0,0,1,3,3,2,0,5,1799,3,4,"London : printed for the author, and sold by G. Kearsley, Fleet-Street. 1799. T. Davison, printer, Lombard-Street, Fleet-Street, [1799].",London,314,female,,,FALSE,"invented a thousand innocent stratagems, which her mother premeditately or ( 232) or by accident frustrated. The dinner hour she knew was approaching; though, comparatively speaking , the minutes lengthened into. hours until her ardent wishes were gratified -- -"" Confess, my dear Jessy,"" said Lady Beaufort, as Mrs. Montgomery"
0881900703_000032,Lord Fitzhenry: A novel. By Miss Gunning. In three volumes. ...,Elizabeth Gunning,60,0,0,2,0,1,1,1,0,1,2,1,0,4,0,2,1,2,0,0,2,3,0,1,0,1,0,0,3,6,0,1,1,2,0,1,0,4,1,0,0,1,0,3,1,2,0,1,2,1,1,1,0,1,0,1,1,1794,3,3,"London : printed for J. Bell, No. 148, Oxford-Street, MDCCXCIV. [1794].",London,277,female,1769,1823,FALSE,"the Countess by Fitzhenry, who whispered his mother ""as ihe affetionately embraced her She J She is now only your niece, I shall he wretched until you receive her as a daughter . He did not speak so low but that his lovely cousin heard what he said; her fair"
0238200401_000036,"Eleonora, a novel, in a series of letters ; written by a female inhabitant of Leeds in Yorkshire. ...","Gomersall, A.",61,0,1,2,0,0,0,0,0,1,1,4,0,2,1,2,1,0,0,1,2,4,3,1,2,0,1,0,0,7,0,0,2,0,1,1,3,0,0,2,1,1,0,0,2,1,3,1,1,0,1,2,0,1,1,1,0,1789,1,2,"London : printed for the authoress, by the Literary Society at the Logographic Press, and sold by J. Walter, No. 169, Piccadilly; and W. Richardson, Royal-Exchange, [1789].",London,269,unknown,,,FALSE,""" with dheir avarice and arrogance. "" But I beg your pardon, Sir , I am keep"" "" you from your company, and you < have been detained from them too long C already: as my spirits are too much disc, composed to allow me to return to the """
0552300400_000006,The juvenile tatler. By a society of young ladies. Under the tuition of Mrs. Teachwell.,Ellenor Fenn,98,2,0,3,3,0,0,0,0,2,0,0,0,1,0,0,1,0,3,0,2,2,3,1,1,2,0,0,3,7,0,1,0,2,1,1,25,1,0,0,0,0,0,0,2,1,16,2,1,0,4,1,0,0,3,0,1,1790,1,1,"London : printed by and for John Marshall No. 4, Aldermary Church-Yard, Bow-Lane; And NO. 17, Queen-Street, Cheapside, 1790.",London,95,female,1743,1813,FALSE,"similar to that of his friend , embellished with such personal accompliihments and vivacity, as recommended him to immediate notice from the young , the gay, and the thoughtless, i.ldependant of his good qualities. There two gentlemen were engaged in conversation in the corner of a public room at Bath,"
0022600302_000006,The errors of education. In two volumes. By Mrs. Parsons. Dedicated (by Permission) to the Right Hon. the Countess of Hillsborough. ...,Eliza Parsons,87,0,2,1,0,3,1,1,0,0,1,1,1,0,2,0,1,1,1,1,0,4,0,1,2,1,0,0,2,19,2,5,2,0,1,0,8,1,0,2,0,1,1,5,2,1,4,0,0,0,0,1,0,1,1,1,2,1792,2,2,"Dublin : printed for T. Jackson, No. 23, Parliament-Street, MDCCXCII. [1792].",Dublin,226,female,1738,1811,TRUE,"address were elegant and pleasing; 1f I wonder, said she, from what part of the world this gentleman is emerged, for he is totally unlike the pretty fellows that crowd public places; he is.polite and well-bred without being. a coxcomb."" "" I believe , answered Sir Edward,, he is but"
0013300401_000009,"Plexippus: or, the aspiring plebeian. ...",Richard Graves,85,0,0,1,0,3,1,0,2,0,2,1,1,2,1,2,1,0,1,2,2,10,1,0,1,1,0,0,3,5,0,2,0,0,1,2,6,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,2,6,5,9,1790,1,2,"London : printed for J. Dodsley, Pall-Mall, M.DCC.XC. [1790].",London,235,male,1715,1804,FALSE,"good characer of you for sobriety and good behaviour, has' made proposals, and offered you his only daughter , to whom he will give, first and last, ten or twelve thousand pounds. She is a very pretty, discreet, and a very religious young woman , and, I don't doubt, will"
0192500702_000027,"Clara Lennox; or, the distressed widow. A novel. Founded on facts. Interspersed with an historical description of The Isle of Man. By Mrs. Lee. Dedicated, by Permission, to H. R. H. The Duchess of York. In two volumes. ...","Lee, Margaret",72,4,1,1,1,2,0,0,0,0,1,1,1,1,1,0,3,0,2,2,3,8,1,0,1,4,0,0,2,3,1,5,0,3,1,0,4,1,0,2,0,0,0,0,3,0,1,0,0,0,2,1,1,1,1,1,1,1797,2,2,"London : printed for the authoress, by J. Adlard, No. 39, Duke-Street, West Smithfield ; and sold by J. Parsons, No. 21, Paternoster-Row, 1797.",London,232,female,,,FALSE,"another message was brought me, from the charming Lady Angelina, to attend her. 1 immediately waited on her ladyship, and, on sending up my name, was admitted to her dreffing room but never did I see beauty in so graceful an attitude as I entered the the room , she"
0947200603_000012,"The history of Sir William Harrington. Written some years since, and revised and corrected by the late Mr Richardson, ... In four volumes. ...",,73,0,2,0,0,2,0,2,2,0,0,0,0,2,2,4,0,0,3,1,3,12,1,0,0,1,0,1,0,4,1,1,0,3,1,0,5,0,0,1,1,1,2,1,0,0,5,4,0,0,1,2,0,1,1,0,0,1772,3,4,"London : printed for John Bell, and C. Etherington at York, 1772.",London,261,unknown,,,FALSE,"deserve, by my troth, replied the Earl, for really your great beauties are a malicious fct of creatures. Not such as you, daughter , daughter , and Miss Hairington, you arc handsome but you are good too. A charming man this old Earl, he lets slip no occasion which offers,"
0036400102_000025,"The way to lose him; or, the history of Miss Wyndham. By the author of The way to please him.",Author of The way to please him,73,0,1,0,0,0,0,0,0,0,1,0,1,5,0,3,0,1,1,2,2,8,1,1,0,3,1,1,2,3,1,2,1,2,2,0,1,5,0,0,0,2,0,3,3,0,8,1,0,0,1,1,1,0,1,1,0,1773,2,2,"London : printed for F. and J. Noble, at their respective circulating libraries, near Middle Row, Holborn, and Saint Mary's Court, near Leicester Square, MDCCLXXIII. [1773].",London,233,unknown,,,FALSE,"the most painful suspense. I am sometimes, however, firmly resolved not to return that favour which you and I have , both, received from Lady Wyndhanm, by accepting of the unmerited honour which her son is desirous of conferring upon me. i am inexpressibly transported to know that I am"
0021600301_000021,"The wreath of friendship; or, a return from India. A novel, in a series of letters. In two volumes. ...",,78,1,1,1,2,1,1,0,0,1,0,1,9,0,4,0,0,0,2,1,1,8,1,0,1,1,0,0,1,7,1,2,1,2,0,1,4,0,1,1,0,2,0,0,2,1,2,0,1,2,1,3,2,2,0,1,1,1790,1,2,"Dublin : printed by P. Wogan, P. Byrne, J. Parker, W. M'Kenzie, J. Moore, J. Halpen, W. Jones, Gruber and M'allister, and D. Servant, M.DCC.XC. [1790].",Dublin,285,unknown,,,FALSE,"it; my profession has done much for me, and I was never aihamed of it in my life. Wherever I am known, I am known for an honeit man, and that is a great character as the world goes, more than all your men of quality can say. I beg"
0024200502_000045,"Lucy: a novel, in three volumes. By Mrs. Parsons. ...",Eliza Parsons,80,3,2,0,0,1,2,0,1,1,0,1,0,0,3,3,5,1,5,0,3,3,0,1,0,1,0,0,1,10,2,1,1,0,2,1,6,0,0,3,0,0,0,1,0,1,1,1,0,2,0,2,2,1,1,1,4,1794,2,3,"London : printed for William Lane, at the Minerva Press, Leadenhall-Street, M.DCCXCIV. [1794].",London,291,female,1738,1811,TRUE,"sure , would soon follow but the situation of Lady Campley and her filter, who saw the darling and only object of their cares hourly finking to the grave, interested every feeling of his heart. To leave them was impossible, to intrust the conveyance of Lucy to strangers was equally"
0024100101_000028,A welsh story. In three volumes. ...,"Barker, Mary           1798",76,1,0,2,0,2,1,0,1,1,1,0,0,0,0,0,1,1,0,1,2,6,5,0,2,0,0,0,1,5,1,4,2,2,0,2,6,0,0,1,0,2,4,4,2,2,2,0,0,1,3,1,1,0,1,2,0,1798,1,3,"London : printed for Hookham and Carpenter, Old Bond Street, 1798.",London,293,female,,,FALSE,"would be delightful to have a concert in. the mufic room in the woods, ( 211) woods, they immediately walked: thither. Lord Oakley petered Charlotte Llewellyn all the way with his gallantries, and what he called his love ; but ihe was disposed to be cruel as he told her,"
0849600301_000035,Ellen and Julia. A novel in two volumes. By Mrs. Parsons. ...,Eliza Parsons,64,0,2,1,1,1,0,0,0,2,1,2,0,1,0,2,1,1,2,0,1,3,0,0,3,1,0,0,0,3,0,2,0,0,1,0,5,7,0,0,0,0,1,5,3,0,0,2,0,0,1,3,0,2,0,1,3,1793,1,2,"London : printed for William Lane, at the Minerva-Press; and sold by E. Harlow, 1793.",London,299,female,1738,1811,TRUE,"I hope you will be perfectly satisfied with our mother's proceedings. Miss Woodville left the room without a reply , and strolled into the garden, where, in a few moments, see was joined by Lord A, as little pleased as herself . After the common salutations, his Lordship afled her,"
0249903102_000012,"Family pictures, a novel. Containing curious and interesting memoirs of several persons of fashion in W-----re. By a lady. In two volumes. ...",Susannah Gunning,73,0,0,1,0,0,1,1,1,0,0,2,0,3,2,2,1,0,2,4,1,6,1,1,1,1,3,0,1,3,0,4,1,1,1,2,9,1,0,0,1,2,1,0,0,0,1,0,0,1,0,1,3,0,3,0,3,1764,2,2,"Dublin : printed for P. Wilson, J. Exshaw, S. Price, and J. Potts, 1764.",Dublin,130,female,1740,1800,TRUE,"plain worker's being brought over las night in the chariot with her. She added, that she must confess, Mhe was not aware of the consequence of her presumption, vwich had really been so fatal as to offend her young friends , and expose her to the resentment of the little"
0199200201_000065,"The adventurer. ... . On vent'rous wing in quest of praise I go, And leave the gazing multitude below.",John Hawkesworth,76,3,1,0,0,0,0,0,0,2,1,1,0,1,1,3,0,1,2,2,1,11,1,0,3,0,0,1,3,4,1,0,1,2,1,3,8,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,1,2,0,0,7,1788,1,4,"London : printed by H. Goldney, for J. Rivington and Sons, L. Davis, J. Dodsley, T. Longman, B. Law, J. Robson and Co. G. G. J. and J. Robinson, T. Cadell, J. Murray, R. Baldwin, W. Flexney, S. Hayes, W. Goldsmith, W. Nicoll, W. Fox, W. Lowndes, E. Newbery, and G. and T. Wilkie, MDCCLXXXVIII. [1788].",London,312,male,1715,1773,FALSE,"to subdue their passions, an inveterate rancour oftenf lies corroding il the breast, and generally produces all the effects of inexorable malice. PEOPLE confider not, that by family repartees and oblique reflections on each fide, the very inmost secrets of their lives are disclosed. to their commion acquaintance; and that"
0200900102_000020,The banished man. A novel. By Charlotte Smith. In four volumes. ...,Charlotte Turner Smith,84,0,3,2,1,1,0,1,0,0,2,0,0,1,1,0,0,0,5,0,1,13,1,0,2,1,0,0,4,6,0,7,2,2,0,0,4,2,1,0,0,0,1,1,3,0,1,3,0,0,6,1,2,1,0,0,2,1794,2,4,"London : printed for T. Cadell, jun. and W. Davies, (successors to Mr. Cadell) in the Strand, 1794.",London,249,female,1749,1806,TRUE,"advantage of novelty, to listen to it alone, and went up to a little itudy which had been fitted up for him near his own room , where his second sister presently came to him. ""Well, Mary,"" said he as sly entered, "" have you examined what I have brought"
0440300102_000003,"Woman as she should be; or, memoirs of Mrs. Menville. A novel. In four volumes. By Mrs. Parsons, ...",Eliza Parsons,77,0,1,2,0,2,0,0,0,1,2,0,0,1,0,1,2,0,1,0,5,4,1,2,0,1,0,0,1,12,4,2,3,3,3,0,4,1,1,0,1,0,1,1,0,0,0,2,1,0,2,1,3,3,0,2,0,1793,2,4,"London : printed for William Lane, at the Minerva, and sold by E. Harlow, 1793.",London,268,female,1738,1811,TRUE,"affection; teach me the happy art of becoming ever new and desirable in the eyes of my husband; tis all the felicity this world can beffow. I am not romantic; I do not expeet adoration or rapture. Oh! no: all I alk, all I wish , is that perfect esteem,"
0048500302_000042,The posthumous daughter: a novel. In two volumes. ...,,68,0,1,1,0,1,1,1,1,1,0,4,0,1,4,0,2,0,2,4,1,8,1,0,1,2,2,0,1,2,0,0,1,3,0,0,2,1,1,1,0,3,1,0,0,0,5,1,0,0,1,0,2,1,1,1,1,1797,2,2,"London : printed and published by G. Cawthorn, British Library, 132, Strand, 1797.",London,333,unknown,,,FALSE,"Miss Clarendon and his Son. Be persuaded, my. most amiable, most loved Caroline, that no other being in the world , (not even Lord Alcondale) has beheld the letter which proves me to be so particularly honoured with your esteem and affection. At present it would be improper to quit"
0048500302_000021,The posthumous daughter: a novel. In two volumes. ...,,66,0,0,0,0,2,1,3,0,1,0,1,0,0,2,0,4,2,3,1,1,6,0,2,1,1,0,1,0,2,0,1,1,1,0,3,1,0,1,0,1,1,0,2,0,1,4,5,0,0,2,2,1,2,1,1,1,1797,2,2,"London : printed and published by G. Cawthorn, British Library, 132, Strand, 1797.",London,333,unknown,,,FALSE,"condut in this instance hurt her beyond expression. From a Brother there was neither impropriety nor degradation in accepting even a trifle, much more a liberal fortune; that she should consider herself as ill -used, and cruelly treated by me, if I still persisted in refusing his present, or even"
0364000204_000022,"Tales of the castle: or, stories of instruction and delight. Being Les veillees du chateau, written in French by Madame la Comtesse de Genlis, Author of the Theatre of Education, Adela and Theodore, &c. Translated into English by Thomas Holcroft,",Stéphanie Félicité du Crest de Saint-Aubin,75,1,0,0,0,0,1,0,2,2,0,5,0,1,1,4,2,1,0,2,3,9,0,1,0,0,0,0,3,1,2,4,0,1,0,1,0,1,0,7,0,1,0,4,2,1,0,2,1,0,0,2,2,1,3,0,1,1787,4,5,"London : printed for G. G. J. and J. Robinson, No. 25, Pater-Noster-Row, 1787.",London,258,female,1746,1830,TRUE,"Marquis opened the door, and they found themselves in a large chamber. In the midit of it they saw a Sadler at work, While a woman , sitting at a table, with six little girls at her fide, the biggest of whom was only ten years old, was busy at"
0290600301_000009,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. To the last of which is added, An historical and characteristical index. As also, a brief history, authenticated by Original Letters, of the treatment which the editor has met with from certain Booksellers and Printers in Dublin. Including Observations on Mr. Faulkner's Defence of Himself, published in his Irish News-Paper of Nov. 3. 1753. Vol. I.",Samuel Richardson,66,3,0,0,1,2,1,0,0,0,0,0,1,5,1,0,0,0,2,2,0,4,3,0,2,1,0,0,1,9,0,1,1,1,0,1,3,3,1,2,0,0,0,0,0,1,0,1,0,2,2,0,2,1,2,0,4,1754,1,7,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; by J. Leake, at Bath; and by R. Main, in Dublin, M.DCC.LIV. [1754].",London,324,male,1689,1761,TRUE,"be .pleased wjth>' the frothy things that pars under the name of Compliments frosl such randomn.,, fsters as these... -. - ;.. -.: : Miss Stevens paid us a. visit this. afternoon. She is: daughter of Colonel Stevens, a .very'.worthy, man. She appears feniible' and uinaffeefed;, has read;  my"
0849600302_000030,Ellen and Julia. A novel in two volumes. By Mrs. Parsons. ...,Eliza Parsons,86,0,3,1,0,1,1,0,0,3,3,2,0,0,1,0,1,0,4,1,5,7,3,0,2,3,0,3,3,8,0,1,0,2,0,1,2,1,1,0,0,0,0,2,1,0,5,0,3,0,1,1,2,2,2,2,2,1793,2,2,"London : printed for William Lane, at the Minerva-Press; and sold by E. Harlow, 1793.",London,302,female,1738,1811,TRUE,"a relation ihe had scarcely ever expected to meet with, and hoped fie might be permited to introduce two of her belt friends to them. Both gentlemen very readily accorded with her wishes . Soon after Mr. Selwyn being rather engaged in conversation with Miss Chancely, Sir Charles took the"
0636300400_000002,"Minor morals, interspersed with sketches of natural history, historical anecdotes, and original stories. By Charlotte Smith, Author of Rural Walks and Rambles Farther.",Charlotte Turner Smith,66,0,0,2,1,3,0,0,2,1,0,0,3,1,1,0,0,1,1,1,3,8,0,0,2,0,1,0,2,0,0,1,0,2,2,2,3,3,0,3,1,0,2,0,0,1,0,0,0,3,1,2,0,1,2,1,3,1800,1,1,"Dublin : printed by H. Colbert, No. 136, Capel-Street, 1800.",Dublin,216,female,1749,1806,TRUE,"of all thole who affeeted such sort of how: : -- her daughter , in the same spirit of ostentatious vulgarity, exhibited her accom plijhments to those who had, she thought , no means of being inftruted by masters of of such eminence as the had learned of. It seems"
0277301203_000028,The fair Cambrians. A novel. In three volumes. ...,,85,0,2,0,0,1,0,1,1,1,8,1,0,2,1,0,0,0,0,0,1,6,0,1,2,0,0,0,3,7,1,1,3,0,1,1,16,3,0,1,0,1,1,4,0,0,0,2,0,3,2,2,2,1,0,2,0,1790,3,3,"London : printed for William Lane, Leadenhall-Street, 1790.",London,242,unknown,,,FALSE,"Mrs. Dor ville thought the weather too damp to permit her to go out with safety, and was of opinion that the visit might, with more propriety, be deferred till a reconciliation had taken place. But Miss Lewis closed eagerly with Mr. Stanley's proposal, saying, she I + longed longed"
0251101600_000030,Augusta Denbeigh; a novel.,,76,2,3,2,0,0,1,1,0,0,0,3,0,2,1,2,0,0,2,1,0,10,0,1,3,1,0,1,1,9,0,2,0,1,2,0,5,0,2,0,1,0,2,0,2,0,0,1,0,0,1,1,3,1,2,1,3,1795,1,1,"Dublin : printed by Brett Smith, for Messrs. P. Wogan, P. Byrne, J. Rice, W. Jones, and G. Folingsby, 1795.",Dublin,279,unknown,,,FALSE,"no,"" answered he, "" not for the world . ntow is the time to conquer her fears, and i.will have her ride home on horseback."" Augusta expostulated, but in vain; and Miss Simpson was obliged to yield to'her peremptory brother ; who however condescended to promise, that [he should walk"
0022000103_000062,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,64,1,2,1,0,0,0,3,0,1,0,3,0,2,3,2,0,0,1,1,2,5,1,2,1,1,0,0,2,3,3,2,0,3,2,0,0,3,0,1,0,0,0,1,1,0,0,2,0,0,1,2,1,2,1,0,2,1766,3,7,"London : printed (by assignment from Mr. Richardson's executors) for J. Rivington, in St. Paul's Church-Yard; R. Baldwin, S. Crowder, J. Coote, and M. Richardson, in Pater-Noster-Row, MDCCLXVI. [1766].",London,375,male,1689,1761,TRUE,"her in favour of that nobleman. The young Lady andi had a conference upon the subjet; Dr. Bartlett can give you the particulars. The Father and Mother , unknown to us both, had placed themselves in a closet adjoining to the room we were in, and which communicated to another,"
0351800201_000018,"The step-Mother; a domestic tale, from real life. By Helena Wells, of Charles Town, South-Carolina. In two volumes. ...",Helena Wells,71,0,0,1,0,0,0,2,1,1,0,0,0,3,2,3,0,1,2,1,1,8,0,1,3,0,0,0,1,5,2,5,0,1,3,1,5,3,3,0,0,0,0,1,0,1,2,1,0,1,1,3,1,1,0,0,0,1799,1,2,"London : printed for T. N. Longman, and O. Rees, Paternoster-Row, and W. Creech, Edinburgh, 1799.",London,256,female,,,FALSE,"on him to enter into it. Emma attrated a good deal of attention . She was elegant in her person and manners , with a fine countenance, though not a regular set of features. Lady Glan vile took her to several places with her own daughters , when Mrs. Brummell,"
0464900201_000002,The history of Lucy Wellers. Written by a lady. In two volumes. ...,"Smythies, Miss",62,1,1,1,0,0,2,0,0,1,0,0,0,2,0,2,1,0,0,6,1,6,1,0,3,0,2,0,0,6,0,2,0,0,2,2,2,1,0,0,1,2,0,1,2,1,0,1,0,1,2,1,0,0,0,0,5,1755,1,2,"London : printed for R. Baldwin, at the Rose in Pater-Noster-Row, MDCCLV. [1755].",London,257,female,1753,1759,FALSE,"duties in her pro'  vince, as such.' And observed, it was recorded in history, that the habit Alexander wore, when he vanquished Darius, was manufatured by the princesses, his filters. Oh Madam!  replied Mrs. Searls,  (with a contemptuous fineer,) "" you are a scholar, I perceive, I"
1620200201_000029,Montalbert. A novel. By Charlotte Smith. In two volumes.,Charlotte Turner Smith,75,2,0,2,0,1,1,0,0,1,0,3,0,1,3,2,0,1,3,0,2,4,2,0,3,0,1,0,0,0,1,2,6,2,2,0,2,6,3,2,0,0,1,0,0,1,0,3,0,0,3,0,3,1,3,1,1,1795,1,2,"Dublin : printed for P. Wogan, P. Byrne, W. Jones, J. Rice, J. Moore, W. Porter, H. Colbert, H. Fitzpatrick, G. Folingsby, 1795.",Dublin,288,female,1749,1806,TRUE,"long fiay, he shall send over some chalks and crayons, for Rosalie, much better than can be found in Lon don.' if either of them had looked at me, at that moment, they would have remarked, that I did not hear with indifference the name of Mons talbert, but fortunately"
0295400101_000067,"Juvenile indiscretions. A novel. In two volumes. By the author of Anna, or the Welch heiress. ...",Anna Maria Bennett,66,1,1,0,0,0,0,4,2,0,3,0,0,5,0,1,1,1,1,2,0,5,0,1,3,0,0,1,2,2,0,1,0,3,1,1,6,3,0,0,0,0,0,1,0,1,2,2,0,1,0,2,2,0,4,0,0,1786,1,2,"Dublin : printed for Messrs. Moncrieffe, Gilbert, White, Beatty, H. Whitestone [and 8 others in Dublin], 1786.",Dublin,334,female,1760,1808,FALSE,"power to esteem my L 3 fifrtr, fiuer, and will not susser me to make a!liaince with merit in difirefs. Miss Franklin had only, since he had been in Iore, learned inhumanity; that passion which, in its own proper icafon, harmonises the senseb, and softens the temper of every individual"
