PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(annuiti),termFreq(appear),termFreq(appoint),termFreq(author),termFreq(bank),termFreq(book),termFreq(cafe),termFreq(capit),termFreq(carri),termFreq(cent),termFreq(charg),termFreq(charter),termFreq(clive),termFreq(committe),termFreq(compani),termFreq(council),termFreq(court),termFreq(debt),termFreq(duti),termFreq(east),termFreq(england),termFreq(follow),termFreq(form),termFreq(fund),termFreq(gener),termFreq(govern),termFreq(governor),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(india),termFreq(king),termFreq(laid),termFreq(law),termFreq(letter),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nabob),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parliament),termFreq(payment),termFreq(person),termFreq(pound),termFreq(power),termFreq(present),termFreq(properti),termFreq(public),termFreq(receiv),termFreq(sea),termFreq(servic),termFreq(sever),termFreq(ship),termFreq(south),termFreq(stock),termFreq(taken),termFreq(trade),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1203100111_000069,"The statutes at large, from Magna Charta, to the twenty-fifth year of the reign of King George the Third, inclusive. With a copious index, and appendix, consisting of obsolete and curious acts, some of which were never before printed. By Owen Ruffhead, Esq. A new edition, in ten volumes, revised, corrected, and continued, by Charles Runnington, Esq. Barrister at Law.",Owen Ruffhead,113,12,2,6,0,1,6,4,1,2,1,0,0,1,0,0,0,5,0,0,1,0,0,3,0,2,0,0,0,1,2,1,2,0,0,3,2,0,2,0,4,0,2,4,2,9,2,6,1,2,2,0,4,2,1,5,4,0,1,2,0,0,1789,11,14,"London : printed by Charles Eyre and Andrew Strahan, printers to the king's most excellent majesty; and by William Woodfall and Andrew Strahan, law printers to the king's most excellent majesty, MDCCLXXXVI. [1786].",London,704,male,1723,1769,FALSE,"be then sitting; and if Parliament thall not be then sitting, then within fourteen Days after the Commencement of the then next Session of Parliament . Commissioners XVIII And be it enacted by the Authority aforesaid, That a similar Account of all the said several Parti to lay an Ac"
0573100101_000451,"A collection of all the statutes now in force, relating to the revenue and officers of the Customs in Great Britain and the Plantations. In two volumes. ...",Great Britain,89,0,1,11,0,0,2,1,0,0,3,0,0,3,1,0,0,5,0,0,5,1,0,1,0,2,6,0,0,8,1,1,0,0,0,1,0,0,3,0,1,0,1,0,5,2,3,0,3,3,2,0,1,2,2,0,1,0,2,3,1,1,1780,1,2,"London : printed by Charles Eyre and William Strahan, Printers to the King's most Excellent Majesty, 1780.",London,966,unknown,,,FALSE,"purchase or subscription, or be paid off by or in pursuance of this a, frmner ofices, the interefb moneys payable for the same debts , ( hall severally continue t paid , and shall be payable to the refpeaive proprietors thereof, theiree tors, adminiltrators, successors and assigns, at the same"
0832700502_000082,"The historical register, containing an impartial relation of all transactions, Foreign and Domestick. Volume II. For the year 1717. Publish'd at the Expence of the Sun Fire-Office.",,88,2,2,2,0,1,0,1,0,0,1,0,0,3,0,0,5,7,0,1,4,4,0,1,1,0,3,1,1,1,5,0,8,0,1,1,0,1,1,2,0,0,0,0,1,3,5,0,0,0,7,0,1,0,2,1,4,0,2,1,0,1,1718,2,2,"London : printed, and sold by H. Meere, in Black Fryars 1718.",London,480,unknown,,,FALSE,"of Mr. Ward be razed out of the Return, and the Name of Mr. Roberts inserted therein, intfead of it. May 14 The Commons read a second Time, the Bill for the redeeming the Duties on Houses , and charging the same with a lesser Encumbrance, and for redeeming so"
0503500100_000718,"A new law-dictionary: containing the interpretation and definition of words and terms used in the law; and also the whole law and the practice thereof, Under all the Heads and Titles of the same. Together with Such Informations relating thereto, as Explain the History and Antiquity of the Law, and our Manners, Customs, and Original Government. Collected and Abstracted from All Dictionaries, Abridgments, Institutes, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. And fitted for the Use of Barristers, Students, and Practisers of the Law, Members of Parliament, and other Gentlemen, Justices of Peace, Clergymen, &c. The seventh edition. The Law-Proceedings being done into English, with Great Additions and Improvements, to this Time. To which is annexed, A Table of References to all the Arguments and Resolutions of the Lord Chief Justice Holt; In the several Volumes of the Reports. By Giles Jacob, gent.",Giles Jacob,108,0,1,1,0,0,0,1,0,0,2,1,1,0,2,0,0,24,1,0,1,1,1,6,0,0,2,0,3,1,3,1,0,3,10,0,6,0,0,0,3,0,1,0,0,1,1,0,0,2,0,0,1,0,5,0,0,2,5,4,0,11,1756,1,1,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; for R. Ware, T. Osborn, H. Lintot, C. Hitch and L. Hawes, J. Hodges, A. Millar, John Rivington, H. S. Cox, James Rivington and J. Fletcher, J. Ward, R. Baldwin, W. Johnston, M. and T. Longman, C. Corbett, P. Davey and B. Law, T. Casson, and M. Cooper, MDCCLVI. [1756].",London,844,male,1686,1744,FALSE,"and in the daytime under Penalties. i Eiiz. cap. i. All the King's Subjets are to have a free Trade to and from France, Spain and Portugal. 3 ace. I. C 6 It ( hall be lawful for Merchants to transport Iron, Armour, Piltols, Muskets, Saddles, Swords, Bridles, c. Stat."
0040501200_000004,"Copy papers concerning the payment of certain law expences incurred by Warren Hastings, Esq.",East India Company,103,2,0,0,1,1,1,2,0,1,0,2,0,3,0,0,0,10,0,11,1,0,0,2,2,1,5,6,1,0,3,3,0,6,1,1,1,0,1,2,5,0,2,0,4,1,5,2,2,0,1,2,3,0,0,0,2,0,0,2,0,2,1795,1,1,"[London : s.n., 1795].",London,39,unknown,,,FALSE,"the said surplus shall be set apart, and from time to time paid by the said Company into the Bank of England , within the first week in April in each year, to be there placed to the account of the Commissioners appointed by an AE of the z6th year"
0214900101_001495,"Navigantium atque itinerantium bibliotheca. Or, a complete collection of voyages and travels. Consisting of above six hundred of the most authentic writers, beginning with Hackluit, Purchass, &c. in English; Ramusio, Alamandini, Carreri, &c. in Italian; Thevenot, Renaudot, Labat, &c. in French; De Brye, Grynaeus, Maffeus, &c. in Latin; Herrera, Oviedo, Coreal, &c. in Spanish; And the Voyages under the Direction of the East-India Company in Holland, in Dutch. Together with such Other Histories, Voyages, Travels, or Discoveries, As are in General Esteem; Whether published in English, Latin, French, Italian, Spanish, Portuguese, High and Low Dutch, or in any other European Language. Containing whatever has been observed Worthy of Notice in Europe, Asia, Africa, and America; In Respect to the Extent and Situation of Empires, Kingdoms, Provinces, &c. The Climate, Soil, and Produce, whether Animal, Vegetable, or Mineral, of Each Country: Likewise the Religion, Manners, and Customs of the several Inhabitants, their Government, Arts and Sciences, Publick Buildings, Mountains, Rivers, Harbours, &c. Illustrated BY Proper Charts, Maps, and Cuts. To which is prefixed a copious introduction, comprehending the Rise and Progress of the Art of Navigation, and its successive Improvements; together with the Invention and Use of the Loadstone, and its Variation. Originally published in two volumes in folio, by John Harris, D. D. and F. R. S. Now carefully revised, with large additions, and Continued down to the Present Time; Including Particular Accounts of the Manufactures and Commerce of Each Country.",John Harris,98,1,0,8,0,1,0,0,0,0,5,1,0,1,3,0,0,15,0,1,3,1,0,1,0,0,3,1,0,0,2,5,0,1,1,3,2,0,0,0,3,0,0,0,3,3,6,1,3,3,1,0,3,0,0,0,1,0,0,6,2,4,1744,1,2,"London : printed for T. Woodward, A. Ward, S. Birt, D. Browne, T. Longman, R. Hett, C. Hitch, H. Whitridge, S. Austen, J. Hodges, J. Robinson, B. Dod, T. Harris, J. Hinton, and J. Rivington, M.DCC.XLIV. [1744]-48.",London,1055,male,1667,1719,FALSE,"upon that Sub jet, which, as it very naturally might, greatly alarmed the Company , more especially as it happened at a Time when they had Reason to apprehend that popular Opinions might prevail to their Prejudice; and therefore it is notto be wondered that they entered likewise on their"
1544300100_000164,"A new geographical, historical, and commercial grammer; and present state of the several kingdoms of the world. Containing I. The figures, motions, and distances of the planets, according to the Newtonian system, and the latest observations. II. A general view of the Earth, considered as a planet; with several useful geographical definitions and problems. III. The grand divisions of the globe into land and water, continents and islands. IV. The situation and extent of empires, kingdoms, states, provinces, and colonies. V. Their climate, air, soil, vegetable productions, metals, minerals, natural curiosities, seas, rivers, bays, capes, promontories, and lakes. VI. The birds and beasts peculiar to each country. VII. Observations on the changes that have been any where observed upon the face of nature, since the most early periods of history. VIII. The history and origin of nations: their forms of government, religion; laws, revenues, taxes, naval and military strength; orders of knighthood; &c. IX. The genius, manners, customs, and habits of the people. X. Their language, learning; arts, sciences, manufactures, and commerce. XI. The chief cities, structures, ruins, and artificial curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the names of places alphabetically arranged. II. A table of the coins of all nations, and their value in English money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. the astronomical part by James Ferguson, F.R.S. To which have been added; the late discoveries of Dr. Herschell, and other eminent astronomers. Illustrated with a correct set of maps, engraved from the most recent observations and draughts of geographical travellers.",William Guthrie,105,0,0,3,0,4,0,13,1,1,4,1,0,1,1,0,0,10,3,3,1,0,1,2,0,0,0,2,8,3,1,0,0,3,4,0,3,1,0,0,4,0,0,4,1,3,1,6,0,5,0,0,0,2,0,0,2,0,0,1,0,2,1796,1,1,"London : Printed for Charles Dilly, in the Poultry; and G.G. and J. Robinson, in Pater-Noster Row, M.DCC.XCVI. [1796].",London,1037,male,1708,1770,FALSE,"the minifftry, and a general revolution of the cabinet. By the new bill, which pared at the close of the fefions, r784, three things were intended; Firfit, the eitablifhing a power of control in this kingdom, by which the executive government in India is to be conneted with that over"
0125800401_000138,"A new geographical, historical, and commercial grammar; and present state of the several Kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. XIII. A General Index. With a table of the coins of all nations, and their value in English money. By William Guthrie, Esq. Illustrated with a New and Correct Set of Large Maps, Engraved by Mr. Kitchin, Geographer. The second edition. In two volumes. ...","Paraire, John",97,0,1,14,1,0,0,3,1,0,4,1,1,0,0,0,0,6,0,3,2,0,0,1,0,0,1,1,3,6,0,0,1,4,0,1,1,0,0,0,4,0,2,3,4,0,0,4,0,0,2,1,1,1,6,0,1,0,6,3,1,2,1771,1,2,"London : printed for J. Knox, at No. 148, near Somerset-House, in the Strand, MDCCLXXI. [1771].",London,489,unknown,,,FALSE,"an office and books , in which all transfers of the new annuities should be entered, and signed by the party making such transfer, or his attorney; and the person to whom such transfer should be made, or his attorney, should underwrite his acceptance; and no other method of transferring"
0169500900_000167,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. ... To which are added, I. A geographical index, ... II. A table of the coins of all nations, ... III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. The astronomical part by James Fergusgn[sic], ...",William Guthrie,106,1,1,14,1,0,0,3,1,1,4,1,0,0,0,0,0,12,0,2,5,0,1,2,0,0,0,2,3,7,0,0,0,3,0,1,2,0,0,0,3,0,2,3,4,0,1,3,0,0,1,1,0,2,6,0,1,0,6,2,1,3,1794,1,1,"London : printed for Charles Dilly; and G.G. and J. Robinson, 1794.",London,1011,male,1708,1770,FALSE,"account of the company's affirs, which should be laid before the next general court , in order to their declaring a dividend; and all dividends flould be made out of the dear profits, and should not exceed what the company might reasonably divide without incurring any farther debt ; provided"
0470400105_000827,"The statutes at large, from Magna Charta, to the end of the last Parliament, 1761. In eight volumes. By Owen Ruffhead, Esq;",Owen Ruffhead,119,0,4,3,1,2,1,7,0,4,1,0,1,2,0,0,0,10,0,1,1,2,0,6,1,2,4,0,0,8,2,12,0,0,0,3,3,0,2,0,11,0,0,0,6,1,6,0,7,1,0,0,0,0,2,1,0,0,0,1,0,0,1768,5,8,"London : printed by Mark Baskett, and by the assigns of Robert Baskett; and by Henry Woodfall and William Strahan, 1768-70.",London,750,male,1723,1769,FALSE,"Ad, be fettled and efablifhed and be payable in the Manner and Form herein after expressed and declared, for satisfying the Annuities to be purchased in Pursuance of this A from Time to Time, until the Redemption thereof by Parliament , according to the Proviso or Provisoes herein after for"
0694800200_000007,"A true state of the South-Sea-Scheme, as it was first form'd, &c. With the several alterations made in it before the Act of Parliament pass'd. And an examination of the conduct of the directors in the execution of that act. ...","Blunt, John, Sir",114,0,1,4,1,2,0,1,0,0,5,1,0,3,0,0,4,19,0,2,9,0,0,0,0,1,3,0,3,0,2,6,6,0,0,1,0,0,0,0,1,0,1,0,2,4,6,1,1,0,1,0,7,1,1,0,1,0,1,0,10,2,1732,1,1,"London : printed and sold by J. Peele, 1732.",London,107,male,1665,1733,FALSE,"Ann. and Redeemable by Parliament , Eighhly, [ 25 Eighthy, That the Companies prefenr, and to be increased Allowance for Charges of Management, do continue till their Capital be redeemed. Ninthly, That the Annuities to the Company for this to be increased Capital , be paid them Weekly as their"
1366300103_000265,"A new and complete system of universal geography; describing Asia, Africa, Europe and America; with their subdivisions of republics, states, empires, and kingdoms: the extent, boundaries, and remarkable appearances of each country; cities, towns, and curiosities of natur and art, also giving a general account of the fossil and vegetable productions of the earth. The history of man, in all climates, regions, and conditions; customs, manners, laws, governments, and religions: the state of arts, sciences, commerce, manufactures, and knowledge. Sketches of the ancient and modern history of each nation and people, to the present time. To which is added, a view of astromony, as connected with geography; of the planetary system to which the earth belongs: and of the universe in general. With a copious index annexed to each volume. Being a large and comprehensive abridgement of Universal geography. By John Payne. With additions, corrections and improvements from the latest and best authors. By James Hardie, A.M. author of The principles of Latin grammar, The American remembrancer, and universal tablet of memory &c. In four volumes. ...","Payne, John           fl. 1800",108,1,2,5,0,0,0,2,0,0,2,5,0,0,0,0,0,22,0,4,3,2,0,0,0,1,2,2,3,6,1,0,0,2,0,0,0,0,1,2,6,0,2,2,2,2,1,1,0,0,0,0,1,2,6,0,0,0,7,2,0,6,1798,3,4,"New-York : Printed for, and sold by John Low, book-seller, at the Shakespeares Head, no. 332 Water-Street, 1798[-1800].",New York,761,unknown,,,FALSE,"in the Exchequer bills unsatisfied, on the duties for licences to sell spirituous liquors by retail, mho'ld be cancelled, and in lieu thereof to accept of an annuity of 39, 4421 the interest of that sum at 4 percent. The company also agreed to advance the farther sum of I,"
0422200300_000017,"The historical register, containing an impartial relation of all transactions, Foreign and Domestick. With a chronological diary of all The remarkable Occurrences, viz. Births, Marriages, Deaths, Removals, Promotions, &c. that happen'd in this Year: Together with the Characters and Parentage of Persons deceased, of eminent Rank. Volume Viii. For the year 1723.",,110,0,0,15,0,0,0,2,0,0,9,0,2,0,0,0,3,9,0,0,1,4,0,2,0,0,11,2,0,1,0,0,0,0,0,2,1,0,0,1,4,0,1,5,1,6,2,0,4,2,1,0,5,1,2,0,1,0,2,8,0,0,1723,1,1,"London : printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, [1723].",London,442,unknown,,,FALSE,"and so much of the same Aft as imports, that a proportional Part of the Annuities or yearly Funds of the said Company , payable at the Exchequer in Refpet of two Millions, should from and after the Feast of the Nativity of St. John Baptist, 1722, be no longer"
0470400105_000800,"The statutes at large, from Magna Charta, to the end of the last Parliament, 1761. In eight volumes. By Owen Ruffhead, Esq;",Owen Ruffhead,105,0,0,3,1,1,2,5,0,0,4,0,0,3,0,0,0,6,0,0,2,3,0,2,0,1,7,0,0,3,2,8,0,0,3,1,0,0,3,2,10,0,0,0,0,5,1,2,7,2,1,0,1,0,2,2,1,0,2,4,3,0,1768,5,8,"London : printed by Mark Baskett, and by the assigns of Robert Baskett; and by Henry Woodfall and William Strahan, 1768-70.",London,750,male,1723,1769,FALSE,"V - O said said Annuity or yearly Sum of seventy thousand Pounds by this A established, every or any Part or Parcel, Parts or Parcels thereof, to any Person or Persons , Body or Bodies Politic or Corporate, in such Manner and Form as the laid Governor and Company"
1482900112_000060,"The Historical register, containing an impartial relation of all transactions, foreign and domestick. With a chronological diary of all the remarkable occurrences, viz. births, marriages, deaths, removals, promotions, &c. that happen'd in this year: together with the characters and parentage of persons deceased, of eminent rank. Volume XII. For the year 1727.",,92,1,0,8,0,0,0,5,0,0,1,1,3,4,0,0,1,2,0,0,3,0,0,4,1,0,5,3,0,1,0,0,5,0,3,0,1,1,1,0,2,0,1,6,2,3,3,2,1,1,1,0,2,0,1,0,7,0,1,5,0,0,1727,12,12,"London : Printed and sold by R. Nutt in the Old Baily, near Ludgate, where compleat sets and single parts may be had, at 1s. each register. Sold also by E. Nutt at the Royal Exchange, R. Gosting in Fleet-street, D. Browne without Temple-Bar, C. King in Westminster-Hall, and at the Sun Fire-Office behind the Royal Exchange, [1727].",London,392,unknown,,,FALSE,"upon it, was carried in the Aflirmadtive, by a Marjority of 248 Voices against i24·· Hereupon, Mr. Farrrer reported the Resolutions from the Committee of the whole House , to whom it was referred to confider of that Part of his ma~jefly's Speech, which relates to the dircharging the National"
1311200102_000098,The Beauties of all the magazines selected. ... Including the several original comic pieces. To be continued the middle of every month.,,125,1,2,14,0,0,0,2,1,0,7,3,0,1,0,0,0,21,0,2,6,0,0,1,0,0,2,2,3,8,1,1,0,1,1,1,1,0,0,0,1,0,2,3,2,2,0,2,0,0,2,0,0,0,8,0,0,0,8,7,0,6,1762,2,3,"London [England : T. Waller], 1762-1764.",London,580,unknown,,,FALSE,"such part. only on which a credit of loan was granted by parliament , such iub governor , or other member of the company , should forfeit treble of the value of the money so lent. The fatal South Sea scheme transacted in the year 172o, was executed upon the"
0832800205_000012,"The historical Register, containing an impartial relation of all transactions, Foreign and Domestick. With a chronological diary of all The remarkable Occurrences, viz. Births, Marriages, Deaths, Removals, Promotions, &c. that happen'd in this Year: Together with the Characters and Parentage of Persons deceased, of eminent Rank. Volume V. For the year 1720.",,92,0,0,12,1,1,0,3,0,1,3,0,0,0,0,0,4,10,0,1,2,0,0,3,1,0,2,1,2,4,2,0,2,0,0,2,0,0,1,1,1,0,1,2,0,2,2,1,1,1,1,0,3,0,4,1,6,0,4,2,0,1,1720,5,5,"London : printed and sold by C. Meere, in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by T. Norris at the Looking-Glass on London-Bridge, and R. Gosling at the Middle-Temple-Gate in Fleet-Street, and J. Maceuen at Buchanan's Head over against St. Clement's Church in the Strand, and at his shop in Edinburgh, [1720].",London,434,unknown,,,FALSE,for such new ones as they Shall impowver the Lords of the Treasury to issue and circulate (without the Subscription or Contra of any Persons dr Corporation) the Company will be obliged (from and after lidrfummer I7zo0 till the lredu'tion of the Annuities for their whole Capital . to 4
1286801100_000101,"Lex mercatoria: or, the merchant's companion. Containing all the laws and statutes relating to merchandize. Wherein our trade with foreign nations is illustrated; ... With an introduction, ... To which is added, in proper places, the best adapted presidents of instruments and writings us'd in all cases relating to trade.",Giles Jacob,106,0,0,4,0,1,0,1,0,0,2,0,0,0,1,0,0,14,0,2,0,1,0,1,0,0,6,2,0,5,2,0,0,0,0,0,0,1,1,0,6,0,1,1,3,3,4,2,2,1,0,0,3,1,5,1,0,0,2,17,6,4,1718,1,1,"[London] : In the Savoy: printed by Eliz. Nutt, and R. Gosling (assignees of Edw. Sayer Esq;) for E. Curll; and W. Taylor, 1718.",London,391,male,1686,1744,FALSE,"Quarterly from the Time of Lending, until the re payment of the Principal; and to aefign, mortgage, and transfer the Shares of the said Stock to the Lender, upon Conditions of Redemption, and for Sale of the Stock so mortgaged, in Default of re paying the Money borrowed thereon, or"
0372500107_000082,"A collection of the parliamentary debates in England, from the year M,DC,LXVIII. to the present time. ...",Great Britain. Parliament,108,1,0,6,1,0,0,2,0,0,3,0,0,1,0,0,3,12,0,1,3,1,0,1,1,0,6,3,0,2,0,0,8,0,0,0,0,0,0,2,3,0,0,6,0,5,2,3,1,1,3,0,4,1,9,0,2,0,8,1,1,1,1739,7,21,"[London] : Dublin: printed. London: reprinted, and sold by John Torbuck, 1739-42.",London,518,unknown,,,FALSE,"be actually reduced to 4 percent. on the 24th ofu.n. 727, and to be thenceforth redeemable by Parliament . By order of the general court of the governor and company of the bank of England . February I, 1719: David le Gros, Secretary. These two different schemes occasioned a debate,"
1218600100_000118,"A new geographical, Historical, and Commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. With a table of the coins of all nations, and their value in English money. By William Guthrie, Esq. Illustrated with a new and correct set of maps, Engraved by Mr. Kitchin.",William Guthrie,112,1,2,13,1,0,0,3,1,1,5,1,0,1,0,0,0,15,0,2,5,0,0,1,0,0,1,2,1,6,0,0,0,3,1,1,1,0,0,0,0,0,1,3,3,1,1,5,0,0,2,0,0,0,8,0,1,0,8,5,1,5,1770,1,1,"London : printed for J. Knox, at No 148, near Somerset-House, in the Strand, MDCCLXX. [1770].",London,728,male,1708,1770,FALSE,"profits that were to arise from it, were divided into a cert.: L L number of flsares, or subscriptions, to be purchased by persons diltoltea to adventure therein. And the better to carry on the deception, tnae dircstors engaged to make very large dividends; and alcuaill declared, , 3 *"
1010400100_001041,"A new dictionary of trade and commerce, compiled from the information of the most eminent merchants, and from the works of the best writers on commercial subjects, in all languages. Containing, among other Things, I. An Account of all the natural Productions, which are conducive to Trade, throughout the World. II. The different Manufactures established in each particular Country. III. Explanations of all the Terms used in Commerce. IV. Explanations of the principal Terms of Geography, Astronomy, and Navigation, so far as they are connected with Trade. V. An exact Account of the Coins, Weights, and Measures in use throughout the World, reduced to the English Standard. VI. A Description of the Established Banks, Trading Companies, and Staple Commodities, of different Countries. Vii. The State of the British Trade, National Debt, Funds, Customs, Excise, and other Taxes. Viii. The Laws relative to Trade and Commerce. For the Use of the Merchants and Tradesmen of Great Britain, as well as of private Gentlemen. By Mr. Rolt, with the assistance of several eminent merchants. The second edition, with the addition of a new and accurate set of maps of the world, Europe, Asia, Africa, and North and South America, by Mr. Bowen.",Richard Rolt,94,1,0,1,0,0,0,2,2,0,3,2,0,1,0,0,0,11,0,1,7,2,0,0,0,1,1,2,0,7,2,0,1,2,0,0,3,2,0,0,5,0,1,1,2,2,1,6,1,1,0,0,4,1,3,0,0,0,3,2,1,6,1761,1,1,"London : printed for G. Keith, at the Bible and Crown, in Grace-Church-Street; S. Crowder, at the Looking-Glass, and H. Woodgate and S. Brooks, at the Golden Ball, in Pater-Noster-Row, MDCCLXI. [1761].",London,926,male,1724,1770,FALSE,"marked at two, three, and four ithtlms, with a piece of black leather between the firands; and at five, with a piece of white leather, which mnay be ised v.when a slip is under sail, and the deep cfe line cannot. The plummet is iufually in form of a niic"
0470300104_000771,"The statutes at large, from Magna Charta, to the end of the last Parliament, 1761. In eight volumes. By Owen Ruffhead, Esq;",Owen Ruffhead,114,0,0,4,1,1,1,0,0,0,3,1,0,0,5,0,0,12,0,4,0,2,0,0,0,0,11,4,0,5,2,5,0,0,0,2,1,0,1,0,6,0,0,1,5,5,4,1,1,5,1,0,0,0,3,1,0,0,3,8,0,5,1769,4,8,"London : printed by Mark Baskett, and by the assigns of Robert Baskett; and by Henry Woodfall and William Strahan, 1768-70.",London,691,male,1723,1769,FALSE,"or Interest of or in the yearly Fund , by the first A fettled, so long as they refpestively should have any Part, Share, or Interest therein, to be one Body Politic and Corporate. by the Name of The Governor and Company of Alerchants of Great Bri taini, trnadin to"
0501300101_000550,"A digest of the Statute Law, being an abridgment of all the public acts of Parliament now in force, and of general use, from Magna Charta, in the ninth year of King Henry III to the thirtieth year of his present Majesty King George III. inclusive. By Thomas Walter Williams, of the Inner Temple, Barrister at Law. In two volumes. ...",Thomas Walter Williams,117,14,3,2,0,1,0,8,2,1,1,3,0,2,0,0,0,1,0,1,1,9,0,0,2,0,3,1,0,0,5,8,5,0,0,3,0,0,2,0,3,0,2,2,4,6,1,3,5,1,2,0,2,2,2,2,1,0,1,0,0,0,1791,1,2,"London : printed by A. Strahan and W. Woodfall, Law-Printers to the King's Most Excellent Majesty; for G. G. J. & J. Robinsons, Pater-Noster-Row; and C. & G. Kearsley, Fleet-Street, 1791.",London,718,male,1763,1833,FALSE,"direted, and to make the payments'forthe same to the persons from whom the same fhall'bepurchafed, and .to give or accept receipts on the part of the. commissioners: Provided such nomination hall be notified to the bank , under the hands of the commissioners. f., 6 An account shall be made"
0736802600_000015,"A retrospective view of the antient system of the East-India-Company, with a plan of regulation.",Alexander Dalrymple,111,1,4,9,0,0,0,0,1,4,0,0,1,0,0,1,1,10,9,1,0,2,0,2,0,0,3,1,5,6,0,0,0,3,0,0,1,1,4,0,5,0,3,1,2,1,0,4,0,0,8,0,1,7,0,5,1,0,0,0,0,3,1784,1,1,"London : printed for John Sewell, Corner of Cooper's Court, Cornhill, 1784.",London,93,male,1737,1808,FALSE,"injuring the Company , allperquifite should be abolished; and Europeans, in general , debarred from being concerned in any Trade whatever, beyond the Company's own Settle nents. The Trade , in the Country, except so far as concerns the Company's Investment, being left to the Native Indians, on paying the"
0943902100_000003,"The stocks examined and compared: or, a guide to purchasers in the public funds. Containing an account of the different funds, From the Times of their Creation to the year 1798; Including the Imperial and Irish Annuities, transferrable at the Bank of England, and the Stock of Public Companies. with new, useful, and extensive tables, Illustrated by Observations and Examples. Also, statements of the national debt, And an Account of the present Plan of liquidating the same. By William Fairman, Life-Accountant to the Corporation of the Royal-Exchange Assurance.",William Fairman,120,1,0,8,0,0,0,9,0,0,2,1,1,2,0,0,0,4,0,0,4,1,0,1,2,0,8,1,4,0,0,1,4,12,0,0,0,1,0,0,0,0,1,1,0,2,1,4,0,1,1,1,4,1,8,0,2,0,7,19,0,0,1798,1,1,"London : printed by H. L. Galabin, Ingram-Court: and sold by J. Johnson, St. Paul's Church-Yard; J. Debrett, Piccadilly; and W. J. and J. Richardson, Cornhill, 1798.",London,160,male,,,FALSE,"at least of a greater variation in the value of their flock than in that of the government funds ; B 2 for, -4 for, though prosperous circumstances may have raised their flock considerably above its original value, a series of unfortunate events might very Ioon produce an equal or"
