PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(arm),termFreq(bed),termFreq(birth),termFreq(blood),termFreq(bodi),termFreq(born),termFreq(bring),termFreq(brought),termFreq(cafe),termFreq(care),termFreq(caus),termFreq(child),termFreq(children),termFreq(continu),termFreq(dead),termFreq(death),termFreq(deliv),termFreq(deliveri),termFreq(father),termFreq(feet),termFreq(follow),termFreq(forc),termFreq(gener),termFreq(god),termFreq(hand),termFreq(happen),termFreq(head),termFreq(hous),termFreq(infant),termFreq(know),termFreq(labour),termFreq(ladi),termFreq(left),termFreq(life),termFreq(littl),termFreq(live),termFreq(mean),termFreq(month),termFreq(mother),termFreq(natur),termFreq(observ),termFreq(open),termFreq(oper),termFreq(order),termFreq(pain),termFreq(parent),termFreq(person),termFreq(present),termFreq(reason),termFreq(taken),termFreq(turn),termFreq(uteru),termFreq(water),termFreq(wife),termFreq(woman),termFreq(womb),termFreq(women),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1390201800_000025,"The works of aristole, in four parts. Containing I. His complete master piece; displaying the secrets of nature in the generation of man. To which is added, the family physician, being approved remedies for the several distempers incident to the human body. II. His experienced midwife; absolutely necessary for surgeons, midwives, nurses, and childbearing women. III. His book of problems; containing various questions and answers, relative to the state of man's body. IV. His last legacy; unfolding the secrets of nature respecting the generation of man.",Aristotle,112,2,1,1,3,1,2,0,1,1,6,1,0,18,0,0,6,0,3,5,0,4,4,0,0,0,6,1,5,0,2,1,1,0,2,0,1,0,0,0,3,4,1,1,7,1,0,0,0,1,0,4,2,0,0,0,4,5,1,0,1784,1,1,"London : Printed for, and sold by all the booksellers, 1784.",London,396,male,,,FALSE,"cafe tlhere le a fliux of blolpd, let the operator be well satisfied whether the chilld or the secundine come first; for foinetiines wvhen the secundine has.come firif, the milouth of the womb has beent theieby itopped, and the birth hindered, to the hazard both of the wvoman and child"
0179400700_000012,"Cases in midwifry. Written by the late Mr. William Giffard, surgeon and man-midwife. Revis'd and publish'd by Edward Hody, M. D. and Fellow of the Royal-Society.","Giffard, William           1731",90,0,1,0,0,3,0,2,2,3,0,2,0,8,1,1,2,1,3,2,0,3,2,0,1,0,12,0,3,0,4,0,0,0,1,0,0,1,1,0,2,0,1,1,0,1,2,0,1,2,1,1,3,2,4,1,6,3,0,0,1734,1,1,"London : printed for B. Motte, at the Middle-Temple-Gate; and T. Wotton, at the Queen's-Head and Three Daggers. Fleet-Street, 1734.",London,555,unknown,,,FALSE,"ed northeast culd not directly tell: Upon pazirn up my forefinger I found it present with one Hip; the inner Orifice was spread as broad as the Palm of my hand and very thin, and the Hip was iunk low towards the ririh, but her Pains were not strong. I"
1144100300_000027,"A treatise on the improvement of midwifery, chiefly with regard to the operation. To which are added, fifty-seven cases, Selected from upwards of Twenty-Seven Years Practice. The third edition, with large additions and improvements. Imbellished with copper-plates. By Edmund Chapman, surgeon.","Chapman, Edmund",80,0,1,0,1,0,4,2,0,1,1,0,1,6,1,1,1,1,3,2,1,0,0,4,0,0,2,1,4,0,0,1,0,2,1,3,1,3,0,1,1,2,1,1,0,2,3,0,3,1,0,0,0,4,0,0,6,2,2,2,1753,1,1,"London : printed for John Brindley, Book-Binder, Book-Seller, and Stationer to his late Royal Highness the Prince of Wales, in New Bond-Street; and James Hodges on London-Bridge, M.DCC.LIII. [1753].",London,263,male,1680,1756,FALSE,"gently, and that with the greatest "" Ease and Safety to the Patient."" But, with his Leave, I mufl take the Liberty of denying that the Head can be thus drawn away, unless the Woman is very large, or the Child very small. For the Yaw will not bear the"
0440600700_000021,"An essay on the improvement of midwifery; chiefly with regard to the operation. To which are added fifty cases, selected from upwards of twenty-five years practice. By Edmund Chapman, Surgeon.","Chapman, Edmund",125,3,4,0,1,0,2,2,1,2,2,0,0,17,4,0,4,0,7,2,0,5,0,1,0,0,10,0,5,0,2,0,7,0,0,0,1,2,0,1,2,2,1,1,0,1,9,0,1,3,2,1,2,0,3,0,8,4,0,0,1733,1,1,"London : printed by A. Blackwell over Somerset Water-Gate in the Strand, for A. Bettesworth and C. Hitch in Pater-Noster Row, J. Walthoe in Cornhill; and sold by T. Cowper in Ivy-Lane, MDCCXXXIII. [1733].",London,167,male,1680,1756,FALSE,"Forceps over the Heaa and taking the Advantage of the first Pain , delivered her by pressing the Head down towards the Os Sacrum, but in such a ma, .ner as to avoid, as much as pofible, any Preifure on the Woman's Side. CASE XXIV  Child lying loose i"
0167500900_000027,"The art of midwifery improv'd. Fully and plainly laying down whatever instructions are requisite to make a compleat midwife. And The many Errors in all the Books hitherto written upon this Subject clearly refuted. Illustrated with thirty eight cuts curiously Engraven on Copper Plates, representing in their due Proportion the several Positions of a Foetus. Also A New Method, demonstrating, How Infants ill situated in the Womb, whether obliquely, or in a strait Posture, may, by the Hand only, without the Use of any Instrument, be turned into their right Position, without hazarding the Life either of Mother or Child. Written in Latin by Henry à Daventer. Made English. To which is added, a preface giving some account of this work, by an eminent physician.",Hendrik fan Deventer,108,2,1,1,5,0,1,0,2,2,2,1,0,3,2,0,0,0,3,1,1,0,0,0,0,0,2,1,2,0,6,1,11,0,0,0,3,0,1,0,1,0,1,4,0,0,18,1,2,3,1,2,3,0,0,2,6,6,3,1,1746,1,1,"London : printed for W. Innys, and C. Hitch in Pater-Noster-Row; J. Hodges, near London Bridge; and J. Pemberton in Fleet-Street, MDCCXLVI. [1746].",London,349,male,1651,1724,FALSE,"without a great deal of Danger, leftit happen , that the Infant hold be call out as well as the Excrements, as many Examples witness, which for brevity's Sake, we hall wave reciting. And that a Midwife by touching, ought not to expecor wait for harp pressing Pains , I"
0465301100_000068,"A general treatise of midwifry: illustrated with upwards of four hundred curious observations and reflexions concerning that art. Written originally in French by Lamotte, Sworn Surgeon and Man Midwife at Valognes. And translated into English by Thomas Tomkyns, Surgeon.",Guillaume Mauquest de La Motte,93,0,0,2,2,1,1,0,1,2,2,0,0,10,3,0,3,1,3,1,0,0,1,2,0,0,4,2,0,0,0,0,6,1,2,0,3,5,1,1,3,8,1,0,1,1,6,0,0,1,0,0,0,3,0,1,6,1,1,0,1746,1,1,"London : printed for James Waugh, at the Turk's Head, in Gracechurch-Street, MDCCXLVI. [1746].",London,550,male,1655,1737,FALSE,"narrow to admit of the introduction of my hand , and the difficulty of this extracion not depending, as is usually said; on the imallnefs of the mouth of the uterus , having never met with any obstacle from it, whenever I have been able to introduce my hand between"
1052900202_000040,"A collection of cases and observations in midwifery. By William Smellie, M.D. To illustrate his former treatise, or first volume, on that subject. Vol. II.",William Smellie,102,1,2,1,3,4,0,0,4,1,1,1,1,10,0,2,2,0,3,0,0,0,0,1,0,0,2,1,0,0,4,1,1,0,1,0,2,2,2,3,3,6,0,2,0,2,5,0,0,2,2,0,2,1,2,0,12,7,0,0,1779,2,2,"London : printed for W. Strahan; T. Cadell, and G. Nicol, and W. Fox, and S. Hayes, 1779.",London,470,male,1697,1763,FALSE,"it, there was no hope of bringing it away but by violence, because the womb was quite closed, when he aw the woman . It turned at length to a niof virulent putrefaction, which caused a continual high fever, with two or three exacerbations every day, accompanied with faintings and"
1742100111_000900,"Encyclopædia Britannica; or, a dictionary of arts, sciences, and miscellaneous literature; ... The third edition, in eighteen volumes, greatly improved. Illustrated with five hundred and forty-two copperplates. ...",,110,0,2,0,4,0,1,1,1,1,7,1,0,19,2,2,0,1,1,6,0,5,0,2,4,0,4,1,2,0,1,0,6,0,0,1,2,0,1,0,4,3,0,0,2,0,5,0,0,7,1,0,2,4,0,0,4,0,0,0,1797,11,20,"Edinburgh : printed for A. Bell and C. Macfarquhar, 1797.",Edinburgh,817,unknown,,,FALSE,"thould be givpn for the uterus tt contrat, that nature may thus throw off the placenta, which never ought to be hurried away, unless the continuance or a recurrence of the hemorrhagy render it necessary. prolaopjor of the funir. Difficulties arising from the funis falling down into the vagina, and"
1125300301_000065,"A treatise on the theory and practice of midwifery. By W. Smellie, M.D. Vol.I.",William Smellie,119,1,2,0,0,0,2,0,2,2,8,0,0,14,0,0,0,0,6,4,0,0,1,2,0,0,6,1,5,0,0,0,6,0,0,2,1,0,2,2,2,1,1,3,5,0,7,0,1,3,0,0,6,7,6,0,4,4,0,0,1762,1,1,"London : printed for D. Wilson, near Round Court; and T. Durham, near Norfolk Street; both in the Strand, MDCCLXII. [1762].",London,462,male,1697,1763,FALSE,"or some other part of the child , being puihed into the Pelvis, locks up the Os internum, so as that a small quantity of the waters hath been discharged, the Uterus is kept from contracing itrongly round the child , which is therefore more easily turned than it possibly"
0167000100_000038,"A treatise on the theory and practice of midwifery. Elucidated with upwards of forty copper-plate engravings of anatomy, difficult labours, and instruments, and containing a copious variety of Laborious, Extraordinary, and Preternatural cases. By W. Smellie, M.D.",William Smellie,132,0,0,1,2,0,3,1,1,2,5,0,0,13,1,0,0,0,14,2,0,7,2,2,1,0,1,0,15,0,0,0,6,0,0,0,0,0,0,0,2,7,0,4,1,2,2,1,0,10,0,0,7,2,3,0,7,0,3,2,1794,1,1,"London : printed for the proprietors, and sold by Mess. Murray, Kay, and Otridge, in the strand, MDCCXCIV. [1794].",London,492,male,1697,1763,FALSE,"Irah, ihen, lying actrfs the uterus , it must be turned and delivered by the feet . For my own part, having in teaching found all these divisions liable to .otjtioms, I have followed a method which is more fimpki than the others, and win save abundance of repetition. I"
0394700400_000006,"A new and general system of midwifery. In four parts. By Brudenell Exton, M.D. Physician & Man Midwife to the Middlefex Hospital.","Exton, Brudenell",118,0,0,0,3,1,0,1,0,0,2,1,2,3,0,0,0,0,0,6,0,0,3,6,0,0,1,1,6,0,5,0,11,0,0,0,3,0,1,1,3,7,0,4,0,0,20,0,1,1,0,2,2,2,6,0,4,8,1,0,1753,1,1,"London : printed for W. Owen, at Homer's Head near Temple-Bar, MDCCLIII. [1753].",London,185,unknown,,,FALSE,"placed towards the Mother's Back, and its Heels flying uppermost. This is the TRUE Posture for a natural Delivery ; therefore when the Infant is about to make this Alteration, for its easier Exit, it is very proper that the Mother should be still and quiet: for by Motion at"
0270500500_000024,"The works of Aristotle, the famous philosopher. In four parts. Containing I. His complete master-piece; displaying the Secrets of Nature in the Generation of Man. To which is added The Family Physician, being approved Remedies for the several Distempers incident to the Human Body. II. His experienced midwife; absolutely necessary for Surgeons, Midwives, Nurses, and Child-Bearing Women. III. His book of problems; containing various Questions and Answers, relative to the State of Man's Body. IV. His last legacy; unfolding the Secrets of Nature respecting the Generation of Man.",Aristotle,110,0,0,1,5,1,3,0,3,0,5,1,6,5,3,0,0,0,0,1,0,2,1,0,2,0,1,1,6,0,3,1,15,0,0,0,0,0,0,0,4,4,1,1,3,1,6,0,0,0,3,1,1,0,1,0,7,6,3,2,1784,1,1,"Edinburgh : [s.n.], Printed in the Year MDCCLXXXIV. [1784].",Edinburgh,366,male,,,FALSE,"that there is but one right and natural posture in which children come .to the birth , and that is when the head comes first, and the body follows after in a strait line. If, inlsead of this, the child comes with its feet foremost, or with the fide across,"
0278900200_000030,"Aristotle's compleat master-piece. In three parts. Displaying the secrets of nature in the generation of man. Regularly Digested into Chapters and Sections, rendring it far more Useful and Easie, than any yet Extant. To which is added, a treasure of health; or, the family physician: Being Choice and Approved Remedies for all the several Distempers incident to Humane Bodies.",Aristotle,118,3,1,2,2,1,1,0,2,1,5,2,1,19,0,0,6,0,3,6,0,4,3,0,0,0,8,1,6,0,1,1,0,0,3,1,2,0,0,0,3,3,3,0,6,2,0,0,0,2,0,2,2,0,0,0,7,2,1,0,1715,1,1,"London : printed, and sold by the booksellers, [1715?].",London,156,male,,,FALSE,"draw it forth; and that the Opcrator rmty do it the better, and his hold may be the surer, he mufi ftien or wrap a Linen cloth about the Child's Thigh, observing to bring it into the World with its Feet downward. Burr in cafe Tlere be a Flux of"
0440600700_000013,"An essay on the improvement of midwifery; chiefly with regard to the operation. To which are added fifty cases, selected from upwards of twenty-five years practice. By Edmund Chapman, Surgeon.","Chapman, Edmund",104,1,0,0,1,2,0,1,1,1,2,1,0,13,2,1,0,0,2,2,0,3,0,4,1,0,2,3,2,0,3,0,7,0,1,0,7,0,1,0,5,3,1,0,1,0,10,0,1,1,2,1,3,0,2,0,7,2,1,0,1733,1,1,"London : printed by A. Blackwell over Somerset Water-Gate in the Strand, for A. Bettesworth and C. Hitch in Pater-Noster Row, J. Walthoe in Cornhill; and sold by T. Cowper in Ivy-Lane, MDCCXXXIII. [1733].",London,167,male,1680,1756,FALSE,"the Child by one only, observing to pass a Finger into the Grin, when so far advanced; and this I have done with afiety, nor have I ever had a Dif 1cati/m of the ithgb bvne by this Means , or any consequent Lameness of the Part. But as the"
0307200103_000107,"A medicinal dictionary; including physic, surgery, anatomy, chymistry, and botany, in all their branches relative to medicine. Together with a history of drugs; ... With copper plates. By R. James, M.D. ...","James, Robert",84,1,0,0,0,2,1,2,0,2,2,1,0,3,1,2,0,0,2,3,0,4,1,1,0,0,3,1,0,0,4,0,5,0,0,0,0,0,1,1,1,4,0,1,1,1,4,0,0,5,0,0,1,2,1,0,7,10,3,0,1743,3,3,"London : printed for T. Osborne; and sold by J. Roberts, 1743-45.",London,1055,male,1703,1776,FALSE,"or a Part of it, is detached from the Womb , and the Woman mull continue to food, so long as the Womb is kept distended with its Contents: The only Remedy, therefore, is to deliver the Wyoman immediately, no Medicines being of the least Efficacy in this Cafe ."
0891400400_000012,"Man-Midwifery dissected; or, the obstetric family-instructor. For the use of married couples, and single adults of both sexes. Containing A Display of the Management of every Class of Labours by Men and Boy-Midwives; also of their cunning, indecent, and cruel Practices. Instructions to Husbands how to counteract them. A Plan for the complete Instruction of Women who counteract promising Talents, in order to supersede Male-Practice. Various Arguments and Quotations, proving, that Man-Midwifery is a personal, a domestic, and a national Evil. In fourteen letters. Addressed To Alex. Hamilton, M.D.F.R.S. &c. Edinburgh. Occasioned by Certain Doctrines Contained In His Letters To Dr. W. Osborn. By John Blunt, A Student Under Different Teachers, But Not A Practitioner Of The Art.","Fores, S. W. (Samuel William)",87,0,0,0,2,1,0,1,1,1,5,1,0,4,0,1,0,0,3,0,0,2,0,0,3,0,2,3,6,1,0,2,5,0,0,2,0,0,2,1,2,1,0,0,3,2,4,0,2,2,2,0,2,3,2,2,2,7,2,0,1793,1,1,"London : published for the author, by S. W. Fores, No. 3, Piccadilly; And To be Had Of All The Booksellers In Town And Country, 1793.",London,263,unknown,,,FALSE,"( 45) be turned and brought by the feet , in order that the womb may contract, and its vessels be closed, as soon aspoffible, as the bes means to flop the haemorrhage, and save the woman's life . The same method flould be purfiied when parturient convulsions attack the"
0202800402_000054,"An introduction to the practice of midwifery. By Thomas Denman, ... In two volumes. ...","Denman, Thomas",108,1,5,1,2,0,2,2,2,0,4,1,0,14,5,0,1,0,3,1,0,4,0,0,2,0,4,0,2,0,0,0,8,0,2,1,1,1,0,0,2,3,0,0,3,3,2,0,1,10,1,0,8,2,1,0,1,0,2,0,1794,2,2,"London : printed for J. Johnson, 1794-95.",London,541,male,1733,1815,FALSE,"usually be born alive, if they arc small, if the presentation occurs to those who have before'had children , and the labour be not interrupted. But if it hold be a first labour , and the children large, or even of a common size, they will be more frequently born"
0166100101_000052,"Cases in midwifery: with references and remarks. By William Perfect, M. D. of West-Malling, in Kent. ...",William Perfect,109,1,0,0,1,0,0,5,1,1,5,0,0,19,2,1,4,4,2,0,0,3,3,1,0,0,2,0,1,0,0,0,3,0,1,1,0,5,2,1,6,1,3,0,3,1,2,1,1,3,0,4,1,2,3,1,7,1,0,0,1784,1,2,"Rochester : printed for the author, by T. Fisher: and sold by J. Bew, Pater-Noster-Row; and J. Murray, Fleet-Street, London, 1784.",Rochester,427,male,1737,1809,FALSE,"her cafe obvious to every one present . In this critical situation of things, a message was dispatched I bum [ 92 ] dispatched for me; but, a few minutes before my arrival, I was informed, that the patient had been seized with floodings and convulsions, and before I could"
0203000301_000065,"Cases in midwifery; with references, quotations, and remarks. By William Perfect, Surgeon, of West-Malling, In Kent. ...",William Perfect,93,3,6,1,2,1,1,1,1,0,5,1,0,8,1,1,0,0,2,2,0,1,1,1,3,0,4,1,3,0,0,0,3,0,1,0,2,0,1,0,0,2,1,1,1,0,9,0,0,5,0,1,2,4,2,1,6,0,1,0,1781,1,1,"Rochester : printed for the author, by T. Fisher; and sold by J. Dodsley, Pall-Mall; N. Conant, Fleet-Street; and J. Bew, Pater-Noster-Row, London, [1781-83].",Rochester,427,male,1737,1809,FALSE,"pelvis: cafe 15 contains a supplement to the above cafe ; and here, the arm presented ; the fhouldcr was mistaken for the head ; the arm was pulled off; and the head was afterwards delivered with the crotchet. I HAVE been more diffuse in my quotations and observations on"
0384700300_000025,The works of Aristotle.,Aristotle,96,0,1,1,3,2,2,0,1,2,3,2,1,12,0,1,5,0,3,4,0,2,1,0,0,0,7,0,2,0,1,1,1,0,3,0,1,0,0,0,2,4,1,0,5,1,2,0,0,1,0,3,1,0,1,0,8,4,1,0,1800,1,1,"London : printed for J. Urquhart [J. Findlay, printer], [1800?].",London,327,male,,,FALSE,"this is no' to be done but in cafes of great necessity, for the order of natal is for the secundine to come lait. Sect. IV Of tit Delietry tf a dead Child . In delivering woman of a dead child , the operator ought to h certain that the"
0649300900_000047,"The diseases of women with child, and in child-bed: as also, the best means of helping them in natural and unnatural labours. With fit Remedies for the several Indispositions of New-Born Babes. To which is prefix'd an exact description of the parts of generation in women. A Work much more perfect than any now extant, and very necessary for all, especially Midwives and Men practising that Art. The sixth edition corrected, and augmented with several ne w figures, and with the Description of an excellent Instrument to bring a Child that comes right; All correctly Engraven in Copper. Written in French by Francis Mauriceau. And translated by Hugh Chamberlen, M.D.",François Mauriceau,85,0,0,3,1,2,2,2,1,3,0,1,3,8,2,1,0,0,0,2,0,0,0,0,1,0,2,2,0,0,3,0,1,0,0,1,4,0,2,2,2,2,2,2,1,0,2,0,0,0,1,4,0,0,4,1,7,5,2,1,1718,1,1,"London : printed for A. Bell, at the Cross-Keys and Bible in Cornhill, near Stocks-Market, 1718.",London,447,male,1637,1709,FALSE,"the Woman's Belly, that one would bethe had two or three Children , when The hath nlyone, which is much weakened by it, because reateft part of its Nourishment resolved into these Waters , t Rathr the raters halmoftextinguifhethand susso h.der the Motheir' that little natural Heat which sonuintly of"
0384700200_000058,"The works of Aristotle. In four parts. Containing I. His complete master-piece; displaying the Secrets of Nature in the Generation of Man. To which is added, the family physician, being approved Remedies for the several Distempers incident to the Human body. II. His experienced midwife; absolutely necessary for Surgeons, Midwives, Nurses, and Child-Bearing Women. III. His book of problems; containing various Questions and Answers relative to the State of Man's Body. IV. His last legacy; unfolding the Secrets of Nature respecting the Generation of Man.",Aristotle,120,1,2,0,8,0,2,0,1,0,1,1,1,8,2,0,0,0,1,3,0,4,1,0,1,0,1,0,9,0,3,2,17,0,0,0,4,1,1,2,6,7,1,0,0,2,4,0,0,1,0,0,4,0,0,0,7,7,3,1,1796,1,1,"London [i.e. Newcastle?] : printed for, and sold by all the booksellers, 1796.",London|Newcastle upon Tyne.,410,male,,,FALSE,"chief cause of all ill labours , will be the more easily conceived by the understanding midwife: it ought therefore, in the first place, to be observed , that the infant , as well male as female, is generally situated in the midst of the womb ; for though fomet'uics"
1592500600_000062,"Outlines of the theory and practice of midwifery. By Alexander Hamilton, M.D. F.R.S. Edin. Professor of midwifery in the university, and member of the Royal College of Surgeons, Edinburgh. [One line in Latin].",Thomas Dobson,117,0,1,1,1,0,5,1,4,0,4,0,0,17,1,0,0,1,2,3,0,8,1,2,3,0,11,0,1,0,0,0,2,0,1,0,1,1,1,0,3,1,2,0,8,0,6,0,0,1,1,0,7,7,5,1,2,0,0,0,1790,1,1,"Philadelphia : Printed by Thomas Dobson, bookseller and stationer, at the stone house in Second Street, M,DCC,XC. [1790].",Philadelphia,320,male,1751,1823,FALSE,"clais, though the birth may sometimes, when the child is fmrall, be acconsp~ilhed withtout manual aiffiiance; when the child lies across, no force of pain can make it advance in that position; and without proper aid, both mother and child would perish. If a fkrilful praatitioner hath the management of"
0465301100_000076,"A general treatise of midwifry: illustrated with upwards of four hundred curious observations and reflexions concerning that art. Written originally in French by Lamotte, Sworn Surgeon and Man Midwife at Valognes. And translated into English by Thomas Tomkyns, Surgeon.",Guillaume Mauquest de La Motte,94,0,2,5,0,0,0,1,2,7,0,1,0,15,2,1,1,0,1,2,0,2,2,1,0,0,3,0,1,0,0,1,2,1,0,0,2,2,1,3,3,0,4,1,1,0,5,0,1,4,1,1,1,3,3,1,4,0,0,0,1746,1,1,"London : printed for James Waugh, at the Turk's Head, in Gracechurch-Street, MDCCXLVI. [1746].",London,550,male,1655,1737,FALSE,"died loon alter. OBSERVATION CXCI I was desired in the same town and at thie same time to go to a chandler's wife who had been in t3abc!; twenty-four hours, the waters had been gone gone off from the very first, the midwife who was in a hurry to go"
0202501100_000043,"A treatise of midwifery, comprehending the management of female complaints, and the treatment of children in early infancy. To which are added prescriptions for women and children, and directions for preparing a variety of food and drinks, adapted to the circumstances of lying-in women. Divested of technical terms and abstruse theories. By Alexander Hamilton, professor of midwifery in the University of Edinburgh, and member of the Royal College of Surgeons.",Alexander Hamilton,122,0,1,1,1,0,2,0,3,0,8,2,0,22,0,0,0,0,3,2,0,5,2,2,3,0,5,0,1,0,0,0,5,0,1,2,0,1,1,0,6,3,1,0,3,0,9,0,0,5,0,1,8,2,5,0,2,4,0,0,1781,1,1,"London : printed for J.Murray, No. 32, opposite St. Dunstan's Church, Fleet Street; J. Dickson, W. Creech, and C. Elliot, at Edinburgh, MDCCLXXXI. [1781].",London,486,male,1739,1802,TRUE,"If the child advances naturally , it will be less exposed to susser; if it should not advance, there is this advantage, that the parts of the mother will be properly prepared, when the strong pains are abated, for ""t6 or passing the hand into the pelvis, to raise up"
1658100401_000005,"A treatise on the theory and practice of mid wifery By W. Smellie, M.D.",William Smellie,98,0,0,0,3,0,3,0,2,0,3,0,0,10,1,0,3,0,5,3,0,3,0,1,3,0,2,2,8,0,1,0,2,0,1,2,2,2,1,0,1,4,2,0,2,4,4,0,0,1,1,0,0,4,3,0,4,0,5,0,1764,1,1,"Dublin : Printed for T. and J. Whitehouse at their State Lottery Office, near the Centre of the East side of Parliament-street, MDCCLXIV. [1764].",Dublin,300,male,1697,1763,FALSE,"and introducing them between between the Os uteri and head , put one into the mouth, and laying hold of it bring it along. When the body is delivered , and the head remains behind (in those cafes when the child comes by the feet ) he advises the operator"
0608700600_000050,"A treatise of midwifery; comprehending the management of female complaints, and the treatment of children in early infancy. To which are Added, Prescriptions for Women and Children; and Directions for preparing a Variety of Food and Drinks, adapted to me Circumstances of Lyingain Women. Divested of Technical Terms and Abstruse Theories, for the Use of Female and other Practitioners, and Private Families. By Alexander Hamilton, M. D. Professor of Midwisery in the University of Edinburgh, and Member of the Royal College of Surgeons.",Alexander Hamilton,99,1,0,0,5,1,0,2,0,0,3,0,0,20,3,1,0,1,1,4,0,2,0,2,0,0,3,0,2,0,1,0,3,0,0,1,1,0,0,0,3,3,0,0,3,0,7,0,0,6,1,0,3,2,1,0,5,7,1,0,1785,1,1,"Edinburgh : printed for Charles Elliot, Edinburgh; G. G. J. and J. Robinson, London; and W. Gilbert, Dublin, MDCCLXXXV [1785].",Edinburgh,334,male,1739,1802,TRUE,"pass, the whole cake will acually be disengaged and protruded; and the birth of the placenta, previous to that of the child , is for the most part fatal to the mother . N 4 Much 199 Much of our success in these flooding cafes will depend onjlaying with the"
0981300200_000178,"The works of Aristotle compleat. In four parts. Illustrated with many cuts,) viz. I. The master-piece. II. Compleat midwife. III. The problems. IV. The legacy. Done upon a finer paper, and more correctly and neatly executed than any edition ever done before.",Aristotle,108,1,2,1,2,2,2,3,1,0,0,2,4,22,0,0,2,0,2,4,0,3,1,3,2,0,6,0,3,0,1,2,4,0,1,0,2,0,0,0,6,2,0,0,1,0,3,0,0,1,0,1,0,0,2,0,8,6,0,0,1750,1,1,"London : printed: and sold by all the booksellers in Great-Britain and Ireland, [1750?].",London,588,male,,,FALSE,"likewifi the Stone de.tiies held to the Privitics, does in very little Time draw away both the Child and the after burden; yea, and it dra, s away the Womb and all, if you remove it no' Iuddeniy after they are conen away, so great is its tragnetick Virtue :"
0649300800_000047,"The diseases of women with child, and in child-bed: as also, the best means of helping them in natural and unnatural labours. With fit Remedies for the several Indispositions of New-Born Babes. To which is prefix'd an exact description of the parts of generation in women. A Work much more perfect than any now extant, and very necessary for all, especially Midwives and Men practising that Art. The fourth edition corrected, and augmented with several new figures, and with the Description of an excellent Instrument to bring a Child that comes right; All correctly Engraven in Copper. Written in French by Francis Mauriceau. And translated by Hugh Chamberlen, M.D.",François Mauriceau,84,0,0,2,1,4,2,1,1,2,0,1,4,8,1,3,0,0,0,1,0,0,0,1,0,0,4,1,0,0,3,1,2,0,0,2,4,0,1,1,3,0,2,2,1,0,3,0,0,0,2,5,0,0,1,1,6,3,3,1,1710,1,1,"London : printed for Andrew Bell, at the Cross-Keys and Bible in Cornhill, near Stocks-Market, 1710.",London,441,male,1637,1709,FALSE,"rometimes so full of there Humours, that it difchargeth some on the outward Parts, and principally upon those which are near, as the Lips of the Privities, which often are thereby so swelled, that they become quite blown up; and sometimes in some Women are so big and swelled, that"
0692500503_000046,"A collection of preternatural cases and observations in midwifery. By William Smellie, M.D. Completing the design of illustrating his first volume, on that subject. Vol. III.",William Smellie,115,0,2,2,1,1,3,0,7,7,4,0,1,11,0,0,0,0,1,3,0,3,1,5,0,0,12,1,11,0,0,0,2,0,5,2,4,0,0,0,1,1,0,0,1,1,2,0,0,4,0,1,3,5,3,0,2,2,0,0,1779,3,3,"London : printed for W. Strahan; T. Cadell, and G. Nicol, in the Strand; and W. Fox, and S. Hayes, in Holborn, MDCCLXXIX. [1779].",London,515,male,1697,1763,FALSE,"attended her labours ; but more so, when called, and examining, I found that the head of the child did not present . The membranes had not broke, but, in time of a labour pain , were pufled down to the lower part of the Vagina: and the mouth of"
0307800502_000026,"A new practice of physic: wherein the various diseases incident to the human body are describ'd their causes assign'd, their diagnostics and prognostics enumerated, and the Regimen proper in each deliver'd; With A competent Number of Medicines for every Stage and Symptom thereof. Prescrib'd after the Manner Of the most eminent Physicians among the Moderns, and particularly those of London. The whole formed on the Model of Dr. Sydenham, to execute the Design of his Processus Integri. In two volumes. By Peter Shaw, M. D. F. R. S.","Shaw, Peter",104,3,0,0,3,0,0,0,0,0,3,2,2,13,2,5,6,2,3,5,0,0,1,0,2,0,1,1,3,0,2,0,3,0,0,1,3,0,0,1,3,1,0,0,0,2,5,0,1,0,0,1,2,5,3,0,10,0,1,3,1753,2,2,"London : printed for T. and T. Longman, in Pater-Noster Row, MDCCLIII. [1753].",London,331,male,1694,1763,FALSE,"2 No flelh mear, nor even fat pig, the favourite thing of tome over kind nuries, nor wine in any large quantity, fiould be allowed, within the month at least; because the infant was not thus fed in the uterus . Acids ought not to be mixed with the aliment;"
